A		生活必需品	HUMAN NECESSITIES	
A61K		医療用製剤，歯科用製剤又は化粧用製剤（薬物を特定の物理的または投与形態に変化させるのに特に適合した装置または方法Ａ６１Ｊ３／００；空気の脱臭用品，殺菌または消毒用品，あるいは包帯，被覆用品，吸収性パッド，または手術用品のための物質の使用又は化学的事項Ａ６１Ｌ；石鹸の組成Ｃ１１Ｄ）<br><b><ul>注</ul></b><br>（１）このサブクラスは，その組成物（混合物）としての表現であれ，組成物の製法としての表現であれ，または組成物を用いる治療方法としての表現であれ，次の主題を包含する。<br>（ａ）以下のことが可能な医薬又は生物学的組成物：<br>寄生有機体を破壊するような手段によって生体の異常または病的状態を予防し，軽減し，処置しまたは治癒させるか，あるいは宿主また寄生体の生理状態を化学的に変化させることによって疾病あるいは異常の程度を制限すること（殺生物剤Ａ０１Ｎ２５／００〜Ａ０１Ｎ６５／００）；<br>生理的身体機能を維持，増加，減少，制限，または破壊すること，例．ビタミン組成物，不妊剤，生殖阻害剤，生長促進剤など（無脊椎動物，例．昆虫，の不妊剤Ａ０１Ｎ；植物生長調節剤Ａ０１Ｎ２５／００〜Ａ０１Ｎ６５／００）；［１，７］<br>生体内試験によって生理学的状態を診断すること，例．Ｘ線造影剤，スキンパッチテスト組成物（酵素または微生物を含む測定または試験方法Ｃ１２Ｑ，生物学的物質，例．血液，尿，の生体外テストＧ０１Ｎ，例．Ｇ０１Ｎ３３／４８）；<br>（ｂ）一般に人体を防臭，保護，美化あるいは清潔にするための人体処置組成物，例．化粧品，歯磨き，歯の充填剤<br>（２）Ｃセクションのタイトルの後の化学元素のグループの定義に注意すること<br>（３）クラスＣ０７の注に注意する。例えば，サブクラスＣ０７Ｄのタイトルに続く注は，当該クラスにおける有機化合物の分類に適用される規則を前もって規定するが，他の指示がなければ，Ａ６１Ｋにおける有機化合物分類にも適用される。［８］<br>（４）このサブクラスでは，グループＡ６１Ｋ８／００およびＡ６１Ｋ４０／００を除き，ラストプレイス優先ルールが適用される，すなわち各階層レベルにおいて相反する指示がない限り最後の適切な箇所に分類する。<br>（５）医薬製剤の治療活性については，さらにサブクラスＡ６１Ｐにも分類する。［７］<br><b><ul>サブクラス内の索引</ul></b><br>歯科用製剤  Ａ６１Ｋ  ６／００              <br>化粧品，香料  Ａ６１Ｋ  ８／００              <br>薬剤の調製              <br>形状に特徴があるもの  Ａ６１Ｋ  ９／００              <br>活性成分に特徴があるもの              <br>有機活性成分  Ａ６１Ｋ  ３１／００，  Ａ６１Ｋ  ３８／００              <br>無機活性成分  Ａ６１Ｋ  ３３／００              <br>動物，原生生物，バクテリアまたはウイルスからの物質  Ａ６１Ｋ  ３５／００              <br>藻類，菌類，地衣類，または植物からの物質  Ａ６１Ｋ  ３６／００              <br>抗原又は抗体を含むもの  Ａ６１Ｋ  ３９／００              <br>免疫療法のための細胞を含むもの  Ａ６１Ｋ４０／００<br>波動エネルギーまたは粒子線で物質を処理することにより得られるもの  Ａ６１Ｋ  ４１／００，  Ａ６１Ｋ  ５１／００              <br>その他の活性成分  Ａ６１Ｋ  ４５／００              <br>担体  Ａ６１Ｋ  ４７／００              <br>遺伝子物質を含有する医療用製剤，遺伝子治療  Ａ６１Ｋ  ４８／００              <br>生体内での検査のためのもの  Ａ６１Ｋ  ４９／００，  Ａ６１Ｋ  ５０／００，  Ａ６１Ｋ  ５１／００	PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES(devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> the following subject matter, whether set forth as a composition (mixture), a process for preparing the composition or a process of treatment using the composition: Drug or other biological compositions which are capable of: preventing, alleviating, treating or curing abnormal or pathological conditions of the living body by such means as destroying a parasitic organism, or limiting the effect of the disease or abnormality by chemically altering the physiology of the host or parasite (biocides A01N25/00 to A01N65/00 );maintaining, increasing, decreasing, limiting or destroying a physiological body function, e.g. vitamin compositions, sex sterilants, fertility inhibitors, growth promotors or the like (sex sterilants for invertebrates, e.g. insects, A01N; plant growth regulators A01N25/00 to A01N65/00 );diagnosing a physiological condition or state by an <u>in vivo</u> test, e.g. X-ray contrast or skin patch test compositions (measuring or testing processes involving enzymes or microorganisms C12Q; <u>in vitro</u> testing of biological material, e.g. blood or urine, G01N, e.g. G01N33/48);Body treating compositions generally intended for deodorising, protecting, adorning or grooming a body, e.g. cosmetics, dentifrices or tooth filling materials.Attention is drawn to the definitions of groups of chemical elements following the title of section C.Attention is drawn to the notes in class C07, for example the notes following the title of the subclass C07D, setting forth the rules for classifying organic compounds in that class, which rules are also applicable, if not otherwise indicated, to the classification of organic compounds in A61K.In this subclass, with the exception of groups A61K8/00 and A61K40/00, the last place priority rule is applied, i.e. at each hierarchical level, in the absence of an indication to the contrary, classification is made in the last appropriate place.Therapeutic activity of medicinal preparations is further classified in subclass A61P.<br><br><b><u>Subclass indexes</u></b><br><br><br>DENTAL PREPARATIONSA61K6/00<br>COSMETICS, TOILETRY PREPARATIONSA61K8/00<br>MEDICINAL PREPARATIONS<br>characterised by formA61K9/00<br>characterised by ingredients<br>organic active ingredientsA61K31/00, A61K38/00<br>inorganic active ingredientsA61K33/00<br>materials with undetermined constitution from animals, protozoa, bacteria or virusesA61K35/00<br>materials with undetermined constitution from algae, fungi, lichens or plantsA61K36/00<br>containing antigens or antibodiesA61K39/00<br>containing cells for immunotherapyA61K40/00<br>obtained by treating material with wave energy or particle radiation, containing radioactive substancesA61K41/00, A61K51/00<br>other active ingredientsA61K45/00<br>non-active ingredientsA61K47/00<br>Medicinal preparations with genetic material, gene therapyA61K48/00<br>for testing <u>in vivo</u>A61K49/00, A61K50/00, A61K51/00	55986
A61L		材料またはものを殺菌するための方法または装置一般；空気の消毒，殺菌または脱臭；包帯，被覆用品，吸収性パッドまたは手術用物品の化学的事項；包帯，被覆用品，吸収性パッドまたは手術用物品のための材料（死体の保存，使用する薬剤によって特徴づけられた消毒Ａ０１Ｎ；食品または食料品の保存，例．殺菌，Ａ２３；医療用製剤，歯科用製剤又は化粧用製剤Ａ６１Ｋ）<br><b><ul>サブクラス内の索引</ul></b><br>材料の消毒または殺菌<br>一般的な方法または器具　２／００<br>空気の消毒または殺菌　９／００<br>廃棄物の消毒または殺菌　１１／００<br>コンタクトレンズの消毒または殺菌　１２／００<br>材料<br>包帯，被覆用品または吸収性パッドのためのもの　１５／００<br>縫合のためのものまたは血管を結紮するためのもの　１７／００<br>液体包帯のためのもの　２６／００<br>補綴または人工皮膚のためのもの　２７／００<br>人工肛門用具のためのもの　２８／００<br>カテーテルのためのもの　２９／００<br>他の手術用物品のためのもの　３１／００<br>外科用接着剤，セメント，液体包帯　２４／００<br>手術用物品の抗血栓処理　３３／００	METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES(preservation of bodies or disinfecting characterised by the agents employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toiletry purposes A61K);<br><br><b><u>Subclass indexes</u></b><br><br><br>DISINFECTION OR STERILISATION OF MATERIALS<br>General methods or apparatus A61L2/00<br>of air A61L9/00<br>of refuse A61L11/00<br>of contact lenses A61L12/00<br>MATERIALS FOR<br>Bandages, dressings or absorbent pads A61L15/00<br>sutures or for ligaturing blood vessels A61L17/00<br>liquid bandages A61L26/00<br>prostheses or for coating prostheses A61L27/00<br>colostomy devices A61L28/00<br>catheters or for coating catheters A61L29/00<br>other surgical articles A61L31/00<br>SURGICAL ADHESIVES OR CEMENTS; ADHESIVES FOR COLOSTOMY DEVICES A61L24/00<br>ANTITHROMBOGENIC TREATMENT OF SURGICAL ARTICLES A61L33/00	3851
A61M		人体の中へ，または表面に媒体を導入する装置（動物の体内へのまたは表面への媒体の導入Ａ６１Ｄ７／００；タンポン挿入手段Ａ６１Ｆ１３／２６；食物または薬の経口投与装置Ａ６１Ｊ；血液または医療用液体を収集，貯蔵または処理するための容器Ａ６１Ｊ１／０５）；人体用の媒体を交換する，または人体から媒体を除去するための装置（手術Ａ６１Ｂ；手術用物品の化学的事項Ａ６１Ｌ；人体内に置かれた磁気素子を用いる磁気治療Ａ６１Ｎ２／１０）；眠りまたは無感覚を生起または終らせるための装置［４，５］<br><b><ul>注</ul></b><br>（１）このサブクラスは医療用の吸引，輸送または噴霧装置（例．吸角，胸部レリーバー，イルリガートル，スプレー，粉末吸込み器，アトマイザー，吸入器），全身または局部麻酔用装置，意識状態に変化を与えるための装置または方法，カテーテル，拡張器，経口的以外に人体に薬を導入する装置を包合する。<br>（２）このサブクラスにおいては，人体への放射性物質の適用に関するグループ３６／００が他のグループに優先する。［５］<br>（３）このグループに分類するとき，クロマトグラフィーに関する一般分野の主題事項が関係している限り，グループＢ０１Ｄ１５／０８にも分類する。［８］<br><b><ul>サブクラス内の索引</ul></b><br>吸引またはポンプ装置　１／００<br>注射器；イルリガートル；腸管のための浴　３／００，５／００，７／００；９／００<br>スプレー，アトマイザ；吸込器　１１／００；１３／００<br>吸入装置　１５／００，１６／００<br>眠りまたは麻酔を生起または終わらせるための装置　１６／００，１９／００，２１／００<br>探針，カテーテル；ドレン；拡張器　２５／００；２７／００；２９／００<br>医療用に特に適する管，管接続具，管継ぎ手，弁，接続部材または類似のもの　３９／００<br>人体内に薬剤を導入または滞留させるためのその他の装置　３１／００，３７／００<br>人体に薬剤を塗布するその他の装置　３５／００<br>人体への放射性物質の適用　３６／００	DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY(introducing media into or onto the bodies of animals A61D7/00;  means for inserting tampons A61F13/26;  devices for administering food or medicines orally A61J;  containers for collecting, storing or administering blood or medical fluids A61J1/05);DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY(surgery A61B;  chemical aspects of surgical articles A61L;  magnetotherapy using magnetic elements placed within the body A61N2/10);DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> suction, pumping or atomising devices for medical use (e.g. cups, breast relievers, irrigators, sprays, powder insufflators, atomisers, inhalers), apparatus for general or local anaesthetics, devices or methods for causing a change in the state of consciousness, catheters, dilators, apparatus for introducing medicines into the body other than orally.In this subclass, group A61M36/00, which relates to the application of radioactive material to the body, takes precedence over other groups.When classifying in this subclass, classification is also made in group B01D15/08 insofar as subject matter of general interest relating to chromatography is concerned.<br><br><b><u>Subclass indexes</u></b><br><br><br>SUCTION OR PUMPING DEVICESA61M1/00, A61M60/00<br>SYRINGES; IRRIGATORS; BATHS FOR THE INTESTINESA61M3/00, A61M5/00; A61M9/00<br>SPRAYERS, ATOMISERS; INSUFFLATORSA61M11/00; A61M13/00<br>INHALING DEVICESA61M15/00, A61M16/00<br>DEVICES FOR PRODUCING OR ENDING SLEEP OR ANAESTHESIAA61M16/00, A61M19/00, A61M21/00<br>PROBES, CATHETERS; DRAINS; DILATORSA61M25/00; A61M27/00; A61M29/00<br>TUBES, TUBE CONNECTORS, TUBE COUPLINGS, VALVES, ACCESS SITES OR THE LIKE, SPECIALLY ADAPTED FOR MEDICAL USEA61M39/00<br>OTHER DEVICES FOR INTRODUCING OR RETAINING REMEDIES IN THE BODYA61M31/00, A61M37/00<br>OTHER DEVICES FOR SPREADING REMEDIES ON THE BODYA61M35/00<br>APPLYING RADIOACTIVE MATERIAL TO THE BODYA61M36/00	7423
A61N		電気治療；磁気治療；放射線治療；超音波治療（生体電流の測定Ａ６１Ｂ；非機械的な形態のエネルギーを，身体へ，または身体から伝達する手術用機器，器具，または方法Ａ６１Ｂ１８／００；麻酔装置一般Ａ６１Ｍ；白熱ランプＨ０１Ｋ；加熱用の赤外線放射器Ｈ０５Ｂ）［６］<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる。<br>―“治療”とは，その処置が病気または異常のある細胞の破壊を狙いとするとき，Ａ６１Ｂ１８／００に包含される機器，器具または方法によって行われる場合とは異なり，健康な細胞の破壊は望まれず，その生命限界内で行われる処置を意味する。［５，７］<br><b><ul>サブクラス内の索引</ul></b><br>電気治療　１／００<br>磁気治療　２／００<br>放射線治療　５／００<br>超音波治療　７／００	ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY(measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infrared radiators for heating H05B);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following term is used with the meaning indicated:"therapy" implies that the treatment, when it aims at destroying sick or abnormal cells, is performed within the limits of healthy cell life, the destruction thereof being undesired, contrary to that which takes place with instruments, devices or methods covered by group A61B18/00.<br><br><b><u>Subclass indexes</u></b><br><br><br>ELECTROTHERAPY A61N1/00<br>MAGNETOTHERAPY A61N2/00<br>RADIATION THERAPY A61N5/00<br>ULTRASOUND THERAPY A61N7/00	1755
A61P		化合物または医薬製剤の特殊な治療活性［７］<br><b><ul>注</ul></b><br>（１）このサブクラスは，サブクラスＡ６１ＫまたはＣ１２Ｎ，若しくはクラスＣ０１，Ｃ０７，Ｃ０８にすでに分類された化合物または医薬を包含する。［７］<br>（２）このサブクラスにおいて，”薬”なる用語は治療活性を有する化合物または組成物を包含する。［７］<br>（３）このサブクラスにおいては，治療活性はすべての適切な箇所に分類される。［７］<br>（４）発明の主題が，化合物または医薬製剤の特殊な治療活性のみに関しており，発明のこの主題の化学構造，化合物，混合物または組成物が知られている場合に注意が必要である。そのような場合では，分類はサブクラスＡ６１ＫとＡ６１Ｐの両方に発明情報として付与される。加えて，化学構造，化合物，混合物または組成物，あるいは混合物または組成物の個々の内容物のいずれかが調査に重要な情報を示すものと考えられる場合は，それも付加情報として分類してもよい。［２０１２．０１］<br>（５）このサブクラスの分類記号は，特許文献に付与されるとき，先頭には記載されない。［７］	SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> therapeutic activity of chemical compounds or medicinal preparations already classified as such in subclasses A61K or C12N, or in classes C01, C07 or C08.      In this subclass, the term "drugs" includes chemical compounds or compositions with therapeutic activity.      In this subclass, therapeutic activity is classified in all appropriate places.      Attention is drawn to cases where the subject of the invention concerns only specific therapeutic activity of chemical compounds or medical preparations, and the chemical structure, compound, mixture or composition of this subject of the invention is known. In such cases, classification is made in both subclass A61K and subclass A61P as invention information. In addition, if the chemical structure, compound, mixture or composition or any individual ingredient of a mixture or composition is considered to represent information of interest for search, it may also be classified as additional information    The classification symbols of this subclass are not listed first when assigned to patent documents.     	20851
A61Q		化粧品または類似化粧品製剤の特殊な使用<br><b><ul>注</ul></b><br>（１）このサブクラスは，メイングループＡ６１Ｋ８／００，サブクラスＣ１１Ｄ若しくはＣ１２Ｎ，またはクラスＣ０１，Ｃ０７若しくはＣ０８に既に分類された化粧品または類似化粧品製剤の使用を包含する<br>（２）このサブクラスに分類するとき，当該製剤が治療活性を有すると記載されていれば，サブクラスＡ６１Ｐにも分類する<br>（３）このサブクラスでは，化粧品あるいは類似化粧品製剤の使用は，すべての適切な箇所に分類される<br>（４）発明の主題が，化粧品または類似化粧品製剤の特殊な使用のみに関しており，発明のこの主題の化学構造，化合物，混合物または組成物が知られている場合に注意が必要である。そのような場合では，分類はメイングループＡ６１Ｋ８／００またはサブクラスＣ１１Ｄ，およびサブクラスＡ６１Ｑにも、発明情報として付与される。加えて，化学構造，化合物，混合物または組成物，あるいは混合物または組成物の個々の内容物のいずれかが調査に重要な情報を示すものと考えられる場合は，それも付加情報として分類してもよい。<br>（５）このサブクラスの分類記号は，特許文献に付与されるとき，先頭には記載されない	SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS; <br><br><b><u>Note(s)</u></b><br><br>This subclass covers the use of cosmetics or similar toiletry preparations already classified as such in main group A61K8/00, in subclasses C11D or C12N, or in classes C01, C07 or C08.When classifying in this subclass, classification is also made in subclass A61P if the preparation is stated to have therapeutic activity.In this subclass, the use of cosmetics or similar toiletry preparations is classified in all appropriate places.Attention is drawn to cases where the subject of the invention concerns only the specific use of cosmetics or toiletry preparations, and the chemical structure, compound, mixture or composition of this subject of the invention is known. In such cases, classification is made in main group A61K8/00 or in subclass C11D, and also in subclass A61Q as invention information. In addition, if the chemical structure, compound, mixture or composition or any individual ingredient of a mixture or composition is considered to represent information of interest for search, it may also be classified as additional information.The classification symbols of this subclass are not listed first when assigned to patent documents.	1557
A62		人命救助；消防	LIFE-SAVING; FIRE-FIGHTING	
A62B		人命救助用の器具，装置または方法（医療用に特に適する弁Ａ６１Ｍ３９／００；レスピレーター，ガスマスク，呼吸装置または類似のものに使用される化学物質の組成物Ａ６２Ｄ；山または樹木からの救助Ａ６３Ｂ２７／００，Ａ６３Ｂ２９／００；人命救助装置，水難用に特に適合した器具または方法Ｂ６３Ｃ９／００，潜水者用装備Ｂ６３Ｃ１１／００；特に空難に用いるもの，例．パラシュートまたは投出座席Ｂ６４Ｄ；特に鉱坑救助のための装置Ｅ２１Ｆ１１／００）<br><b><ul>サブクラス内の索引</ul></b><br>救助，例．火災の場合の<br>避難または防護の手段　１／００，３／００，５／００<br>呼吸室　３１／００<br>仮死者の救助手段　３３／００<br>単独の呼吸マスクまたは呼吸装置<br>形式　７／００，１８／００<br>細部　９／００，１８／０８<br>容器，酸素発生器，ろ過器　１９／００，２１／００，２３／００<br>貯蔵，試験　２５／００，２７／００<br>防護衣，安全ベルト　１７／００，３５／００<br>呼吸保護または対化学物保護の集合装置<br>密室の空調または換気　１１／００，１３／００<br>他の防護　１５／００，２９／００<br>他の人命救助　９９／００	DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING(valves specially adapted for medical use A61M39/00; composition of chemical substances used in respirators, gas-masks, breathing apparatus or the like A62D; rescuing from mountains or trees A63B27/00, A63B29/00; life-saving devices, apparatus or methods specially adapted for use in water B63C9/00; divers' equipment B63C11/00; specially adapted for use with aircraft, e.g. parachutes or ejector seats, B64D; rescue devices peculiar to mining E21F11/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>RESCUING, e.g. IN CASE OF FIRE<br>Means for escape or protection A62B1/00, A62B3/00, A62B5/00<br>Breathing containers A62B31/00<br>Safety means for seemingly-dead persons A62B33/00<br>INDIVIDUAL BREATHING MASKS OR APPARATUS<br>Types A62B7/00, A62B18/00<br>Details A62B9/00, A62B18/08<br>Cartridges, oxygen generators, filters A62B19/00, A62B21/00, A62B23/00<br>Storing, testing A62B25/00, A62B27/00<br>PROTECTIVE CLOTHING, SAFETY BELTS A62B17/00, A62B35/00<br>COLLECTIVE DEVICES FOR BREATHING PROTECTION OR FOR PROTECTION AGAINST CHEMICAL AGENTS<br>Air conditioning or ventilation in sealed rooms A62B11/00, A62B13/00<br>Other protection A62B15/00, A62B29/00<br>OTHER LIFE SAVING A62B99/00	1637
A62C		消防（消火剤，消火における化学物質の使用Ａ６２Ｄ１／００；噴霧，表面に液体または他の流体を作用させるもの一般Ｂ０５；消防飛行機Ｂ６４Ｄ１／１６；警報装置Ｇ０８Ｂ，例．煙またはガスにより作動する火災警報Ｇ０８Ｂ１７／１０）<br><b><ul>サブクラス内の索引</ul></b><br>火災の防止または封じ込め；特定な対象または場所のための消火<br>防火または封じ込め　２／００<br>火災トラップ　４／００<br>特定な対象または場所のための　３／００<br>使用前の消火剤の調製　５／００<br>道具または付属具　８／００<br>携帯用消火器<br>作動原理による区分　１１／００，１３／００，１９／００，２５／００<br>背負式　１５／００<br>ピストルまたはライフル型　１７／００<br>消防運搬具<br>陸上車　２７／００<br>舟　２９／００<br>消火剤の放出　３１／００<br>ホース付属具　３３／００<br>定置された設備　３５／００<br>消火設備の制御　３７／００<br>他の方法，設備または付属具　９９／００<br>	FIRE-FIGHTING(fire-extinguishing compositions, use of chemical substances in extinguishing fires A62D1/00; spraying, applying liquids or other fluent materials to surfaces in general B05; fire-fighting aircraft B64D1/16; alarm arrangements G08B, e.g. fire alarms actuated by smoke or gases G08B17/10);<br><br><b><u>Subclass indexes</u></b><br><br><br>FIRE PREVENTION OR CONTAINMENT; FIRE-EXTINGUISHING FOR PARTICULAR OBJECTS OR PLACES<br>Prevention or containment A62C2/00<br>Flame traps A62C4/00<br>For particular objects or places A62C3/00<br>MAKING FIRE-EXTINGUISHING MATERIALS BEFORE USE A62C5/00<br>HAND TOOLS OR ACCESSORIES A62C8/00<br>PORTABLE EXTINGUISHERS<br>According to operating principle A62C11/00, A62C13/00, A62C19/00, A62C25/00<br>Knapsack type A62C15/00<br>Pistol or rifle type A62C17/00<br>FIRE-FIGHTING VEHICLES<br>Land vehicles A62C27/00<br>Boats A62C29/00<br>DELIVERY OF FIRE-EXTINGUISHING MATERIALS A62C31/00<br>HOSE ACCESSORIES A62C33/00<br>STATIONARILY-INSTALLED EQUIPMENT A62C35/00<br>CONTROL OF FIRE-FIGHTING EQUIPMENT A62C37/00<br>OTHER METHODS, EQUIPMENT OR ACCESSORIES A62C99/00	1182
A62D		消火のための化学的手段；化学変化の影響により有害化学物質を無害にするまたはより有害でなくする方法；有害な化学剤に対して保護被覆または保護おおいを与える物質の組成；防毒マスク，呼吸保護器，呼吸袋，またはヘルメットの透明部分の材料の組成；呼吸装置で使用される化学物質の組成	CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS, OR LESS HARMFUL, BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS, RESPIRATORS, BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS	257
A63		スポーツ；ゲーム；娯楽	SPORTS; GAMES; AMUSEMENTS	
A63B		身体の鍛錬、体操、水泳、登はん、またはフェンシングのための装置；球技；訓練用具（受動的鍛練のための装置，マッサージＡ６１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>体操用装置<br>鉄棒；平均台　１／００，３／００；４／００<br>跳躍装置；跳箱　５／００，６／００；２５／００<br>自在吊り下り体操装置；登はん棒，登はん枠，または登はん台　７／００；９／００<br>クラブ　１５／００<br>他の鍛練装置　１７／００〜２３／００，２６／００<br>制御　２４／００<br>特殊スポーツ器具<br>登はん，登山　２７／００〜２９／００<br>水泳　３１／００〜３５／００<br>ボール　３７／００〜４７／００<br>ゴルフ道具　５３／００〜５７／００<br>その他球技用具　４９／００，５１／００，５９／００，６１／００，６３／００<br>投てき用具　６５／００<br>訓練装置　６９／００<br>その他の運動競技；その他の運動補助装置　６７／００；７１／００	APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT(apparatus for passive exercising, massage A61H);<br><br><b><u>Subclass indexes</u></b><br><br><br>GYMNASTIC APPARATUS<br>Bars; Balance beamsA63B1/00, A63B3/00; A63B4/00<br>Apparatus for jumping; stiltsA63B5/00, A63B6/00; A63B25/00<br>Freely-suspended apparatus; climbing poles, frames, or stagesA63B7/00; A63B9/00<br>ClubsA63B15/00<br>Other exercising apparatusA63B17/00 to A63B23/00 , A63B26/00<br>ControlsA63B24/00<br>APPARATUS FOR SPECIAL SPORTS<br>Climbing, mountaineeringA63B27/00, A63B29/00<br>SwimmingA63B31/00 to A63B35/00 <br>BallsA63B37/00 to A63B47/00 <br>Golf equipmentA63B53/00 to A63B57/00 <br>Other equipment for ball gamesA63B49/00, A63B51/00, A63B59/00,A63B60/00, A63B61/00, A63B63/00<br>Implements for throwingA63B65/00<br>Training equipmentA63B69/00<br>OTHER SPORTING GAMES; OTHER ACCESSORIESA63B67/00; A63B71/00	4896
A63C		スケート，スキー，ローラースケート；コート，リンクまたは類似のものの設計または配置（水上スキーＢ６３Ｂ３２／００，Ｂ６３Ｂ３４／００）［５］<br><b><ul>サブクラス内の索引</ul></b><br>スケート<br>アイススケート　１／００，３／００<br>ローラースケート　１７／００<br>スキー，雪上靴<br>雪上スキー　５／００〜１１／００<br>雪上靴　１３／００<br>競技場，リンク，ボーリンググリーン，水上スキー用施設，そのカバー　１９／００	SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE(water skis B63B32/00, B63B34/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>SKATES<br>Ice skates A63C1/00, A63C3/00<br>Roller skates A63C17/00<br>SKIS, SNOW SHOES<br>Snow skis A63C5/00 to A63C11/00 <br>Snow shoes A63C13/00<br>PLAYING-COURTS, RINKS, BOWLING GREENS OR AREAS FOR WATER-SKIING, COVERS THEREFOR A63C19/00	2602
A63D		ボウリングゲーム，例．スキトルズ，ボッチアまたはボウルズ；そのための設備；バゲティルまたは類似のゲーム；玉突き（ボールＡ６３Ｂ３７／００）	BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS(balls A63B37/00)	754
A63F		カードゲーム，盤上ゲーム，ルーレットゲーム；小遊技動体を用いる室内用ゲーム；ビデオゲーム；他に分類されないゲーム［５］	CARD, BOARD OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR	4232
A63G		メリーゴーランド；ぶらんこ；揺動木馬（幼児用家具として用いるぶらんこまたは揺動木馬Ａ４７Ｄ１３／１０）；すべり坂；スイッチバック；一般娯楽用の類似装置<br><b><ul>サブクラス内の索引</ul></b><br>回転木馬　１／００〜７／００<br>ぶらんこ，シーソー，観覧車　９／００，１１／００，１３／００，２７／００<br>揺動木馬，その他の動物形乗物玩具　１３／００〜１９／００<br>すべり坂，滑走台，その類似装置　２１／００，２３／００，２５／００，２９／００<br>その他の一般娯楽装置　３１／００，３３／００	MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES(swings or rocking horses as nursery furniture A47D13/10);CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT; <br><br><b><u>Subclass indexes</u></b><br><br><br>ROUNDABOUTS A63G1/00 to A63G7/00 <br>SWINGS, SEE-SAWS, GREAT WHEELS A63G9/00, A63G11/00, A63G13/00, A63G27/00<br>ROCKING HORSES, OTHER TOY ANIMALS FOR RIDING A63G13/00 to A63G19/00 <br>CHUTES, SLIDES, SIMILAR APPARATUS A63G21/00, A63G23/00, A63G25/00, A63G29/00<br>OTHER APPARATUS FOR PUBLIC AMUSEMENT A63G31/00, A63G33/00	588
