E04G  11/44	・・・	リブの恒久的な補強としても同時に使用される堰板に対する支持梁をもつもの	with supporting beams for the shuttering used simultaneously as permanent reinforcement of the ribs	134
E04G  11/46	・・・	リブを囲むかまたは二つのリブの間の部分または１つのリブとそれに接近した平らな床または天井部分を囲む帽子状または樋状形のもの	of hat-like or trough-like shape encasing a rib or the section between two ribs or encasing one rib and its adjacent flat floor or ceiling section	910
E04G  11/48	・・	床または屋根に対する堰板または型枠の支持構造（控え柱Ｅ０４Ｇ２５／００）	Supporting structures for shutterings or frames for floors or roofs(struts E04G25/00)	6735
E04G  11/50	・・・	型枠に対する支持部材としての梁，けたまたは類似のもの（部材，例．持ち送り，壁に取り付けるためのものＥ０４Ｇ１７／１６；構造物の一部を作るための梁Ｅ０４Ｃ３／０２）	Girders, beams, or the like as supporting members for forms(members, e.g. consoles, for attachment to the wall E04G17/16; girders intended to form part of the construction E04C3/02)	2052
E04G  11/52	・・・・	多数のユニットが順次に配列されたもの	of several units arranged one after another	592
E04G  11/54	・・・・	調節できる支持ぐつ，添え金物またはその類似のものを有しまたは有しない伸縮式のもの	of extensible type, with or without adjustable supporting shoes, fishplates, or the like	387
E04G  11/56	・・・・・	テレスコープ式のもの	of telescopic type	620
E04G  13/00		建築物の特殊の部分のための仮設作業，型枠または堰板，例．階段，踏み板，軒じゃばらまたはバルコニー（組立式建築物用ユニットまたは組立式階段ユニットを作るための型Ｂ２８Ｂ７／２２）	Falsework, forms or shutterings for particular parts of buildings, e.g. stairs, steps, cornices or balconies(moulds for making units for prefabricated buildings or prefabricated stair units B28B7/22)	6756
E04G  13/02	・	柱または柱状物のためのもの；それらのための特別な結合または締め付け手段	for columns or like pillars; Special tying or clamping means therefor	8710
E04G  13/04	・	分離して入れられるまぐさ，梁，または無目のためのもの；それらのための特別な結合または締め付け手段（部材，例．持ち送り，壁へ取り付けるためのものＥ０４Ｇ１７／１６）	for lintels, beams, or transoms to be encased separately; Special tying or clamping means therefor(members, e.g. consoles, for attachment to the wall E04G17/16)	5294
E04G  13/06	・	階段，踏み板，傾斜路，バルコニーまたは壁の持ち出された他の部分のためのもの	for stairs, steps, cornices, balconies, or other parts corbelled out of the wall	3681
E04G  15/00		開口部，くぼみ，すきま，またはみぞを作るための型枠または堰板（壁のための堰板の形成部分Ｅ０４Ｇ１１／０６）	Forms or shutterings for making openings, cavities, slits, or channels(forming part of shuttering for walls E04G11/06)	1989
E04G  15/02	・	窓，とびら，または類似物のためのもの	for windows, doors, or the like	1446
E04G  15/04	・	アンカー孔または類似物のための芯	Cores for anchor holes or the like	1113
E04G  15/06	・	壁または床中に設ける空所またはみぞのためのもの，例．煙突を作るためのもの	for cavities or channels in walls or floors, e.g. for making chimneys	8591
E04G  17/00		型枠，仮設作業構造物または堰板のための連結またはその他の補助部材	Connecting or other auxiliary members for forms, falsework structures, or shutterings	27254
E04G  17/02	・	金属製でない型枠または補強要素のための連結または締付手段	Connecting or fastening means for non-metallic forming or stiffening elements	2951
E04G  17/04	・	金属製の型枠または補強要素のための連結または締付手段	Connecting or fastening means for metallic forming or stiffening elements	7202
E04G  17/06	・	結合手段；スペーサ	Tying means; Spacers	6297
E04G  17/065	・・	結合手段，それらの固定または引張りを可能にするために通される引張り部材［５］	Tying means, the tensional elements of which are threaded to enable their fastening or tensioning	9800
E04G  17/07	・・	結合手段，くさび形部材によって固定または引張られる引張り部材［５］	Tying means, the tensional elements of which are fastened or tensioned by means of wedge-shaped members	1346
E04G  17/075	・・	結合手段，その他の手段によって固定または引張られる引張り部材［５］	Tying means, the tensional elements of which are fastened or tensioned by other means	2071
E04G  17/12	・・	型枠を取り付ける腕をもつもの	with arms engaging the forms	785
E04G  17/14	・	型枠壁に対する筋かいまたはほうずえの配置；型枠を整列させるための装置（Ｅ０４Ｇ２５／００が優先）	Bracing or strutting arrangements for formwalls; Devices for aligning forms(E04G25/00 takes precedence)	7667
E04G  17/16	・	床，まぐさ，または無目用の型枠または型を保持する梁，けたまたは類似のものを支持するために壁に取り付けるための部材，例．持ち送り	Members, e.g. consoles, for attachment to the wall to support girders, beams, or the like carrying forms or moulds for floors, lintels, or transoms	1257
E04G  17/18	・	天井内に配された梁に型枠要素をつるしまたは定着する装置，例．ハンガー	Devices for suspending or anchoring form elements to girders placed in ceilings, e.g. hangers	783
E04G  19/00		型枠の補助的な処置，例．剥（はぎ）取り具，清掃具（潤滑組成物Ｃ１０Ｍ）	Auxiliary treatment of forms, e.g. dismantling; Cleaning devices(lubricating compositions C10M)	5958
E04G  21/00		現場における建築材料または建築要素の準備，搬送または築造；建設作業のためのその他の装置または手段（石のような材料の作業Ｂ２８Ｄ；搬送一般Ｂ６５Ｇ；つり上げ装置Ｂ６６；測定器具Ｇ０１）	Preparing, conveying, or working-up building materials or building elements <u>in situ</u>; Other devices or measures for constructional work(working stone-like materials B28D; conveying in general B65G; lifting devices B66; measuring instruments G01)	18104
E04G  21/02	・	打ち込みまたは打ち継ぐことの出来るコンクリートまたは類似のものの搬送または築造（コンクリート作業一般，例．混合機Ｂ２８Ｃ；コンクリート組成物Ｃ０４Ｂ；道路または舗道において同種の材料で作られた床の構造と表面Ｅ０１Ｃ；堰堤に関するものＥ０２Ｂ７／００；基礎に関するものＥ０２Ｄ１５／００；仕上げに関するものＥ０４Ｆ）	Conveying or working-up concrete or similar masses able to be heaped or cast(working concrete in general, e.g. mixing machines, B28C; composition of concrete C04B; construction and surfacing of floorings made of similar material to roads or pavements E01C; in connection with barrages E02B7/00; in connection with foundations E02D15/00; in connection with finishing work E04F)	20813
E04G  21/04	・・	搬送と分配の両者を行うための装置（コンクリートポンプＦ０４）	Devices for both conveying and distributing(concrete pumps F04)	11579
E04G  21/06	・・	コンクリートの締め固め，例．固くなる前に真空を応用すること（道路建設のためのものＥ０１Ｃ１９／００；土を締め固めるための装置Ｅ０２Ｄ３／０２）	Compacting concrete, e.g. by application of vacuum before hardening(for road building E01C19/00; devices for compacting also soil E02D3/02)	2741
E04G  21/08	・・・	内部用振動機	Internal vibrators	4250
E04G  21/10	・・	水平にするための装置，例．型板または板（平らにする工具Ｅ０４Ｆ２１／１６，Ｅ０４Ｆ２１／２４）	Devices for levelling, e.g. templates or boards(smoothing tools E04F21/16, E04F21/24)	5062
E04G  21/12	・	補強用挿入物のすえ付け；プレストレス作業（プレストレス部材用殻管Ｅ０４Ｃ５／１０；アンカー手段Ｅ０４Ｃ５／１２；補強要素とスペーサーの接合Ｅ０４Ｃ５／１６）	Mounting of reinforcing inserts; Prestressing(shell tubes for prestressing members E04C5/10; anchoring means E04C5/12; connections of reinforcing elements and spacers E04C5/16)	21422
E04G  21/14	・	建築要素の搬送または組立（屋根ふきＥ０４Ｄ；仕上げＥ０４Ｆ）	Conveying or assembling building elements(roofing E04D; finishing work E04F)	20560
E04G  21/16	・・	工具または装置（柵を立てるための装置Ｅ０４Ｈ１７／２６）	Tools or apparatus(devices for erecting fences E04H17/26)	29472
E04G  21/18	・・・	調節工具；型板	Adjusting tools; Templates	21065
E04G  21/20	・・・	モルタルを使用するためのもの	for applying mortar	3600
E04G  21/22	・・・	モルタルで建築要素をすえつけるためのもの，例．レンガ積み機械	for setting building elements with mortar, e.g. brick-laying machines	2245
E04G  21/24	・	建設中に建築部品または仕上げ作業の損傷を防ぐ安全または保護手段（足場に対する補助構造としてのものＥ０４Ｇ５／００）	Safety or protective measures preventing damage to building parts or finishing work during construction(as auxiliary structures for scaffolds E04G5/00)	7946
E04G  21/26	・・	壁部分に対するほうずえ手段；支柱または類似のもの，例．プレハブ壁を所定の位置に保持するためのもの（Ｅ０４Ｇ２５／００が優先；現存する建築物に関するものＥ０４Ｇ２３／０４）	Strutting means for wall parts; Supports or the like, e.g. for holding in position prefabricated walls(E04G25/00 takes precedence; on existing buildings E04G23/04)	3021
E04G  21/28	・・	悪天候の影響に対するもの	against unfavourable weather influence	3053
E04G  21/30	・・	機械的な損傷または汚れに対するもの，例．階段の保護カバー	against mechanical damage or dirt, e.g. guard covers of stairs	3571
E04G  21/32	・	建築物の建設中における人に対する安全または保護手段（足場に関するものＥ０４Ｇ５／００；安全ベルトまたはロープＡ６２Ｂ１／１６，Ａ６２Ｂ３５／００；登はん具，例．マスト用の登はん金具Ａ６３Ｂ２７／００）	Safety or protective measures for persons during the construction of buildings(related to scaffolds E04G5/00; ropes or belts for life-saving A62B1/16, A62B35/00; climbing tools, e.g. climbing irons for masts, A63B27/00)	30741
E04G  23/00		現存する建築物への作業手段（基礎に関するものＥ０２Ｄ３５／００，Ｅ０２Ｄ３７／００；絶縁に関するものＥ０４Ｂ；付帯作業または仕上げＥ０４Ｆ）<br><b><ul>注</ul></b><br>このグループにおいて言及された主題事項に加え，新しい建築物を建てる場合に用いられる作業手段と類似する現存建築物への作業手段は，適当な建築グループに分類する。［５］	Working measures on existing buildings(on foundations E02D35/00, E02D37/00; in connection with insulations E04B; subsequent or finishing work E04F);<br><br><b><u>Note(s)</u></b><br><br>In addition to the subject matter referred out in this group, subject matter relating to working measures on existing buildings which are analogous to those used in constructing new buildings, is classified in the appropriate construction groups.	7344
E04G  23/02	・	修繕，例．クラックへの充てん；復原；改造；増築	Repairing, e.g. filling cracks; Restoring; Altering; Enlarging	40558
E04G  23/03	・・	特に屋根に適合するもの，例．屋階に装備するためのもの［５］	specially adapted for roofs, e.g. to fit out attics	1296
E04G  23/04	・	危険となったまたは損傷した建築物または建築物部分のささえ，例．空襲に関するもの（支柱Ｅ０４Ｇ２５／００）	Propping of endangered or damaged buildings or building parts, e.g. with respect to air-raid action(struts E04G25/00)	2097
E04G  23/06	・	建築物の分割，かさ上げ，移動；新しい下部構造物の築造	Separating, lifting, removing of buildings; Making a new sub-structure	2056
E04G  23/08	・	建築物の破壊（橋の解体Ｅ０１Ｄ２４／００）［１，８］	Wrecking of buildings(dismantling bridges E01D24/00)	7750
E04G  25/00		控え柱またはほうずえ（鉱山で使用されるために特別に設計されたものＥ２１Ｄ１５／００）；止木	Shores or struts(specially designed for use in mines E21D15/00);Chocks	5687
E04G  25/02	・	伸縮しないもの	non-telescopic	3294
E04G  25/04	・	伸縮するもの	telescopic	7338
E04G  25/06	・・	強制的な手段によって一緒に保持される部分をもつもの	with parts held together by positive means	6814
E04G  25/08	・・	摩擦または把持することによって互に相対的に保持される部分をもつもの	with parts held relatively to each other by friction or gripping	598
E04G  27/00		人または車輪をある高さから他の高さへ接近させるための一時的装置，例．階段，傾斜路（足場の一部または付属部としてのものＥ０４Ｇ５／００；舷門Ｂ６３；リフトＢ６６；桟橋Ｅ０１Ｄ１５／２４；永久的な段階または傾斜路Ｅ０４Ｆ１１／００；梯子Ｅ０６Ｃ）	Temporary arrangements for giving access from one level to another for men or vehicles, e.g. steps, ramps(as parts or accessories for scaffolds E04G5/00; gangways B63; lifts B66; landing bridges E01D15/24; permanent stairways or ramps E04F11/00; ladders E06C)	2644
