F16B13/00	ジベル，または固着のため壁またはその類似のものに設けられた穴にそう入されてそれらに取り付けられるその他の装置（くぎＦ１６Ｂ１５／００；戻り止めピンまたはボルト一般，植え込みボルトと受口による分解できる締め付けＦ１６Ｂ２１／００；軌条用まくら木用のジベルまたはボルトＥ０１Ｂ９／００；基礎工事に特に適合した構造要素または隔壁を定着させるための手段Ｅ０２Ｄ５／７４；れんが積みまたはコンクリート注入と同時に使用するボルトまたはジベルＥ０４Ｂ１／３８；立て杭，トンネルまたは杭道用アンカーボルトのすえ付けＥ２１Ｄ２０／００；立て杭，トンネルまたは杭道用アンカーボルトＥ２１Ｄ２１／００
F16B13/001	｛ジベルの回転を防ぐための手段をもつもの｝
F16B13/002	｛自動切断するもの｝
F16B13/003	｛切削刃をもつもの｝
F16B13/004	｛テーパまたは球形の栓体に対して打ち込まれる掘削スリーブをもつもの｝
F16B13/005	｛集積して一体に形作られているが，簡単に分離できるもの｝
F16B2013/006	｛密封手段をもつもの｝
F16B2013/007	｛穴に締め付けられるもの｝
F16B2013/008	｛採掘目的に用いられるもの｝
F16B2013/009	｛二重スリーブジベル，すなわち第一のスリーブは第二のスリーブの作用により穴に固定され，一方のスリーブは釘，ねじまたは同様のものを受ける｝
F16B13/02	軸に突出部または隆起部をもつもの
F16B13/025	｛圧延板材からなるもの｝
F16B13/04	前方からそう入した壁の裏側後方または穴に握り締め部をもつもの　（｛Ｆ１６Ｂ１３／００２およびＦ１６Ｂ１３／１２が優先；｝摩擦握り締めによるはめはずしできる締め付け一般Ｆ１６Ｂ２／００）
F16B13/045	｛軸方向に圧縮する部品を有するもの｝
F16B13/06	拡張スリーブをもつ接続　｛（Ｆ１６Ｂ１３／０４５およびＦ１６Ｂ１３／０８が優先）｝
F16B13/061	｛バックル型からなるもの｝
F16B13/063	｛膨張機の使用によるもの｝
F16B13/065	｛ネジ，釘または類似のものを抜くことにより締め付けられるもの｝
F16B13/066	｛ネジ，釘または類似のものにより作動する分離した膨張渠を抜くことにより締め付けられるもの｝
F16B13/068	｛２箇所以上の位置で拡張されるもの｝
F16B13/08	後続の手作業を要しない装置の本体に関してそれらの最終位置に移動する握り締め部品をもつもの
F16B13/0808	｛トグル機構によるもの｝
F16B13/0816	｛くさび留め打ち込みピンをもつもの｝
F16B13/0825	｛ジベル本体のカムまたは偏心表面と協働するロック要素をもつもの，例．スリーブ，リングまたはキーをもつもの｝
F16B13/0833	｛穴の中で拡張または傾く分割片または指片をもつもの（Ｆ１６Ｂ１３／０８５８が優先）｝
F16B13/0841	｛ボルトまたは栓体の頭部の突合せ面に対して打ち込まれる変形可能なスリーブ部材をもつもの｝
F16B13/085	｛ジベル本体において傾斜面により向きを変える打ち込み釘をもつもの（拡幅する軸をもつ釘Ｆ１６Ｂ１５／０４）｝
F16B13/0858	｛先細または球状の膨張機栓体に対して打ち込まれる拡張可能なスリーブまたはジベル本体をもつもの（Ｆ１６Ｂ１３／００４が優先）｝
F16B13/0866	｛ねじ付き部材の後退運動により穴壁に食い込む突起をもつもの｝
F16B13/0875	｛穴に固定される弾性デイスクまたはばね座金をもつもの｝
F16B13/0883	｛ジベル本体のねじ山間または円錐形表面の近くの溝における分割されたリングまたはワイヤをもつもの（Ｆ１６Ｂ１３／０８２５が優先）｝
F16B13/0891	｛ジベル本体の傾斜面に沿って動くロック要素，例．くさび，キーまたはボールをもつもの（Ｆ１６Ｂ１３／０８１６，Ｆ１６Ｂ１３／０８２５，Ｆ１６Ｂ１３／０８８３が優先）｝
F16B13/10	
F16B13/12	ねじ，くぎまたは類似のものをそう入することにより締め付けられるジベルスリーブ　｛（Ｆ１６Ｂ１３／０８０８が優先）｝
F16B13/122	｛薄板金属の素材片から製造されるもの｝
F16B13/124	｛ねじ山のある要素をそう入することにより締め付けられるもの，例．ねじまたはボルト（Ｆ１６Ｂ１３／１２２，Ｆ１６Ｂ１３／１２８が優先）｝
F16B13/126	｛ねじ山の無い要素をそう入することにより締め付けられるもの，例．ピンまたは釘（Ｆ１６Ｂ１３／１２２，Ｆ１６Ｂ１３／１２８が優先）｝
F16B13/128	｛延び出た突出部をもつもの，例．デイスク，分割片，隆起部，指片叉は舌片（Ｆ１６Ｂ１３／１２２が優先）｝
F16B13/14	非金属製プラグまたはスリーブ　｛現在この分類は使用していない，Ｆ１６Ｂ１３／００２からＦ１６Ｂ１３／１２参照｝；液体，ゆるい固体またはこねることができるそのための材料を使用すること
F16B13/141	｛すえ付け可能な材料の使用により穴に栓体を固定するもの｝
F16B13/142	｛すえ付け可能な材料または混合物の組成を特徴とするもの（Ｆ１６Ｂ１３／１４３が優先）｝
F16B13/143	｛易壊性カートリッジまたはカプセルを用いるもの｝
F16B13/144	｛易壊性カートリッジまたはカプセルの形状，構成または材料を特徴とするもの｝
F16B13/145	｛易壊性カートリッジまたはカプセルに内の薬剤の組成を特徴とするもの｝
F16B13/146	｛袋状の封筒または一端が閉じた管状スリーブ，例．ふるい状スリーブ叉は伸張可能なさやをもつもの｝
F16B2013/147	｛補強要素または充てん材をもつグラウト材，例．繊維，薄片，ボール，針金｝
F16B2013/148	｛ジベルまたはアンカーボルト部分と周辺のグラウティング組成との間の接着を阻止する手段｝
F16B15/00	くぎ；かすがい（手術用ステーブルＡ６１Ｂ１７／０６４；くぎ，かすがいの製造Ｂ２１Ｇ｛；画鋲Ｂ４３Ｍ１５／００｝；軌道用スパイクＥ０１Ｂ９／０６）
F16B15/0007	｛２個の部材を共に固定するために反対方向に伸びる２つの釘の先端をもつもの｝
F16B15/0015	｛かすがい｝
F16B15/0023	｛釘板（建築構造物用つめ付きジベルＥ０４Ｂ１／４９；釘板で起動するための機械Ｂ２７Ｆ７／１５）｝
F16B15/003	｛板の材料から切り取られた歯をもつもの｝
F16B15/0038	｛板の周縁部のみのもの｝
F16B15/0046	｛板本体のもの｝
F16B15/0053	｛板に取り付けられた分離した釘をもつもの｝
F16B2015/0061	｛マルチピースの厚板｝
F16B2015/0069	｛両端に釘をもつもの｝
F16B2015/0076	｛付加的な締め付け手段用の設備をもつもの，例．フック，分離したねじまたは釘用の穴，粘着性物質｝
F16B2015/0084	｛ハンマーで打つ場所を示す印をもつもの｝
F16B15/0092	｛被覆された釘またはかすがい｝
F16B15/02	特殊な形のヘッドをもつもの，例．拡大した面をもつもの（家具装飾用Ａ４７Ｂ９５／０４；くぎ用の移動し得る装飾用ヘッドＡ４７Ｇ３／００）
F16B15/04	拡張する軸をもつもの　｛（ジベル本体に傾斜面により偏向される打ち込み釘をもつジベルＦ１６Ｂ１３／０８５）｝
F16B15/06	倒鉤（かぎ）をもつもの，例．金属製部品用のもの；打ち込み用ねじ
F16B15/08	集積して一体に形づくられているが，簡単に分解できるもの
F16B17/00	部材の一部または一部材を他の部材の穴にそう入することによる構造部材または機械部材の結合（ピン，ボルトまたはリベットの構造Ｆ１６Ｂ１９／００；リベット締めＦ１６Ｂ１９／０４；ピン，差し込みまたは同様のもののそれらの操作位置からの抜け出し防止のための手段，差し込みとソケットによるはめはずしできる固着Ｆ１６Ｂ２１／００）
F16B17/004	｛棒または管相互からなるもの｝
F16B17/006	｛薄板または厚板に対して棒または管からなるもの｝
F16B17/008	｛薄板または厚板相互からなるもの｝
F16B19/00	ねじ山をもたないボルト；変形できる要素を含むピン（ねじ結合Ｆ１６Ｂ２９／００）；リベット（抜け出し防止のための手段Ｆ１６Ｂ２１／００）
F16B19/002	｛弾力的に変形可能なピン（Ｆ１６Ｂ２１／０６が優先）｝
F16B19/004	｛１部材からなるもの（Ｆ１６Ｂ２１／０８４が優先）｝
F16B2019/006	｛複数の部材からなるもの｝
F16B19/008	｛封止手段をもつもの｝
F16B19/02	機械部品の位置決め用のボルトまたはスリーブ，例．切り欠き付きテーパピン，はめ合わせピン，スリーブ，偏心リング
F16B19/04	リベット；差し込みまたはリベット締めによる同様な締め付け（鉛シールＧ０９Ｆ３／００）
F16B2019/045	｛被覆されたリベット｝
F16B19/05	すえ込まれる鍔によって締め付けるボルト（Ｆ１６Ｂ１９／０８が優先）
F16B2019/055	｛電磁作用により変形されるもの｝
F16B19/06	一部材からなる中実リベット
F16B19/08	中空リベット；多部材からなるリベット
F16B19/083	｛自己掘削リベット｝
F16B19/086	｛自己穿孔リベット｝
F16B19/10	拡張機構をもつ締め付け<br><br><u>注</u><br><br>引き抜きマンドレルにより締め付けられる中空または単一部材からなるリベットに関連する主題事項は１９／１０Ｂ２Ｂに分類される<br>打ち込みピンにより締め付けられる中空または単一部材からなるリベットに関連する主題事項はＦ１６Ｂ１９／１０８１に分類される
F16B2019/1009	｛引き抜きマンドレルにより締め付けられる中空または単体部品のリベット｝
F16B2019/1018	｛打ち込みピンにより締め付けられる中空または単体部品のリベット｝
F16B19/1027	｛多部材リベット｝
