D	繊維；紙
D07B	ロープまたはケーブル一般（ロープまたはケーブルの相互または他の物体へのタイトル接続Ｂ６５Ｈ６９／００，Ｆ１６Ｇ１１／００；｛登山者用ロープＡ６３Ｂ２９／０２｝；ロープの機械的仕上げまたは加工Ｄ０２Ｊ；｛ひも組みＤ０４Ｃ｝；装飾ロープまたはコードＤ０４Ｄ；橋用つりケーブルＥ０１Ｄ１９／１６；調車または他の伝動要素による駆動または牽引に特に適したものＦ１６Ｇ９／００；電気的な分野に関するケーブルまたは接続具Ｈ０１Ｂ，Ｈ０１Ｒ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D10	繊維に関連し，セクションＤのサブクラスに関連づけられたインデキシング系列
D10B	繊維に関する，セクションＤのサブクラスに関連するインデキシング系列<br><br><u>注</u><br><br>このサブクラスはインデキシング系列のみを構成する。<br>このサブクラスは，サブクラスＤ０６Ｍのものを除くセクションＤの各グループに関連して，繊維材料の化学的組成に関して，これらの各グループが繊維の化学的性質に関して情報を与えない場合に，用いられる。<br>多くの分野では，要約に化学的組成が明記される文献でなければ化学的組成に関するインデキシング系列は付与されていない，例．要約で“ポリアミド”に言及されていなければ，Ｄ１０Ｂ２３３１/０２１は付与されていない<br>混合された繊維については各構成繊維についてインデキシングされる。
D21	製紙；セルロースの製造
D21B	繊維原料またはその機械的処理<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21C	セルロース含有材料から非セルロース物質を除去することによるセルロースの製造；パルプ化薬液の再生；そのための装置<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21D	抄紙機に送る前に行なう紙料の処理<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21F	抄紙機；それによる紙の製造方法<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21G	カレンダ；抄紙機の付属品（完成品用の巻取り機または巻き戻し機，しわまたは横方向伸長の調節手段Ｂ６５Ｈ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21H	パルプ組成物；サブクラスＤ２１Ｃ，Ｄ２１Ｄに包含されないその製造；紙の含浸またはコーティング；クラスＢ３１またはサブクラスＤ２１Ｇに包含されない完成紙の処理；他に分類されない紙<br><br><u>注</u><br><br>１．このサブクラスは湿式による繊維板または他の繊維物品の製造のためのパルプ組成物を包含する。<br>２．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―パルプは，製紙用繊維および任意の添加物からなる加工されるべき分散物を意味し，用語紙料を包含する；パルプは，湿式または乾式工程のいずれかによって製紙される乾燥した製紙用繊維をも包含する；<br>―紙は紙，厚紙または湿式製造した不織布を意味する。<br>３．パルプ組成物または紙，またはその構成要素が，このサブクラスで提供されている２以上の特性，例えば，繊維状材料およびコーティング双方または着色剤および撥水剤双方などに特徴がある場合，これらの特性に当てはまる全ての場所に分類する。<br>４．グループＤ２１Ｈ１１／００〜Ｄ２１Ｈ１５／００においては，相反する指示がない場合には，最後の適切な箇所に分類する。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>　Ｄ２１Ｈ２７／１２は　Ｄ２１Ｈ２７／００，Ｈ０１Ｂ３／５２に分類される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D21J	繊維板；セルロース性繊維の懸濁液またはパルプに粘土，油等を加えてどろどろにしたもの（注型圧搾用原料）から造られる物品（乾式法による物品の製造Ｂ２７Ｎ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D99	このセクションの中で他に分類されない主題事項［８］
D99Z	このセクションの中で他に分類されない主題事項<br><br><u>注</u><br><br>このサブクラスは，以下の主題事項を包含する：<br><br>ａ．このセクションのサブクラスに包含される主題事項に分類されないが，これに最も関連しているもの，<br>ｂ．別のセクションの何れのサブクラスにも明示的に包含されないもの。
