C08J2201/0545	水溶性溶媒に基づくポリマー成分からのもの
C08J2201/0546	非溶媒が有機であるもの
C08J2201/0547	非溶媒が水溶性であるもの
C08J2203/00	膨脹剤に特徴がある発泡体
C08J2203/02	二酸化炭素放出，例．炭酸水素ナトリウムおよびクエン酸
C08J2203/04	窒素放出，例．アゾジカルボンアミドまたはニトロソ化合物
C08J2203/06	二酸化炭素，窒素または貴ガス
C08J2203/08	超臨界流体
C08J2203/10	水または水放出化合物
C08J2203/12	炭素，水素および酸素原子のみを含有する有機化合物，例．ケトンまたはアルコール
C08J2203/14	飽和炭化水素，例．ブタン；不特定の炭化水素
C08J2203/142	ハロゲン化飽和炭化水素，例．Ｈ３Ｃ−ＣＦ３
C08J2203/144	過ハロゲン化飽和炭化水素，例．Ｆ３Ｃ−ＣＦ３
C08J2203/146	酸素およびハロゲン原子を含有する飽和炭化水素，例．Ｆ３Ｃ−Ｏ−ＣＨ２−ＣＨ３
C08J2203/16	不飽和炭化水素
C08J2203/162	ハロゲン化不飽和炭化水素，例．Ｈ２Ｃ＝ＣＦ２
C08J2203/164	過ハロゲン化不飽和炭化水素，例．Ｆ２Ｃ＝ＣＦ２
C08J2203/166	酸素およびハロゲン原子を含有する不飽和炭化水素，例．Ｆ３Ｃ−Ｏ−ＣＨ＝ＣＨ２
C08J2203/18	膨張剤の二成分調合
C08J2203/182	物理的発泡剤からなるもの，例．アセトンおよびブタン<br><br><u>注</u><br><br>発泡剤はコードＣ０８Ｊ２２０３／０６〜Ｃ０８Ｊ２２０３/１６６の使用により明記されるべきである。
C08J2203/184	化学的発泡剤および物理的発泡剤からなるもの，例．アゾジカルボンアミドおよびフッ化炭素<br><br><u>注</u><br><br>膨張剤はコードＣ０８Ｊ２２０３／０２〜Ｃ０８Ｊ２２０３/１６６の使用により明記されるべきである。
C08J2203/20	膨張剤の三成分調合
C08J2203/202	物理的発泡剤からなるもの<br><br><u>注</u><br><br>膨張剤はコードＣ０８Ｊ２２０３／０２〜Ｃ０８Ｊ２２０３/１６６の使用により明記されるべきである。
C08J2203/204	化学的発泡剤および物理的発泡剤からなるもの<br><br><u>注</u><br><br>膨張剤はコードＣ０８Ｊ２２０３／０２〜Ｃ０８Ｊ２２０３/１６６の使用により明記されるべきである。
C08J2203/22	膨張性マイクロスフェア，例．Ｅｘｐａｎｃｅｌ?
C08J2205/00	特性に特徴がある発泡体
C08J2205/02	完成発泡体自体がゲルであるものまたは発泡性成分を処理する際に一時的にゲルが形成されるもの
C08J2205/022	ハイドロゲル，すなわち水溶性成分を含有するゲル
C08J2205/024	オルガノゲル，すなわち有機成分を含有するゲル
C08J2205/026	エアロゲル，すなわち超臨界乾燥ゲル
C08J2205/028	キセロゲル，すなわち気乾ゲル
C08J2205/04	発泡孔に特徴があるもの
C08J2205/042	ナノポア，すなわち平均的直径が０．１マイクロメーター未満のもの
C08J2205/044	マイクロポア，すなわち平均的直径が０．１マイクロメーターおよび０．１ミリメーターの間のもの
C08J2205/046	ユニモーダルポア分布
C08J2205/048	バイモーダルポア分布，例．マイクロポアおよびナノポアが同じ発泡体に共存しているもの
C08J2205/05	開放セル，すなわち孔の５０％超が解放しているもの
C08J2205/052	閉鎖セル，すなわち孔の５０％超が閉鎖しているもの
C08J2205/06	可撓性発泡体
C08J2205/08	半可撓性発泡体
C08J2205/10	硬質発泡体
C08J2207/00	意図された使用に特徴がある発泡体
C08J2207/02	接着剤
C08J2207/04	エアロゾル，例．ポリウレタン発泡スプレー
C08J2207/06	電線絶縁体
C08J2207/10	医療用途，例．生体適合性骨格構造
C08J2207/12	衛生用途，例．おむつ，ナプキンまたは包帯
C08J2300/00	不特定のポリマーの使用に特徴があるもの
C08J2300/10	特定の基の存在に特徴があるポリマー，例．末端または懸垂官能基
C08J2300/102	ハロゲン原子を含有するもの
C08J2300/104	酸素原子を含有するもの
C08J2300/105	カルボキシル基を含有するもの
C08J2300/106	窒素原子を含有するもの
C08J2300/108	加水分解性シラン基を含有するもの
C08J2300/12	物理的特性に特徴があるポリマー，例．異方性，粘着性または電気伝導率
C08J2300/14	水溶性または水膨潤性ポリマー，例．水溶性ゲル
C08J2300/16	生分解性ポリマー
C08J2300/20	物理的構造に特徴があるポリマー
C08J2300/202	樹枝状高分子，例．デンドリマーまたは高分岐ポリマー
C08J2300/204	超分子材料
C08J2300/206	星型ポリマー
C08J2300/208	相互侵入高分子網目［�毅丕痢�
C08J2300/21	ポリロタキサン；ポリカテナン
C08J2300/22	熱可塑性樹脂
C08J2300/24	熱硬化性樹脂
C08J2300/26	エラストマー
