F16F7/08	互いに直線的に動き得る摩擦表面をもつもの（Ｆ１６Ｆ７／０１が優先；｛部品の一つがばねを持つものＦ１６Ｆ１３／０２｝）
F16F7/082	｛および減衰力調整手段によって特徴付けられるもの｝
F16F7/085	｛進行方向に従って異なる減衰効果に帰するもの｝
F16F7/087	｛Elastomeric surface effect dampers｝
F16F7/09	シリンダ・ピストン型であるもの
F16F7/095	｛円筒体の軸に対して斜めの面に沿った移動により係合する摩擦要素，例．楔型要素の相互作用｝
F16F7/10	慣性効果を用いるもの（Ｆ１６Ｆ１３／１０８、Ｆ１６Ｆ１３／２２、Ｆ１６Ｆ１５／１０、Ｆ１６Ｆ１５／２２が優先；可動マス手段により車体を安定させるものＢ６２Ｄ３７／０４；質量減衰装置による振動または衝撃に対して建築構造物の保護Ｅ０４Ｂ１／９８５；電力線の機械的揺動を減衰させる配置または装置Ｈ０２Ｇ７／１４）
F16F7/1005	｛質量の能動的な制御によって特徴付けられるもの｝
F16F7/1011	｛電磁手段によるもの｝
F16F7/1017	｛流体手段によるもの｝
F16F7/1022	｛慣性部材の回転運動に変換される直線揺動運動，例．枢軸される質量を用いるもの｝
F16F7/1028	｛減衰される系の構成部品である慣性力発生手段｝
F16F7/1034	｛液体の動きのもの｝
F16F7/104	慣性部材が弾性的に取付けられるもの｛（Ｆ１６Ｆ７／１０２２が優先）｝
F16F7/108	合成樹脂ばね上に取付けられるもの
F16F7/112	流体ばね上に取付けられるもの
F16F7/116	金属ばね上に取付けられるもの
F16F7/12	部品の可塑的変形を用いるもの｛（Ｆ１６Ｆ９／３０が優先；車両にバンパーを取付けるための圧力よって降伏する手段Ｂ６０Ｒ１９／２６；圧力よって降伏可能または折り畳み可能なステリアリングコラムＢ６２Ｄ１／１９２）｝
F16F7/121	｛蜂窩部材，例．ハニカム構造｝
F16F7/122	｛波形によって特徴付けられるもの，例．巻かれた波形素材｝
F16F7/123	｛曲げ作用を含む変形，例．複数ローラを通じて動く紐，部材の折り重ね（Ｆ１６Ｆ７／１２５，Ｆ１６Ｆ７／１２８が優先）｝
F16F7/124	｛繊維強化プラスチックの特殊構造によって特徴付けられるもの｝
F16F7/125	｛１部材が次の部材へ入るまたは次の部材から出るような入れ子式動作をする装置（Ｆ１６Ｆ７／１２４，Ｆ１６Ｆ７／１２７，Ｆ１６Ｆ７／１２８が優先）｝
F16F7/126	｛せん断ピンの動きに抵抗する；突起を有する１部材，例．くぼみ，他の部材変形させる玉軸受｝
F16F7/127	｛多数の材料を切断または裂くための刃物要素による；充填材の引抜成形｝
F16F7/128	｛部材によって特徴付けられるもの，例．伸びて降伏し引っ張って分離する平らな紐｝
F16F7/14	ケーブル支持形のもの，すなわち摩擦により取り付けられたループを形成するケーブルを用いるもの
F16F9/00	減衰媒体として流体またはその均等物を用いるばね，振動減衰装置，緩衝装置，またはこれらと同様の機能を持つ組み立てられた運動減衰装置（Ｆ１６Ｆ５／００が優先；膨脹可能な弾性体への弁の取付けＢ６０Ｃ２９／００；｛制動装置，ウィング作動器具のための停止装置または緩衝装置Ｅ０５Ｆ３／００，Ｅ０５Ｆ５／００｝）
F16F9/003	｛気体以外の圧力吸収手段を有することで特徴付けられる減衰装置，例．スポンジゴム｝
F16F9/006	｛減衰媒体の特性によって特徴付けられるもの，例．生物分解性物質（可変粘性減衰調整Ｆ１６Ｆ９／５３）｝
F16F9/02	ガスのみを用いるもの｛または真空（Ｆ１６Ｆ９／００６が優先）｝
F16F9/0209	｛入れ子式のもの（Ｆ１６Ｆ９／０４が優先）｝
