C09B26/04	カチオン性のもの
C09B26/06	トリアゼン染料（トリアゼン―アゾ染料Ｃ０９Ｂ５６／２０）
C09B27/00	ジアゾ化およびカップリングによる以外の方法でアゾ基を形成する製造　｛例．酸化｝
C09B27/06	タルトラジン（【式】）
C09B29/00	ジアゾ化およびカップリングによるモノアゾ染料
C09B29/0003	｛ジアゾ化されたアニリンからのもの｝
C09B29/0007	｛酸基，例．　ＣＯ２Ｈ，　ＳＯ３Ｈ，　ＰＯ３Ｈ２，　ＯＳＯ３Ｈ，　ＯＰＯ２Ｈ２，を含むもの；　その塩｝
C09B29/0011	｛複素環で直接置換されたジアゾ化されたアニリンからのもの　（縮合しされていないもの）｝
C09B29/0014	｛ジアゾ化されたアミノナフタレンからのもの｝
C09B29/0018	｛ジアゾ化されたアミノ多環化合物からのもの｝
C09B29/0022	｛ジアゾ化されたアミノアントラセンからのもの｝
C09B29/0025	｛ジアゾ化されたアミノ複素環化合物からのもの｝
C09B29/0029	｛異項原子として窒素のみを含む複素環｝
C09B29/0033	｛１個の窒素原子を持つ５員複素環を含むもの｝
C09B29/0037	｛２個の窒素原子を持つ５員複素環を含むもの｝
C09B29/004	｛３個の窒素原子を持つ５員複素環を含むもの｝
C09B29/0044	｛４個の窒素原子を持つ５員複素環を含むもの｝
C09B29/0048	｛１個の窒素原子を持つ６員複素環を含むもの｝
C09B29/0051	｛２個の窒素原子を持つ６員複素環を含むもの｝
C09B29/0055	｛異項原子として酸素のみを含む複素環｝
C09B29/0059	｛異項原子として硫黄のみを含む複素環｝
C09B29/0062	｛異項原子として窒素および酸素のみを含む複素環｝
C09B29/0066	｛窒素原子と酸素原子を持つ５員複素環を含むもの｝
C09B29/007	｛窒素と酸素を持つ６員複素環を含むもの｝
C09B29/0074	｛異項原子として窒素および硫黄を含む複素環｝
C09B29/0077	｛異項原子として１個の窒素と１個の硫黄を持つ５員複素環を含むもの｝
C09B29/0081	｛イソチアゾールまたは縮合イソチアゾール｝
C09B29/0085	｛チアゾールまたは縮合チアゾール｝
C09B29/0088	｛ベンゾチアゾール｝
C09B29/0092	｛異項原子として２個の窒素と１個の硫黄を持つ５員複素環を含むもの｝
C09B29/0096	｛他のジアゾ化されたアミノ複素環からのもの｝
C09B29/02	ジアゾ化されたｏ―アミノ―ヒドロキシ化合物からのもの
C09B29/06	唯一のダイレクティンググループとしてアミノ基を含むカップリング成分からのもの
C09B29/065	｛水溶性基を含むもの｝
C09B29/08	アミノベンゼン
C09B29/0801	｛酸基，例．　ＣＯＯＨ，　ＳＯ３Ｈ，　ＰＯ３Ｈ２，　ＯＳＯ３Ｈ，　ＯＰＯ３Ｈ２，を含むもの；　ＳＯ２ＮＨＳＯ２Ｒ　またはその塩，Ｒは炭化水素基｝
C09B29/0802	｛ＣＯＯＨを含むもの｝
C09B29/0803	｛ＳＯ３Ｈ，　ＯＳＯ３Ｈを含むもの｝
C09B29/0804	｛ＰＯ３Ｈ２，　ＯＰＯ３Ｈ２を含むもの｝
C09B29/0805	｛酸基を持たないもの｝
C09B29/0807	｛アミノ基に特徴があるもの｝
C09B29/0808	｛非置換アミノ基｝
C09B29/0809	｛置換されたアミノ基｝
C09B29/081	｛非置換のアルキルアミノ，アルケニルアミノ，アルキニルアミノ，シクロアルキルアミノ，アラルキルアミノまたはアリールアミノ｝　
C09B29/0811	｛さらに置換されたアルキルアミノ，アルケニルアミノ，アルキニルアミノ，シクロアルキルアミノ，アラルキルアミノまたはアリールアミノ｝　
C09B29/0813	｛（【式】）で置換されたもの　（Ｘ　は　Ｏ，Ｓ，ＮＲ；　Ｒは炭化水素基｝
C09B29/0814	｛Ｎで置換されたもの｝
C09B29/0815	｛−ＣＯ．　．　．　で置換されたもの｝
C09B29/0816	｛−ＣＯＯＲで置換されたもの｝
C09B29/0817	｛置換基として　（【式】）を持つもの｝
C09B29/0819	｛−ＣＯＮ＜　で置換されたもの｝
C09B29/082	｛ハロゲンで置換されたもの｝
C09B29/0821	｛ＳＨ，　ＳＲ，　ＳＯ２Ｒ，　ＳＯ２ＸＲ，　ＳＯ２Ｎで置換されたもの｝
C09B29/0822	｛ＮＯ２で置換されたもの｝
C09B29/0823	｛ＣＮで置換されたもの｝
C09B29/0825	｛（【式】）を持つもの　｝
