F05D2270/821	変位測定手段，例．誘導
F05D2300/00	材料；それらの特性
F05D2300/10	金属，合金または金属間化合物
F05D2300/11	鉄
F05D2300/111	鋳鉄
F05D2300/12	軽金属
F05D2300/121	アルミニウム
F05D2300/122	ベリリウム
F05D2300/123	ホウ素
F05D2300/124	リチウム
F05D2300/125	マグネシウム
F05D2300/13	耐熱金属，すなわち，Ｔｉ，Ｖ，Ｃｒ，Ｚｒ，Ｎｂ，Ｍｏ，Ｈｆ，Ｔａ，Ｗ
F05D2300/131	モリブデン
F05D2300/132	クロム
F05D2300/133	チタン
F05D2300/134	ジルコニウム
F05D2300/135	ハフニウム
F05D2300/14	貴金属，すなわち，Ａｇ，Ａｕ，白金族金属
F05D2300/141	銀
F05D2300/142	金
F05D2300/143	白金族金属，すなわち，Ｏｓ，Ｉｒ，Ｐｔ，Ｒｕ，Ｒｈ，Ｐｄ
F05D2300/1431	パラジウム
F05D2300/1432	ルテニウム
F05D2300/1433	オスミウム
F05D2300/1434	イリジウム
F05D2300/1435	ロジウム
F05D2300/15	希土類金属，例．Ｓｃ，Ｙ，タンタノイド
F05D2300/16	グループＦ０５Ｄ２３００／１１〜Ｆ０５Ｄ２３００／１５に分類されないその他の金属
F05D2300/1602	ヒ素
F05D2300/1604	アンチモン
F05D2300/1606	ビスマス
F05D2300/1608	バリウム
F05D2300/161	マンガン
F05D2300/1612	鉛
F05D2300/1614	錫
F05D2300/1616	亜鉛
F05D2300/1618	水銀
F05D2300/17	合金
F05D2300/171	鋼合金
F05D2300/172	銅合金
F05D2300/1721	青銅
F05D2300/1722	リン青銅合金
F05D2300/1723	ニッケル銅合金，例．モネル
F05D2300/173	アルミニウム合金，例．ＡｌＣｕＭｇＰｂ
F05D2300/174	他に分類されない合金
F05D2300/175	超合金
F05D2300/176	熱安定合金
F05D2300/177	Ｎｉ−Ｓｉ合金
F05D2300/18	金属間化合物
F05D2300/182	金属アルミナイド金属間化合物
F05D2300/20	酸化物または非酸化物セラミックス
F05D2300/21	酸化物セラミックス
F05D2300/2102	ガラス
F05D2300/2104	ＭＩＢＡ
F05D2300/2106	石英
F05D2300/2108	リン
F05D2300/211	シリカ
F05D2300/2112	酸化アルミニウム
F05D2300/2114	サファイア
F05D2300/2116	酸化亜鉛
F05D2300/2118	酸化ジルコニウム
F05D2300/212	チタン酸アルミニウム
F05D2300/22	非酸化セラミック
F05D2300/222	ケイ素
F05D2300/224	炭素，例．黒鉛
F05D2300/226	炭化物
F05D2300/2261	ケイ素のもの
F05D2300/2262	チタンのもの，例．ＴｉＣ
F05D2300/2263	タングステンのもの，例．ＷＣ
F05D2300/228	窒化物
F05D2300/2281	アルミニウムのもの
F05D2300/2282	ホウ素のもの
F05D2300/2283	ケイ素のもの
F05D2300/2284	チタニウムのもの
F05D2300/2285	ジルコニウムのもの
F05D2300/229	硫化物
F05D2300/2291	モリブデンのもの
F05D2300/30	グループＦ０５Ｄ２３００／１０〜Ｆ０５Ｄ２３００／２２９１に分類されないその他の無機材料
F05D2300/40	有機材料
F05D2300/41	皮革
F05D2300/42	セルロース材料，例．木材
F05D2300/43	合成高分子，例．プラスチック；ゴム
F05D2300/431	ゴム
F05D2300/432	ＰＴＦＥ［ポリテトラフルオロエチレン］
F05D2300/433	ポリアミド，例．ナイロン
F05D2300/434	ポリアミド，例．オーラム
F05D2300/436	ポリエーテルエーテルケトン，例．ＰＥＥＫ
F05D2300/437	ケイ素高分子
F05D2300/44	樹脂
F05D2300/48	その他の有機材料
F05D2300/50	材料に固有の特性または特徴
F05D2300/501	弾性
F05D2300/502	熱的特性
F05D2300/5021	膨張性
F05D2300/50211	同様のもの
F05D2300/50212	相違するもの
F05D2300/5023	熱容量
F05D2300/5024	熱伝導率
F05D2300/504	反射特性
F05D2300/505	形状記憶動作
F05D2300/506	硬度
F05D2300/507	磁気的特性
F05D2300/509	自己潤滑材料；固体潤滑剤
F05D2300/51	親水性，すなわち，湿潤であるものまたは湿潤性を備えるもの
F05D2300/512	親水性，すなわち，湿潤でないものまたは非湿潤性を備えるもの
F05D2300/514	多孔性
F05D2300/516	表面粗さ
F05D2300/518	延性
F05D2300/52	半透明性
F05D2300/522	密度
F05D2300/60	処理または製造により材料に付与される特性または特徴
F05D2300/601	布
F05D2300/6012	織物
F05D2300/603	複合物，例．繊維強化物
F05D2300/6031	機能で等級化された複合物
F05D2300/6032	金属基複合材［ＭＭＣ］
F05D2300/6033	セラミック基複合材［ＣＭＣ］
F05D2300/6034	繊維，織り込み，織り角度の配向
F05D2300/604	非結晶性のもの
F05D2300/605	結晶性のもの
F05D2300/606	指向性凝固結晶構造
F05D2300/607	単結晶のもの
F05D2300/608	ミクロ構造
F05D2300/609	粒度
F05D2300/61	シンタクティックな材料，すなわち，基材に埋められた中空球
F05D2300/611	被覆
F05D2300/6111	機能で等級化された被覆
F05D2300/612	発泡体
F05D2300/613	フェルト
F05D2300/614	繊維またはフィラメント
F05D2300/615	充填剤
F05D2300/70	材料の処理または調整
F05D2300/701	熱処理
F05D2300/702	補強
