H05K3/0085	｛Ｈ０５Ｋ３／０２〜Ｈ０５Ｋ３／４６に分類されない液体を用いて印刷回路を処理するための装置；そのための運搬および保持手段（電気部品，例．印刷回路基板，の組立体の製造に特に適した装置Ｈ０５Ｋ１３／００）｝
H05K3/0088	｛孔の処理のためのもの｝
H05K3/0091	｛非金属液体コーティング組成物を用いる印刷回路のコーティングのための装置｝
H05K3/0094	｛メッキ貫通孔またはめくらメッキビアの充填または被覆｝
H05K3/0097	｛２またはそれ以上の印刷回路の同時処理，例．共通の基体から作成されるもの，または一時的に積層された回路基板（Ｈ０５Ｋ３／００５２が優先）｝
H05K3/02	導電性物質が絶縁支持部材の表面に施されその後電流の伝導や遮へいのために使わない部分が表面から取り除かれるもの
H05K3/022	｛印刷回路の前身を作成するための処理，すなわち，同被覆基体｝
H05K3/025	｛一時支承体，例．剥離分離銅，上に形成された薄い金属箔の転写によるもの｝
H05K3/027	｛導電性物質が照射，例．光子，アルファ粒子またはベータ粒子，により除去されるもの｝
H05K3/04	導電性物質が機械的に取り除かれるもの，例．パンチによるもの
H05K3/041	｛導電性物質を切除するためのダイを用いるもの｝
H05K3/043	｛導電性物質をフライス加工または切断加工するための可動ツールを用いるもの｝
H05K3/045	｛浮き上がったパターンをもつ導電層を形成しその後浮き上がった部分を研磨するもの｝
H05K3/046	｛導電性層の選択的転写または選択的剥離によるもの｝
H05K3/048	｛リフトオフによるレジストパターンまたは剥離層のパターンを用いるもの｝
H05K3/06	導電性物質が化学的にまたは電気分解により取り除かれるもの，例．ホトエッチング法｛（セミアディティブ法Ｈ０５Ｋ３／１０８）｝
H05K3/061	｛エッチングマスク｝
H05K3/062	｛金属または合金または金属無機化合物からなるもの（Ｈ０５Ｋ３／０６５が優先）｝
H05K3/064	｛光レジスト｝
H05K3/065	｛電子記録，電子写真記録または磁気記録による方法が適用されるもの｝
H05K3/067	｛エッチング液｝
H05K3/068	｛印刷回路をエッチングする装置｝
H05K3/07	電気分解により除去されるもの
H05K3/08	導電性物質が放電によって取り除かれるもの，例．火花放電の侵食
H05K3/10	導電性物質が希望する導電模様を形成するように絶縁支持部材に施されるもの
H05K3/101	｛導電性物質の鋳造または成型によるもの｝
H05K3/102	｛導電性粉体，すなわち，金属粉体，の接着によるもの（Ｈ０５Ｋ３／１２が優先）｝
H05K3/103	｛導電性のワイヤまたは細片の接着または埋め込みによるもの｝
H05K3/105	｛支承部材上またはその内部の非導電性物質の導電性物質への変換によるもの，例．エネルギービームの使用によるもの｝
H05K3/106	｛写真法によるもの｝
H05K3/107	｛支承部材の溝を導電性物質で埋めることによるもの（Ｈ０５Ｋ３／０４５，Ｈ０５Ｋ３／１０１，Ｈ０５Ｋ３／１２５８およびＨ０５Ｋ３／４６５が優先）｝
H05K3/108	｛セミアディティブ法によるもの；そのためのマスク（金属エッチマスクに特徴のあるものＨ０５Ｋ３／０６２；電気メッキの方法または装置Ｈ０５Ｋ３／２４１）｝
H05K3/12	導電性物質を付着するのに｛厚膜技術，例．｝印刷技術｛または導電性のペーストまたはインクのパターンを付着するための類似技術｝を用いるもの
H05K3/1208	｛印刷回路基板の前処理，例．濡れ性の修正；親和性パターンの使用によるパターン形成（Ｈ０５Ｋ３／１２５８が優先；接着処理Ｈ０５Ｋ３／３８）｝
H05K3/1216	｛スクリーン印刷またはステンシル印刷によるもの｝
H05K3/1225	｛スクリーンまたはステンシル；そのためのホルダー｝
H05K3/1233	｛導電性物質を供給しそれをスクリーンまたはステンシルに押し当てるための方法または手段｝
H05K3/1241	｛分散によるインクジェット印刷または描画によるもの｝
H05K3/125	｛インクジェット印刷によるもの｝
H05K3/1258	｛模様形状，例．溝，窪み，レジスト模様，を備えた基体の使用によるもの｝
H05K3/1266	｛電子記録また磁気記録の印刷によるもの｝
H05K3/1275	｛他の印刷技術，例．凸版印刷，凹版印刷，平版印刷，オフセット印刷，によるもの｝
H05K3/1283	｛印刷された模様の後処理，例．焼結法または硬化法｝
H05K3/1291	｛無機基板上の模様のための比較的高温での焼成または焼結，例．未焼結セラミックシート上での回路の同時焼成｝
H05K3/14	導電性物質を付着するのにスプレ技術を用いるもの，｛例．蒸着｝
H05K3/143	｛そのためのマスク（Ｈ０５Ｋ３／０４８が優先）｝
H05K3/146	｛蒸着によるもの｝
H05K3/16	カソードスパッタリングによるもの
H05K3/18	導電性物質を付着するのに沈でん技術を用いるもの
H05K3/181	｛無電解メッキによるもの（そのための接着剤Ｈ０５Ｋ３／３８７）｝
H05K3/182	｛パターン化の方法に特徴のあるもの｝
H05K3/184	｛マスクを用いるもの｝
H05K3/185	｛写真イメージによる触媒模様の作成によるもの｝
H05K3/187	｛そのための手段，例．液槽，装置｝
H05K3/188	｛直接の電気メッキによるもの｝
H05K3/20	あらかじめ組み立てた導体模様を貼着するもの｛（Ｈ０５Ｋ１／１８７，Ｈ０５Ｋ３／０４６，Ｈ０５Ｋ３／４６５８，Ｈ０５Ｋ３／４６８２が優先）｝
H05K3/202	｛自己支承する金属箔模様を用いるもの｝
H05K3/205	｛金属担体上で電気メッキまたは電鋳される模様を用いるもの｝
H05K3/207	｛事前に組み付けられたペースト模様，インク模様または粉体模様を用いるもの｝
H05K3/22	印刷回路の２次的処理｛（Ｈ０５Ｋ３／１２８３が優先；圧力によって溝に埋め込まれる回路Ｈ０５Ｋ３／１０７）｝
H05K3/222	｛印刷によらないジャンパ接続の追加による印刷回路の完成（印刷ジャンパ接続Ｈ０５Ｋ３／４６８５）｝
H05K3/225	｛印刷回路の修正または修理（Ｈ０５Ｋ１／０２９２，Ｈ０５Ｋ３／２２２，Ｈ０５Ｋ３／２８８，Ｈ０５Ｋ３／４６８５が優先）｝
H05K3/227	｛印刷回路の乾燥｝
H05K3/24	導電模様の補強｛（はんだ被覆によるものＨ０５Ｋ３／３４５７）｝
H05K3/241	｛電気メッキ法に特徴のあるもの；そのための手段，例．液槽または装置｝
H05K3/242	｛印刷回路上の電気メッキによって電気的に接続する部分における一時的な導体の使用に特徴のあるもの｝
H05K3/243	｛選択的メッキに特徴のあるもの，例．パッドの仕上げメッキ（印刷模様を作成するための選択的メッキＨ０５Ｋ３／１０８，Ｈ０５Ｋ３／１８２）｝
H05K3/244	｛導体，特に銅導体，の仕上げメッキ，例．パッドまたはランドのためのもの（選択的メッキの方法Ｈ０５Ｋ３／２４３；印刷技術によって作成された導体の仕上げメッキＨ０５Ｋ３／２４６；仕上げとしてのハンダＨ０５Ｋ３／３４５７，例．メッキによるものＨ０５Ｋ３／３４７３）｝
H05K3/245	｛導体ペースト，インクまたは粉体への印刷技術または他の技術の適用によって作成された導体パターンの強化；そのような技術による他の導体パターンの強化｝
H05K3/246	｛他の方法，例．メッキ，による導体ペースト，インクまたは粉体の強化｝
H05K3/247	｛導体ペースト，インクまたは粉体の使用による導体の仕上げ被覆｝
H05K3/248	｛無機基体のための焼成組成物｝
H05K3/249	｛主成分としてカーボン粒子を含むもの｝
H05K3/26	導電模様の洗浄または研摩
H05K3/28	非金属質の保護被覆を施すこと｛（Ｈ０５Ｋ３／００９１が優先；多層回路を構築するための中間絶縁層のための方法Ｈ０５Ｋ３／４６７３）｝
H05K3/281	｛前もって形作られた絶縁箔によるもの（Ｈ０５Ｋ３／２８４が優先）｝
H05K3/282	｛回路の腐食を防止するためのもの，例．ハンダ付け性を保持するためのもの｝
H05K3/284	｛装着部品を封止するためのもの（Ｈ０５Ｋ１／１８５が優先）｝
H05K3/285	｛永久的被覆組成物｝
H05K3/287	｛感光組成物｝
H05K3/288	｛非金属被覆の除去，例．修理のためのもの｝
H05K3/30	電気部品，例．抵抗器，を印刷回路に取り付けること
H05K3/301	｛取り付け構造によるもの（Ｈ０５Ｋ３／３２５が優先）｝
H05K3/303	｛表面実装部品，例．ハンダ付け前の付着，整列手段，空間保持手段（Ｈ０５Ｋ３／３２が優先）｝
H05K3/305	｛接着剤による付着｝
H05K3/306	｛リード挿通孔部品，例．ハンダ付け前の付着または保持，空間保持手段（Ｈ０５Ｋ３／３２が優先）｝
H05K3/308	｛リードの調節（印刷回路への接続Ｈ０１Ｒ１２／００）｝
H05K3/32	印刷回路に対する電気部品または電線の電気的接続
H05K3/321	｛導電性接着剤によるもの｝
H05K3/323	｛パッドの配列上への異方性導電性接着層の適用によるもの｝
H05K3/325	｛突合せまたは挟持によるもの，すなわち，固溶処理によらないもの；そのための機械的補助部品（プレス嵌め接続のためのリード挿通孔部品の調整Ｈ０５Ｋ３／３０８）｝
H05K3/326	｛印刷回路が一体の弾性を有するまたは変形可能な部品を有するもの，例．可撓性回路のタブまたは部品（Ｈ０５Ｋ３／３６５が優先）｝
H05K3/328	｛溶接によるもの｝
H05K3/34	ハンダ付けによるもの
H05K3/3405	｛端縁装着部品，例．端子｝
H05K3/341	｛表面装着部品｝
H05K3/3415	｛基体の両面上のものまたはリード線挿通孔部品と組み合わされるもの｝
H05K3/3421	｛リード部品｝
H05K3/3426	｛リードに特徴のあるもの｝
H05K3/3431	｛リードなしの部品｝
H05K3/3436	｛底部接点の配列を持つもの，例．パッドの格子状配列またはホールの格子状配列部品｝
H05K3/3442	｛端部接点をもつもの，例．リードなしのチップコンデンサ，チップ担体｝
H05K3/3447	｛リード挿入孔部品（Ｈ０５Ｋ３／３４１５が優先）｝
H05K3/3452	｛ハンダマスク｝
H05K3/3457	｛ハンダの材料または組成；その塗布法｝
H05K3/3463	｛印刷回路基板または実装処理の特徴に関連するハンダ組成｝
H05K3/3468	｛溶融ハンダの塗布｝
H05K3/3473	｛ハンダのメッキ｝
H05K3/3478	｛ハンダの予備成形物の塗布；前もって形成されたハンダ模様の転写｝
H05K3/3485	｛ハンダのペースト，懸濁液または粉体の塗布（導電性のペーストまたはインクのパターンを付着するための厚膜方法Ｈ０５Ｋ３／１２）｝
H05K3/3489	｛フラックスの組成；その塗布法；接触面を活性化するための他の方法｝
H05K3/3494	｛ハンダを再流動させるための加熱方法（熱集積手段を用いるものＨ０５Ｋ１／０２１２）｝
H05K3/36	印刷回路と他の印刷回路の組み合わせ｛（Ｈ０５Ｋ７／１４２が優先）｝
H05K3/361	｛可撓性印刷回路と他の印刷回路の組み合わせ｝
H05K3/363	｛ハンダ付けによるもの｝
H05K3/365	｛突合せによるもの，すなわち，固溶処理によらないもの｝
H05K3/366	｛実質的に互いに垂直なもの（Ｈ０５Ｋ３／３６１が優先）｝
H05K3/368	｛互いに平行なもの（Ｈ０５Ｋ３／３６１が優先）｝
H05K3/38	絶縁基体と金属間の接着の改良
H05K3/381	｛基体の特殊処理によるもの｝
H05K3/382	｛金属の特殊処理によるもの｝
H05K3/383	｛マイクロエッチングによるもの｝
H05K3/384	｛メッキによるもの｝
H05K3/385	｛金属表面の変換，例．酸化，によるもの，変換された層が反応によるものか除去によるものかに関わらず｝
H05K3/386	｛有機物の高分子結合層，例．接着剤，の使用によるものの｝
H05K3/387	｛無電解メッキ用（Ｈ０５Ｋ３／４６６１が優先）｝
H05K3/388	｛金属のまたは無機物の薄膜接着層の使用によるもの｝
H05K3/389	｛結合剤，例．シラン，の使用によるもの｝
H05K3/40	印刷回路への，または印刷回路間の電気的接続のための印刷要素の形成
H05K3/4007	｛表面接点，例．突起（Ｈ０５Ｋ３／４０９２が優先；パッド上の仕上げ層の析出Ｈ０５Ｋ３／２４；ハンダ突起の形成Ｈ０５Ｋ３／３４５７）｝
H05K3/4015	｛補助導電性素子，例．金属箔片，金属球を用いるもの｝
H05K3/403	｛端縁接点；その壁に複数の接続を有する基体における窓または孔（Ｈ０５Ｋ３／４０９２が優先）｝
H05K3/4038	｛貫通接続または垂直相互接続開口［ＶＩＡ］（Ｈ０５Ｋ３／４０３またはＨ０５Ｋ３／４２が優先）｝
H05K3/4046	｛補助導電性素子，例．金属球，狭間，ワイヤ片，を用いるもの｝
H05K3/4053	｛厚膜技術によるもの｝
H05K3/4061	｛無機絶縁基体内でのビア接続のためのもの｝
H05K3/4069	｛有機絶縁基体内でのビア接続のためのもの｝
H05K3/4076	｛薄膜技術によるもの｝
H05K3/4084	｛導電性層の少なくとも一つを変形することによるもの｝
H05K3/4092	｛導電性一体タブ，すなわち，基体から部分的に離される導電性部品｝
H05K3/42	メッキされた貫通孔｛またはメッキされたビア接続｝
H05K3/421	｛めくらメッキされたビア接続（Ｈ０５Ｋ３／４２２，Ｈ０５Ｋ３／４２３およびＨ０５Ｋ３／４２５が優先）｝
H05K3/422	｛無電解メッキ法に特徴のあるもの；そのための前処理｝
H05K3/423	｛電解メッキ法に特徴のあるもの｝
H05K3/424	｛直接電解メッキするもの｝
H05K3/425	｛導電性パターンに関して貫通孔またはビア接続をメッキするための工程に特徴のあるもの｝
