A43B5/06	ランニング用の靴；陸上競技用の靴<br><br><u>警告</u><br><br>グループＡ４３Ｂ５／０６はグループＡ４３Ｂ５／００からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ５／００およびＡ４３Ｂ５／０６はコンプリートサーチの完遂のために考慮されるべきである。
A43B5/08	海水浴用ぐつ；｛水中スポーツ用ぐつ｝
A43B5/10	テニスぐつ
A43B5/12	ダンスぐつ
A43B5/14	自転車用のくつ
A43B5/145	｛オートバイ用のくつ｝
A43B5/16	スケートぐつ
A43B5/1608	｛サイズを調節できるもの（足の大きさに調節できるように２つの部分に分けられたくつ用の特殊な踏み板を有するスケートＡ６３Ｃ１／２６）｝
A43B5/1616	｛インナーブーツ｝
A43B5/1625	｛異なる剛性の材料で作られたもの｝
A43B5/1633	｛多目的スケートぐつ（アイススケートに変換できるローラースケートＡ６３Ｃ１７／１８，歩行用に車輪を固定できるものＡ６３Ｃ１７／２０）｝
A43B5/1641	｛くつ底に特徴があるもの（特殊な踏み板を有するスケートＡ６３Ｃ１／２２）；スケートの取り付けに特徴があるもの（Ａ４３Ｂ５／１６３３が優先；くつ底に固定されたスケートＡ６３Ｃ１／０２）｝
A43B5/165	｛くつ底に換気手段を有するもの｝
A43B5/1658	｛くつ底または筐体とくつ底の間に弾性手段を備えたもの｝
A43B5/1666	｛甲被に特徴のあるもの｝
A43B5/1675	｛甲被に換気手段を有するもの｝
A43B5/1683	｛甲被の下部または外皮に特徴のあるもの｝
A43B5/1691	｛甲被の上部に特徴があるもの，例．足首を取り巻くもの，腰革またはカフスによるもの｝
A43B5/18	取付け可能なスポーツ用のオーバーシューズ
A43B5/185	｛スパイクまたはクリートを覆う底を有するもの｝
A43B7/00	保健または衛生用付属具を有する履物
A43B7/005	｛冷却手段を有するもの｝<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／００５はグループＡ４３Ｂ３／３４への再分類の影響を受ける。<br>グループＡ４３Ｂ７／００５およびＡ４３Ｂ３／３４はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/02	加温装置付きのもの（電気加熱装置付きのものＡ４３Ｂ３／３５）<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／０２はグループＡ４３Ｂ３／３５への再分類の影響を受ける。<br>グループＡ４３Ｂ７／０２およびＡ４３Ｂ３／３５はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/06	換気できるもの
A43B7/08	空気孔，ふたつきまたはふたなしのもの，を有するもの
A43B7/081	｛空気が外部から吹き込まれるもの｝
A43B7/082	｛空気が外部に放出されるもの｝
A43B7/083	ポンプ手段または弁を有するもの
A43B7/084	｛孔の位置に特徴のあるもの｝
A43B7/085	｛甲被｝
A43B7/087	｛くつ底の底部｝
A43B7/088	｛くつ底の側部｝
A43B7/10	閉鎖可能な空気孔を有するもの
