D03D49/42	ひを液圧または気圧で推進するもの
D03D49/44	ひを電気的または磁気的手段で推進するもの
D03D49/46	ひを積極的に押したり引張ったりするもの（移動波状開口織機Ｄ０３Ｄ４７／２６）
D03D49/48	投ひのための位置決め
D03D49/50	他に分類されていないよこ糸のそう入に関する種々の装置または器具
D03D49/52	ひ箱（ひ箱交換Ｄ０３Ｄ４３／００）
D03D49/54	制動手段；スエル
D03D49/56	ひ解放機構，すなわち投ひ前にスエル圧力を減少するもの
D03D49/58	シャットルガード
D03D49/60	スレーの構造または作動
D03D49/62	スレーに取り付けたおさ
D03D49/64	よこ入れ時にスレーを止めるか減速するもの
D03D49/66	レース
D03D49/68	スレーに取付けてないおさとよこ打ちコーム（遊動おさ停止機構Ｄ０３Ｄ５１／４２）
D03D49/70	よこ糸切断装置（よこ糸自動補充装置のよこ糸の切断Ｄ０３Ｄ４５／５０）
D03D51/00	駆動，起動，または停止装置；自動停止機構｛（織機上の布の検査と組み合わされた織機の制御Ｄ０３Ｊ１／００７）｝
D03D51/002	｛開始位置の印の回避｝
D03D51/005	｛独立した駆動モータ（ドビーのための独立した枠の駆動Ｄ０３Ｃ１／１４６，他の開口機構のためのものＤ０３Ｃ１３／０２｝
D03D51/007	｛織機の最適化｝
D03D51/02	駆動機構の装置一般
D03D51/04	手動制御
D03D51/06	停止に関して特別の手段を用いるもの
D03D51/08	織成過程における定位置停止，または停止後にそのような位置に移すもの
D03D51/085	｛欠陥があるよこ糸の摘出｝
D03D51/10	急速停止
D03D51/12	速度調整のためのもの
D03D51/14	速度を一時的に減少するためのもの
D03D51/16	速度を周期的に変化させるためのもの
D03D51/18	自動停止機構
D03D51/20	たて糸停止機構
D03D51/22	機械的なもの
D03D51/24	ドロッパが個々のたて糸または小グループのたて糸群によってつるされているもの
D03D51/26	ディテクタヘルド
D03D51/28	電気的なもの
D03D51/30	ドロッパが個々のたて糸または小グループのたて糸群によってつるされているもの
D03D51/32	ディテクタヘルド
D03D51/34	よこ糸停止機構
D03D51/36	センタウェフトホーク
D03D51/38	サイドウェフトホーク
D03D51/40	ひ停止機構
D03D51/42	遊動おさ機構
D03D51/44	織機機構の不完全な作動に従って働くもの
D03D51/46	開口機構の不完全な作動によるもの
