F21V21/005	端部を連結した複数の照明装置のためのもの，すなわち，ライト・トラック
F21V21/008	ケーブルまたはつり下げ綱でつり下げるもの
F21V21/02	壁用，天井用，床用取付台；ペンダント，またはアームの取付台への固定（Ｆ２１Ｖ２１／０８が優先；移動可能なスタンドランプ取付台Ｆ２１Ｖ２１／０６）
F21V21/025	｛Ｕ字形の断面を有する細長い取付台｝
F21V21/03	天井用取付台，例．天井用ローゼット（Ｆ２１Ｖ２１／０４が優先）
F21V21/04	埋め込み取り付け台
F21V21/041	｛板状の吊り天井パネルまたはパーティション壁に特に適合された取り付け装置（Ｆ２１Ｖ２１／０４７が優先）｝
F21V21/042	｛クランプ手段，例．パネルまたは壁にクランプするもの，を用いるもの｝
F21V21/043	｛ネジ作用によって作動するもの｝
F21V21/044	｛弾性変形要素，例．ばね舌片，によるもの｝
F21V21/045	｛部品の並進，例．押したり引いたりすること，によって張力が掛けられるもの｝
F21V21/046	｛部品の回転によって張力が掛けられるもの｝
F21V21/047	｛天井や壁の穴の内表面に係合する固定手段をもつ取り付け装置，例．剛体壁または盲穴用のもの｝
F21V21/048	｛照明装置を吊り天井の枠組みに固定するための取り付け装置｝
F21V21/049	｛照明装置を吊り天井または天井の延長部に取り付けるための取り付け装置｝
F21V21/06	移動可能なスタンドランプ用取り付け台；支柱の取付け台への取り付け（Ｆ２１Ｖ２１／０８が優先）
F21V21/08	任意の場所に容易に取り付けるための装置
F21V21/0808	｛接着手段｝
F21V21/0816	｛ストラップ固定，例．バックルによる固定｝
F21V21/0824	｛地面スパイク｝
F21V21/0832	｛面ファスナー｝
F21V21/084	頭部用取り付け具
F21V21/088	クリップ；クランプ
F21V21/0885	｛携帯用照明装置用のもの｝
F21V21/092	吸引装置
F21V21/0925	｛携帯用照明装置用のもの｝
F21V21/096	マグネット装置
F21V21/0965	｛携帯用照明装置用のもの｝
F21V21/10	ペンダント，アームまたは支柱；それらのものへの照明装置の取り付け（調整可能な取り付け具Ｆ２１Ｖ２１／１４；照明装置に限られない支柱の構造Ｅ０４Ｈ１２／００）
F21V21/104	ペンダント
F21V21/108	アーム
F21V21/112	ペンダントへの照明装置の取り付け（Ｆ２１Ｖ２１／００２が優先）
F21V21/116	アームまたは支柱への照明装置の取り付け（Ｆ２１Ｖ２１／００２が優先）
F21V21/12	中間部品をそう入または除去することにより伸縮可能なもの
F21V21/13	両端で取付けるスプリングを内蔵したポール
F21V21/14	調整可能な取り付け具
F21V21/145	｛携帯用照明装置用のもの｝
F21V21/15	動力操作に特に適合させたもの，例．リモートコントロールによるもの
F21V21/16	ワイヤまたはコードを用いるもの
F21V21/18	スプリングで操作するもの
F21V21/20	錘で操作するもの
F21V21/22	伸縮自在のもの
F21V21/24	レジートング
F21V21/26	回転するアーム
F21V21/28	一平面以上で調整できるもの
F21V21/29	ユニバーサルジョイントを用いるもの
F21V21/30	回転する外箱またはフレーム
F21V21/32	可とう管
F21V21/34	ガイド部材に沿って移動可能な支持手段｛（照明装置の伸縮自在な取り付けＦ２１Ｖ２１／２２）｝
F21V21/35	ガイド部材に沿った電線と支持手段との間で，直接，電気的接触をするもの
F21V21/36	昇降装置，例．保守用
F21V21/38	ケーブルによるもの
F21V21/40	取っ手
F21V21/403	｛手術用または歯科医師用ランプのためのもの｝
F21V21/406	｛携帯用照明装置用のもの｝
F21V23/00	照明装置内外への電気回路素子の配置｛（冷却手段に特徴のあるものＦ２１Ｖ２９／５０８）｝
F21V23/001	｛素子が電気ワイヤまたはケーブルであるもの｝
F21V23/002	｛ケーブルまたは導体の照明装置内への配置，例．ハウジング部品に沿ったあるいは回転アームにおけるガイド手段｝
F21V23/003	｛素子が光源を作動させるための電子駆動装置または制御器であるもの，例．ＬＥＤアレイ用のもの｝
F21V23/004	｛基板上に配置されるもの，例．印刷回路基板｝
F21V23/005	｛基板が光源も支えるもの｝
F21V23/006	｛基板が光源ホルダーとは異なるもの｝
F21V23/007	｛ケーシングで囲まれたもの｝
F21V23/008	｛ケーシングが照明装置のハウジングの外部にあるもの｝
F21V23/009	｛ケーシングが照明装置のハウジングの内部にあるもの｝
F21V23/02	素子が変圧器，インピーダンス｛または電源ユニット，例．整流器を用いる変圧器｝，であるもの
F21V23/023	｛ケーシング内に電源があるもの（Ｆ２１Ｖ２３／００３が優先）｝
F21V23/026	｛変圧器またはバラストの固定｝
F21V23/04	素子がスイッチであるもの（保安装置Ｆ２１Ｖ２５／００）
F21V23/0407	｛閃光用のもの｝
F21V23/0414	｛携帯用照明装置と共に使用するように特に適合させたもの｝
F21V23/0421	｛スイッチがテールキャップ部の一部をなすもの，またはそのテールキャップ部に配置されたもの｝
F21V23/0428	｛スイッチがランプヘッド部の一部をなすもの，またはそのランプヘッド部に配置されたもの｝
F21V23/0435	｛リモートコントロール手段で作動するもの｝
F21V23/0442	｛センサー手段により作動するもの，例．移動または光検出器｝
F21V23/045	｛センサーが遠隔制御器からの信号を受信するもの｝
F21V23/0457	｛センサーが照明装置の作動状態を感知するもの，例．光源の故障を検出するものまたは装置にフィードバックするもの｝
F21V23/0464	｛センサーが周辺の照明レベルを感知するもの，例．夜明けまたは日暮れのセンサー｝
F21V23/0471	｛センサーが物体または人間の近接，存在または移動を検出するもの｝
F21V23/0478	｛画像記録装置，例．カメラ，によるもの｝
F21V23/0485	｛センサーが利用者と照明装置の位置する所定の区域との間の物理的相互作用を感知するもの，例．タッチセンサー｝
F21V23/0492	｛センサーが照明装置の方向の変化，移動または加速を検出するもの｝
F21V23/06	素子が結合装置，｛例．コネクタ｝，であるもの
F21V25/00	照明装置に組み込まれた保安装置（気密または水密装置Ｆ２１Ｖ３１／００；一般Ｆ１６Ｐ；保護回路装置自体Ｈ０２Ｈ７／００）
F21V25/02	照明装置が故障，脱落または破壊した時に動作するもの
F21V25/04	電気回路のしゃ断
F21V25/06	光源への消火液の供給
F21V25/08	白熱フィラメントの切断
F21V25/10	照明装置が過負荷になると作動するもの，例．サーマルスイッチ
F21V25/12	防炎または防爆装置
F21V25/125	｛膨張物質を用いるもの，すなわち熱にさらされることで膨張する物質を用いるもの｝
F21V27/00	照明器具に組み込まれたケーブル収納手段，例．リール｛（長いケーブルの保管一般Ｂ６５Ｈ；照明装置が車両のヘッドランプであるものＦ２１Ｓ４１／１９２；照明装置が車両照明であるものＦ２１Ｓ４３／１９５）｝
F21V27/005	｛携帯用照明装置用のもの｝
F21V27/02	ケーブル収納口
F21V29/00	熱的損傷からの照明装置の防護；照明装置またはシステムに特に適合した冷却または加熱手段（空気処理システム用の吹出口と組み合わされた照明器具Ｆ２４Ｆ１３／０７８）
F21V29/10	熱的損傷を減少するための発熱部品の配置，例．保護すべき部品から距離を置いて発熱部品を配置することによるもの
F21V29/15	断熱
F21V29/50	冷却手段（照明器具の熱を放散または使用する空気処理システムＦ２４Ｆ３／０５６）
F21V29/502	特定部品の冷却に特徴のあるもの
F21V29/503	光源の冷却（ガス放電または蒸気放電ランプと構造的に関連する冷却装置Ｈ０１Ｊ６１／５２；電気発熱灯と構造的に関連する冷却装置Ｈ０１Ｋ１／５８；発光ダイオードと構造的に関連する冷却装置Ｈ０１Ｌ３３／６４）
F21V29/504	屈折器の冷却
F21V29/505	反射器の冷却
F21V29/506	グローブ，ボールまたはおおいガラスの冷却
F21V29/507	照明装置の防護手段，例．ハウジング，の冷却
F21V29/508	電気回路の冷却
F21V29/51	流体の凝縮または蒸発を使用するもの，例．ヒートパイプ
F21V29/52	電気駆動のもの
F21V29/54	熱電手段を使用するもの，例．ペルチェ素子
F21V29/56	冷却液を使用するもの（Ｆ２１Ｖ２９／５１が優先）
F21V29/57	制御手段に特徴のあるもの
