F15B15/1409	｛２以上の独立して可動な作動ピストンをもつもの｝
F15B15/1414	｛非回転ピストンをもつもの｝
F15B15/1419	｛非円形断面のもの｝
F15B15/1423	｛構成要素部品；構造的細部｝
F15B15/1428	｛シリンダ（Ｆ１５Ｂ１５／１４３８が優先）｝
F15B15/1433	｛エンドキャップ（Ｆ１５Ｂ１５／１４３８が優先）｝
F15B15/1438	｛シリンダとエンドキャップの組立体｝
F15B15/1442	｛エンドキャップのシール｝
F15B15/1447	｛ピストン；ピストンとピストンロッドの組立体｝
F15B15/1452	｛ピストンのシール｝
F15B15/1457	｛ピストンロッド（Ｆ１５Ｂ１５／１４４７が優先）｝
F15B15/1461	｛ピストンロッドのシール｝
F15B15/1466	｛シリンダ内で静止ロッド上をスライドする中空ピストン｝
F15B15/1471	｛エンドキャップの内以外に設けられた案内手段（Ｆ１５Ｂ１５／１４６６が優先）｝
F15B15/1476	｛特別な復帰手段｝
F15B15/148	｛ピストンと出力部材との間にある空動手段｝
F15B15/1485	｛冷却または加熱のための特別な手段｝
F15B15/149	｛流体の相互接続，例．流体コネクタ，流路｝
F15B2015/1495	｛ピストンに取り付けられたねじ機構をもつもの｝
F15B15/16	入れこ形
F15B15/165	｛セクションの同期化をともなうもの｝
F15B15/17	差動ピストン形
F15B15/18	ポンプおよびモータを含む結合ユニット
F15B15/19	火薬式アクチュエータ
F15B15/20	その他の細部，｛例．調速装置をもつ組立体｝
F15B15/202	｛アクチュエータの内部または外部に搭載される外部操作弁｝
F15B15/204	｛外部制御なしにピストン速度または作動力を制御する手段，例．ピストン内部の制御弁（Ｆ１５Ｂ１１／０２，Ｆ１５Ｂ１５／２２が優先）｝
F15B2015/206	｛結合された動作，例．電気および流体作動のもの｝
F15B2015/208	｛特別な流体加圧手段，例．熱的または電解質｝
F15B15/22	行程の加速または減速のためのもの
F15B15/221	｛行程を加速させるためのもの，例．領域の増大によるもの｝
F15B15/222	｛ピストンが終端位置に近づくにつれて流体の主たる流出口を絞り込むピストン凸部またはピストン凹部をもつピストンを有するもの｝
F15B15/223	｛ピストンが終端位置に近づくにつれて流体の主たる流出口を完全に閉鎖するピストン凸部またはピストン凹部をもつピストンを有するもの｝
F15B15/224	｛それ自身の運動によってシリンダ内径の流体流出口を閉鎖するピストンを有するもの｝
F15B15/225	｛ピストン端面またはシリンダ壁に接触することにより操作されるバルブ軸部をもつもの｝
F15B15/226	｛弾性要素，例．ばね，ゴムパッド，を有するもの｝
F15B15/227	｛主ピストン内またはシリンダ端面内に補助クッションピストンを有するもの｝
F15B15/228	｛アクチュエータのハウジングの外部に取り付けられ緩衝器を有するもの｝
F15B15/24	行程を制限するためのもの
F15B15/26	ロック機構
F15B15/261	｛終端位置でロックをするために明確な相互結合，例．球および溝，を用いるもの｝
F15B15/262	｛摩擦を用いるもの，例．ブレーキパッド｝
F15B15/264	｛ピストンに取り付けられたねじ機構｝
F15B15/265	｛ロッドなしのピストンまたは溝付きのシリンダに特に適合されたもの｝
F15B2015/267	｛手動でのロックまたは解除｝
F15B2015/268	｛アクチュエータへの与圧と無関係に行われるロックまたは解除のための流体供給｝
F15B15/28	位置，例．行程端，を表示するための手段
F15B15/2807	｛位置スイッチ，すなわち不連続な位置のみを検知する手段，例．リミットスイッチ｝
F15B15/2815	｛位置検知，すなわち位置の連続的な計測のための手段，例．ＬＶＤＴ｝
F15B15/2823	｛ピストンに取り付けられたねじ機構によるもの｝
F15B15/283	｛ドラムに巻き付けられ，ピストンに取付けられたケーブルを用いるもの｝
F15B15/2838	｛位置センサを用いないもの，例．容積流量の計測またはポンプ速度によるもの｝
F15B15/2846	｛マーキング，例．ピストンロッド上のマーキング，の検出を用いるもの｝
F15B15/2853	｛ポテンショメータを用いるもの｝
F15B15/2861	｛磁気的手段を用いるもの｝
F15B15/2869	｛電磁気的放射，例．レーダまたはマイクロ波，を用いるもの｝
F15B15/2876	｛光学的手段，例．レーザ，を用いるもの｝
F15B15/2884	｛音，例．超音波，を用いるもの｝
F15B15/2892	｛取付け手段に特徴のあるもの｝
F15B17/00	テレモータとサーボモータ系との組み合わせ
F15B17/02	テレモータがサーボモータの制御部材を作動するもの
F15B18/00	独立したサーボモータ系の並列配置
F15B19/00	試験；｛較正；故障の検知または監視｝；他に分類されない流体圧アクチュエータの系または装置｛のシミュレーションまたはモデリング｝
F15B19/002	｛較正｝
F15B19/005	｛故障の検知または監視｝
F15B19/007	｛シミュレーションまたはモデリング｝
F15B20/00	流体アクチュエータ系用の安全装置；流体アクチュエータ系における安全装置の適用；流体アクチュエータ系用の非常用装置
F15B20/001	｛両手を同時に使うことが必要な二重弁｝
F15B20/002	｛電気的故障｝
F15B20/004	｛流体圧供給の故障｝
F15B20/005	｛漏洩；流出；ホースの破裂｝
F15B20/007	｛過負荷｝
F15B20/008	｛弁の故障｝
F15B21/00	流体アクチュエータ系の一般的特徴；このサブクラスの他のいずれのグループにも包含されない流体圧系またはその細部
F15B21/001	｛流体性制御をもつサーボモータ系｝
F15B21/003	｛互いに異なるが互換性のある構成部品，例．組立済みのユニットを用いるもの，による系｝
F15B21/005	｛流体系の充填または排出｝
F15B21/006	｛雰囲気圧力の変動の補償または回避｝
F15B21/008	｛騒音または振動の低減｝
F15B21/02	記憶装置または時限装置によるプログラム制御をもつサーボモータ系；そのための制御装置
F15B21/04	流体の特性に関連して用いられる特殊な手段
F15B21/041	固体または液体の汚染物の除去または測定，例．ろ過
F15B21/042	流体温度の制御
F15B21/0423	冷却
F15B21/0427	加熱
F15B21/044	未溶解ガスの除去または測定，例．脱気，通気または抽気
F15B21/045	粘度または温度の変動の補償
F15B21/047	発泡，かくはんまたはキャビテーションの防止
F15B21/048	圧縮空気準備のための装置，例．エアドライヤ，エアコンデンサ，フィルタ，ルブリケータまたはレギュレータを含むもの
F15B21/06	特殊流体の使用，例．液体金属；このような流体を用いるための流体圧系の特殊な応用またはそのための要素の制御
F15B21/065	｛電子または磁気感応流体，例．電気粘性流体，の使用｝
F15B21/08	電気的に作動する制御手段を含むサーボモータ系（Ｆ１５Ｂ２１／０２，｛Ｆ１５Ｂ２１／０６５｝が優先）
F15B21/082	｛異なるモードをもつもの｝
F15B21/085	｛データバス，例．ＣＡＮＢＵＳ，を用いるもの｝
F15B21/087	｛制御戦略，例．ブロックダイアグラムをもつもの｝
F15B21/10	遅延用機器または配列
F15B21/12	流体発振器またはパルス発生機
F15B21/125	｛回転する弁によるもの｝
F15B21/14	エネルギー回収手段
F15B2201/00	アキュムレータ
F15B2201/20	アキュムレータの緩衝手段
F15B2201/205	気体を用いるもの
F15B2201/21	ばねを用いるもの
F15B2201/215	重りを用いるもの
F15B2201/22	弾性ハウジングを用いるもの
F15B2201/30	アキュムレータの分離手段
F15B2201/305	分離手段のないもの
