B31B50/59	圧力をかけてシート材を成形するもの（おりたたみによるものＢ３１Ｂ５０／２６；エンボス加工によるものＢ３１Ｂ５０／８８）<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／５９はグループＢ３１Ｂ５０／００からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／００およびＢ３１Ｂ５０／５９はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/592	｛穴あけまたは金型を用いるもの｝
B31B50/594	｛筒状の箱，紙製のびんの首部の形状の変更｝
B31B50/60	向かい合う面または端縁を結合するもの；テープを貼ること<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６０はグループＢ３１Ｂ５０／６１〜Ｂ３１Ｂ５０／７３４への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/61	｛熱可塑性材料の注入による対向する端縁の結合｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６１はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／６０およびＢ３１Ｂ５０／６１はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/62	接着剤によるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６２〜Ｂ３１Ｂ５０／６２６はグループＢ３１Ｂ５０／６０およびＢ３１Ｂ５０／６４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/622	｛既に形成された箱上への接着剤の適用｝
B31B50/624	｛ブランク上への接着剤の適用｝
B31B50/626	｛接着剤の設置を許可するための配置｝
B31B50/64	熱または圧力を加えることによるもの，例．溶着（接着剤が塗布された領域を結合するために行うものＢ３１Ｂ５０／６２）<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６４ はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／６４もまたグループＢ３１Ｂ５０／６２，Ｂ３１Ｂ５０／６２２，Ｂ３１Ｂ５０／６２４，Ｂ３１Ｂ５０／６２６，およびＢ３１Ｂ５０／６６への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/642	｛密封顎または密封型を用いるもの｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６４２〜Ｂ３１Ｂ５０／６４９はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/644	｛移動の方向に平行な密封，すなわち，長手方向の密封，の作成｝
B31B50/645	｛移動の方向に直交する密封の作成｝
B31B50/648	｛ベルトまたはチェーン上に取り付けられた道具を用いるもの｝
B31B50/649	｛ドラム上に取り付けられた道具を用いるもの｝
B31B50/66	高周波電気で加熱することによるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６６はグループＢ３１Ｂ５０／６０およびＢ３１Ｂ５０／６４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／６０，Ｂ３１Ｂ５０／６４およびＢ３１Ｂ５０／６６はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/68	縫いとじ，ステープル留めまたはリベット留めによるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／６８〜Ｂ３１Ｂ５０／７０はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/682	｛箱の底フラップの閉鎖のためのもの，または箱体への底またはキャップの固定のためのもの｝
B31B50/684	｛筒状ブランクを形成するための折りたたまれたブランクの重なり合う端縁を接続するためのもの｝
B31B50/686	｛ヒンジ止めされたカバーを箱に取り付けるためのもの｝
B31B50/70	角をステープル留めするもの
B31B50/72	ストリップまたはシートを当てることによるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７２〜Ｂ３１Ｂ５０／７２６はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/722	｛既に形成された箱上へのもの｝
B31B50/724	｛組み立てられた箱の角部へのテープの適用，例．組み立てを含むもの｝
B31B50/726	｛折りたたまれた箱の向かい合う端縁を結合するためのもの｝
B31B50/73	一体部分を機械的に結合することによるもの，例．舌片およびみぞ穴によるもの（折りたたみ用の型内を動くプランジャにより折りたたみ中に側壁を互いに連結するものＢ３１Ｂ５０／４６）
B31B50/732	｛固定フラップを折りたたみまたは押し込むことによるもの｝
B31B50/734	｛舌片とみぞ穴とのかみ合わせ｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７３〜Ｂ３１Ｂ５０／７３４はグループＢ３１Ｂ５０／６０からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/74	補助的な操作<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７４はグループＢ３１Ｂ５０／７４１〜Ｂ３１Ｂ５０／９８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/741	｛吸湿；乾燥；冷却；加熱；殺菌｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７４１はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／７４１およびＢ３１Ｂ５０／７４はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/742	｛被覆：浸透；耐水；装飾｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７４１およびＢ３１Ｂ５０／７４はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/743	｛端縁または角部の被覆または浸透｝
B31B50/745	｛形成された箱の被覆または浸透｝
B31B50/747	｛ブランクまたはウェブの被覆または浸透｝
B31B50/75	｛浴槽への浸漬によるもの｝
B31B50/753	｛噴霧によるもの｝
B31B50/756	｛箱の内部のみ｝
B31B50/76	平たくされた製品をひらき，張り広げるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／７６はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／７６およびＢ３１Ｂ５０／７４はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/78	機械的に
B31B50/782	｛互いに対抗する折りたたまれたブランクの対向端縁を押すことによるもの｝
B31B50/784	｛上方に面する開口をもつ箱の組立てのためのもの｝
B31B50/786	｛折りたたまれるブランクに開口を行う指状部材を導入することによるもの｝
B31B50/787	｛回転する指状部材；互いに相対的に移動する２以上の指状部材｝
B31B50/788	｛ブランクの変形しない保持具，例．ドラム上またはチェーン上のもの，への導入によるもの｝
B31B50/80	空気圧によって
B31B50/802	｛上方に面する開口をもつ箱の組立てのためのもの｝
B31B50/804	｛回転要素上の２以上の吸引装置を用いるもの｝
B31B50/81	付属品，例．開封装置，閉鎖具または裂き糸，を形成するまたは取付けるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８１はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／８１もまたグループＢ３１Ｂ５０／８４への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/811	｛細長い片，紐状体，紐または同様の形成された箱の端縁の装飾の適用｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８１１〜Ｂ３１Ｂ５０／８１４４はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/812	｛ブランクまたはウェブ上へのタブ，パッチ，細長い片または紐の適用｝
B31B50/8121	｛箱ブランクの角部へのタブの適用｝
B31B50/8122	｛パッチの適用｝
B31B50/8123	｛ブランクがパッチの適用中に静止しているもの｝
B31B50/8124	｛パッチがマガジンから取り出されるもの｝
B31B50/8125	｛細長い片または紐，例．引裂き用の細長い片または引裂き用のひも，の適用｝
