B65H5/305	｛折り畳まれたシートを開放するための回転手段を含むもの (Ｂ６５Ｈ５／３０８が優先)｝
B65H5/306	｛２つの対向する回転手段であって，片方だけが把持手段を有するもの｝
B65H5/307	｛２つの対向する回転手段であって，両方とも把持手段を有するもの｝
B65H5/308	｛吊下げ位置で移動する折り畳まれたシートまたは折丁｝
B65H5/32	部分的に拡開されたシートまたは折帖を折帖収集機，縫綴機または同様の機械へ供給する鞍状部材
B65H5/34	受入機に関連する送り位相の変換
B65H5/36	物品の案内具または平滑具，例．作用中に移動可能のもの
B65H5/38	作動中に移動不能のもの
B65H7/00	不正確な供給，物品の欠乏，または不良物品の存在を考慮して，物品の供給，分離，堆積物の供給，または関連した装置の制御
B65H7/02	感知器または検出器によるもの
B65H7/04	物品の欠乏，例．堆積物の出し尽し，に応答するもの（Ｂ６５Ｈ７／１４が優先）
B65H7/06	不良物品の存在または分離不良，または供給に応答するもの（Ｂ６５Ｈ７／１４が優先）
B65H7/08	不良前部整合器に応答するもの
B65H7/10	不良側部整合器に応答するもの（ウエブの横方向整合器の制御Ｂ６５Ｈ２３／０３２）
B65H7/12	二重の供給または分離に応答するもの
B65H7/125	｛物品に接触しないで二重供給または分離を検知するもの｝
B65H7/14	光電式感知器または検出器によるもの
B65H7/16	空気式分離装置への空気供給の制御
B65H7/18	分離装置の作動の変更または停止
B65H7/20	関連する装置の制御
B65H9/00	物品の整合，例．整列；そのための装置
B65H9/002	｛前進手段の動作を制御するだけで，すなわち，停止または位置合せ壁を使用しないでシートの方向を変化させるもの｝
B65H9/004	｛停止部に対して突き合わせることにより，すなわち，シートの座屈を発生させることによりシートをデスキューするもの｝
B65H9/006	｛待機時に前進手段によって形成される停止部｝
B65H9/008	｛前進手段を逆転させることによって形成される停止部｝
B65H9/02	ゲージピン
B65H9/04	固定または調節可能の停止装置またはゲージ（ゲージピンＢ６５Ｈ９／０２）
B65H9/06	移動可能の停止装置またはゲージ，例．前部停止装置を昇降するもの
B65H9/08	整合点に物品を保持するための保持装置，例．フィンガー，針，吸引
B65H9/10	押し具および同様の移動可能の整合器；整合点へ物品を移動させる押し具または挟持装置．<br><br><u>｛注</u><br><br>グループＢ６５Ｈ９／１０からＢ６５Ｈ９／１０８については，これらのグループと区別するためにグループ名のあとに正の符号（＋）をつけ，加えてＬを付与することでその装置が第一の向きに沿った整合位置に位置する物品を，第一の向きと垂直な第二の向きに沿った整合位置に移動させる，例．横方向の整合，装置であることを示す｝
