G11C5/00	Ｇ１１Ｃ１１／００に分類される記憶装置の細部
G11C2013/0076	｛読み出し結果に基づいて実行される書き込み｝
G11C2013/0078	｛セルを流れる電流量による書き込み｝
G11C2013/008	｛記憶材料の周囲に熱を発生させることによる書き込み，例．熱書き込み｝
G11C2013/0083	｛初期化，フォーミングプロセス，電子フォーミング，条件付けを実行するための書き込み｝
G11C2013/0085	｛１ページまたは１セクタ，例．１行分，１ワード線分の同時書き込み｝
G11C2013/0088	｛複数のセルの同時書き込み｝
G11C2013/009	｛セル電極間に電位差を印加することによる書き込み｝
G11C2013/0092	｛書き込みパルスの形状，例．形，幅，高さによって特徴付けられた書き込み｝
G11C2013/0095	｛熱効果による歪み，例，ピエゾエレクトリックを用いる書き込み｝
G11C13/0097	｛消去，例．リセットの回路または方法｝
G11C13/02	動作が化学変化に基づく素子を使用するもの（電気化学チャージを利用するものＧ１１Ｃ１１／００）
G11C13/025	｛フラーレンを使用するもの，例．Ｃ６０，またはナノチューブ，例．カーボンナノチューブまたはシリコンナノチューブ｝
G11C13/04	光学的素子を使用するもの，その他のビームアクセス素子を使用するもの，例．電子，イオンビーム（電荷蓄積管を使用するものＧ１１Ｃ１１／２３；テレビジョン信号の記録Ｈ０４Ｎ５／７６）
G11C13/041	｛ホトクロミック記憶素子を使用するもの（Ｇ１１Ｃ１３／０４２が優先）｝
G11C13/042	｛干渉縞の形で記憶される情報を使用するもの（ホログラム，リップマン；ホログラフィＧ０３Ｈ，Ｇ０２Ｂ５／３２）｝
G11C13/043	｛磁気光記憶素子を使用するもの｝
G11C13/044	｛電気光学素子を使用するもの｝
G11C13/045	｛ホトクロミック記憶素子を使用するもの｝
G11C13/046	｛干渉縞の形で記憶される情報を使用するもので，その他の記憶素子を使用するもの｝
G11C13/047	｛電気光学素子を使用するもの（Ｇ１１Ｃ１３／０４２が優先）｝
G11C13/048	｛その他の記憶素子を使用するもの｝
G11C13/06	磁気―光学素子を使用するもの（磁気―光学装置一般Ｇ０２Ｆ，Ｇ１１Ｃ１３／０４２が優先）
