A63F1/00	カードゲーム
A63F7/38	遊技中揺動自在な遊技面盤
A63F7/382	
A63F2007/384	
A63F7/386	
A63F7/388	
A63F7/40	ボールまたは他の遊技動体，例．ピンボール，円盤
A63F2007/4006	
A63F2007/4012	
A63F2007/4018	
A63F2007/4025	
A63F2007/4031	
A63F2007/4037	
A63F2007/4043	
A63F2007/405	
A63F2007/4056	
A63F2007/4062	
A63F2007/4068	
A63F2007/4075	
A63F2007/4081	
A63F2007/4087	
A63F2007/4093	
A63F9/00	その他の各種ゲーム　｛他に分類されないもの｝；このサブクラスに含まれるゲームのために一般的に使用される付属品
A63F9/0001	｛障害者，盲目または寝たきりの人に特に適したゲーム｝
A63F2009/0003	特に盲目または弱視の人用に適したゲーム
A63F2009/0004	点字の使用
A63F2009/0006	
A63F2009/0007	治療効果があるゲーム
A63F2009/0009	寝ている人のための設備を有するもの
A63F9/001	｛他の対象物と接続，または結合しているゲームまたは玩具；玩具またはゲームとしての二次使用を伴う対象物｝
A63F2009/0012	他の対象物が容器であるもの
A63F2009/0013	瓶（カップＡ６３Ｆ２００９／００５３）
A63F2009/0015	閉止体，例．ポグ，ミルクキャップゲーム，キャップディスクゲーム，　フリッポ
A63F2009/0016	ラベル
A63F2009/0018	ペンまたは鉛筆を保持する手段
A63F2009/002	ハンガーとして使用されるものまたはハンガーに接続されるもの；装身具または貴金属宝石類
A63F2009/0021	ブレスレット，手首着けるもの
A63F2009/0023	衣服に接続するための備えを有するもの
A63F2009/0024	ベルトに接続するための備えを有するもの
A63F2009/0026	はちまき
A63F2009/0027	キーハンガー
A63F2009/0029	ネックレス
A63F2009/003	輪状なもの
A63F2009/0032	壁に掛けるための備えを有すもの
A63F2009/0033	展示または装飾装置
A63F2009/0035	台座またはスタンドの上に
A63F2009/0036	本または雑誌と組合わせたもの
A63F2009/0038	百科事典
A63F2009/0039	説明書または練習帳；案内
A63F2009/0041	電気的形態，例．ビデオ
A63F2009/0043	雑誌または新聞
A63F2009/0044	絵はがき
A63F2009/0046	切手をはったもの
