C09J175/00	ポリ尿素またはポリウレタンに基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J175/02	ポリ尿素
C09J175/04	ポリウレタン
C09J175/06	ポリエステルからのもの
C09J175/08	ポリエーテルからのもの
C09J175/10	ポリアセタールからのもの
C09J175/12	窒素および活性水素を含み該窒素原子がイソシアネート基の一部でない化合物からのもの
C09J175/14	炭素―炭素不飽和結合をもつポリウレタン
C09J175/16	炭素―炭素不飽和結合を末端にもつもの
C09J177/00	カルボン酸アミド結合を主鎖中に形成する反応により得られるポリアミドを基にした接着剤（ポリヒドラジドを基にしたものＣ０９Ｊ１７９／０６；ボリアミド−イミドを基にしたものＣ０９Ｊ１７９／０８）；そのような重合体の誘導体を基にした接着剤
C09J177/02	ω―アミノカルボン酸またはそのラクタムから誘導されたポリアミド（Ｃ０９Ｊ１７７／１０が優先）
C09J177/04	α―アミノカルボン酸から誘導されたポリアミド（Ｃ０９Ｊ１７７／１０が優先）
C09J177/06	ポリアミンおよびポリカルボン酸から誘導されたポリアミド（Ｃ０９Ｊ１７７／１０が優先）
C09J177/08	ポリアミンおよび重合不飽和脂肪酸からのもの
C09J177/10	アミノカルボン酸またはポリアミンおよびポリカルボン酸の芳香族結合アミノ基および芳香族結合カルボキシル基から誘導されたポリアミド
C09J177/12	ポリエステル―アミド
C09J179/00	グループＣ０９Ｊ１６１／００からＣ０９Ｊ１７７／００に属さない，主鎖に酸素または炭素を含みまたは含まずに窒素を含む結合を形成する反応によって得られる高分子化合物に基づく接着剤
C09J179/02	ポリアミン
C09J179/04	主鎖に窒素含有複素環を有する重縮合体；ポリヒドラジド；ポリアミド酸または類似のボリイミド前駆物質
C09J179/06	ポリヒドラジド；ポリトリアゾール；ポリアミノトリアゾール；ポリオキサジアゾール
C09J179/08	ポリイミド；ポリエステル―イミド；ポリアミド―イミド；ポリアミド酸または類似のポリイミド前駆物質
C09J179/085	｛不飽和ポリイミド前駆体｝
C09J181/00	主鎖のみに，窒素，酸素または炭素を含みまたは含まずにいおうを含む結合を形成する反応によって得られる高分子化合物に基づく接着剤；ポリスルホンに基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J181/02	ポリチオエーテル；ポリチオエーテル―エーテル
C09J181/04	ポリスルフィド
C09J181/06	ポリスルホン；ボリエーテルスルホン
C09J181/08	ポリスルホネート
C09J181/10	ポリスルホンアミド；ポリスルホンイミド
C09J183/00	主鎖のみに，いおう，窒素，酸素または炭素を含みまたは含まずにけい素を含む結合を形成する反応によって得られる高分子化合物に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J183/02	ポリシリケート
C09J183/04	ポリシロキサン
C09J183/06	酸素含有基に結合したけい素を含むもの（Ｃ０９Ｊ１８３／１２が優先）
C09J183/08	炭素，水素および酸素以外の原子を含む有機基に結合したけい素を含むもの
C09J183/10	ポリシロキサン連鎖を含むブロックまたはグラフト共重合体（ポリシロキサンに炭素―炭素二重結合をもつ化合物を重合することによって得られるものＣ０９Ｊ１５１／０８，Ｃ０９Ｊ１５３／００）
C09J183/12	ポリエーテル連鎖を含むもの
C09J183/14	少なくとも二個だが全てではないけい素原子が酸素原子以外の結合によって結合されているもの（Ｃ０９Ｊ１８３／１０が優先）
C09J183/16	すべてのけい素原子が酸素原子以外の結合によって結合されているもの
C09J185/00	主鎖に，けい素，いおう，窒素，酸素および炭素以外の原子を含む結合を形成する反応によって得られる高分子化合物に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J185/02	りんを含むもの
C09J185/04	ほう素を含むもの
C09J187/00	炭素―炭素不飽和結合のみが関与する重合反応以外の反応によって得られる不特定の高分子化合物に基づく接着剤
C09J187/005	｛グループ　Ｃ０９Ｊ１０１／００からＣ０９Ｊ１８５／０４に含まれないブロツクまたはグラフト共重合体｝
C09J189/00	蛋白質に基づく接着剤；その誘導体に基づく接着剤（食品の調製Ａ２３Ｊ３／００）
C09J189/005	｛カゼイン｝
C09J189/02	カゼイン―アルデヒド縮合物
C09J189/04	廃材料，例．角，ひづめ，毛髪から誘導されるもの
C09J189/06	皮革または皮膚から誘導されるもの
C09J191/00	油，脂肪またはワックスに基づく接着剤，その誘導体に基づく接着剤（つや出し組成物，スキーワックスＣ０９Ｇ；石けん，洗浄剤組成物Ｃ１１Ｄ）
C09J191/005	｛乾性油｝
C09J191/02	加硫油，例．ファクチス
C09J191/04	リノキシン
C09J191/06	ワックス
C09J191/08	ミネラルワックス
C09J193/00	天然樹脂に基づく接着剤；その誘導体に基づく接着剤（つや出し組成物Ｃ０９Ｇ）
C09J193/02	シェラック
C09J193/04	ロジン
C09J195/00	瀝青質材料，例．アスファルト，タール，ピッチに基づく接着剤
C09J195/005	｛水性組成物，例．エマルジョン｝
C09J197/00	リグニン含有材料に基づく接着剤
C09J197/002	｛泥炭，亜炭，石炭（ブリケツト　Ｃ１０Ｌ５／００；　泥炭の処理　１０Ｃ；　炭素または炭化物に基づくセラミック製品８０ＢＦ４Ｂ）｝
C09J197/005	｛リグニン｝
C09J197/007	｛コルク｝
C09J197/02	リグノセルロース材料，例．木材，麦わら，バガス
C09J199/00	グループＣ０９Ｊ１８９／００からＣ０９Ｊ１９７／００に属さない天然高分子化合物またはその誘導体に基づく接着剤
C09J201/00	不特定の高分子化合物に基づく接着剤
C09J201/005	｛樹脂状高分子｝　　
C09J201/02	特定の基の存在によって特徴づけられるもの　｛例．末端またはペンダント官能基｝　
C09J201/025	｛窒素原子を含むもの｝　
C09J201/04	ハロゲン原子を含むもの
C09J201/06	酸素原子を含むもの　｛（Ｃ０９Ｊ２０１／０２５　が優先）｝　
C09J201/08	カルボキシル基
C09J201/10	加水分解可能なシラン基を含むもの
C09J2203/00	
C09J2203/102	
C09J2203/302	
C09J2203/306	
C09J2203/31	
C09J2203/314	
C09J2203/318	
C09J2203/322	
C09J2203/326	
C09J2203/33	
C09J2203/334	
C09J2203/338	
C09J2203/342	
C09J2203/346	
C09J2203/35	
C09J2203/354	
C09J2203/358	
C09J2203/362	
C09J2203/366	
C09J2203/37	
C09J2301/00	
C09J2301/10	
C09J2301/12	
C09J2301/122	
C09J2301/124	
C09J2301/1242	
C09J2301/16	
C09J2301/162	
C09J2301/18	
