B60T8/86	ブレーキが速度条件により自動的に加圧され，スキッド状態の発生により自動ブレーキ装置に優先する装置を有するもの
B60T8/88	作動不良応答装置，すなわち．速度応答制御装置の作動不良を検知しそれを表示する装置，を有するもの
B60T8/885	｛電気回路を用いるもの｝
B60T8/90	速度応答制御装置のテストのため，模擬速度信号を用いるもの
B60T8/92	自動的に修正作動を行なうもの
B60T8/94	流体圧力調整器に対するもの
B60T8/96	速度応答制御装置に対するもの
B60T10/00	流体または粉体媒体を用いて連続制動するための制御または調整，例．長い斜面を下降する時に用いるもの
B60T10/02	流体動力学的制動
B60T10/04	流体静力学的制動
B60T11/00	補助動力または駆動力のないまたはそのような補助動力や駆動力と無関係なところでの初動装置から最終制動作動器への制動動作の伝達（補助動力または駆動力が不可欠であるものＢ６０Ｔ１３／００）
B60T11/04	機械的に伝達するもの
B60T11/043	｛操舵輪の場合｝
B60T11/046	｛ケーブルを用いるもの（Ｂ６０Ｔ１１／０４３が優先）｝
B60T11/06	制動力を均一にする装置
B60T11/08	可変レバーをもつもの
B60T11/10	流体手段，例．液圧，によって伝達するもの
B60T11/101	｛均等化装置であるもの｝
B60T11/102	｛機械的要素と組み合わされたもの｝
B60T11/103	｛他の制御装置と組み合わされたもの（ブレーキシステムと少なくとももう一つのサブユニットとの合同制御Ｂ６０Ｗ１０／１８８）｝
B60T11/105	｛作動後のブレーキのロック，異なる制御装置，例．ギヤレバー，によるブレーキの解除をともなうもの｝
B60T11/106	｛クラッチによるブレーキのロックおよび解除｝
B60T11/107	｛流体手段による超過ブレーキ｝
B60T11/108	｛トレーラーの流体システムへのもの｝
B60T11/12	そのうちで伝達力が変化するもの（Ｂ６０Ｔ１１／１６−Ｂ６０Ｔ１１／２８が優先）
B60T11/14	実質的に伝達力が変化しないもの
B60T11/16	マスタコントロール，例．マスタシリンダ（真空ブースタと関連したマスタシリンダＢ６０Ｔ１３／５６５）
B60T11/165	｛加圧されたシステム用の単一のマスターシリンダー｝
B60T11/18	初動装置との関連
B60T11/20	タンデム式，並列式，または他の複式マスタシリンダユニット
B60T11/203	｛並列構成｝
B60T11/206	｛力分配レバーによる制御をもつもの｝
B60T11/21	それぞれの回路で作動する２つのペダルを有し，両方のペダルが同時に作動するときそのなかの圧力が等しくなるもの，例．操向用（主操向効果を生じさせる手段としてブレーキを用い，車両の両側の接地装置の差動駆動により転向できない車輪または無限軌道車輪の操向を行うものＢ６２Ｄ１１／０８）
B60T11/22	貯蔵器リザーバとの組み付けに関して特徴づけられるもの
B60T11/224	圧力変化手段を有するもの，例．両端の直径が異なるピストンにより初期に低圧多量の油を供給するもの，直径が連続的に変化するピストンを含む
B60T11/228	圧力維持装置，例．貯蔵器リザーバからの流体をマスターシリンダ室に補充するためのもの（Ｂ６０Ｔ１１／２３２が優先）
B60T11/232	貯蔵器リザーバとマスタシリンダとの間を制動操作解除時に連通して，流体を貯蔵器リザーバに戻す弁
B60T11/236	ピストン密封装置とその配置
B60T11/24	２以上の回路，例．２回路，に作動する制動をきかせる単一の初動装置（複式マスタシリンダユニットＢ６０Ｔ１１／２０）
B60T11/26	貯蔵器リザーバ（マスタシリンダへの組み付け１１／２２）
B60T11/28	特に流体，例．液体，により伝達するものに用いる弁（マスタシリンダから貯蔵器リザーバへ流体を戻す弁Ｂ６０Ｔ１１／２３２）
B60T11/30	液圧制動系のための逃し弁
B60T11/32	破損した管に対して自動的に流れを閉止する弁
B60T11/323	｛液圧システムにおけるもの｝
B60T11/326	｛空気圧システムにおけるもの｝
B60T11/34	圧力を減少または制限するための弁｛（車両重量または積載量に応じて車輪ブレーキ力を調整する装置のためのものＢ６０Ｔ８／１８３１）｝
B60T13/00	補助動力または駆動動力を用いて初動装置から最終制動作動器への制動動作の伝達；そのような伝達装置が組み込まれた制動方式，例．空気圧制動方式（車両の状態または路面状況に適合する車輪制動力の調整装置Ｂ６０Ｔ８／００；そのような制動方式に組み込まれた弁Ｂ６０Ｔ１５／００）
B60T13/02	機械的補助または駆動装置を有するもの｛（流体の圧力と組み合わされたものＢ６０Ｔ１３／５８８）｝
B60T13/04	ばねまたは重りによるもの（流体の放出Ｂ６０Ｔ１３／１０）
B60T13/06	慣性によるもの，例．フライホイール
B60T13/065	｛推進システムのもの｝
B60T13/08	オーバーラン制動装置
B60T13/10	流体の補助，駆動または放出によるもの
B60T13/12	流体が液体であるもの
B60T13/14	｛ポンプにより供給される｝蓄圧器または貯蔵器リザーバを使用するもの
