B	処理操作；運輸
B64D	航空機の装備；飛行服；パラシュート；動力装置または推進伝達機構の設備または装置<br><br><u>｛注</u><br><br>　１．このサブクラスは旧分類表（ＩｄＴ）６２Ｄの有効期限の満了に伴い１９７５年１月１日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．ＩＰＣからＩｄＴグループへの一般的なコンコーダンスは以下のとおりである。Ｂ６４Ｄ４３／００　　　　　　　　　　　　　　　　　:　６２Ｄ７　４．以下のＩＰＣグループはＥＣＬＡ分類体系では使用されない。これらのグループに含まれる主題事項は以下のＥＣＬＡグループに分類される。Ｂ６４Ｄ１５／１８は　Ｂ６４Ｄ１５／１６　に含まれる。Ｂ６４Ｄ２５／１０２はＢ６４Ｄ２５／１０に含まれる。Ｂ６４Ｄ２５／１０５はＢ６４Ｄ２５／１０　に含まれる。Ｂ６４Ｄ２５／１０８はＢ６４Ｄ２５／１０に含まれる。　Ｂ６４Ｄ２５／１１はＢ６４Ｄ２５／１０に含まれる。　Ｂ６４Ｄ２５／１１２はＢ６４Ｄ２５／１０に含まれる。Ｂ６４Ｄ２５／１１５はＢ６４Ｄ２５／１０に含まれる。Ｂ６４Ｄ２５／１１８はＢ６４Ｄ２５／１０に含まれる。｝<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴという表現は以下のことを示す:　−ここで分類されている特許文献は航空機用装備および推進装置に関連する，ＩＤＴ−グループに分類されている。　−それらは管理上前述のＩＤＴ−グループからこのサブクラスに再分類されている。｝
B64F	地上設備または航空母艦の甲板上の設備<br><br><u>注</u><br><br>１．このサブクラスにおいて，設備という用語は航空機関連に固有に用いられるが装着はされない，可動装備を含む，装備を包含する。２．地上設備という用語はこのサブクラスにおいて水上設備を包含する。
B64G	宇宙航行；宇宙航行体またはその装備（地球外の鉱源からの採鉱用の装置，または方法Ｅ２１Ｃ５１／００）<br><br><u>注</u><br><br>１．このサブクラスは宇宙航行体，装備など，特に宇宙航行に適合したもののみを含む。２．このサブクラスは宇宙航行体および装備など宇宙航行や航空飛行の双方に適用されるものは含まない。それらはクラスＢ６４のしかるべき航空飛行のサブクラスに含まれる。３．このサブクラスにおいて，以下の用語は下記に示す意味で用いられる:−宇宙航行は地球大気圏外でのあらゆる移送形態を含み，したがって人工衛星，および惑星間旅行や星間旅行を含む。
B64U	
B65	運搬；包装；貯蔵；薄板状または線条材料の取扱い
B65B	物品または材料を包装するための機械，器具，装置または方法；荷解（葉巻たばこの結束および圧縮装置Ａ２４Ｃ１／４４；梱包されたものまたは物品に支持されるように適用された結束具を緊張させたりあるいは固着させるための装置Ｂ２５Ｂ２５／００；びん，広口びんまたは類似した容器への密閉部材の装着Ｂ６７Ｂ１／００〜Ｂ６７Ｂ６／００；びんの洗浄，充てんと密閉の工程を共に備えたものＢ６７Ｃ７／００；びん，広口びん，缶，たるまたは類似した容器の内容物の排除Ｂ６７Ｃ９／００）<br><br><u>注</u><br><br>―包装は，主につぎの操作を含む：<br>（ａ）包装体を形成するために材料または小物品を携帯用容器または入れ物に充填すること；<br>（ｂ）物品または物品の集合体を容器または入れ物に入れること；<br>（ｃ）充填された容器または入れ物を金属，ガラス，木工の加工操作によらないで別の方法で密封すること；<br>（ｄ）物品または多量な材料をシート，ストリップ，ブランク，ウエブまたは柔軟性のある薄材のチューブで包んだりまたは部分的に包むこと，例．被包；<br>（ｅ）物品のてん束，例．ひもまたは鉄線を供給してひとまとめにして物品を束ねること；<br>（ｆ）物品をカード，シートまたはウエブに取り付けること。<br>　包装体以外の物品の製造に用いられるこれらの型の操作は，他の適切なサブクラスに分類される，例．菓子類を被包材で成型された型に流し込んで製造するものＡ２３Ｇ，弾薬を弾薬筒に充填するものＦ４２Ｂ<br>　製造された包装体の形状あるいは容器または使用された包装要素の形状に全体として特徴のある包装方法。ただし，これはＢ６５Ｄに包含される。<br>　以下の詳述において，包装体という用語は，包装操作の最終製品を意味する。例．充填密封された容器，包装材で被包された物品，ひもまたは針金で結束された物品の集合体，びんの木枠<br>　以下の詳述において，材料という用語は，分離されたまたは個別の物品とは異なり包装されるべき集合材料または物品の集合体を含むものとして理解されるべきである<br>　物品または材料の包装に一般的に適用する機械，装置または方法<br><br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>Ｂ６５Ｂ５１／０９はＢ６５Ｂ５１／００に分類される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B65C	ラベル取付けまたはタッグ取付け機械，装置，または方法（釘打ちまたはステープリング一般Ｂ２５Ｃ，Ｂ２７Ｆ；包装用ラベル取付けＢ６５Ｂ；ラベル，ネームプレートＧ０９Ｆ）｛（連続印刷機Ｂ４１Ｌ；包装体の貯蔵または輸送用の容器Ｂ６５Ｄ｝）<br><br><u>注</u><br><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>ラベルはデカルコマニア，切手またはその類似のものを包含する。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B65D	物品または材料の貯蔵または輸送用の容器，例．袋，樽，びん，箱，缶，カートン，クレート，ドラム缶，広口びん，タンク，ホッパー，運送コンテナ；付属品，閉鎖具，または閉鎖具のための付属品；包装要素；包装体<br><br><u>注</u><br><br>１．このサブクラスにおいては，Ｂ６５Ｄ２５１９／００００４〜Ｂ６５Ｄ２５１９／００９９５のインデキシングコードを，適用できる場合は付加するべきである。 <br>２．このサブクラスは以下のものを包含する：<br>−物品または材料を展示するための補助手段または装置を備えた容器，包装要素または包装体；<br>−製造された包装体の形態あるいは使用された容器または包装要素の形態によって全体的に特徴づけられた包装方法は，実施された操作または適用された装置から区別される際には，サブクラスＢ６５Ｂよりむしろこのサブクラスの適切なグループに分類される。<br>３．このサブクラスは，できるだけ包括的であるように意図されており，容器または包装体の特徴によって他の一つのサブクラスに明らかに限定されるものを含んでおらず，それらは当該サブクラスに分類される。<br>４．このサブクラスにおいては，グループＢ６５Ｄ５／００，Ｂ６５Ｄ２７／００，Ｂ６５Ｄ２９／００，Ｂ６５Ｄ３１／００またはＢ６５Ｄ６５／００はブランク等を折り曲げたり組み立てたりすることによって作られた容器または被包装材を含むばかりでなく，折り曲げまたは組み立てが可能な容器ブランクまたは被包ブランクの構造的特徴をも含む。<br>５．グループＢ６５Ｄ８５／００に分類される容器，包装要素または包装体は，構造的または機能的特徴があれば，それらの特徴に従っても分類する。<br>６．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―剛性または準剛性容器は以下の意味を含む：<br>（ａ）内容物により変形されないか，または内容物の形態を取らない容器：<br>（ｂ）内容物を取り出すために一時的に変形されるように適合した容器：<br>（ｃ）パレット；<br>（ｄ）トレー；<br>―可撓性容器は以下の意味を含む：<br>（ａ）内容物により変形されるか，または内容物の形態を取る容器；<br>（ｂ）内容物を取り出すために恒久的に変形されるよう適合した容器；<br>―包装要素は以下の意味を含む：<br>（ａ）保管または輸送される物品または材料を被覆，保護，補強または結合保持するための，容器とは別の要素；<br>（ｂ）他のサブクラスに分類されない特定形態の包装材料；<br>―包装体は以下の意味を含む：<br>（ａ）保管または輸送される物品または材料と，容器または包装要素との結合体；<br>（ｂ）保管または輸送の利便のために相互連結された物品；<br>―紙は紙の加工と類似した加工が行われる材料，例．ボール紙，プラスチックシート材，ラミネート材，金属箔，を含む；<br>―グループＢ６５Ｄ８８／００またはＢ６５Ｄ９０／００における，大型容器は，ときとして貨物，運送またはＩＳＯ（国際標準化機構）容器と呼ばれる，コンテナ運輸に用いられる容器ぐらいの大きさをもつ容器，またはそれより大きい容器を意味する。<br>７．容器または閉鎖のための無断開封表示手段は容器または閉鎖具の型に対応した適当なグループ，例．　Ｂ６５Ｄ５／４３，　Ｂ６５Ｄ５／５４，　Ｂ６５Ｄ１７／００，　Ｂ６５Ｄ２７／３０，　Ｂ６５Ｄ２７／３０，　Ｂ６５Ｄ２７／３４，　Ｂ６５Ｄ３３／３４，　Ｂ６５Ｄ４１／３２，　Ｂ６５Ｄ４７／３６，　Ｂ６５Ｄ４９／１２，　Ｂ６５Ｄ５１／２０，　Ｂ６５Ｄ５５／０６，に分類される。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>B65D5/34 は B65D5/325 に分類される<br>B65D5/35 は B65D5/325 に分類される<br>B65D5/355 は B65D5/0005 に分類される<br>B65D5/43 は B65D5/42 に分類される<br>B65D5/462 は B65D5/46008〜B65D5/46032 に分類される<br>B65D5/465 は B65D5/46008〜B65D5/46032 に分類される<br>B65D5/468 は B65D5/4608 に分類される<br>B65D5/472 は B65D5/46048 に分類される<br>B65D5/475 は B65D5/46008 に分類される<br>B65D5/478 は B65D5/46056 に分類される<br>B65D5/4805 〜 B65D5/489 は B65D5/48002 に分類される<br>B65D5/49 〜 B65D5/499 は B65D5/48024 に分類される<br>B65D5/63 は B65D5/72 に分類される<br>B65D6/00 〜 B65D6/40 は B65D7/00，B65D9/00，B65D11/00，B65D15/00 に分類される<br>B65D8/00 〜 B65D8/22 は B65D7/00，B65D9/00，B65D11/00，B65D15/00 に分類される<br>B65D19/22 は B65D19/0004 に分類される<br>B65D19/24 は B65D19/0004 に分類される<br>B65D19/26 は B65D19/0004 に分類される<br>B65D19/28 は B65D19/0004 に分類される<br>B65D19/30 は B65D19/0004 に分類される<br>B65D19/31 は B65D19/0004 に分類される<br>B65D19/32 は B65D19/0002，B65D19/0004 に分類される<br>B65D19/34 は B65D19/0004 に分類される<br>B65D21/024 は B65D21/0201 に分類される<br>B65D21/028 は B65D21/0204 に分類される<br>B65D21/032 は B65D21/0211 に分類される<br>B65D21/036 は B65D21/0217 に分類される<br>B65D25/26 は B65D81/02 に分類される<br>B65D30/00 〜 B65D30/28 は B65D29/00，B65D31/00 に分類される<br>B65D33/17 は B65D33/1633 に分類される<br>B65D33/36 は B65D75/58 に分類される<br>B65D33/38 は B65D75/5861 に分類される<br>B65D35/48 〜 B65D35/54 は B65D47/2018 に分類される<br>B65D39/18 は B65D39/00 に分類される<br>B65D41/01 は B65D41/00 に分類される<br>B65D43/03 は B65D43/00 ＋ B65D2543/00027 に分類される<br>B65D43/04 は B65D43/0214 に分類される<br>B65D43/10 は B65D 43/0204 に分類される<br>B65D47/22 は B65D47/20 に分類される<br>B65D47/34 は B05B11/00 に分類される<br>B65D50/08 は B65D55/02 に分類される<br>B65D50/10 は B65D55/02 に分類される<br>B65D50/12 は B65D55/02 に分類される<br>B65D50/14 は B65D55/02 に分類される<br>B65D65/26 〜 B65D65/32 は B65D75/58 に分類される<br>B65D65/34 は B65D75/66 に分類される<br>B65D65/36 は B65D75/58 に分類される<br>B65D71/52 〜 B65D71/68 は B65D71/0003〜B65D71/0077 に分類される<br>B65D75/60 〜 B65D75/64 は B65D75/58 に分類される<br>B65D81/15 は B65D81/05 に分類される<br>B65D81/17 は B65D81/02 に分類される<br>B65D83/18 は B65D83/201，B65D83/206 に分類される<br>B65D83/58 は B65D83/44 に分類される<br>B65D83/76 は B65D83/0005 に分類される<br>B65D85/57 は G11B23/00 に分類される<br>B65D85/575 は G11B23/00 に分類される<br>B65D85/86 〜 B65D85/90 は H01L21/00，H05K13/00 に分類される<br>２、このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B65F	家庭のゴミまたはそれに類するゴミの収集または移送（ゴミの消毒Ａ６１Ｌ；ゴミ砕解機Ｂ０２Ｃ；ゴミの選別Ｂ０３Ｂ，Ｂ０７Ｂ；ゴミ容器を運ぶための手押し車Ｂ６２Ｂ；袋保持具Ｂ６５Ｂ６７／００；ゴミの肥料への変換Ｃ０５Ｆ；ゴミの固体燃料への変換Ｃ１０Ｌ；下水，汚水だめＥ０３Ｆ；建築物におけるゴミ処理のための装置Ｅ０４Ｆ１７／１０；ゴミ焼却炉Ｆ２３Ｇ；｛外科物品用Ａ６１Ｂ５０／３６｝）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B65G	　運搬または貯蔵装置，例．荷積みまたは荷あげ用コンベヤ；工場コンベヤシステム；空気管コンベヤ（｛特殊な物体又は場所における火災を妨げるものＡ６２Ｃ３／００｝　:　物品または物質の特殊な取扱いもしくは処理は関連したサブクラスを参照，例．金属加工におけるものＢ２１Ｄ４３／００，Ｂ２３Ｑ７／００，Ｂ２３Ｑ４１／０２；車両，鉄道，船舶，航空機用のものＢ６０〜Ｂ６４；包装におけるものＢ６５Ｂ；薄板状または線状材料の取扱いＢ６５Ｈ；もち上げ，牽引，例．トラックローダＢ６６　｛３５Ｄ｝；液体の取扱いＢ６７[Ｎ:　道路建設材料を準備又は配布のための輸送又は貯蔵コンテナ　Ｅ０１Ｃ；　現場内又は外における民間の工学技術を使用するばらの貯蔵コンテナの建設又は組み立てるもの　Ｅ０４Ｈ７／００]　；地下の状態に特に適したものＥ２１Ｆ１３／００；気体または液体の貯蔵または分配Ｆ１７；放射性物質の取扱いＧ２１Ｃ１９／００）[Ｎ:特記　以下のＩＰＣグループはＥＣＬＡ分類体系では使用されない。これらのグループに含まれる主題事項は以下のＥＣＬＡグループに分類される:Ｂ６５Ｇ３３／２８はＢ６５Ｇ３３／２６５に含まれる。Ｂ６５Ｇ４７／１０はＢ６５Ｇ１／１３７３に含まれる。Ｂ６５Ｇ４７／８６はＢ６５Ｇ４７／８４２，　Ｂ６５Ｇ４７／８４７に含まれる。Ｂ６５Ｇ４９／０７は　Ｈ０１Ｌ２１／００Ｓ６に含まれる。　]
B65H	薄板状または線条材料，例．シート，ウェブ，ケーブル，の取扱い<br><br><u>｛注</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ６５Ｈ３５／０７はＢ６５Ｈ３５／０００６に包含。Ｂ６５Ｈ７７／００はＢ６５Ｈ２３／００，Ｂ６５Ｈ５９／００に包含。Ｂ６５Ｈ８３／００，Ｂ６５Ｈ８３／０２はＢ０７Ｃ１／０２５，Ｇ０７Ｄ１／００Ｄ，Ｇ０７Ｄ１１／００およびそのサブグループに包含。Ｂ６５Ｈ８５／００はＧ０３Ｂ２７／６２，Ｇ０３Ｂ２７／６２Ｃ４Ｆ，Ｇ０３Ｂ２７／６２５７に包含。｝<br><br><u>注</u><br><br>１．このサブクラスは薄板状または線条材料，例．シート，ウェブ，ケーブル，についての他の作業またはそのような作業を行うための手段と密接な関係がある方法または装置を包含しない．これらはこれらの作業のための関連サブクラスに分類される，例．:Ｂ０７Ｃ　郵便物の仕分け，書類，例．小切手，の同様の仕分けＢ０８Ｂ１／０２　用具，ブラシ，または類似部材を含む方法による，移動中の被加工品，例．ウェブ，の掃除Ｂ２１Ｂ４１／００　可撓性の被加工品，例．ワイヤ，薄板状金属帯，の案内，搬送，蓄積を含む，金属のループ形状または湾曲形状への圧延Ｂ２１Ｃ４７／００，巻上げ，コイリング，巻戻し，または一時的なＢ２１Ｃ４９／００　圧延以外の金属処理のみに関連する性質に特徴づけられた，金属ワイヤ，金属帯，またはその他の可撓性金属材料の蓄積Ｂ２１Ｄ４３／００　基本的に材料を取り出すことなく薄板状金属を加工または処理するための機器と組み合わせて使うか，その中に配置するか，またはそれと接続して用いることに特に適する供給装置，位置決め装置，または貯蔵装置Ｂ２３Ｋ９／１２　点溶接，縫合せ溶接，または切断用電極の自動供給手段Ｂ２９Ｃ３１／００　プラスチックの成形または接合，物質の塑性状態への成形一般，または成形品の後処理のための取扱い，例．成形する材料の供給Ｂ４１Ｂ１５／３２，写真植字機におけるフィルム取扱い機構Ｂ４１Ｂ２１／３２　植字機Ｂ４１Ｆ１３／０２　輪転機へのウェブの搬送または案内Ｂ４１Ｊ１１／００から　複写材料または印刷転写材料の取扱いＢ４１Ｊ１７／００まで　タイプライターまたは選択式印刷機におけるもの４１Ｋ３／４４　刻印または番号印字機器または装置における複写物取扱い手段Ｂ４１Ｌ　オフィス用またはその他の商業目的に用いられる複製，複写，または印刷のための機器または装置，または宛名書き機または同種の連続印刷機におけるシートまたはウェブの取扱いＢ４２Ｂ　シート，帖，または折丁を永久的に綴じることに関連する取扱いＢ４２Ｃ　製本におけるシートの取扱いＢ６５Ｂ　パッケージング機械に用いられる以外の目的を持たない，物品のパッケージング機器または方法におけるシートまたはウェブの取扱いＢ６５Ｃ　ラベル貼り機または標識付け機におけるラベルの取扱いＣ１４Ｂ１／６２　レザー製造機械または装置における獣皮またはなめし革の巻付けまたは積層Ｄ０１からＤ０７　紡績，製織，編込み，レース製造，ニッティング，裁縫，ロープまたはケーブルの製造Ｄ２１Ｆ２／００　製紙における，ウェブのウェットエンドからプレス部への移送Ｆ２６Ｂ１３／００　乾燥機における織物，繊維，糸，またはその他の長尺材料の取扱いＧ０３Ｂ　写真機または投写機もしくは写真を見るための装置におけるフィルムストリップまたは写真の取扱いＧ０６Ｋ１３／００　ある位置から別の位置への記録担体の搬送Ｇ０６Ｍ７／００　コンベヤで運ばれる平たい物品，例．シート，の計数Ｇ１１Ｂ１５／００から　相対運動に基づく情報の保存Ｇ１１Ｂ１９／００，記録担体とトランスデューサ間のもの，Ｇ１１Ｂ２３／００，記録担体の取扱いを含めたものＧ１１Ｂ２５／００まで　記録または再生用のものＨ０１Ｆ４１／０６　巻付けによる磁石，インダクタンス，変圧器用コイルの製造Ｈ０１Ｇ１３／０２　コンデンサを巻くための機械Ｈ０４Ｎ１／００　経時的変化を伴わない絵または模様を送信または再生するためのシステム，例．ファックス通信，で使われる以外の目的を持たないシートの取扱い２．このサブクラスにおいては:ー下記の<br><br><u>注</u><br><br>（３）の（ｉ）で定義した薄板状材料に関連するグループは紙または段ボールから作られた物品の取扱いを主として含むが，同様の性質を持つかまたは同様の取扱い上の問題点を持つ他の材料から作られた物品，例．プラスチックシートまたはなめし皮から作られた物品，の取扱いも含む；ー下記の<br><br><u>注</u><br><br>（３）で定義した線条材料（グループＢ６５Ｈ４９／００以降）に関連するグループは，一般的な応用または目的のための手法または装置のみを含む．３．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる:ー取扱いは供給，（製品の製造以外における）折畳み，案内，方向づけ，貯蔵，巻戻し，および巻取りを含む；ー薄板状材料は，（ｉ）シート，折丁，包装材料，白紙，およびそれらの薄い堆積物（これ以降物品と呼ぶ），および（ｉｉ）ウェブ，テープ，およびフィルム，例．紙，織物，金属箔，またはプラスチックでできたもの，を含む；ー線条材料は糸，ワイヤ，ロープ，ケーブル，およびホースを含む；ーパッケージはコイリング，堆積，または巻取りによって形成された線条材料の塊を意味し，補助巻芯もしくは補助巻型または密閉容器もしくは容器を用いたもの用いないもののいずれも含む．<br><br><u>｛注</u><br><br>グループＢ６５Ｈ１／００からＢ６５Ｈ４７／００においては，２００３年１月１日以降の新規文献は，リフォームされたＥＣＬＡ分類手順に従って分類する。すなわち，重要な情報（発明情報）にはＥＣＬＡ分類記号，例．Ｂ６５Ｈ３／０８１６，を付与する。他の（二次）情報には，ＩＣＯ分類記号，例．Ｂ６５Ｈ５／２４，を付与する。｝
B66	巻上装置；揚重装置；牽引装置
B66B	エレベータ；エスカレータまたは移動歩道（｛劇場のステージまたはその類似物上で人を昇降するための装置Ａ６３Ｊ５／１２｝；剛的に地面に支持された軌道と牽引ケーブルを有する綱索鉄道システム，例．綱索鉄道Ｂ６１Ｂ９／００；船舶内の弾薬取扱装置Ｂ６３Ｇ３／００；ホイスト，リフト，または荷積みまたは荷おろし用コンベヤ一般Ｂ６５Ｇ；巻回ドラムまたは巻胴の通常運動を制御する制動または係止装置Ｂ６６Ｄ；船舶リフト装置Ｅ０２Ｃ；車両を持ち上げる機械的手段を備えた多数の車両のためのガレージＥ０４Ｈ６／１２；弾薬または弾丸を発射装置または装填機構へ供給するホイストＦ４１Ａ９／００）<br><br><u>注</u><br><br>１．このサブクラスにおいて，下記の用語は以下の意味で用いられている:　−エレベータはリフトという用語を含み，二つの用語は置き換えできる。
B66C	クレーン；クレーン，キヤプスタン，ウインチまたはタツクル用の荷物係合要素または装置（｛病人を持ち上げるのに特に適合したものＡ６１Ｇ７／１０；｝ロープ，ケーブル，またはチェーンの巻き取り機構，そのためのブレーキ装置または回転止め装置Ｂ６６Ｄ；特に原子炉に適合したものＧ２１）<br><br><u>｛警告</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類体系では使用されない。これらのグループに含まれる主題事項は以下のＥＣＬＡグループに分類される:Ｂ６６Ｃ２３／５３　はＢ６６Ｃ２３／７２に含まれる。Ｂ６６Ｃ２３／６１　はＢ６６Ｃ２３／６０に含まれる。Ｂ６６Ｃ２３／６８３はＢ６６Ｃ２３／６８に含まれる。Ｂ６６Ｃ２３／６８７はＢ６６Ｃ２３／７０１に含まれる。　Ｂ６６Ｃ２３／６９はＢ６６Ｃ２３／７０１に含まれる。Ｂ６６Ｃ２３／６９３はＢ６６Ｃ２３／７０５に含まれる。Ｂ６６Ｃ２３／６９７は　Ｂ６６Ｃ２３／７０７に含まれる。｝[Ｎ:　<br><br><u>注</u><br><br>:このサブクラスにおいて＋ＩＤＴという表現は以下のことを示すために用いられる:　−ここに分類される特許文献は，一連のインデキシングコードＢ６６Ｃ２７００／００からＢ６６Ｃ２７００／０８８で表わされる範囲の，ＩＤＴグループに分類されていた。　−それらは管理上前述のＩＤＴ−グループからこのサブクラスに分類された]
B66D	キヤプスタン；ウインチ；タテークル，例．プーリ・ブロック，ホイスト（供給または貯蔵の目的のための巻上または巻下ロープまたはケーブルＢ６５Ｈ；リフト用のロープまたはケーブルの巻上または巻下装置Ｂ６６Ｂ）<br><br><u>｛注</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類体系では使用されない。これらのグループに含まれる主題事項は以下のＥＣＬＡグループに分類される:Ｂ６６Ｄ１／３９５は　Ｂ６６Ｄ１／３６，　Ｂ６６Ｄ１／５０に含まれる｝<br><br><u>注</u><br><br>このサブクラスは以下のものを含む:１．エレベータの箱以外のあらゆる負荷を移動させるためのロープ，ケーブルあるいはチェーン式巻取りまたは巻き戻し機構，例．浚渫機用ウィンチ；２．巻胴の回転運動遅延もしくは回転運動防止に適用されることに特徴のある制動装置あるいは戻り止め装置<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴという表現は以下を示すために用いる:　−ここで分類さる特許文献は，一連のインデキシングコードＢ６６Ｄ２７００／００からＢ６６Ｄ２７００／０７で表わされる範囲の，ＩＤＴグループに分類されていた。　−それらは管理上前述のＩＤＴ−グループからこのサブクラスに再分類された｝
B66F	他に分類されない巻上げ，もち上げ，牽引，または押進，例．荷物の表面に直接接してもち上げ，または押進をさせる装置（｛病弱者リスト装置Ａ６１Ｇ７／１０；｝くいまたは類似の支持物上への人工島の取り付けＥ０２Ｂ１７／００；もち上げ装置の組み合わされた足場Ｅ０４Ｇ１／２２；可動型枠のためのもち上げ装置Ｅ０４Ｇ１１／２４；建築物のもち上げＥ０４Ｇ２３／０６；支柱またはほうづえＥ０４Ｇ２５／００；はしごに取付けた昇隆装置またはその他の巻上げ装置Ｅ０６Ｃ７／１２；鉱山用支柱Ｅ２１Ｄ１５／００）<br><br><u>｛警告</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類体系では使用されない。これらのグループに含まれる主題事項は以下のＥＣＬＡグループに分類される:Ｂ６６Ｆ１９／０２は　Ｂ６６Ｆ１９／００に含む｝[Ｎ:<br><br><u>注</u><br><br>:このサブグループにおいて＋ＩＤＴという表現は以下を示すために用いられている:　−ここで分類される特許文献は，一連のインデキシングコードＢ６６Ｆ２７００／００　からＢ６６Ｆ２７００／１２６で表わされる範囲の，ＩＤＴグループに分類されていた。　−それらは管理上前述のＩＤＴグループからこのサブクラスに再分類された]
B67	びん，広口びんまたは類似の容器の開封または密封；液体の取扱い
B67B	びん，広口びんまたはこれに類似した容器への閉鎖部材の装着；閉鎖した容器の開封（容器または容器閉鎖具に取付けた，または組込まれた，開封または閉鎖装置Ｂ６５Ｄ）<br><br><u>警告</u><br><br>　以下のＩＰＣグループはＣＰＣ分類体系にはない。これらのグループに含まれる主題事項は以下のＣＰＣの各グループに分類される。<br>Ｂ６７Ｂ７／４６はＢ６７Ｂ７／３０〜Ｂ６７Ｂ７／３８５に分類される<br>Ｂ６７Ｂ７／４８〜Ｂ６７Ｂ７／５２はＢ６７Ｂ７／２４，Ｂ６７Ｂ７／２６，Ｂ６７Ｂ７／２８に分類される<br>Ｂ６７Ｂ７／５４〜Ｂ６７Ｂ７／９０はＢ６７Ｂ７／３０〜Ｂ６７Ｂ７／３８５に分類される<br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B67C	他に分類されないびん，広口びん，缶，たるまたは類似した容器の洗浄，液体または半液体の充てん，排除；じょうご<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B67D	他に分類されない液体の分与，配達，または移送（管またはチューブの洗浄または管チューブ系の洗浄Ｂ０８Ｂ９／０２；他に分類されない瓶，広口びん，缶，桶，樽または類似の容器からの排除または充填Ｂ６７Ｃ；水の供給Ｅ０３；配管装置Ｆ１７Ｄ；屋内湯供給装置Ｆ２４Ｄ；体積，体積流量，質量流量または液位測定，体積による計量Ｇ０１Ｆ；コイン解放または類する装置Ｇ０７Ｆ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B68	馬具；詰め物，かわ張りされた物品
B68B	ばん馬具；それに関連して用いる器具；むちまたはその他同種のもの<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B68C	くら；あぶみ<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B68F	皮革，帆布，またはその類似物からの物品の製造<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B68G	詰め物，かわ張りするのに用いられる方法，装置または機械；他に分類されない詰め物，かわ張りされた物品<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B81	マイクロ構造技術<br>（１）このクラスは，サイズがきわめて小さいことによって特徴付けられる，典型的には１０↑−↑４から１０↑−↑７ｍの範囲の，すなわち，少なくとも一次元において，その重要な特徴が光学顕微鏡を使わなければ完全には見分けられないような，必須の要素または構造を少なくとも一つ含む，マイクロ構造装置またはシステムを包含する。<br>（２）このクラスでは，下記の表現は以下に示す意味で用いる。<br>―マイクロ構造の装置に含まれるのは:<br>（ｉ）可動の，可撓性の，または変形可能な要素からなるマイクロマシン装置；および<br>（ｉｉ）可動の，可撓性の，または変形可能な要素がなく，また，その構造がマイクロ電子装置と結合しているかどうか，または特定の物質で構成されているかどうかに関わらず，純粋な電子的または化学的機能ではなく，置かれた環境と相互作用するために必須の構造的機能を果たすように設計されたマイクロ構造からなる三次元構造物；<br>―マイクロ構造システムに含まれるのは:<br>（ｉ）マイクロ構造装置と協同するシステム；および<br>（ｉｉ）マイクロ電気機械システムまたはマイクロ光学機械システムであって，マイクロ構造装置の機能を，例えば，制御し，解析し，または信号化するために，電気的または化学的部品とマイクロ構造装置の特定部分とが共通の基層の上で結合しているもの
