H02K7/1815	｛往復ピストン機関との構造的結合（発電装置の一般的な観点，例．箱体Ｆ０２Ｂ６３／０４）｝
H02K7/1823	｛タービンまたは同様の機関との構造的結合｝
H02K7/183	｛タービンが風力タービンであるもの（風力タービンの発電機への適用Ｆ０３Ｄ９／２５）｝
H02K7/1838	｛水平軸風力タービンのナセルまたは同様の構造に取り付けられた発電機｝
H02K7/1846	｛ホイールまたは関連する部品との構造的結合（自転車のハブ内に配置した発電機Ｂ６２Ｊ６／１２）｝
H02K7/1853	｛間欠的な力により駆動されるもの｝
H02K7/1861	｛動物または車両により駆動されるもの（Ｈ０２Ｋ７／１８５３が優先）｝
H02K7/1869	｛直線運動発電機；部分電機子型発電機｝
H02K7/1876	｛往復動，直線発振または振動する部分をもつもの｝
H02K7/1884	｛自由ピストン機関との構造的結合｝
H02K7/1892	｛軸に関して発振または振動する部分をもつ発電機｝
H02K7/20	補助的な発電機または電動機，例．始動電動機または励磁機，との構造的結合
H02K9/00	冷却または換気装置（磁気回路部品の溝またはダクトＨ０２Ｋ１／２０，Ｈ０２Ｋ１／３２；導体内または導体間の溝またはダクトＨ０２Ｋ３／２２，Ｈ０２Ｋ３／２４）
H02K9/02	電機を通る周囲空気の流れによるもの
H02K9/04	冷却媒体の流れを発生する手段をもつもの，例．ファンをもつもの
H02K9/06	電機の軸で回わされるファンまたは羽根車をもつもの
H02K9/08	電機外箱中全体を循環するガス冷却媒体によるもの（Ｈ０２Ｋ９／１０が優先）
H02K9/10	閉流路中を流れるガス冷却媒体によるものであって，その一部が電機外箱の外部にあるもの
H02K9/12	冷却媒体が外箱中で自由に循環するもの
H02K9/14	電機外箱と周囲外被間をガス冷却媒体が循環するもの
H02K9/16	外箱中のダクトまたは管を通って冷却媒体が循環するもの
H02K9/18	閉流路の外部部分が電機外箱と構造的に結合した熱交換器からなるもの
H02K9/19	密閉外箱と液体冷却媒体，例．油，を用いて冷却する閉流路をもつ電機のためのもの
H02K9/193	冷却媒体の補充のための装置をもつもの；冷却媒体の漏洩を防止する手段をもつもの
H02K9/197	回転子または固定子の空間を液密にするもの，例．回転子と固定子に異なる冷却媒体を供給するもの
H02K9/20	機枠の内部で冷却媒体が蒸発するもの
H02K9/22	固定子または回転子に埋め込まれて，または接触して配置された固体熱伝導材，例．熱ブリッジ，によるもの
H02K9/223	｛熱ブリッジ｝
H02K9/225	｛熱パイプ｝
H02K9/227	｛熱シンク｝
H02K9/24	冷却装置の故障，例．冷却媒体の喪失または冷却媒体の循環中断によるもの，に対する保護
H02K9/26	電機と冷却媒体を清掃または乾燥するための装置との，例．フィルタとの，構造的結合
H02K9/28	整流子，集電環または刷子の冷却，例．換気によるもの
H02K11/00	電気部品，あるいは遮蔽，監視または保護装置と発電機，電動機との構造的結合（外箱，外枠または支持体Ｈ０２Ｋ５／００）
H02K11/0094	｛他の電気または電子装置との構造的結合｝
H02K11/01	電磁界から遮蔽するためのもの，｛すなわち遮蔽物との構造的結合｝（遮蔽による，巻線端におけるうず電流損の防止または減少手段Ｈ０２Ｋ３／４２）
H02K11/012	｛回転部分，例．回転子鉄心または回転軸，に結合される遮蔽物｝
H02K11/014	｛固定部分，例．固定子鉄心，に結合される遮蔽物｝
H02K11/0141	｛外箱，囲いまたはブラケットに結合される遮蔽物｝
H02K11/02	電磁妨害を抑制するためのもの
H02K11/026	刷子，刷子保持器またはそれらの支持体に結合される抑制手段
H02K11/028	回転子に結合される抑制手段
H02K11/04	整流のためのもの
H02K11/042	回転部分，例．回転子鉄心または回転軸，に結合される整流器
H02K11/049	固定部分，例．固定子鉄心，に結合される整流器
H02K11/05	ケーシング，囲いまたはブラケットと関連する整流器
H02K11/20	測定，監視，試験，保護またはスイッチングのためのもの（整流器Ｈ０２Ｋ１１／０４，パワーエレクトロニクスＨ０２Ｋ１１／３３）
H02K11/21	速度もしくは位置を検出するための装置，またはその検出値に応じて動作する装置（特に，非機械的整流装置を備えた電機に適合したものＨ０２Ｋ２９／０６，Ｈ０２Ｋ２９／１４）
H02K11/215	磁気効果装置，例．ホール効果または磁気抵抗素子
H02K11/22	光学的な装置
H02K11/225	検出コイル
H02K11/23	機械的に作動する遠心スイッチ
H02K11/24	トルクを検出する装置，またはその検出値に応じて動作する装置（Ｈ０２Ｋ１１／２７が優先）
H02K11/25	温度を検出する装置，またはその検出値に応じて動作する装置
H02K11/26	電圧を検出する装置，またはその検出値に応じて動作する装置，例．過電圧保護装置
H02K11/27	電流を検出する装置，またはその検出値に応じて動作する装置（電機またはその部品の温度に応答する過電流保護，例．巻線，Ｈ０２Ｋ１１／２５）
H02K11/28	手動スイッチ
H02K11/30	制御回路または駆動回路との構造的結合
H02K11/33	駆動回路，例．パワーエレクトロニクス（Ｈ０２Ｋ１１／３８が優先）
H02K11/35	電機パラメータの記録または送信のための装置，例．診断のためのメモリチップまたは無線送信機
H02K11/38	ウォームホイール型のギヤード整流子モータに結合される制御回路または駆動回路
H02K11/40	グランドする装置との構造的結合
H02K13/00	集電子の電動機または発電機との構造的結合，例．刷子取り付け板または巻線への接続（電動機外箱または外枠における刷子あるいは刷子保持器の支持または保護Ｈ０２Ｋ５／１４）；電動機または発電機における集電子の配置；整流改善用装置
H02K13/003	｛集電環の構造的結合｝
H02K13/006	｛整流子の構造的結合｝
H02K13/02	巻線と集電環の接続
H02K13/04	巻線と整流子片との接続
H02K13/06	抵抗接続，例．高抵抗チョークまたはトランジスタによるもの
H02K13/08	巻線の延長部で構成した整流子片
H02K13/10	整流を改善するために特に適合した刷子または整流子の配置
H02K13/105	｛整流子と結合した火花抑制器｝
H02K13/12	回転子とそれに結合した集電子部分の軸方向往復をさせる装置，例．整流子面を研磨するためのもの
H02K13/14	整流改善用の回路，例．定方向導電素子を用いたもの
H02K15/00	発電機または電動機の製造，組立，保守または修理に特に適した工程または装置<br><br><u>警告</u><br><br>グループＨ０２Ｋ１５／００はグループＨ０２Ｋ１５／４０，Ｈ０２Ｋ１５／５０，Ｈ０２Ｋ１５／６０，Ｈ０２Ｋ１５／７０，Ｈ０２Ｋ１５／８０およびＨ０２Ｋ１５／９０およびＨ０２Ｋ１５／９５への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H02K15/02	固定子または回転子本体についてのもの<br><br><u>警告</u><br><br>グループＨ０２Ｋ１５／０２はグループＨ０２Ｋ１５／０２１，Ｈ０２Ｋ１５／０２５，Ｈ０２Ｋ１５／０２６，Ｈ０２Ｋ１５／０２７，Ｈ０２Ｋ１５／０２７３，Ｈ０２Ｋ１５／０２７５，Ｈ０２Ｋ１５／０２７８およびＨ０２Ｋ１５／０２８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H02K15/021	磁性鉄心<br><br><u>警告</u><br><br>グループＨ０２Ｋ１５／０２１およびＨ０２Ｋ１５／０２５はグループＨ０２Ｋ１５／０２からの文献の再分類が未完成であり保留されている。<br>グループＨ０２Ｋ１５／０２，Ｈ０２Ｋ１５／０２１およびＨ０２Ｋ１５／０２５はコンプリートサーチの完遂のために考慮されるべきである。
