C03C25/605	金属または金属イオン，例．銀または銅，をガラスに導入するためのもの
C03C25/606	｛Ｘｎ＋−−−−＞ｎＨ＋の型の交換によるもの｝
C03C25/607	ガス相中で
C03C25/608	固相中で，例．ペーストまたは粉体を用いるもの
C03C25/62	電気または波エネルギーの適用によるもの（乾燥または脱水用Ｃ０３Ｃ２５／６４）；粒子放射線またはイオン注入によるもの
C03C25/6206	電磁波
C03C25/6208	レーザー
C03C25/621	マイクロ波
C03C25/6213	赤外線
C03C25/622	可視光
C03C25/6226	紫外線
C03C25/624	Ｘ線
C03C25/6246	ガンマ線
C03C25/626	粒子放射線またはイオン注入
C03C25/6266	電子，陽子またはアルファ粒子
C03C25/6273	中性子
C03C25/628	原子
C03C25/6286	イオン注入
C03C25/6293	プラズマまたはコロナ放電
C03C25/64	乾燥，脱水，脱水酸基
C03C25/66	化学処理，例．濾過，酸またはアルカリによる処理（脱水酸基Ｃ０３Ｃ２５／６４）
C03C25/68	エッチングによるもの
C03C25/70	クリーニング，例．再利用のため（Ｃ０３Ｃ２５／６２〜Ｃ０３Ｃ２５／６６が優先）
C03C27/00	ガラスの他の無機物質への接着；融着以外によるガラスのガラスへの接着（Ｃ０３Ｃ１７／００が優先；少なくともひとつのガラス層を含む積層構造Ｂ３２Ｂ１７／００；網入りガラスＣ０３Ｂ；ガラスのセラミックへの接着Ｃ０４）
C03C27/005	｛重量比で５０％以上の酸化鉛を含有する組成物によるもの｝
C03C27/02	ガラスの金属への直接融着によるもの
C03C27/04	中間層によるガラスの金属への接着
C03C27/042	｛ガラス，ガラスセラミックまたはセラミック材料から選ばれた材料と金属，金属酸化物または金属塩との組み合わせからなるもの｝
C03C27/044	｛ガラス，ガラスセラミックまたはセラミック材料のみからのもの｝
C03C27/046	｛金属，金属酸化物または金属塩のみからのもの｝
C03C27/048	｛目的に特に適合する接着物からなるもの｝
C03C27/06	融着以外の方法によるガラスのガラスへの接着（融着Ｃ０３Ｂ２３／２０；壁または同様な開口を閉じるための要素として使用される部材であって単位が２枚以上の平行な空間層成ガラスからなり，それらが共に永久固定されているものＥ０６Ｂ３／６６）
C03C27/08	介在金属を用いることによるもの
C03C27/10	目的に特に適する接着物によるもの
C03C29/00	ガラスによる金属の接着
C03C2201/00	ガラス組成物
C03C2201/02	純シリカガラス，例．純粋な溶融石英
C03C2201/06	ドーピングしたシリカベースのガラス
C03C2201/08	ほう素またはハロゲン化物を含むもの
C03C2201/10	ほう素を含むもの（Ｃ０３Ｃ２２０１／１４が優先）
C03C2201/11	塩素を含むもの
C03C2201/12	ふっ素を含むもの（Ｃ０３Ｃ２２０１／１４が優先）
C03C2201/14	ほう素およびふっ素を含むもの
C03C2201/20	ほう素またはハロゲン化物以外の非金属を含むもの
C03C2201/21	分子状水素を含むもの
C03C2201/22	重水素を含むもの
C03C2201/23	水酸基を含むもの
C03C2201/24	窒素を含むもの，例．シリコン酸窒化物ガラス
C03C2201/26	炭素を含むもの
C03C2201/28	りんを含むもの
C03C2201/30	金属を含むもの
C03C2201/31	ゲルマニウムを含むもの
C03C2201/32	アルミニウムを含むもの（Ｃ０３Ｃ２２０１／３６が優先）
C03C2201/34	希土類金属を含むもの（Ｃ０３Ｃ２２０１／３６が優先）
C03C2201/3405	スカンジウム
C03C2201/3411	イットリウム
C03C2201/3417	ランタン
C03C2201/3423	セリウム
C03C2201/3429	プラセオジム
C03C2201/3435	ネオジム
C03C2201/3441	サマリウム
C03C2201/3447	ユーロピウム
C03C2201/3452	ガドリニウム
C03C2201/3458	テルビウム
C03C2201/3464	ジスプロシウム
C03C2201/347	ホルミウム
C03C2201/3476	エルビウム
C03C2201/3482	ツリウム
C03C2201/3488	イッテルピウム
C03C2201/3494	ルテチウム
C03C2201/36	希土類金属とアルミニウムを含むもの，例．Ｅｒ−Ａｌ共ドーピング
C03C2201/40	希土類金属以外の遷移金属，例．Ｚｒ，Ｎｂ，ＴａまたはＺｎ，を含むもの
C03C2201/42	チタンを含むもの
C03C2201/50	アルカリ金属を含むもの
C03C2201/54	ベリリウム，マグネシウムまたはアルカリ土類金属を含むもの
C03C2201/58	非酸化物形の金属，例．ＣｄＳｅ，を含むもの
C03C2201/60	有機質材料を含むもの
C03C2201/80	気泡または微細気泡を含むもの，例．不透明石英ガラス
C03C2203/00	製造方法
C03C2203/10	溶融方法
C03C2203/20	湿式法，例．ゾル−ゲル法
C03C2203/22	コロイドシリカゾルを用いるもの
C03C2203/24	アルカリけい酸塩溶液を用いるもの
C03C2203/26	アルコキシドを用いるもの
C03C2203/27	アルコキシドが他の有機基，例．アルキル基，を含むもの
C03C2203/28	官能基，例．ビニル基，グリシジル基
C03C2203/30	添加剤
C03C2203/32	触媒
C03C2203/34	シリカ粉末を添加するもの
C03C2203/36	ゲルの含浸
C03C2203/40	気相法
C03C2203/42	出発物質としてハロゲン化けい素を用いるもの
C03C2203/44	塩素を含むもの
C03C2203/46	ふっ素を含むもの
C03C2203/50	後処理
C03C2203/52	熱処理
