H01H2003/323	｛機構が調整可能であるもの｝
H01H2003/326	｛軸受を使用するもの｝
H01H3/34	ラチエットを使用するもの
H01H3/36	ベルト，チェーン，コードを使用するもの
H01H3/38	スプリングまたは他の可撓軸の接手を使用するもの
H01H3/40	摩擦，歯，または回転移動ナット装置を使用するもの
H01H2003/405	｛ウォーキングナットを用いるもの｝
H01H3/42	カムまたは偏心を使用するもの
H01H3/44	ゼネバ運動を使用するもの
H01H3/46	ロッドまたはレバーの連係を使用するもの，例．トッグル
H01H2003/463	｛垂直な力の伝達のためにブレードスプリングを用いるもの｝
H01H2003/466	｛レバーの接続に一体ヒンジを用いるもの｝
H01H3/48	空ら動き装置を使用するもの
H01H3/50	指示または位置限定手段をもつもの，例．ボールとスプリングによる指示
H01H3/503	｛電磁石を使用するもの｝
H01H2003/506	｛永久磁石を使用するもの｝
H01H3/52	中間操作位置で停止を確実にする手段をもつもの
H01H3/54	操作部分，駆動機構または接点を結合および離脱するための機構
H01H3/56	電磁的クラッチを使用するもの
H01H3/58	摩擦，歯または他の機械的クラッチを使用するもの
H01H3/60	振動または衝撃を防止または抑制する機械的装置
H01H3/605	｛液体ダンパを使用するもの｝
H01H3/62	スイッチと構造上関連した潤滑装置（接触面を滑らかにするものＨ０１Ｈ１／６０）
H01H5/00	速動装置，すなわち１回の開放操作または閉合操作中勢力が最初蓄積されそれから接点運動を生じるかまたは助けるために放出されるもの
H01H5/02	磁気部品の吸引または反発作用により勢力が蓄積されるもの
H01H5/04	弾性部材の変形により勢力が蓄積されるもの（熱作動スイッチのバイメタル素子の変形によるものＨ０１Ｈ３７／５４）
H01H5/045	｛負荷して割り込ませた協働バネまたは操作部材と接触子構造間のカム部品を使用するもの｝
H01H5/06	コイルバネの圧縮または伸張によるもの
H01H5/08	バネの一端が操作部分により動かされる時，その他端が接点部材に動きを伝えるもの
H01H5/10	バネの一端がスイッチの固定または可動部分に固定して接続され他端がピン，カム，噛合いまたは他の形状表面を介してそれぞれ可動または固定剛性部材と共に反動するもの
H01H5/12	連続的に２つ以上の速動運動を行なうもの
H01H5/14	ねじれ部材のねじれによるもの
H01H5/16	ねじれ部材が十分に変形するまで部品を一時的に保持するための補助手段をもつもの
H01H5/18	板バネの曲げによるもの
H01H5/20	１枚の板バネが死点を越えて動くもの
H01H5/22	少なくとも１つの速動作動脚と少なくとも１つの別の接点装着脚または接点作動脚とをもつ板バネ
H01H5/24	３つの脚をもつもの
H01H5/26	連続的に２つ以上の速動作動運動を行なうもの
H01H5/28	トッグルを構成する２つの別の板バネによるもの
H01H5/30	円盤形ばねの弯曲によるもの
H01H7/00	開閉操作の開始と接点の開放または閉合との間に予め定められた遅延時間を作る装置（時限または時限プログラムスイッチＨ０１Ｈ４３／００）
H01H7/02	流体時限装置をもつもの
H01H7/03	ダッシュポットをもつもの
H01H7/04	羽根調速機をもつもの，すなわちファンガバナ
H01H7/06	熱的時限装置をもつもの
H01H7/08	機械的速度調整装置により時限をもつもの
H01H7/10	エスケープメントによるもの
H01H7/12	機械的
H01H7/14	電磁的
H01H7/16	交流周波の予め定められた点でスイッチの操作を確実にする装置（回路装置Ｈ０１Ｈ９／５６）
H01H9/00	グループＨ０１Ｈ１／００〜Ｈ０１Ｈ７／００に含まれない開閉装置の細部
H01H9/0005	｛タップ変換装置｝
H01H9/0011	｛電圧セレクタスイッチ｝
H01H9/0016	｛タップ変換装置用接点装置｝
H01H2009/0022	｛タップ変換を含む油容器の円筒壁への固定接点またはタップの取り付け；スクリーニングの細部｝
H01H9/0027	｛操作機構｝
H01H9/0033	｛選択されたタップを表示する手段または選択されてタップの数を制限する手段｝
H01H9/0038	｛真空スイッチを利用できるもの｝
H01H9/0044	｛ケーシング；装架；トランス収容装置の配置｝
H01H2009/005	｛油で満たされたケーシングのシールに関する細部｝
H01H2009/0055	｛タップ切替装置のためのオイルフィルター｝
H01H2009/0061	｛タップ切替装置の監視｝
H01H9/0066	｛補助接点装置（アークトランス用Ｈ０１Ｈ９／３８；電磁リレー用Ｈ０１Ｈ５０／５４１）｝
H01H9/0072	｛三相スイッチに特有のもの（同期開閉Ｈ０１Ｈ９／５６３）｝
H01H2009/0077	｛リサイクル可能な材料を用いるもの，例．リサイクルを容易にするものまたは梱包材を最小限にするもの｝
H01H2009/0083	｛冗長部品，例．圧力スイッチのための２つの圧力管，を用いるもの｝
H01H2009/0088	｛１より多い極またはスイッチユニットに共通する回転軸の細部｝
H01H2009/0094	｛分離された回転軸の細部；その結合手段の細部｝
H01H9/02	基部，ケーシングまたはカバー（複数のスイッチまたは１つのスイッチと他の電気的構成物に適用するものＨ０２Ｂ１／２６）
H01H9/0207	｛調整可能な箱体の装架｝
H01H9/0214	｛携帯型箱体｝
H01H2009/0221	｛スイッチが操作者の手に保持されるもの，例．手袋に埋め込まれたものまたは指輪に固定されたもの｝
H01H9/0228	｛ラインコードスイッチ｝
H01H9/0235	｛遠隔操作に特に適応したもの，例．音響映像機器のもの｝
H01H9/0242	｛保護外装；緩衝手段｝
H01H9/025	｛配置または操作を容易にするスタンドまたはオーガナイザ｝
H01H2009/0257	｛少なくとも２つの面，例．表面と裏面，に制御要素または表示要素を含む多面遠隔制御｝
H01H9/0264	｛端子の保護カバー｝
H01H9/0271	｛スイッチと電子部品を組み合わせるもの（継電器のものＨ０１Ｈ５０／０２１）｝
H01H2009/0278	｛ケーシングが特別なノイズ低減手段，例．内側と外側の間の弾性発泡剤，をもつもの｝
H01H2009/0285	｛ケーシングが組み立てられたスイッチまたはリレーを超えて成型されたもの｝
H01H2009/0292	｛透明窓または開口，例．接点の位置や接点の状態の目視点検を可能にするもの｝
H01H9/04	防塵，防まつ，防滴，防水，または防火の箱
H01H9/041	｛作動部材を通過させる振動板により密閉されたケーシング（真空スイッチＨ０１Ｈ３３／６６）｝
H01H9/042	｛防爆ケース｝
H01H9/043	｛圧力開放装置を持つもの｝
H01H9/045	｛カバーと操作機構間に相互鎖錠機構をもつもの｝
H01H9/046	｛通風装置をもつもの｝
H01H9/047	｛通風装置を備えるもの｝
H01H2009/048	｛密封ブーツを用いるもの，例．ケーシングが操作部材を取り囲む別個の弾性体を有しその開口部を密閉して塞ぐもの｝
H01H9/06	スイッチの作動以外の目的に供するハンドルにより構成されたスイッチのケーシング，例．真空掃除器のハンドルによるもの
H01H9/061	｛連続可変インピーダンスを収容するもの｝
H01H9/063	｛可逆スイッチを収容するもの｝
H01H2009/065	｛電池とスイッチが直接接続された電池駆動の手工具｝
H01H2009/066	｛制御ハンドル，例．変速レバー，に取り付けられたスイッチをもつもの｝
H01H2009/068	｛ハンドルバー，例．自動二輪車，フォークリフトトラック等のもの，に取り付けられたスイッチをもつもの｝
H01H9/08	スイッチの交換を容易にする装置，例．カートリッジハウジング
H01H9/085	｛接点搬送素子を取り外すことにより有効となる接点間隔｝
H01H9/10	ヒューズの組込に適するもの（スイッチおよびヒューズを共通の支持体上または内に装着するものＨ０２Ｂ１／１８）
H01H9/102	｛スイッチの可動接触部品に搭載されまたは構成するヒューズ｝
H01H9/104	｛スイッチとヒューズの相互鎖錠機構をもつもの｝
H01H9/106	｛並列に接続されたヒューズおよびスイッチ｝
H01H2009/108	｛電池のための摺動および／または取り外し可能な橋絡コネクタの構築｝
H01H9/12	接点に通常導電的に接続されないスイッチ部品を接地する装置
H01H9/14	安全放電間隙の組み込みに適合するもの
H01H9/16	開閉状態の表示，例．オンまたはオフ
H01H9/161	｛発光素子を備えるもの｝
H01H9/162	｛発光素子の除去及び交換を容易にする手段｝
H01H2009/164	｛その発光素子が内部に組み込まれ操作部とともに可動であるもの｝
H01H9/165	｛番号を付されたダイヤルからなるもの（サムホイールスイッチＨ０１Ｈ１９／００１）｝
H01H9/167	｛遠隔表示用回路｝
H01H9/168	｛電磁波通信を用いるもの｝
H01H9/18	スイッチの識別マーク，例．暗所でスイッチの所在を示すためのもの；識別マークを収容するためのスイッチの適応
H01H9/181	｛プログラマブルディスプレイを用いるもの，例．ＬＥＤまたはＬＣＤ｝
H01H9/182	｛記号または識別マークの照明（Ｈ０１Ｈ９／１８１が優先）｝
H01H2009/183	｛照明された記号と背景との間または並置された符号どうしの間のコントラストを向上させるための装置｝
H01H2009/184	｛レーザ光を用いた記号の照明｝
H01H9/185	｛蛍光またはりん光符号または識別標識（Ｈ０１Ｈ９／１８１が優先）｝
H01H2009/186	｛ＥＬパネルを用いるもの｝
H01H2009/187	｛レーザによって刻まれまたは印刷された記号をもつもの｝
H01H2009/188	｛等級を表示するもの｝
H01H2009/189	｛触覚記号または触覚表示，例．盲人のためのもの，をもつもの｝
H01H9/20	相互鎖錠，鎖錠または掛止め機構
