G03B19/08	感光板またはカットフイルムを取り替えて使用する装置をもつもの
G03B19/10	感光板用またはカットフイルム用カメラ（ロールフイルムと取り替えて使用する装置をもつものＧ０３Ｂ１９／０８）
G03B19/12	一つの対物レンズと可動反射鏡または半透明鏡を有するレフレックスカメラ
G03B19/14	一対のレンズを有し，一方のレンズは感光材料上に像を形成し他方のレンズは対応する像を焦点板上に形成するもの
G03B19/16	ピンホールカメラ
G03B19/18	映画用カメラ（連続的かつ間欠的でないフイルム走行をもつものＧ０３Ｂ４１／０２）
G03B19/20	レフレックスカメラ
G03B19/22	ダブルカメラ
G03B19/24	二つ以上のフイルムを装填するのに用いられるもの，例．必要に応じ一方または他方を露出しうるもの
G03B19/26	溶暗および溶明の効果をもつもの
G03B21/00	映写機または投映形式のビュアー；その付属品（画面変換装置Ｇ０３Ｂ２３／００）
G03B21/001	｛スライド映写機｝
G03B21/003	｛映写機｝
G03B21/005	｛電子空間光変調器を用いるがそれに特有でない映写機｝
G03B21/006	｛ＬＣＤを用いるもの｝
G03B21/008	｛マイクロミラー装置を用いるもの｝
G03B21/02	複数のフイルムを使用する装置
G03B21/04	映像用ジュークボックス
G03B21/06	実物投映だけができるもの
G03B21/08	実物およびスライドの投映ができるもの
G03B21/10	内蔵型または外付型スクリーンをもっている投映機
G03B21/11	マイクロフイルム読取用
G03B21/111	｛フイルムの巻取り｝
G03B21/113	｛巻取りフイルムの取扱い｝
G03B21/115	｛マイクロフィッシュ｝
G03B21/116	｛マイクロフィッシュの取扱い｝
G03B21/118	｛リーダープリンター｝
G03B21/12	静止画面または活動画面のいづれをも投映するために用いるもの（一駒持続映写Ｇ０３Ｂ２１／３８）
G03B21/13	画面の縁に特別の効果，例．ブラーリングを起こす投映機
G03B21/132	オーバーヘッド投映機，すなわち作動中に文字や画の手書きを投映できるもの（実物およびスライドの投映ができるものＧ０３Ｂ２１／０８）
G03B21/134	印字装置または印刷装置と組み合わせられた投映機
G03B21/14	細部
G03B21/142	｛投影光学の調整｝
G03B21/145	｛ハウジング細部，例．その位置調整｝
G03B21/147	｛イメージ歪みの光学的補正，例．キーストン｝
G03B21/16	冷却；過熱防止
G03B21/18	防火または消火
G03B21/20	ランプ・ハウス
G03B21/2006	｛光源に特徴のあるもの｝
G03B21/2013	｛複数の光源｝
G03B21/202	｛白熱光源｝
G03B21/2026	｛ガス放電型の光源，例．アーク｝
G03B21/2033	｛ＬＥＤまたはレーザ光源｝
G03B21/204	｛二鹿光を用いるもの，例，ルミネセンスまたは蛍光（異なる色を用いるものＧ０３Ｂ３３／００；ビデオ信号に関するものであればＨ０４Ｎ９／３１９７）｝
G03B21/2046	｛光源の位置的調節｝
G03B21/2053	｛照明光の強度の制御（ビデオ信号処理により制御されるものＨ０４Ｎ５／７４またはＨ０４Ｎ９／３１）｝
G03B21/206	｛位置または強度以外の光源の制御｝
G03B21/2066	｛照明ビーム中の反射鏡（投影ビーム中のものＧ０３Ｂ２１／２８）｝
G03B21/2073	｛ランプハウスの中の偏光子（電子空間光変調器に特有のものＨ０４Ｎ９／３１９７）｝
G03B21/208	｛照明光の均質化，成形｝
G03B21/2086	｛ランプハウスの防犯または安全手段｝
G03B21/22	防音器
G03B21/26	主たる像と同時に別個の補助物体を投映すること
G03B21/28	投映光路中にある反射鏡｛（照明ビーム中のものＧ０３Ｂ２１／２０６６）｝
G03B21/30	分解または折りたたみに適したもの，例．携帯性を与えるもの
G03B21/32	特に映写機に用いられる細部（フイルムが映写ゲートを連続的に通過するものＧ０３Ｂ４１／０２）
G03B21/321	｛フイルムのホルダー，例．リール，カセット，スピンドル｝
G03B21/323	｛カセット（Ｇ０３Ｂ２１／３２６，Ｇ０３Ｂ２１／３２８が優先；感光材料を含むもの用Ｇ０３Ｂ１７／２６５）｝
G03B21/325	｛無端カセット｝
G03B21/326	｛リールあるいはスピンドルの軸にフイルムを固定するための手段｝
G03B21/328	｛リールの周囲にフイルムを固定するための手段｝
G03B21/34	切替え装置
G03B21/36	フェード，ディゾルブまたはワイプ
G03B21/38	一駒持続映写
G03B21/40	フリッカーの影響を除去しまたは減少させるもの
G03B21/42	映写機の異常な作動によるフイルムの損傷を防止するもの
G03B21/43	駆動機構
G03B21/44	フイルム片材料に輸動動作を伝達する機構；シャッターと間歇輸動装置との機械的な連結手段
G03B21/46	フレーミングの調節ができるもの
G03B21/48	駒速度を変えるもの；フイルムの一定速度を規制するもの
G03B21/50	走行中のフイルム片によって作動される制御装置
G03B21/52	そのための加工を施したフイルムによるもの
G03B21/53	自動焦点調節，例．熱の影響を補正するための，手段
G03B21/54	付属品
G03B21/56	映写スクリーン
G03B21/562	｛映写中の映写面移動（Ｇ０３Ｂ２１／５８〜Ｇ０３Ｂ２１／６２が優先）｝
G03B21/565	｛音響の透過を許容する映写面（Ｇ０３Ｂ２１／５８〜Ｇ０３Ｂ２１／６２が優先）｝
G03B21/567	｛カラー映写用（Ｇ０３Ｂ２１／５８，Ｇ０３Ｂ２１／６０が優先）｝
G03B21/58	分解できるもの，例．折りたためるもの；面積を変化できるもの
G03B21/585	膨張可能なスクリーン
G03B21/60	表面の性質に特徴のあるもの
G03B21/602	レンチキュラースクリーン（Ｇ０３Ｂ２１／６２５が優先）
G03B21/604	偏光スクリーン
