B60Y2304/07	組立または取付の容易化
B60Y2304/072	予め組み立てられたサブユニットによるもの
B60Y2304/074	改善されたアクセス性によるもの
B60Y2304/076	追加部材によるもの，例．レトロフィット
B60Y2304/078	交換可能な部品によるもの，例．新部品の旧デザインへの適応
B60Y2304/09	製造中のテストまたはキャリブレーション
B60Y2306/00	車両のサブユニットのその他の特徴
B60Y2306/01	衝突の場合のダメージ低減，例．バッテリー保護の改良によるもの
B60Y2306/03	潤滑
B60Y2306/05	冷却
B60Y2306/07	乗客空間の加熱
B60Y2306/09	ノイズの低減
B60Y2306/11	ノイズの発生，例．電気自動車が近づいていることを歩行者に警報するためにノイズを起こするもの
B60Y2306/13	フェイルセーフ手段
B60Y2306/15	故障診断
B60Y2400/00	車両ユニットの特別な特徴
B60Y2400/10	エネルギー保存デバイス
B60Y2400/102	水素燃料のためのもの
B60Y2400/104	液化石油ガスのためのもの
B60Y2400/106	ガスオイルのためのもの
B60Y2400/11	電気エネルギー保存
B60Y2400/112	バッテリー充電
B60Y2400/114	スーパーキャパシター
B60Y2400/14	水圧エネルギーの保存，例．水アキュムレータ
B60Y2400/15	圧力エネルギーの保存，例．圧力エアタンク
B60Y2400/16	機械エネルギー保存
B60Y2400/162	フライホイール
B60Y2400/164	ばね
B60Y2400/20	エネルギー変換器
B60Y2400/202	燃料セル
B60Y2400/204	発電セット，エンジンおよび発電機が一つのユニット
B60Y2400/206	熱電気発生器
B60Y2400/208	冷却または加熱のためのペルチェまたはトムソン素子
B60Y2400/209	圧電素子
B60Y2400/21	外部パワー源
B60Y2400/212	頭上のケーブルからのパワー
B60Y2400/214	内部的な供給源からのパワー，例．プラグ
B60Y2400/216	ソーラーパネルからのパワー
B60Y2400/30	センサー
B60Y2400/301	位置または変位のためのもの
B60Y2400/3012	ホール効果を使用したもの
B60Y2400/3015	光学カメラ
B60Y2400/3017	レーダー
B60Y2400/3018	流れセンサ
B60Y2400/3019	流体レベルセンサ
B60Y2400/302	温度センサ
B60Y2400/303	速度センサ
B60Y2400/3032	車輪速度センサ
B60Y2400/304	加速度センサ
B60Y2400/3042	衝突センサ
B60Y2400/3044	振動センサ
B60Y2400/305	力センサ
B60Y2400/306	圧力センサ
B60Y2400/307	トルクセンサ
B60Y2400/308	電気センサ
B60Y2400/3084	電流センサ
B60Y2400/3086	電圧センサ
B60Y2400/40	制御メンバーを動かすためのアクチュエータ
B60Y2400/402	手動アクチュエータ，すなわちそのための入力レバーまたは動力リンク
B60Y2400/4024	位置を調整可能なもの
B60Y2400/4026	感覚を提供するもの，例．フィードバック力があるもの
B60Y2400/404	電磁アクチュエータ，例．クラッチメンバーを動かすために回転しない電磁石
B60Y2400/4045	電磁バルブ，すなわちソレノイド
B60Y2400/405	電気モーターアクチュエータ
B60Y2400/406	水圧アクチュエータ
B60Y2400/408	気体アクチュエータ
B60Y2400/41	アクチュエータのための機械的な動力伝達部材
B60Y2400/411	ボーデンケーブルまたはリンク
B60Y2400/4115	ロストモーションリンク
B60Y2400/4117	たるみの調整
B60Y2400/412	スクリューナットメカニズム
B60Y2400/414	傾斜またはカムメカニズム
B60Y2400/416	遠心アクチュエータ
B60Y2400/418	動力補助，例．サーボモータ
B60Y2400/4185	機械的な補助，すなわちフィードバック制御なしにばねまたはアキュムレータを使用するもの
B60Y2400/4187	サーボモータ，例．フィードバック制御による電気または流体サーボモータ
B60Y2400/42	クラッチまたはブレーキ
B60Y2400/421	ドッグタイプクラッチまたはブレーキ
B60Y2400/422	シンクロメッシュタイプクラッチまたはブレーキ
B60Y2400/423	電磁クラッチ，例．パウダータイプクラッチ
B60Y2400/424	摩擦クラッチ
B60Y2400/4242	ドライタイプ
B60Y2400/4244	ウェットタイプ，例．多板を使用するもの
B60Y2400/425	粘性カップリング
B60Y2400/426	水圧カップリング，例．トルクコンバータ
B60Y2400/427	ワンウェイクラッチ
B60Y2400/428	ダブルクラッチ；デュアルクラッチ
B60Y2400/43	エンジン
B60Y2400/431	ガスタービンエンジン
B60Y2400/432	ディーゼルエンジン
B60Y2400/433	ガスエンジン，例．ＬＰＧ，天然ガスまたはガス化装置を使用するもの
B60Y2400/434	水素燃料エンジン
B60Y2400/435	スーパーチャージャーまたはターボチャージャー
B60Y2400/436	電磁エンジンバルブ
B60Y2400/44	排気タービン駆動発電機
B60Y2400/442	排気ガス再循環（ＥＧＲ）
B60Y2400/446	排気ガスリフォーマー，例．燃料セルで処理されるもの
B60Y2400/46	エンジン始動水圧または電動モーター
B60Y2400/47	スターター発電機駆動システム
B60Y2400/48	振動ダンパー，例．デュアルマスフライホイール
B60Y2400/60	電動機械，例．モーターまたは発電機
B60Y2400/602	直流機械
