A63H23/10	その他の水中玩具，浮遊玩具，または類似の浮揚性のある玩具
A63H23/12	水上投射物体玩具；衝突して分解する玩具；分解する船玩具
A63H23/14	特殊な駆動装置
A63H23/16	水上玩具装置；港装置
A63H27/00	飛行機玩具；その他の飛行玩具（パラシュートを有する玩具Ａ６３Ｈ３３／２０）；　｛そのための発進または発射装置｝
A63H27/001	｛その製造または組み立て，例．折りたたみによるもの｝
A63H27/002	｛たこまたは類似のつながれた飛行玩具の操作のための手段，例．たこのリール（リール一般Ｂ６５Ｈ７５／００）｝
A63H27/004	｛飛行機から対象物を発射させるための手段，例．パイロット，ミサイル｝
A63H27/005	｛ロケット；ミサイル｝
A63H27/007	｛折りたたみ可能な翼，例．カタパルト式飛行機用｝
A63H27/008	｛翼のばたつきにより推進するもの（玩具用の伸縮性ゴムバンドを有する駆動機構一般Ａ６３Ｈ２９／１８）｝
A63H27/02	模型飛行機
A63H27/04	繋留航空機玩具
A63H27/06	ジェット推進飛行玩具，例．飛行機（Ａ６３Ｈ２７／０４，Ａ６３Ｈ２７／１２が優先）
A63H27/08	たこ　｛（玩具の観点以外のものＢ６４Ｃ３１／０６）｝
A63H27/082	｛回転たこ；回転部材を備えるたこ｝
A63H27/085	｛膨らませることができるたこ｝
A63H27/087	｛たこの糸にそって対象物を発射させるための手段，例．落下傘を有するもの｝
A63H27/10	気球（ふくらむ弾性体への弁の取付けＢ６０Ｃ２９／００；　｛玩具の観点以外のものＢ６４Ｂ１／４０｝）
A63H2027/1008	錨留め手段またはおもり
A63H2027/1016	キャンディーまたは他の食品と結合したもの
A63H2027/1025	製作技術またはそのための特殊材料
A63H2027/1033	気球を膨らませるための膨張装置または方法
A63H2027/1041	保持または密封手段，例．ロッド，クランプまたはプラグの操作
A63H2027/105	結び手段
A63H2027/1058	照明または音に関連するもの
A63H2027/1066	運動をガイドするための手段を有するもの，例．プロペラまたは翼
A63H2027/1075	特殊な形状または構造（飛行機型気球用Ａ６３Ｈ２０２７／１０６６）
A63H2027/1083	バルブまたはノズル
A63H2027/1091	内部に挿入された対象物を有するもの；対象物を挿入するための手段または方法
A63H27/12	ヘリコプター（Ａ６３Ｈ２７／０４が優先）；飛行こま
A63H27/14	航空機玩具のための出発または進水装置；出発または進水のために航空機玩具に付けた装置　｛（飛行機から対象物を発射するためのものＡ６３Ｈ２７／００４）｝
A63H29/00	玩具のための駆動装置一般
A63H29/02	ぜんまい仕掛け装置
A63H29/04	らせん形バネ駆動装置
A63H29/06	その他の素子
A63H29/08	球またはおもりによって動かされる駆動装置
A63H29/10	流動性媒体によって動かされる駆動装置
A63H29/12	砂の流れによるもの
A63H29/14	水の流れによるもの
A63H29/16	蒸気または圧縮空気によるもの
A63H29/165	｛ジェット推進するもの｝
A63H29/18	伸張性のあるゴムバンドを有する駆動装置
A63H29/20	フライホイールによる駆動装置
A63H29/22	電気的駆動装置（軌道を通して源動力を供給するものＡ６３Ｈ１８／１２）
A63H29/24	駆動装置のための細部または付属品，例．機関玩具を巻き上げまたは始動するための手段
A63H30/00	玩具，例．玩具車輛，のために特に適用されたリモートコントロール装置，（玩具の車輛の操舵機構Ａ６３Ｈ１７／３６；鉄道模型用Ａ６３Ｈ１９／２４，Ａ６３Ｈ１９／２８）
A63H30/02	電気的装置（変成器Ｈ０１Ｆ；変換器Ｈ０２Ｍ）
A63H30/04	無線送信を使用するもの
A63H30/06	水力圧利用または空気圧利用装置
A63H31/00	玩具のための伝動装置（伝動装置一般Ｆ１６Ｈ）
A63H31/02	ねじ軸機構
A63H31/04	フリクション機構
A63H31/06	ベルトまたはひも伝動装置
A63H31/08	歯車制御装置；往復運動を伝えるための伝動装置
A63H31/10	可撓性管で包被された可動のワイヤによって動かされる伝動機構
A63H33/00	他の玩具
A63H33/001	｛玩具成形用装置；玩具成形｝
A63H33/002	｛往復または振動運動を回転運動へ変換するための装置，例．プロペラ用｝
A63H33/003	｛変換可能な玩具，例．ロケットに変換可能なロボットまたは飛行機に変換可能な車両｝
A63H33/004	｛布または詰め物から製造されるもの｝
A63H33/005	｛電動回転玩具｝
A63H33/006	｛幼児運動，例．ベビーベットに装着するためのもの｝
