H01R11/281	｛電池に接続するためのもの｝
H01R11/282	｛嵌合または解放を容易にするための手段からなるもの，例．急速解除端子｝
H01R11/283	｛電池端子柱に平行なボルト，ねじ，またはねじ切りしたはめ輪｝
H01R11/284	｛腐食を防止するための手段からなるもの，例．カバー，ゲルを充填した密封箱｝
H01R11/285	｛同じ鎖錠手段で固着した電池端子柱およびケーブル｝
H01R11/286	｛電池端子柱と締め付け部材間の接触を良くするための手段を有するもの，例．不ぞろいな内面｝
H01R11/287	｛電池端子柱とケーブル端部片間の中間部品｝
H01R11/288	｛バッテリー同士間の相互接続｝
H01R11/289	｛電池端子柱の形状または構造に特徴があるもの｝
H01R11/30	磁石により接触が保たれる端子片
H01R11/32	２個またはそれ以上の端末をもつ端子片
H01R12/00	印刷回路（例，印刷回路基板（ＰＣＢ），フラットケーブルもしくはリボンケーブル）または通常は平面構造になっている類似のもの（例，端子片，端子ブロック）に特に適した，複数の相互絶縁された電気接続部材の構造的な集合体；印刷回路，フラットケーブルもしくはリボンケーブル，または通常は平面構造になっている類似のものに特に適した嵌合装置；印刷回路，フラットケーブルもしくはリボンケーブル，または通常は平面構造になっている類似のものとの接触，またはそれらへの挿入に特に適した端子（印刷回路への，または印刷回路間の印刷接続Ｈ０５Ｋ１／１１）
H01R12/50	固定接続
H01R12/51	剛性の印刷回路または類似の構造物のためのもの
H01R12/515	｛端子ブロックが電線またはケーブルに接続するもの｝
H01R12/52	他の剛性の印刷回路または類似の構造物への接続
H01R12/523	｛基板または多層基板内に整列した孔を通しての相互接続によるもの｝
H01R12/526	｛印刷回路が同一の基板上にあるもの（孔を通じてメッキされたものＨ０５Ｋ３／４２）｝
H01R12/53	フラットケーブルまたはリボンケーブルを除くケーブルへの接続
H01R12/55	端子に特徴があるもの
H01R12/57	表面実装端子
H01R12/58	穴へ挿入するための端子
H01R12/585	｛印刷回路基板における孔を通じた圧入または従順な部分およびシャンクをもつ端子｝
H01R12/59	可撓性の印刷回路，フラットケーブルもしくはリボンケーブルまたは類似の構造物のためのもの
H01R12/592	｛接点要素への接続｝
H01R12/594	｛シールドフラットケーブルのためのもの｝
