C09K11/626	｛ハロゲン化物（Ｃ０９Ｋ１１／２６Ｂ(ＥＣＬＡ)が優先）｝
C09K11/628	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/63	ホウ素を含むもの
C09K11/632	｛ハロゲン化物（Ｃ０９Ｋ１１／６３６およびＣ０９Ｋ１１／６３８が優先）｝
C09K11/634	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/636	｛ケイ酸塩｝
C09K11/638	｛硫酸塩｝
C09K11/64	アルミニウムを含むもの
C09K11/641	｛カルコゲニド｝
C09K11/642	｛亜鉛またはカドミウムを有するもの｝
C09K11/643	｛アルカリ土類金属を有するもの｝
C09K11/644	｛ハロゲン化物（Ｃ０９Ｋ１１／６４１，Ｃ０９Ｋ１１／６４６からＣ０９Ｋ１１／６４８が優先）｝
C09K11/645	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/646	｛ケイ酸塩｝
C09K11/647	｛ホウ酸塩｝
C09K11/648	｛硫酸塩｝
C09K11/65	炭素を含むもの（有機化合物中のものＣ０９Ｋ１１／０６）
C09K11/655	｛アルミン酸塩；ケイ酸塩｝
C09K11/66	ゲルマニウム，錫または鉛を含むもの
C09K11/661	｛カルコゲニド｝
C09K11/662	｛亜鉛またはカドミウムを有するもの｝
C09K11/663	｛アルカリ土類金属を有するもの｝
C09K11/664	｛ハロゲン化物（Ｃ０９Ｋ１１／６６１，Ｃ０９Ｋ１１／６６６からＣ０９Ｋ１１／６６８が優先）｝
C09K11/665	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/666	｛アルミン酸塩；ケイ酸塩｝
C09K11/667	｛ホウ酸塩｝
C09K11/668	｛硫酸塩｝
C09K11/67	耐火金属を含むもの
C09K11/671	｛カルコゲニド｝
C09K11/672	｛亜鉛またはカドミウムを有するもの｝
C09K11/673	｛アルカリ土類金属を有するもの｝
C09K11/674	｛ハロゲン化物（Ｃ０９Ｋ１１／６７１，Ｃ０９Ｋ１１／６７６からＣ０９Ｋ１１／６７９が優先）｝
C09K11/675	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/676	｛アルミン酸塩；ケイ酸塩｝
C09K11/677	｛ゲルマニウム酸塩｝
C09K11/678	｛ホウ酸塩｝
C09K11/679	｛硫酸塩｝
C09K11/68	クロム，モリブデンまたはタングステンを含むもの
C09K11/681	｛カルコゲニド｝
C09K11/682	｛亜鉛またはカドミウムを有するもの｝
C09K11/684	｛アルカリ土類金属を有するもの｝
C09K11/685	｛アルミン酸塩；ケイ酸塩｝
C09K11/687	｛ホウ酸塩｝
C09K11/688	｛硫酸塩｝
C09K11/69	バナジウムを含むもの
C09K11/691	｛カルコゲニド｝
C09K11/693	｛亜鉛またはカドミウムを有するもの｝
C09K11/695	｛アルカリ土類金属を有するもの｝
C09K11/696	｛ハロゲン化物｝
C09K11/698	｛アルミン酸塩；ケイ酸塩｝
C09K11/70	リンを含むもの
C09K11/701	｛カルコゲニド｝
C09K11/703	｛亜鉛および／またはカドミウムを有するもの｝
C09K11/705	｛ハロゲン化物（Ｃ０９Ｋ１１／７０１，Ｃ０９Ｋ１１／７０６からＣ０９Ｋ１１／７０８が優先）｝
C09K11/706	｛アルミン酸塩；ケイ酸塩｝
C09K11/708	｛ホウ酸塩｝
C09K11/71	さらにアルカリ土類金属を含むもの
C09K11/712	｛ハロゲン化物（Ｃ０９Ｋ１１／７１７が優先）｝
C09K11/715	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/717	｛アルミン酸塩；ケイ酸塩｝
C09K11/72	さらにハロゲンを含むもの，例．ハロリン酸塩
C09K11/722	｛カルコゲニド｝
C09K11/725	｛アルカリ土類金属を有するもの｝
C09K11/727	｛アルミン酸塩；ケイ酸塩｝
C09K11/73	さらにアルカリ土類金属を含むもの
C09K11/74	ヒ素，アンチモンまたはビスマスを含むもの
C09K11/7407	｛カルコゲニド｝
C09K11/7414	｛亜鉛またはカドミウムを有するもの｝
C09K11/7421	｛アルカリ土類金属を有するもの｝
C09K11/7428	｛ハロゲン化物（Ｃ０９Ｋ１１／７４０７，Ｃ０９Ｋ１１／７４４２からＣ０９Ｋ１１／７４９２が優先）｝
C09K11/7435	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/7442	｛アルミン酸塩；ケイ酸塩｝
C09K11/745	｛ゲルマニウム酸塩｝
C09K11/7457	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/7464	｛リン酸塩｝
C09K11/7471	｛アルカリ土類金属を有するもの｝
C09K11/7478	｛ハロゲンを有するもの｝
C09K11/7485	｛ホウ酸塩｝
C09K11/7492	｛ヒ化物；　窒化物；　りん化物｝
C09K11/75	アンチモンを含むもの
C09K11/751	｛カルコゲニド｝
C09K11/752	｛亜鉛またはカドミウムを有するもの｝
C09K11/753	｛アルカリ土類金属を有するもの｝
C09K11/755	｛ハロゲン化物（Ｃ０９Ｋ１１／７５１，Ｃ０９Ｋ１１／７５７からＣ０９Ｋ１１／７５８が優先）｝
C09K11/756	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/757	｛アルミン酸塩；ケイ酸塩｝
C09K11/758	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/76	さらにリンおよびハロゲンを含むもの，例．ハロリン酸塩
C09K11/765	｛ホウ酸塩｝
C09K11/77	希土類金属を含むもの
C09K11/7701	｛カルコゲニド｝
C09K11/7702	｛亜鉛またはカドミウムを有するもの｝
C09K11/7703	｛アルカリ土類金属を有するもの｝
C09K11/7704	｛ハロゲン化物（Ｃ０９Ｋ１１／７７０１，Ｃ０９Ｋ１１／７７０６からＣ０９Ｋ１１／７７１４が優先）｝
C09K11/7705	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/7706	｛アルミン酸塩；ケイ酸塩｝
C09K11/77062	
C09K11/77064	
C09K11/77066	
C09K11/77067	
C09K11/77068	
C09K11/7707	｛ゲルマニウム酸塩｝
C09K11/7708	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/7709	｛リン酸塩｝
C09K11/771	｛アルカリ土類金属を有するもの｝
C09K11/7711	｛ハロゲンを有するもの｝
C09K11/7712	｛ホウ酸塩｝
C09K11/7713	｛硫酸塩｝
C09K11/7714	｛アンチモン酸塩；　ヒ酸塩｝
C09K11/7715	｛セリウムを含有するもの｝
C09K11/7716	｛カルコゲニド｝
C09K11/7717	｛亜鉛またはカドミウムを有するもの｝
C09K11/7718	｛アルカリ土類金属を有するもの｝
C09K11/7719	｛ハロゲン化物（Ｃ０９Ｋ１１／７７１６，Ｃ０９Ｋ１１／７７２１からＣ０９Ｋ１１／７７２７が優先）｝
C09K11/772	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/7721	｛アルミン酸塩；ケイ酸塩｝
C09K11/77212	
C09K11/77214	
C09K11/77216	
C09K11/77217	
C09K11/77218	
C09K11/7722	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/7723	｛リン酸塩｝
C09K11/7724	｛アルカリ土類金属を有するもの｝
C09K11/7725	｛ハロゲンを有するもの｝
C09K11/7726	｛ホウ酸塩｝
C09K11/7727	｛硫酸塩｝
C09K11/7728	｛ユウロピウムを含有するもの｝
C09K11/7729	｛カルコゲニド｝
C09K11/773	｛亜鉛またはカドミウムを有するもの｝
C09K11/7731	｛アルカリ土類金属を有するもの｝
C09K11/7732	｛ハロゲン化物｝
C09K11/7733	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/7734	｛アルミン酸塩；ケイ酸塩｝
C09K11/77342	
C09K11/77344	
C09K11/77346	
C09K11/77347	
C09K11/77348	
C09K11/7735	｛ゲルマニウム酸塩｝
C09K11/7736	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/7737	｛リン酸塩｝
C09K11/7738	｛アルカリ土類金属を有するもの｝
C09K11/7739	｛ハロゲンを有するもの｝
C09K11/774	｛ホウ酸塩｝
C09K11/7741	｛硫酸塩｝
C09K11/7742	｛アンチモン酸塩；　ヒ酸塩｝
C09K11/7743	｛テルビウムを含有するもの｝
C09K11/7744	｛カルコゲニド｝
C09K11/7745	｛亜鉛またはカドミウムを有するもの｝
C09K11/7746	｛アルカリ土類金属を有するもの｝
C09K11/7747	｛ハロゲン化物（Ｃ０９Ｋ１１／７７４４，Ｃ０９Ｋ１１／７７４９からＣ０９Ｋ１１／７７５５が優先）｝
C09K11/7748	｛アルカリまたはアルカリ土類金属を有するもの｝
C09K11/7749	｛アルミン酸塩；ケイ酸塩｝
C09K11/77492	
C09K11/77494	
C09K11/77496	
C09K11/77497	
C09K11/77498	
C09K11/775	｛ゲルマニウム酸塩｝
C09K11/7751	｛バナジン酸塩；　クロム酸塩；　モリブデン酸塩；　タングステン酸塩｝
C09K11/7752	｛リン酸塩｝
C09K11/7753	｛アルカリ土類金属を有するもの｝
C09K11/7754	｛ハロゲンを有するもの｝
C09K11/7755	｛ホウ酸塩｝
C09K11/7756	｛ネオジムを含有するもの｝
C09K11/7757	｛ハロゲン化物（Ｃ０９Ｋ１１／７７５８が優先）｝
C09K11/7758	｛アルミン酸塩；ケイ酸塩｝
C09K11/7759	｛サマリウムを含有するもの｝
C09K11/776	｛カルコゲニド｝
C09K11/7761	｛アルカリ土類金属を有するもの｝
