H03F3/3055	｛２個のパラレルの混合ＳＥＰＰステージ，例．パラレルのＣＭＯＳ共通ドレインとＣＭＯＳ共通ソースもしくはパラレルのバイポーラＳＥＰＰとＦＥＴ　ＳＥＰＰ｝
H03F3/3057	｛最終ステージの非対称駆動をもつもの｝
H03F3/3059	｛最終ステージの対称駆動をもつもの｝
H03F3/3061	｛ブリッジ型，すなわち２個の相補型制御ＳＥＰＰ出力ステージ｝
H03F3/3062	｛最終ステージの非対称駆動をもつもの｝
H03F3/3064	｛最終ステージの対称駆動をもつもの｝
H03F3/3066	｛出力に接続されている相補型パワートランジスターの集電体｝
H03F3/3067	｛最終ステージの非対称駆動をもつもの｝
H03F3/3069	｛出力に接続されている相補型パワートランジスターのエミッタ｝
H03F3/3071	｛最終ステージの非対称駆動をもつもの｝
H03F3/3072	｛ダーリントントランジスタを用いるもの（Ｈ０３Ｆ３／３０７４が優先）｝
H03F3/3074	｛平行パワートランジスタを用いるもの｝
H03F3/3076	｛最終ステージの対称駆動をもつもの｝
H03F3/3077	｛ダーリントントランジスタを用いるもの（Ｈ０３Ｆ３／３０７９が優先）｝
H03F3/3079	｛平行パワートランジスタを用いるもの｝
H03F3/3081	｛シングルエンデッドプッシュプル配置のコピー，すなわちブリッジ回路（ＦＥＴを用いるものＨ０３Ｆ３／３０Ｂ３(ＥＣＬＡ)）｝
H03F3/3083	｛同タイプのパワートランジスタ（Ｈ０３Ｆ３／３００１が優先）｝
H03F3/3084	｛出力信号に制御されるパワートランジスタのひとつ｝
H03F3/3086	｛入力信号に制御される２個のパワートランジスタ｝
H03F3/3088	｛非対称制御をもつもの，すなわち補助位相反転トランジスタを含む１個の制御分岐｝
H03F3/3089	｛制御回路のＦＥＴを包括するもの｝
H03F3/3091	｛２個の分相用相補トランジスタを包括するもの｝
H03F3/3093	｛分相素子として差動増幅器を包括するもの｝
H03F3/3094	｛そのための分相器（Ｈ０３Ｆ３／３０８８，　Ｈ０３Ｆ３／３０９１，　Ｈ０３Ｆ３／３０９３，　Ｈ０３Ｆ３／３０９６，　Ｈ０３Ｆ３／３０９８が優先）｝
H03F3/3096	｛エミッタに出力もっている単一トランジスタおよび集電体を分相器として用いるもの｝
H03F3/3098	｛エトランスを分相器として用いるもの｝
H03F3/34	全段が直流結合された直流増幅器（Ｈ０３Ｆ３／４５が優先）
H03F3/343	半導体装置のみをもつもの
H03F3/3432	｛双極性トランジスタをもつもの｝
H03F3/3435	｛ダーリントン増幅器を用いるもの｝
H03F3/3437	｛相補トランジスタを用いるもの｝
H03F3/345	電界効果装置をもつもの（Ｈ０３Ｆ３／３４７が優先）
H03F3/3455	｛接合形ＦＥＴをもつもの｝
H03F3/347	集積回路におけるもの
H03F3/36	電子管のみをもつもの
H03F3/38	入力側に変調器を出力側に復調器をもつ直流増幅器；かかる増幅器に用いるために特に適合した変調器または復調器　（｛スイッチドキャパシタ増幅器Ｈ０３Ｆ３／００５｝；変調器一般Ｈ０３Ｃ；復調器一般Ｈ０３Ｄ；パルス振幅変調一般Ｈ０３Ｋ７／０２；パルス振幅復調一般Ｈ０３Ｋ９／０２）
H03F3/387	半導体装置のみをもつもの
H03F3/393	電界効果装置をもつもの
H03F3/40	電子管のみをもつもの
H03F3/42	二つ以上の増幅素子が負荷に直列で直流通路をなし，かつ各素子の制御電極が少くとも入力信号の一部で励振される増幅器，例．いわゆるトーテムポール増幅器
H03F3/423	｛ＭＯＳＦＥＴをもつもの｝
H03F3/426	｛接合形ＦＥＴをもつもの｝
H03F3/44	電子管のみをもつもの
H03F3/45	差動増幅器（差動センス増幅器Ｇ１１Ｃ７／０６２）
H03F3/45071	｛半導体装置のみをもつもの｝
H03F3/45076	｛差動増幅器の有効増幅回路へのインプリメンテーション方法によって特徴付けられるもの｝
H03F3/4508	｛有効増幅回路として双極性トランジスタを用いるもの（Ｈ０３Ｆ３／４５２７８が優先）｝
H03F3/45085	｛長尾ペア（Ｈ０３Ｆ３／４５１１２，Ｈ０３Ｆ３／４５１３９が優先）｝
H03F3/45089	｛折り重なってないカスコードステージ｝
H03F3/45094	｛折り重なっているカスコードステージ｝
H03F3/45098	｛ＰＩタイプ（Ｈ０３Ｆ３／４５１２５，Ｈ０３Ｆ３／４５１５２が優先）｝
H03F3/45103	｛折り重なってないカスコードステージ｝
H03F3/45107	｛折り重なっているカスコードステージ｝
H03F3/45112	｛並列入力をもち並列に供給される相補型長尾ペア｝
H03F3/45116	｛折り重なってないカスコードステージ｝
H03F3/45121	｛折り重なっているカスコードステージ｝
H03F3/45125	｛並列入力をもち並列に供給される相補型ＰＩタイプ｝
H03F3/4513	｛折り重なってないカスコードステージ｝
H03F3/45134	｛折り重なっているカスコードステージ｝
H03F3/45139	｛並列入力をもち直列に供給される相補型長尾ペア｝
H03F3/45143	｛折り重なってないカスコードステージ｝
H03F3/45147	｛折り重なっているカスコードステージ｝
H03F3/45152	｛並列入力をもち直列に供給される相補型ＰＩタイプ｝
H03F3/45156	｛折り重なってないカスコードステージ｝
H03F3/45161	｛折り重なっているカスコードステージ｝
H03F3/45165	｛相補型交差結合タイプ｝
H03F3/4517	｛相補型非交差結合タイプ｝
H03F3/45174	｛ミラータイプ｝
H03F3/45179	｛ＭＯＳＦＥＴトランジスタを有効増相回路として用いるもの（Ｈ０３Ｆ３／４５２７８が優先）｝
H03F3/45183	｛長尾ペア（Ｈ０３Ｆ３／４５２１，Ｈ０３Ｆ３／４５２３７が優先）｝
H03F3/45188	｛折り重なってないカスコードステージ｝
H03F3/45192	｛折り重なっているカスコードステージ｝
H03F3/45197	｛ＰＩタイプ（Ｈ０３Ｆ３／４５２２４，Ｈ０３Ｆ３／４５２５１が優先）｝　
H03F3/45201	｛折り重なってないカスコードステージ｝
H03F3/45206	｛折り重なっているカスコードステージ｝
H03F3/4521	｛並列入力をもち並列に供給される相補型長尾ペア｝
H03F3/45215	｛折り重なってないカスコードステージ｝
H03F3/45219	｛折り重なっているカスコードステージ｝
H03F3/45224	｛並列入力をもち並列に供給される相補型ＰＩタイプ｝
H03F3/45228	｛折り重なってないカスコードステージ｝
H03F3/45233	｛折り重なっているカスコードステージ｝
H03F3/45237	｛並列入力をもち直列に供給される相補型長尾ペア｝
H03F3/45242	｛折り重なってないカスコードステージ｝
H03F3/45246	｛折り重なっているカスコードステージ｝
H03F3/45251	｛並列入力をもち直列に供給される相補型ＰＩタイプ｝
H03F3/45255	｛折り重なってないカスコードステージ｝
H03F3/4526	｛折り重なっているカスコードステージ｝
H03F3/45264	｛相補型交差結合タイプ｝
H03F3/45269	｛相補型非交差結合タイプ｝
H03F3/45273	｛ミラータイプ｝
H03F3/45278	｛有効増相回路としてＢｉＦＥＴトランジスタを用いるもの｝
