B		処理操作；運輸	PERFORMING OPERATIONS; TRANSPORTING	
B62L		自転車用制動装置<br><b><ul>注</ul></b><br>（１）このサブクラスは自転車に特有の制動装置または作動機構を包含する。<br>（２）このサブクラスは自転車用のみとして記述しているか否かに関係なく広範に適用できる制動装置または作動機構は一般型とみなし包含しない。ただし，これらはサブクラスＢ６０ＴまたはクラスＦ１６に関係するサブクラスに包含される。	BRAKES SPECIALLY ADAPTED FOR CYCLES; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only adaptations of brakes or actuating mechanisms peculiar to their use on cycles.This subclass <u>does not cover</u> brakes or actuating mechanisms of wider applicability, which are regarded as of general type, irrespective of whether described or claimed only for cycles, which are covered by subclass B60T or the relevant subclasses of class F16.	200
B62M		車輪付車両またはそりの乗手推進；そりまたはサイクルの動力推進；そのような車両に特に適合した伝動装置（車両伝動装置の配置または据え付け一般Ｂ６０Ｋ；伝動装置要素それ自体Ｆ１６）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“伝動装置”は，初動または初動部分から乗手が直接推進効果を与えるもの全ての部材，例．ペダルクランクおよび駆動輪，を意味する。<br><b><ul>サブクラス内の索引</ul></b><br>推進<br>手，足または付加的な動力源による車輪付車両の：機構の種類；推進クランクまたは推進レバーの構造　１／００；３／００，５／００；６／００<br>エンジンの位置を特徴とする動力による単軌道車の　７／００<br>ソリまたはこれに類似の　２７／００<br>車輪付車両またはソリで他に接地部材の備えられていないものの　２９／００<br>伝動装置<br>固定機械部品に特徴のあるもの<br>チェーンまたはベルト；歯車または摩擦車；摩擦ローラ　９／００；１１／００；１３／００<br>クランク軸または連結杆；回転軸　１５／００；１７／００<br>非機械または非固定部材を特徴とするもの　１９／００，２１／００，２３／００<br>変速動作装置　２５／００	RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES; POWERED PROPULSION OF SLEDGES OR CYCLES; TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES(arrangements or mounting of transmissions in vehicles in general B60K; transmission elements <u>per se</u>F16);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following term is used with the meaning indicated:"transmission" means all parts between the prime mover or the part to which a rider immediately applies propulsive effort, e.g. pedal cranks, and a driven ground wheel.<br><br><b><u>Subclass indexes</u></b><br><br><br>PROPULSION<br>Of wheeled vehicles by hand, foot or with additional souce of power: kinds of mechanisms; construction of propulsion cranks or levers B62M1/00; B62M3/00, B62M5/00; B62M6/00<br>Of single-track vehicles by motor, characterised by position of engine B62M7/00<br>Of sledges or the like B62M27/00<br>Of wheeled vehicles or sledges, by ground-engaging means not otherwise provided for B62M29/00<br>TRANSMISSIONS<br>Characterised by rigid mechanical parts thereof<br>chain or belt; toothed or friction wheel; friction roller B62M9/00; B62M11/00; B62M13/00<br>crankshaft or coupling- rods; rotary shaft B62M15/00; B62M17/00<br>Characterised by non-mechanical or non-rigid parts thereof B62M19/00, B62M21/00, B62M23/00<br>Gearing speed-change actuators B62M25/00	777
B63		船舶またはその他の水上浮揚構造物；関連艤装品	SHIPS OR OTHER WATERBORNE VESSELS; RELATED EQUIPMENT	
B63B		船舶またはその他の水上浮揚構造物；艤装品（船舶の換気装置，暖房装置，冷房装置または空気調和装置Ｂ６３Ｊ２／００；掘削機または土砂移送機械の支持物としての浮上構造物Ｅ０２Ｆ９／０６）［２］<br><b><ul>サブクラス内の索引</ul></b><br>船体<br>流体力学的または流体静力学的特徴　Ｂ６３Ｂ１／００<br>構造または構成部品；調整自在のキール；保護　Ｂ６３Ｂ３／００；Ｂ６３Ｂ４１／００；Ｂ６３Ｂ５９／００<br>特殊な形式　Ｂ６３Ｂ５／００，Ｂ６３Ｂ７／００<br>区画；タンクの清掃　Ｂ６３Ｂ１１／００；Ｂ６３Ｂ５７／００<br>上部構造物；船体または上部構造物の開口部　Ｂ６３Ｂ１５／００；Ｂ６３Ｂ１９／００<br>空荷，バラスト；復原性；安全性　Ｂ６３Ｂ１３／００，Ｂ６３Ｂ２９／１６；Ｂ６３Ｂ３９／００；Ｂ６３Ｂ４３／００<br>係船，移動；救命艇の操作　Ｂ６３Ｂ２１／００；Ｂ６３Ｂ２３／００<br>貨物または乗員のための設備　Ｂ６３Ｂ２５／００，Ｂ６３Ｂ２７／００，Ｂ６３Ｂ２９／００<br>信号，照明器具，航海用具の設備　Ｂ６３Ｂ４５／００，Ｂ６３Ｂ４９／００<br>船舶の部品および付属品　Ｂ６３Ｂ１７／００<br>船舶<br>設計またはそれらの性能予測　Ｂ６３Ｂ７１／００<br>建造または組み立て　Ｂ６３Ｂ７３／００<br>特性の監視またはパラメーターの操作　Ｂ６３Ｂ７９／００<br>修理または保守　Ｂ６３Ｂ８１／００<br>再建造または改造<br>船舶の分解または解体　Ｂ６３Ｂ８５／００<br>浮揚海洋構造物<br>建造または組み立て　Ｂ６３Ｂ７５／００<br>浮力を用いる現場の輸送または搬入　Ｂ６３Ｂ７７／００<br>水上スポーツボード；それらのための付属品　Ｂ６３Ｂ３２／００<br>水上スポーツまたはレジャーに特に適合される船舶；水上スポーツまたはレジャーに特に適合される身体支持具　Ｂ６３Ｂ３４／００<br>特定の目的に特に適合され他に分類されない船舶または類似する浮揚構造物　Ｂ６３Ｂ３５／００<br>ブイ；航路指示　Ｂ６３Ｂ２２／００；Ｂ６３Ｂ５１／００	SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING(arrangements of vessel ventilation, heating, cooling, or air-conditioning B63J2/00; floating substructures as supports of dredgers or soil-shifting machines E02F9/06);<br><br><b><u>Subclass indexes</u></b><br><br><br>HULLS<br>Hydrodynamic or hydrostatic featuresB63B1/00<br>Structure or component parts; adjustable keels; protectionB63B3/00; B63B41/00; B63B59/00<br>Particular typesB63B5/00, B63B7/00<br>Subdivision; cleaning of tanksB63B11/00; B63B57/00<br>SUPERSTRUCTURES; HULL OR SUPERSTRUCTURE OPENINGSB63B15/00; B63B19/00<br>EMPTYING, BALLASTING; STABILITY; SAFETYB63B13/00, B63B29/16; B63B39/00; B63B43/00<br>MOORING, SHIFTING; HANDLING LIFEBOATSB63B21/00; B63B23/00<br>ACCOMMODATION FOR CARGO OR PERSONSB63B25/00, B63B27/00, B63B29/00<br>ARRANGEMENTS OR ADAPTATIONS OF SIGNALLING OR LIGHTING DEVICES OR OF NAUTICAL INSTRUMENTSB63B45/00, B63B49/00<br>DETAILS AND ACCESSORIES FOR SHIPSB63B17/00<br>VESSELS<br>Designing or predicting their performanceB63B71/00<br>Building or assemblingB63B73/00<br>Monitoring properties or operating parametersB63B79/00<br>Repairing or maintainingB63B81/00<br>Rebuilding or retrofittingB63B83/00<br>Dismantling or scrappingB63B85/00<br>FLOATING OFFSHORE STRUCTURES<br>Building or assemblingB63B75/00<br>Transporting or installing on site using buoyancy forcesB63B77/00<br>WATER SPORTS BOARDS; ACCESSORIES THEREFORB63B32/00<br>VESSELS SPECIALLY ADAPTED FOR WATER SPORTS OR LEISURE; BODY-SUPPORTING DEVICES SPECIALLY ADAPTED FOR WATER SPORTS OR LEISUREB63B34/00<br>VESSELS OR SIMILAR FLOATING STRUCTURES SPECIALLY ADAPTED FOR SPECIFIC PURPOSES AND NOT OTHERWISE PROVIDED FORB63B35/00<br>BUOYS; MARKING NAVIGATION ROUTESB63B22/00; B63B51/00	4976
B63C		船の進水，牽引による運搬，乾ドックへの入出渠；水難救助；水中での生存または作業用の装置；水中の物の引上げまたは探索用の装置（海面からの飛行機の回収のための浮揚ネット，浮揚傾斜路またはそれに類するものＢ６３Ｂ３５／５２）<br><b><ul>サブクラス内の索引</ul></b><br>陸上げ，進水<br>乾ドックへの入出渠；陸上での格納；進水または牽引による運搬　１／００；１５／００；３／００<br>陸上輸送　１３／００<br>船台または乾ドック用装備　５／００<br>引き上げ，水中探索；人命救助　７／００，１１／００；９／００<br>水中作業　１１／００	LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS; LIFE-SAVING IN WATER; EQUIPMENT FOR DWELLING OR WORKING UNDER WATER; MEANS FOR SALVAGING OR SEARCHING FOR UNDERWATER OBJECTS(floating nets, floating slipways, or the like for recovering aircraft from the water B63B35/52);<br><br><b><u>Subclass indexes</u></b><br><br><br>LANDING, LAUNCHING<br>Dry-docking; storing on land; launching or hauling-out B63C1/00; B63C15/00; B63C3/00<br>Transporting overland B63C13/00<br>Slipway and dry-dock equipment B63C5/00<br>SALVAGE, SEARCHING UNDER WATER; LIFE-SAVING B63C7/00, B63C11/00; B63C9/00<br>WORKING UNDER WATER B63C11/00	1414
B63G		船舶用の攻撃または防御用設備；機雷敷設；掃海；潜水艦；航空母艦（攻撃または防御一般，例．砲塔，Ｆ４１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>攻撃又は防御設備<br>砲，ミサイル発射機　１／００<br>魚雷の発射；魚雷に対する防御　５／００；９／００<br>潜水艦に対する防御または攻撃，爆雷その他によるもの　６／００，９／００<br>機雷：機雷敷設；掃海；その他の防御　６／００；７／００；９／００<br>その他の防御または攻撃用装置　１３／００<br>弾薬取扱いまたは保管　３／００<br>潜水艦；航空母艦　８／００；１１／００	OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS; MINE-LAYING; MINE-SWEEPING; SUBMARINES; AIRCRAFT CARRIERS(means of attack or defence in general, e.g. turrets, F41H);<br><br><b><u>Subclass indexes</u></b><br><br><br>OFFENSIVE OR DEFENSIVE INSTALLATIONS OR ARRANGEMENTS<br>Guns, missile launchers B63G1/00<br>Launching torpedoes; defence against torpedoes B63G5/00; B63G9/00<br>Defence or attack against sub- marines, by depth charges or otherwise B63G6/00, B63G9/00<br>Mines: laying; sweeping; other defence B63G6/00; B63G7/00; B63G9/00<br>Other defensive or offensive arrangements B63G13/00<br>Ammunition handling or storing B63G3/00<br>SUBMARINES; AIRCRAFT CARRIERS B63G8/00; B63G11/00	150
B63H		船舶の推進または操舵（空気クッション車両の推進Ｂ６０Ｖ１／１４；原子力推進以外で潜水艦に特に適合されるのものＢ６３Ｇ；水中魚雷に特に適合されるのものＦ４２Ｂ１９／００）<br><b><ul>サブクラス内の索引</ul></b><br>推進器；その配置<br>水に直接作用するもの：構成要素；配置　Ｂ６３Ｈ１／００；Ｂ６３Ｈ３／００；Ｂ６３Ｈ５／００<br>空気または風を用いる推進<br>空気により直接作用する推進　Ｂ６３Ｈ７／００<br>水上スポーツボードに特に適合される帆または索具　Ｂ６３Ｈ８／００<br>風力により直接供給される舶用推進　Ｂ６３Ｈ９／００<br>特別の手段<br>ウォータージェットによるもの；人力によるもの；アンカーチェーンによるもの；水に係合する推進器を駆動する風力原動機　Ｂ６３Ｈ１１／００；Ｂ６３Ｈ１６／００；Ｂ６３Ｈ１５／００；Ｂ６３Ｈ１３／００<br>その他のもの　Ｂ６３Ｈ１９／００<br>船外推進装置　Ｂ６３Ｈ２０／００<br>推進動力設備　Ｂ６３Ｈ２１／００<br>動力設備から推進器への伝動　Ｂ６３Ｈ２３／００<br>操舵，動的停留　Ｂ６３Ｈ２５／００	MARINE PROPULSION OR STEERING(propulsion of air-cushion vehicles B60V1/14; specially adapted for submarines, other than nuclear propulsion, B63G;  specially adapted for torpedoes F42B19/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>PROPULSIVE ELEMENTS; ARRANGEMENTS THEREOF<br>Acting directly on water: elements; arrangementsB63H1/00, B63H3/00; B63H5/00<br>PROPULSION USING AIR OR WIND<br>Propulsion directly actuated on airB63H7/00<br>Sail or rigging arrangements specially adapted for water sport boardsB63H8/00<br>Marine propulsion provided directly by wind powerB63H9/00<br>PARTICULAR MEANS<br>by water jets; by muscle power; by anchored cable; wind motors driving water-engaging devicesB63H11/00; B63H16/00; B63H15/00; B63H13/00<br>OtherB63H19/00<br>OUTBOARD PROPULSION UNITSB63H20/00<br>PROPULSION POWER PLANTB63H21/00<br>TRANSMISSION FROM POWER PLANT TO PROPULSIVE ELEMENTSB63H23/00<br>STEERING, DYNAMIC ANCHORINGB63H25/00	1603
B63J		船舶用補機<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“補機”とは，一般に船舶で居住または作業用に特に設けられた装置であって，クラスＢ６３の他のサブクラスには特に設けられていないものを表わす。	AUXILIARIES ON VESSELS; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following term is used with the meaning indicated:"auxiliaries" means only apparatus specially arranged for rendering vessels, in general, habitable or operative, in so far as such apparatus is not specifically provided for in another subclass of class B63.	147
B64		航空機；飛行；宇宙工学	AIRCRAFT; AVIATION; COSMONAUTICS	
B64B		軽航空機（航空機用地上設備一般Ｂ６４Ｆ）	LIGHTER-THAN-AIR AIRCRAFT(ground installations for aircraft in general B64F)	117
B64C		飛行機；ヘリコプタ<br><b><ul>注</ul></b><br>できるかぎり，構造的特徴に従って分類する；航空機の個々の種類による分類は，これが特有な特徴であると考慮される場合を除き通常二次的な重要性のものと見做される。［３］<br><b><ul>サブクラス内の索引</ul></b><br>形状，構造，整形<br>共通構造　１／００<br>胴体；翼；安定板　１／００，３／００，５／００<br>その他の構造要素　７／００<br>プロペラ，飛行制御<br>プロペラ　１１／００<br>調整可能な操縦翼面または部材；操縦系統　９／００，１３／００<br>ジェット反動による操縦　１５／００<br>安定および操縦に関するもので他の分類に属しないもの　１７／００，１９／００<br>空気流の変更による揚力制御　１３／００，２１／００，２３／００<br>降着装置　２５／００<br>各種の航空機およびそれらの構成要素で他の分類に属しないもの<br>超音速　３０／００<br>水上機　３５／００<br>原動機無しに飛行するよう考えられた航空機；原動機付ハングライダ型航空機；超軽量型航空機　３１／００<br>転換式航空機　３７／００<br>垂直離着陸航空機　２９／００<br>回転翼航空機；羽ばたき航空機　２７／００；３３／００<br>その他の航空機　３９／００	AEROPLANES; HELICOPTERS ; <br><br><b><u>Note(s)</u></b><br><br>As far as possible, classification is made according to constructional features; classification according to particular kinds of aircraft is normally regarded as being of secondary importance, except in cases where this is considered to be the characteristic feature. <br><br><b><u>Subclass indexes</u></b><br><br><br>STRUCTURES, FAIRINGS<br>Features common to different elementsB64C1/00<br>Fuselages; wings; stabilising surfacesB64C1/00; B64C3/00; B64C5/00<br>Other structural elementsB64C7/00<br>PROPELLERS, FLIGHT CONTROL<br>PropellersB64C11/00<br>Adjustable control surfaces or members; control systemsB64C9/00; B64C13/00<br>Control by jet reactionB64C15/00<br>Stabilisation and controls not otherwise provided forB64C17/00, B64C19/00<br>MODIFYING LIFT BY ACTION ON AIR FLOWB64C13/00, B64C21/00, B64C23/00<br>ALIGHTING GEARB64C25/00<br>AIRCRAFT KINDS AND THEIR COMPONENTS NOT OTHERWISE PROVIDED FOR<br>SupersonicB64C30/00<br>SeaplanesB64C35/00<br>Aircraft intended to be sustained without power plant; powered hand-glider-type aircraft; microlight aircraftB64C31/00<br>Convertible aircraftB64C37/00<br>Vertical-take-off or landing aircraftB64C29/00<br>Rotorcraft; ornithoptersB64C27/00; B64C33/00<br>OthersB64C39/00	846
B64D		航空機の装備；飛行服；パラシュート；航空機への動力装置または推進伝達機構の配置または取り付け［２００６．０１］<br><b><ul>サブクラス内の索引</ul></b><br>航空機の飛行装置<br>動力装置と補助動力装置　２７／００，２９／００，３３／００，４１／００<br>動力制御装置と動力伝達装置　３１／００，３５／００<br>燃料供給装置　３７／００，３９／００<br>飛行計器　４３／００<br>航空機の用途<br>軍用　１／００，７／００<br>旅客または貨物運搬用　９／００〜１３／００<br>安全または非常用設備または装備<br>航空機機体に対しての安全または非常装置<br>除氷装置；雷光に対するもの　１５／００；４５／０２<br>着陸用　１７／８０，４５／００<br>燃料に関する投下等のための装置　３７／２６，３７／３２<br>人体または資材に関する安全または非常装置<br>保持または射出によるもの　２５／００<br>パラシュートによるもの；パラシューティング　１７／００〜２１／００；２３／００<br>他の安全装置，非常装置，保護装置　１０／００，２５／００，４５／００<br>飛行中に行われる作動のための装置<br>物品，流体または他の航空機の解放または受け入れ装置　１／００，５／００<br>曳航，燃料補給装置　３／００，３９／００<br>その他の装置　４７／００	EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLIGHT SUITS; PARACHUTES; ARRANGEMENT OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS IN AIRCRAFT; <br><br><b><u>Subclass indexes</u></b><br><br><br>FLIGHT ARRANGEMENTS ON AIRCRAFT<br>Of power plant and auxiliaries B64D27/00, B64D29/00, B64D33/00, B64D41/00<br>Of power-plant controls and transmissions B64D31/00, B64D35/00<br>For fuel supply B64D37/00, B64D39/00<br>Of flying instruments B64D43/00<br>USE OF AIRCRAFT<br>For military purposes B64D1/00, B64D7/00<br>For persons or freight B64D9/00 to B64D13/00 <br>SAFETY OR EMERGENCY ARRANGEMENTS OR EQUIPMENTS<br>For the aircraft<br>against icing; against lightning B64D15/00; B64D45/02<br>for landing B64D17/80, B64D45/00<br>For jettisoning or other means concerning fuel B64D37/26, B64D37/32<br>For persons or material<br>by holding or ejecting means B64D25/00<br>by parachutes; parachuting B64D17/00 to B64D21/00 ; B64D23/00<br>Other safety, emergency, or protection means B64D10/00, B64D25/00, B64D45/00<br>EQUIPMENT FOR OPERATIONS PERFORMED DURING FLIGHT<br>Releasing or receiving articles, fluent materials, or another aircraft B64D1/00, B64D5/00<br>Towing, fuel replenishing B64D3/00, B64D39/00<br>OTHER ARRANGEMENTS OR EQUIPMENT B64D47/00	813
B64F		航空機と関連して使用するのに特に適合した地上設備または航空母艦の甲板上の設備；他に分類されない航空機の設計，製作，組立，清掃，整備または修理；他に分類されない航空機部品の取り扱い，運搬，試験または検査<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“設備”は，航空機に関連して使用する特有の装置であって航空機に取り付けられないものを含み，移動性のあるものも含む；<br>―“地上設備”は，水に浮いている設備を含む。［３］	GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS SPECIALLY ADAPTED FOR USE IN CONNECTION WITH AIRCRAFT; DESIGNING, MANUFACTURING, ASSEMBLING, CLEANING, MAINTAINING OR REPAIRING AIRCRAFT, NOT OTHERWISE PROVIDED FOR; HANDLING, TRANSPORTING, TESTING OR INSPECTING AIRCRAFT COMPONENTS, NOT OTHERWISE PROVIDED FOR; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms or expressions are used with the meanings indicated:"installations" embraces equipment, including mobile equipment, peculiar to use in connection with aircraft and not fitted thereto;"ground installations" embraces waterborne installations.	220
B64G		宇宙航行；宇宙航行体またはその装備<br><b><ul>注</ul></b><br>（１）このサブクラスは宇宙航行に特に適合した航行体，装備または類似のもののみを包含する。<br>（２）このサブクラスは宇宙航行にも大気圏内飛行にも適した航行体と装備を包含しない。ただし，これはクラスＢ６４の適当な航空のサブクラスに包含される。<br>（３）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“宇宙航行”は，地球大気圏外の全ての航行を含む。即ち人工衛星，さらに惑星間旅行および恒星間旅行を含む。	COSMONAUTICS; VEHICLES OR EQUIPMENT THEREFOR; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only vehicles, equipment or the like, which are specially adapted for cosmonautics.This subclass <u>does not cover</u> vehicles and equipment applicable to both cosmonautics and aeronautics, which are covered by the appropriate aeronautical subclasses of class B64.In this subclass, the following term is used with the meaning indicated:"cosmonautics" includes all transport outside the earth's atmosphere, and thus includes artificial earth satellites, and interplanetary and interstellar travel.	103
B64U		無人航空機［ＵＡＶ］；無人航空機用の装置［２０２３．０１］<br><b><ul>注</ul></b><br>１．このサブクラスは無人飛行での使用および無人飛行用の装備に特に適する乗り物を包含する。<br>２．このサブクラスは以下を包含しない。：<br>・位置，進路，高度または姿勢を制御するためのコンピューターによる制御装置は，グループＧ０５Ｄ１／００に包含される。<br>・無人航空機［ＵＡＶ］の航空交通制御はグループＧ０８Ｇ５／００に包含される。<br>３．有人および無人飛行の両方での使用に適用可能な航空機または装備は，このサブクラスおよび，有人飛行での使用の分類に適切なクラスＢ６４のサブクラスに分類すべきである。<br>４．このサブクラスで包含されない，ＵＡＶとその装備の細部または特徴は，クラスＢ６４の関連するサブクラスに分類すべきである。<br>５．このサブクラスでは，無人航空機［ＵＡＶ］の特別な使用または応用に関する，グループＢ６４Ｕ１０１／００に設置されたインデキシングコードを付すのが望ましい。	UNMANNED AERIAL VEHICLES [UAV]; EQUIPMENT THEREFOR; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> vehicles which are specially adapted for unmanned aeronautical use and the equipment therefor.This subclass <u>does not cover</u>: computer control systems for the control of position, course, altitude or attitude, which are covered by group G05D1/00;traffic control of UAVs, which is covered by group G08G5/00.Aircraft or equipment applicable to both manned and unmanned use should be classified in this subclass and in the subclasses of class B64 which are appropriate for the manned use.Details or features of UAVs and their equipment which are not covered by this subclass should be classified in the relevant subclasses of class B64.In this subclass it is desirable to add the indexing codes of group B64U101/00, covering particular uses or applications of the UAVs.	
B65		運搬；包装；貯蔵；薄板状または線条材料の取扱い	CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL	
B65B		物品または材料を包装するための機械，器具，装置または方法；荷解（葉巻たばこの結束および圧縮装置Ａ２４Ｃ１／４４；梱包されたものまたは物品に支持されるように適用された結束具を緊張させたりあるいは固着させるための装置Ｂ２５Ｂ２５／００；びん，広口びんまたは類似した容器への密閉部材の装着Ｂ６７Ｂ１／００〜Ｂ６７Ｂ６／００；びんの洗浄，充てんと密閉の工程を共に備えたものＢ６７Ｃ７／００；びん，広口びん，缶，たるまたは類似した容器の内容物の排除Ｂ６７Ｃ９／００）<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含しない；<br>―包装体と異なった物品の製造に用いられる注（２）（ａ）から（ｆ）に記載されたタイプの操作。ただし，これは他の適切なサブクラスに包含される，例．菓子類を被包材で成形された型に流し込んで製造するものＡ２３Ｇ，弾薬，例．薬包の装填Ｆ４２Ｂ３３／０２；<br>―製造された包装体の形状あるいは容器または使用された包装要素の形状に全体として特徴のある包装方法。ただし，これはＢ６５Ｄに包含される。<br>（２）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“包装”は，主につぎの操作を含む：<br>（ａ）包装体を形成するために材料または小物品を携帯用容器または入れ物に充填すること；<br>（ｂ）物品または物品の集合体を容器または入れ物に入れること；<br>（ｃ）充填された容器または入れ物を金属，ガラス，木工の加工操作によらないで別の方法で密封すること；<br>（ｄ）物品または多量な材料をシート，ストリップ，ブランク，ウエブまたは柔軟性のある薄材のチューブで包んだりまたは部分的に包むこと，例．被包；<br>（ｅ）物品のてん束，例．ひもまたは鉄線を供給してひとまとめにして物品を束ねること；<br>（ｆ）物品をカード，シートまたはウエブに取り付けること。<br>―“包装体”は，包装操作の最終製品を意味する，例．充填密封された容器，包装材で被包された物品，ひもまたは針金で結束された物品の集合体，びんの木枠。<br>―“材料”は，分離されたまたは個別の物品とは異なり包装されるべき集合材料または物品の集合体を含む。<br><b><ul>サブクラス内の索引</ul></b><br>包装方法および装置<br>一般に適用されるもの<br>個々の容器におけるもの；材料のため；目的物のため；充填後封鎖するもの　１／００，３／００；５／００；７／００<br>ウェブに連続的に封入するもの；被包；運搬具への取付けによるもの　９／００；１１／００；１５／００<br>目的物のため；てん束；結合　１３／００；１７／０２<br>その他の工程および装置　１７／００<br>特定の目的物または材料のためのもの；特定の条件におけるもの<br>もろい棒状またはチューブの目的物のためのもの；びんのためのもの；その他特殊な目的に提供される物品のためのもの　１９／００；２１／００；２３／００，２５／００<br>特定の物品をてん束するもの　２７／００<br>はくりできる被覆材を用いるもの　３３／００<br>特定の材料のためのもの；繊維質のもの；その他のもの　２７／００，２９／００<br>特定の雰囲気またはガス状態でのもの　３１／００<br>その他に分類されない装置および補助装置の細部あるいは操作<br>内容物に関するもの<br>供給装置；容器または被包材への導入；保存，浄化　３５／００，３７／００；３９／００；５５／００<br>その他の装置または方法　６３／００<br>容器に関するもの<br>容器を形成する材料を供給するもの；ポケットを形成するもの；被包中に被包材料を保持するもの　４１／００；４３／００；４７／００；４５／００<br>内容物のまわりに被包材を折り曲げるもの；収縮させるもの；封鎖するもの；保存するもの；浄化するもの　４９／００；５３／００；５１／００；５５／００<br>その他の装置または方法　６１／００<br>装置に関するもの：制御，安全；いろいろな必要部品の適用；その他の細部　５７／００；５９／００；６５／００<br>手動による包装　６７／００<br>その他に分類されない荷解　６９／００	MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS; UNPACKING(bundling and pressing devices for cigars A24C1/44;  devices for tensioning and securing binders adapted to be supported by the article or articles to be bound B25B25/00;  applying closure members to bottles, jars or similar containers B67B1/00 to B67B6/00 ;  concurrent cleaning, filling and closing of bottles B67C7/00;  emptying bottles, jars, cans, casks, barrels or similar containers B67C9/00);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>does not cover</u>:operations of the types mentioned in Note (2) (a) to (f), employed in the manufacture of articles other than packages, which are covered by other appropriate subclasses, e.g. making confectionery products by casting in moulds formed by wrappers A23G, filling ammunition, e.g. cartridges, F42B33/02;methods of packaging, which are wholly characterised by the form of the package produced, or the form of the container or packaging-element used, which are covered by B65D.In this subclass, the following terms are used with the meanings indicated:"packaging" includes mainly the following operations:filling portable containers or receptacles with materials or small articles to form packages;inserting articles or groups of articles into containers or receptacles;closing filled containers or receptacles otherwise than by metal-, glass-, or wood-working operations;enclosing, or partially enclosing, articles or quantities of material, in sheets, strips, blanks, webs, or tubes of thin flexible material, e.g. wrapping;bundling articles, e.g. holding articles together in groups by applying string or wire;attaching articles to cards, sheets, or webs."package" means the end product of a packaging operation, e.g. a filled and closed container, an article enclosed in a wrapper, a group of articles held together by string or wire, a crate of bottles."materials" includes matter, or masses of articles, which are to be packaged, as distinct from separate or individual articles.<br><br><b><u>Subclass indexes</u></b><br><br><br>METHODS AND APPARATUS FOR PACKAGING<br>Of general application<br>in individual receptacles: for materials; for objects; closing after filling B65B1/00, B65B3/00; B65B5/00; B65B7/00<br>enclosing successively in webs; wrapping; by attachment to carriers B65B9/00; B65B11/00; B65B15/00<br>for objects: bundling; joining B65B13/00; B65B17/02<br>other processes and apparatus B65B17/00<br>For particular objects or materials; under particular conditions<br>for fragile rod-shaped or tubular objects; for bottles; for other articles presenting special problems B65B19/00; B65B21/00; B65B23/00, B65B25/00<br>bundling particular articles B65B27/00<br>using removable coatings B65B33/00<br>for particular materials: fibrous; other B65B27/00; B65B29/00<br>under particular atmospheric or gaseous conditions B65B31/00<br>DETAILS OF APPARATUS AND AUXILIARY DEVICES OR OPERATIONS, NOT OTHERWISE PROVIDED FOR<br>Relating to contents<br>supply arrangements; introducing into containers or wrappers; preservation, purification B65B35/00, B65B37/00; B65B39/00; B65B55/00<br>other devices or methods B65B63/00<br>Relating to containers<br>supplying container-forming material; forming containers; forming pockets; holding wrappers during wrapping B65B41/00; B65B43/00; B65B47/00; B65B45/00<br>bendling wrappers round contents; shrinking; closing; preserving, purifying B65B49/00; B65B53/00; B65B51/00; B65B55/00<br>other devices or methods B65B61/00<br>Relating to apparatus: control, safety; adaptation to different requirements; other details B65B57/00; B65B59/00; B65B65/00<br>PACKAGING BY HAND B65B67/00<br>UNPACKING NOT OTHERWISE PROVIDED FOR B65B69/00	7106
