G06F1/26	8	Power supply means, e.g. regulation thereof (for memories G11C)	G06F1/26	G06F1/26		10439
G06F1/263	9	{Arrangements for using multiple switchable power supplies, e.g. battery and AC (G06F1/30 takes precedence)}	G06F1/26	G06F1/26		4065
G06F1/266	9	{Arrangements to supply power to external peripherals either directly from the computer or under computer control, e.g. supply of power through the communication port, computer controlled power-strips}	G06F1/26	G06F1/26		5583
G06F1/28	9	Supervision thereof, e.g. detecting power-supply failure by out of limits supervision	G06F1/28	G06F1/28		5191
G06F1/30	9	Means for acting in the event of power-supply failure or interruption, e.g. power-supply fluctuations (for resetting only G06F1/24)	G06F1/30	G06F1/30		4339
G06F1/305	10	{in the event of power-supply fluctuations}	G06F1/30	G06F1/30		1151
G06F1/32	9	Means for saving power	G06F1/32	G06F1/32		2957
G06F1/3203	10	Power management, i.e. event-based initiation of a power-saving mode	G06F1/3203	G06F1/3203		8027
G06F1/3206	11	Monitoring of events, devices or parameters that trigger a change in power modality	G06F1/3206	G06F1/3206		5529
G06F1/3209	12	Monitoring remote activity, e.g. over telephone lines or network connections	G06F1/3209	G06F1/3209		2051
G06F1/3212	12	Monitoring battery levels, e.g. power saving mode being initiated when battery voltage goes below a certain level	G06F1/3212	G06F1/3212		1719
G06F1/3215	12	Monitoring of peripheral devices	G06F1/3215	G06F1/3215		2275
G06F1/3218	13	of display devices	G06F1/3218	G06F1/3218		1241
G06F1/3221	13	of disk drive devices	G06F1/3221	G06F1/3221		397
G06F1/3225	13	of memory devices	G06F1/3225	G06F1/3225		1049
G06F1/3228	12	Monitoring task completion, e.g. by use of idle timers, stop commands or wait commands	G06F1/3228	G06F1/3228		1747
G06F1/3231	12	Monitoring the presence, absence or movement of users	G06F1/3231	G06F1/3231		2383
G06F1/3234	11	Power saving characterised by the action undertaken	G06F1/3234	G06F1/3234		2543
G06F1/3237	12	by disabling clock generation or distribution	G06F1/3237	G06F1/3237		1183
G06F1/324	12	by lowering clock frequency	G06F1/324	G06F1/324		4171
G06F1/3243	12	{Power saving in microcontroller unit}	G06F1/3234	G06F1/324		2149
G06F1/3246	12	by software initiated power-off	G06F1/3246	G06F1/3246		466
G06F1/325	12	{Power saving in peripheral device}	G06F1/3234	G06F1/32		1629
G06F1/3253	13	{Power saving in bus}	G06F1/3234	G06F1/32		753
G06F1/3256	13	{Power saving in optical drive}	G06F1/3234	G06F1/32		51
G06F1/3259	13	{Power saving in cursor control device, e.g. mouse, joystick, trackball}	G06F1/3234	G06F1/32		349
G06F1/3262	13	{Power saving in digitizer or tablet}	G06F1/3234	G06F1/32		875
G06F1/3265	13	{Power saving in display device}	G06F1/3234	G06F1/32		3874
G06F1/3268	13	{Power saving in hard disk drive}	G06F1/3234	G06F1/32		779
G06F1/3271	13	{Power saving in keyboard}	G06F1/3234	G06F1/32		136
G06F1/3275	13	{Power saving in memory, e.g. RAM, cache}	G06F1/3234	G06F1/32		2387
G06F1/3278	13	{Power saving in modem or I/O interface}	G06F1/3234	G06F1/32		776
G06F1/3281	13	{Power saving in PCMCIA card}	G06F1/3234	G06F1/32		38
G06F1/3284	13	{Power saving in printer}	G06F1/3234	G06F1/32		552
G06F1/3287	12	by switching off individual functional units in the computer system	G06F1/3287	G06F1/3287		6207
G06F1/329	12	by task scheduling	G06F1/329	G06F1/329		2500
