G04B19/221	9	{mechanisms for correcting the hours hand only, i.e. independently for minutes and seconds hands}	G04B19/22	G04B19/22		81
G04B19/223	9	{with rotary disc, rotary bezel, or rotary dial}	G04B19/22	G04B19/22		516
G04B19/225	10	{driving mechanism for the bezel}	G04B19/22	G04B19/22		22
G04B19/226	9	{three-dimensionally shaped, e.g. terrestrial globes, cylinders and the like}	G04B19/22	G04B19/22		231
G04B19/228	9	{with linear time graduation}	G04B19/22	G04B19/22		47
G04B19/23	9	by means of additional hands or additional pairs of hands {(simultaneous indication on several dials G04B19/025; indicating devices giving several simultaneous indications G04B19/048)}	G04B19/23	G04B19/23		292
G04B19/235	10	{mechanisms for correcting the additional hand or hands (time setting G04B27/00)}	G04B19/23	G04B19/23		150
G04B19/24	8	Clocks or watches with date {or week-day} indicators {, i.e. calendar clocks or watches}; Clockwork calendars	G04B19/24	G04B19/24		492
G04B19/241	9	{the date is indicated by one or more hands}	G04B19/24	G04B19/24		212
G04B19/243	9	characterised by the shape of the date indicator	G04B19/243	G04B19/243		29
G04B19/24306	10	{combination of different shapes, e.g. bands and discs, discs and drums (for electrically driven timepieces G04C17/0041)}	G04B19/243	G04B19/243		9
G04B19/24313	11	{Independent date indicating devices activated by hand or by clockwork}	G04B19/243	G04B19/243		18
G04B19/2432	11	{Driving or releasing mechanisms wherein the date indicators are driven or released mechanically by a clockwork movement}	G04B19/243	G04B19/243		8
G04B19/24326	12	{driven or released stepwise by the clockwork movement}	G04B19/243	G04B19/243		30
G04B19/24333	12	{driven or released stepwise by an energy source which is released at determined moments by the clockwork movement}	G04B19/243	G04B19/243		36
G04B19/2434	12	{driven or released by their own energy source which is released at regular time intervals}	G04B19/243	G04B19/243		15
G04B19/24346	10	{band-shaped (G04B19/24306 takes precedence; for electrically driven timepieces G04C17/0016)}	G04B19/243	G04B19/243		7
G04B19/24353	11	{Independent date indicating devices activated by hand or by clockwork}	G04B19/243	G04B19/243		6
G04B19/2436	11	{Driving or releasing mechanisms wherein the date indicators are driven or released mechanically by a clockwork movement}	G04B19/243	G04B19/243		6
G04B19/24366	12	{driven or released stepwise by the clockwork movement}	G04B19/243	G04B19/243		27
