F16L13/147	9	{by radially expanding the inner part (F16L13/168 takes precedence)}	F16L13/14	F16L13/14		273
F16L13/148	9	{specially designed to ensure an intended leakage until correct deformation}	F16L13/14	F16L13/14		78
F16L13/16	9	the pipe joint consisting of overlapping extremities having mutually co-operating collars	F16L13/16	F16L13/16		129
F16L13/161	10	{the pipe or collar being deformed by crimping or rolling}	F16L13/16	F16L13/16		160
F16L13/163	11	{one collar being bent over the other}	F16L13/16	F16L13/16		76
F16L13/165	10	{the pipe or collar being deformed by an axially movable sleeve}	F16L13/16	F16L13/16		76
F16L13/166	10	{Deformed by radially expanding an inner part (F16L13/168 takes precedence)}	F16L13/16	F16L13/16		144
F16L13/168	10	{for screw threaded pipes}	F16L13/16	F16L13/16		64
F16L15/00	7	Screw-threaded joints; Forms of screw-threads for such joints	F16L15/00	F16L15/00		738
F16L15/001	8	{with conical threads}	F16L15/00	F16L15/00		717
F16L15/002	9	{with more than one threaded section}	F16L15/00	F16L15/00		137
F16L15/003	9	{with sealing rings}	F16L15/00	F16L15/00		343
F16L15/004	9	{with axial sealings having at least one plastically deformable sealing surface (with sealing rings F16L15/003)}	F16L15/00	F16L15/00		456
F16L15/005	8	{for thin-walled pipes having at least their extremities deformed so as to have the shape of screw-threads}	F16L15/00	F16L15/00		54
F16L15/006	8	{with straight threads}	F16L15/00	F16L15/00		911
F16L15/007	9	{with more than one threaded section}	F16L15/00	F16L15/00		186
F16L15/008	9	{with sealing rings}	F16L15/00	F16L15/00		754
F16L15/009	9	{with axial sealings having at least one plastically deformable sealing surface (with sealing rings F16L15/008)}	F16L15/00	F16L15/00		108
F16L15/02	8	allowing substantial longitudinal adjustment by the use of a long screw-threaded part	F16L15/02	F16L15/02		147
F16L15/04	8	with additional sealings	F16L15/04	F16L15/04		1295
F16L15/06	8	characterised by the shape of the screw-thread	F16L15/06	F16L15/06		353
F16L15/08	8	with supplementary elements (F16L15/04 takes precedence)	F16L15/08	F16L15/08		1161
F16L17/00	7	Joints with packing adapted to sealing by fluid pressure	F16L17/00	F16L17/00		223
F16L17/02	8	with sealing rings arranged between outer surface of pipe and inner surface of sleeve or socket	F16L17/02	F16L17/02		660
F16L17/025	9	the sealing rings having radially directed ribs	F16L17/025	F16L17/025		506
F16L17/03	9	having annular axial lips	F16L17/03	F16L17/03		56
F16L17/032	10	{the sealing rings having only one lip}	F16L17/03	F16L17/03		346
F16L17/035	10	the sealing rings having two lips parallel to each other	F16L17/035	F16L17/035		630
F16L17/04	9	with longitudinally split or divided sleeve	F16L17/04	F16L17/04		721
F16L17/06	8	with sealing rings arranged between the end surfaces of the pipes or flanges or arranged in recesses in the pipe ends or flanges	F16L17/06	F16L17/06		359
F16L17/063	9	{forming a whole with the pipe or joint}	F16L17/06	F16L17/06		53
F16L17/067	9	Plastics sealing rings	F16L17/067	F16L17/067		188
F16L17/073	10	the sealing rings having two lips parallel to each other	F16L17/073	F16L17/073		145
F16L17/08	9	Metal sealing rings	F16L17/08	F16L17/08		165
F16L17/10	8	the packing being sealed by the pressure of a fluid other than the fluid in or surrounding the pipe	F16L17/10	F16L17/10		489
F16L19/00	7	Joints in which sealing surfaces are pressed together by means of a member, e.g. a swivel nut, screwed on, or into, one of the joint parts (F16L17/00 takes precedence; if using bolts or equivalent connecting means F16L23/00; connecting arrangements or other fittings specially adapted to be made of plastics or to be used with pipes made of plastics F16L47/00{; specially adapted for pipes of brittle material F16L49/06})	F16L19/00	F16L19/00		569
F16L19/005	8	{comprising locking means for the threaded member}	F16L19/00	F16L19/00		789
F16L19/02	8	Pipe ends provided with collars or flanges, integral with the pipe or not, pressed together by a screwed member	F16L19/02	F16L19/02		907
F16L19/0206	9	{the collar not being integral with the pipe}	F16L19/02	F16L19/02		959
F16L19/0212	9	{using specially adapted sealing means}	F16L19/02	F16L19/02		727
F16L19/0218	10	{comprising only sealing rings}	F16L19/02	F16L19/02		1335
F16L19/0225	10	{without sealing rings}	F16L19/02	F16L19/02		326
F16L19/0231	9	{with specially adapted means for positioning the threaded member behind the collar}	F16L19/02	F16L19/02		432
F16L19/0237	9	{specially adapted for use with attachments, e.g. reduction units, T-pieces, bends or the like}	F16L19/02	F16L19/02		295
F16L19/0243	9	{specially adapted for use with coated pipes}	F16L19/02	F16L19/02		87
F16L19/025	9	the pipe ends having integral collars or flanges	F16L19/025	F16L19/025		682
F16L19/028	10	the collars or flanges being obtained by deformation of the pipe wall	F16L19/028	F16L19/028		372
F16L19/0283	11	{and having a bell-mouthed shape}	F16L19/028	F16L19/028		199
F16L19/0286	11	{and being formed as a flange}	F16L19/028	F16L19/028		231
F16L19/04	8	using additional rigid rings, sealing directly on at least one pipe end, which is flared either before or during the making of the connection	F16L19/04	F16L19/04		779
F16L19/041	9	{the ring being an insert (F16L19/043 takes precedence)}	F16L19/04	F16L19/04		173
F16L19/043	9	{with additional sealing means}	F16L19/04	F16L19/04		98
F16L19/045	10	{consisting of cutting edges on one of the connecting parts which penetrate into the wall of the pipe}	F16L19/04	F16L19/04		123
F16L19/046	10	{consisting of a soft ring}	F16L19/04	F16L19/04		70
F16L19/048	9	{specially adapted for use with attachments, e.g. reduction units, T-pieces, bends or the like}	F16L19/04	F16L19/04		49
F16L19/05	9	with a rigid pressure ring between the screwed member and the exterior of the flared pipe end	F16L19/05	F16L19/05		177
F16L19/055	10	{the pressure ring being rotatably connected to the threaded member}	F16L19/05	F16L19/05		28
F16L19/06	8	in which radial clamping is obtained by wedging action on non-deformed pipe ends	F16L19/06	F16L19/06		528
F16L19/061	9	{a pressure ring being arranged between the clamping ring and the threaded member or the connecting member}	F16L19/06	F16L19/06		584
F16L19/062	9	{specially adapted for use with attachments, e.g. reduction units, T-pieces, bends or the like}	F16L19/06	F16L19/06		136
F16L19/063	9	{by means of conical threaded surfaces}	F16L19/06	F16L19/06		74
F16L19/065	9	the wedging action being effected by means of a ring	F16L19/065	F16L19/065		965
F16L19/0653	10	{the ring being rotatably connected to one of the connecting parts}	F16L19/065	F16L19/065		139
F16L19/0656	10	{integral with one of the connecting parts}	F16L19/065	F16L19/065		112
F16L19/07	9	adapted for use in socket or sleeve connections	F16L19/07	F16L19/07		363
F16L19/075	9	specially adapted for spigot-and-socket joints {for pipes of the same diameter}	F16L19/075	F16L19/075		356
F16L19/08	8	with metal rings which bite into the wall of the pipe {(F16L19/045 takes precedence)}	F16L19/08	F16L19/08		499
F16L19/083	9	{the longitudinal cross-section of the ring not being modified during clamping}	F16L19/08	F16L19/08		189
F16L19/086	10	{with additional sealing means}	F16L19/08	F16L19/08		502
F16L19/10	9	the profile of the ring being altered	F16L19/10	F16L19/10		687
F16L19/103	10	{with more than one ring per pipe end being used}	F16L19/10	F16L19/10		181
F16L19/106	10	{the ring comprising a shoulder against which the pipe end abuts}	F16L19/10	F16L19/10		89
F16L19/12	10	with additional sealing means	F16L19/12	F16L19/12		305
F16L19/14	10	the rings being integral with one of the connecting parts	F16L19/14	F16L19/14		140
