H04J14/0228	10	{Wavelength allocation for communications one-to-all, e.g. broadcasting wavelengths}	H04J14/02	H04J14/02		127
H04J14/023	11	{in WDM passive optical networks [WDM-PON]}	H04J14/02	H04J14/02		86
H04J14/0232	12	{for downstream transmission}	H04J14/02	H04J14/02		302
H04J14/0234	13	{using multiple wavelengths}	H04J14/02	H04J14/02		55
H04J14/0235	12	{for upstream transmission}	H04J14/02	H04J14/02		26
H04J14/0236	13	{using multiple wavelengths}	H04J14/02	H04J14/02		23
H04J14/0238	10	{Wavelength allocation for communications one-to-many, e.g. multicasting wavelengths}	H04J14/02	H04J14/02		268
H04J14/0239	11	{in WDM-PON sharing multiple downstream wavelengths for groups of optical network units [ONU], e.g. multicasting wavelengths}	H04J14/02	H04J14/02		88
H04J14/0241	10	{Wavelength allocation for communications one-to-one, e.g. unicasting wavelengths}	H04J14/02	H04J14/02		766
H04J14/0242	11	{in WDM-PON}	H04J14/02	H04J14/02		110
H04J14/0245	12	{for downstream transmission, e.g. optical line terminal [OLT] to ONU}	H04J14/02	H04J14/02		163
H04J14/0246	13	{using one wavelength per ONU}	H04J14/02	H04J14/02		997
H04J14/0247	13	{Sharing one wavelength for at least a group of ONUs}	H04J14/02	H04J14/02		498
H04J14/0249	12	{for upstream transmission, e.g. ONU-to-OLT or ONU-to-ONU}	H04J14/02	H04J14/02		152
H04J14/025	13	{using one wavelength per ONU, e.g. for transmissions from-ONU-to-OLT or from-ONU-to-ONU}	H04J14/02	H04J14/02		775
H04J14/0252	13	{Sharing one wavelength for at least a group of ONUs, e.g. for transmissions from-ONU-to-OLT or from-ONU-to-ONU}	H04J14/02	H04J14/02		491
H04J2014/0253	12	{Allocation of downstream wavelengths for upstream transmission}	H04J14/02	H04J14/02		156
H04J14/0254	10	{Optical medium access}	H04J14/02	H04J14/02		57
H04J14/0256	11	{at the optical channel layer}	H04J14/02	H04J14/02		355
H04J14/0257	12	{Wavelength assignment algorithms}	H04J14/02	H04J14/02		492
H04J14/0258	12	{Wavelength identification or labelling}	H04J14/02	H04J14/02		231
H04J14/026	12	{using WDM channels of different transmission rates}	H04J14/02	H04J14/02		141
H04J14/0261	11	{at the optical multiplex section layer}	H04J14/02	H04J14/02		51
H04J14/0263	12	{Multiplex section layer wavelength assignment algorithms}	H04J14/02	H04J14/02		33
H04J14/0264	12	{Multiplex identification or labelling}	H04J14/02	H04J14/02		18
H04J14/0265	12	{Multiplex arrangements in bidirectional systems, e.g. interleaved allocation of wavelengths or allocation of wavelength groups}	H04J14/02	H04J14/02		96
H04J14/0267	11	{Optical signaling or routing}	H04J14/02	H04J14/02		626
H04J14/0268	12	{Restoration of optical paths, e.g. p-cycles}	H04J14/02	H04J14/02		150
H04J14/0269	12	{using tables for routing}	H04J14/02	H04J14/02		186
H04J14/0271	12	{Impairment aware routing}	H04J14/02	H04J14/02		195
H04J14/0272	11	{Transmission of OAMP information}	H04J14/02	H04J14/02		240
H04J14/0273	12	{using optical overhead, e.g. overhead processing}	H04J14/02	H04J14/02		105
H04J14/0275	12	{using an optical service channel}	H04J14/02	H04J14/02		207
H04J14/0276	12	{using pilot tones}	H04J14/02	H04J14/02		90
H04J14/02762	11	{Spectrum slot allocation}	H04J14/02	H04J14/02		26
H04J14/02764	11	{Multiplex arrangements for radio-frequency networks access; policies therefor (radio over fibre arrangement H04B10/2575)}	H04J14/02	H04J14/02		26
H04J14/0278	9	{WDM optical network architectures}	H04J14/02	H04J14/02		170
H04J14/0279	10	{WDM point-to-point architectures}	H04J14/02	H04J14/02		453
H04J14/028	10	{WDM bus architectures}	H04J14/02	H04J14/02		264
H04J14/0282	10	{WDM tree architectures}	H04J14/02	H04J14/02		1623
H04J14/0283	10	{WDM ring architectures}	H04J14/02	H04J14/02		1303
H04J14/0284	10	{WDM mesh architectures}	H04J14/02	H04J14/02		700
H04J14/0286	10	{WDM hierarchical architectures}	H04J14/02	H04J14/02		331
H04J14/02862	10	{WDM data centre network [DCN] architectures}	H04J14/02	H04J14/02		20
H04J14/0287	9	{Protection in WDM systems}	H04J14/02	H04J14/02		269
H04J14/0289	10	{Optical multiplex section protection}	H04J14/02	H04J14/02		110
H04J14/029	11	{Dedicated protection at the optical multiplex section (1+1)}	H04J14/02	H04J14/02		140
H04J14/0291	11	{Shared protection at the optical multiplex section (1:1, n:m)}	H04J14/02	H04J14/02		392
H04J14/0293	10	{Optical channel protection}	H04J14/02	H04J14/02		158
H04J14/0294	11	{Dedicated protection at the optical channel (1+1)}	H04J14/02	H04J14/02		286
H04J14/0295	11	{Shared protection at the optical channel (1:1, n:m)}	H04J14/02	H04J14/02		483
H04J14/0297	10	{Optical equipment protection}	H04J14/02	H04J14/02		370
H04J14/0298	9	{with sub-carrier multiplexing [SCM]}	H04J14/02	H04J14/02		774
H04J14/03	9	{WDM arrangements (ADM arrangements H04J14/0202; WDM network architectures H04J14/0278)}	H04J14/02	H04J14/03		53
H04J14/0305	10	{in end terminals}	H04J14/02	H04J14/0305		608
H04J14/0307	10	{Multiplexers; Demultiplexers}	H04J14/02	H04J14/0307		831
H04J14/04	8	Mode multiplex systems	H04J14/04	H04J14/04		346
H04J14/05	8	{Spatial multiplexing systems}	H04J14/00	H04J14/05		71
H04J14/052	9	{using multicore fibre (mode multiplex systems H04J14/04)}	H04J14/00	H04J14/052		155
H04J14/06	8	Polarisation multiplex systems	H04J14/06	H04J14/06		1125
H04J14/07	8	{Orbital angular momentum [OAM] multiplex systems}	H04J14/00	H04J14/07		79
H04J14/08	8	Time-division multiplex systems	H04J14/08	H04J14/08		1045
H04J14/083	9	{Add and drop multiplexing}	H04J14/08	H04J14/08		73
H04J14/086	9	{Medium access (H04J3/16 takes precedence)}	H04J14/08	H04J14/08		63
