G07F17/0028	10	{Use of a wired telephone or public communication device (charging and metering the use of the telecommunication network H04M17/02)}	G07F17/00	G07F17/00		90
G07F17/0035	9	{Participation in a loyalty or discount scheme (data processing for shopping and discounts G06Q30/00)}	G07F17/00	G07F17/00		89
G07F17/0042	8	{for hiring of objects}	G07F17/00	G07F17/00		2376
G07F17/005	9	{for the hiring of content carriers, e.g. of DVDs or CDs (reverse vending for box-like objects such as videocassettes G07F7/069)}	G07F17/00	G07F17/00		194
G07F17/0057	9	{for the hiring or rent of vehicles, e.g. cars, bicycles or wheelchairs (car rental G07B15/00)}	G07F17/00	G07F17/00		2316
G07F17/0064	8	{for processing of food articles (cooking vessels A47J37/00)}	G07F17/00	G07F17/00		675
G07F17/0071	9	{Food articles which need to be processed for dispensing in a cold condition, e.g. ice and ice cream}	G07F17/00	G07F17/00		630
G07F17/0078	9	{Food articles which need to be processed for dispensing in a hot or cooked condition, e.g. popcorn, nuts}	G07F17/00	G07F17/00		1500
G07F17/0085	10	{Food articles which for processing need cooking in a liquid, e.g. oil, water}	G07F17/00	G07F17/00		344
G07F17/0092	8	{for assembling and dispensing of pharmaceutical articles (medical dispensers for private use, A61J7/00)}	G07F17/00	G07F17/00		2522
G07F17/02	8	for optical devices, e.g. telescopes	G07F17/02	G07F17/02		145
G07F17/04	8	for anthropometrical measurements, such as weight, height, strength	G07F17/04	G07F17/04		242
G07F17/045	9	{for weighing persons (weighing apparatus in general G07F17/263)}	G07F17/04	G07F17/04		297
G07F17/06	8	for inflating-pumps	G07F17/06	G07F17/06		58
G07F17/08	8	for seats or footstools	G07F17/08	G07F17/08		110
G07F17/10	8	for means for safe-keeping of property, left temporarily, e.g. by fastening the property	G07F17/10	G07F17/10		959
G07F17/105	9	{for money boxes (for saving clocks G07F17/0007)}	G07F17/10	G07F17/10		223
G07F17/12	9	comprising lockable containers, e.g. for accepting clothes to be cleaned	G07F17/12	G07F17/12		4043
G07F17/13	10	{the containers being a postal pick-up locker}	G07F17/12	G07F17/13		871
G07F17/14	8	for fastenings for doors (of containers for safe keeping G07F17/12); for turnstiles	G07F17/14	G07F17/14		1015
G07F17/145	9	{for revolving doors or turnstiles}	G07F17/14	G07F17/14		352
