H01M4/886	11	{Powder spraying, e.g. wet or dry powder spraying, plasma spraying}	H01M4/88	H01M4/88		383
H01M4/8864	11	{Extrusion}	H01M4/88	H01M4/88		110
H01M4/8867	11	{Vapour deposition}	H01M4/88	H01M4/88		305
H01M4/8871	12	{Sputtering}	H01M4/88	H01M4/88		219
H01M4/8875	10	{Methods for shaping the electrode into free-standing bodies, like sheets, films or grids, e.g. moulding, hot-pressing, casting without support, extrusion without support}	H01M4/88	H01M4/88		889
H01M4/8878	10	{Treatment steps after deposition of the catalytic active composition or after shaping of the electrode being free-standing body}	H01M4/88	H01M4/88		682
H01M4/8882	11	{Heat treatment, e.g. drying, baking}	H01M4/88	H01M4/88		1633
H01M4/8885	12	{Sintering or firing}	H01M4/88	H01M4/88		1173
H01M4/8889	13	{Cosintering or cofiring of a catalytic active layer with another type of layer}	H01M4/88	H01M4/88		296
H01M4/8892	11	{Impregnation or coating of the catalyst layer, e.g. by an ionomer}	H01M4/88	H01M4/88		401
H01M4/8896	11	{Pressing, rolling, calendering (membrane electrode assemblies H01M8/1004)}	H01M4/88	H01M4/88		794
H01M4/90	9	Selection of catalytic material	H01M4/90	H01M4/90		2943
H01M4/9008	10	{Organic or organo-metallic compounds}	H01M4/90	H01M4/90		1153
H01M4/9016	10	{Oxides, hydroxides or oxygenated metallic salts}	H01M4/90	H01M4/90		2710
H01M4/9025	11	{Oxides specially used in fuel cell operating at high temperature, e.g. SOFC}	H01M4/90	H01M4/90		598
H01M4/9033	12	{Complex oxides, optionally doped, of the type M1MeO3, M1 being an alkaline earth metal or a rare earth, Me being a metal, e.g. perovskites}	H01M4/90	H01M4/90		1175
H01M4/9041	10	{Metals or alloys (H01M4/92 takes precedence)}	H01M4/90	H01M4/90		2744
H01M4/905	11	{specially used in fuel cell operating at high temperature, e.g. SOFC}	H01M4/90	H01M4/90		258
H01M4/9058	12	{of noble metals or noble-metal based alloys}	H01M4/90	H01M4/90		263
H01M4/9066	12	{of metal-ceramic composites or mixtures, e.g. cermets}	H01M4/90	H01M4/90		625
H01M4/9075	10	{Catalytic material supported on carriers, e.g. powder carriers (H01M4/8807, H01M4/881, H01M4/8814, H01M4/925 take precedence)}	H01M4/90	H01M4/90		983
H01M4/9083	11	{on carbon or graphite}	H01M4/90	H01M4/90		3451
H01M4/9091	10	{Unsupported catalytic particles; loose particulate catalytic materials, e.g. in fluidised state}	H01M4/90	H01M4/90		273
H01M4/92	10	Metals of platinum group (H01M4/94{, H01M4/9058} take precedence)	H01M4/92	H01M4/92		2705
H01M4/921	11	{Alloys or mixtures with metallic elements}	H01M4/92	H01M4/92		3154
H01M4/923	11	{Compounds thereof with non-metallic elements}	H01M4/92	H01M4/92		409
H01M4/925	11	{supported on carriers, e.g. powder carriers}	H01M4/92	H01M4/92		1211
H01M4/926	12	{on carbon or graphite}	H01M4/92	H01M4/92		4570
H01M4/928	11	{Unsupported catalytic particles; loose particulate catalytic materials, e.g. in fluidised state}	H01M4/92	H01M4/92		250
H01M4/94	9	Non-porous diffusion electrodes, e.g. palladium membranes, ion exchange membranes	H01M4/94	H01M4/94		235
H01M4/96	9	Carbon-based electrodes	H01M4/96	H01M4/96		3883
H01M4/98	9	Raney-type electrodes	H01M4/98	H01M4/98		177
H01M6/00	7	Primary cells; Manufacture thereof<br><br><u>NOTE</u><br><br>In this group, primary cells are electrochemical generators in which the cell energy is present in chemical form and is not regenerated.	H01M6/00	H01M6/00		583
H01M6/005	8	{Devices for making primary cells}	H01M6/00	H01M6/00		2529
H01M6/02	8	Details (of electrodes H01M4/00; of non-active parts H01M50/00)	H01M6/02	H01M6/02		335
H01M6/04	8	Cells with aqueous electrolyte	H01M6/04	H01M6/04		1079
H01M6/045	9	{characterised by aqueous electrolyte}	H01M6/04	H01M6/04		358
H01M6/06	9	Dry cells, i.e. cells wherein the electrolyte is rendered non-fluid	H01M6/06	H01M6/06		1397
H01M6/08	10	with cup-shaped electrodes	H01M6/08	H01M6/08		1409
H01M6/085	11	{of the reversed type, i.e. anode in the centre}	H01M6/08	H01M6/08		129
H01M6/10	10	with wound or folded electrodes	H01M6/10	H01M6/10		1143
H01M6/103	11	{Cells with electrode of only one polarity being folded or wound}	H01M6/10	H01M6/10		38
H01M2006/106	11	{Elliptic wound cells}	H01M6/10	H01M6/10		60
H01M6/12	10	with flat electrodes	H01M6/12	H01M6/12		978
H01M6/14	8	Cells with non-aqueous electrolyte	H01M6/14	H01M6/14		2047
H01M6/145	9	{containing ammonia}	H01M6/14	H01M6/14		31
H01M6/16	9	with organic electrolyte (H01M6/18 takes precedence)	H01M6/16	H01M6/16		1626
H01M6/162	10	{characterised by the electrolyte}	H01M6/16	H01M6/16		246
H01M6/164	11	{by the solvent}	H01M6/16	H01M6/16		698
H01M6/166	11	{by the solute}	H01M6/16	H01M6/16		496
H01M6/168	11	{by additives}	H01M6/16	H01M6/16		591
H01M6/18	9	with solid electrolyte	H01M6/18	H01M6/18		800
H01M6/181	10	{with polymeric electrolytes}	H01M6/18	H01M6/18		941
H01M6/182	10	{with halogenide as solid electrolyte}	H01M6/18	H01M6/18		264
H01M6/183	11	{with fluoride as solid electrolyte}	H01M6/18	H01M6/18		53
H01M6/185	10	{with oxides, hydroxides or oxysalts as solid electrolytes}	H01M6/18	H01M6/18		259
H01M6/186	11	{Only oxysalts-containing solid electrolytes}	H01M6/18	H01M6/18		27
H01M6/187	10	{Solid electrolyte characterised by the form}	H01M6/18	H01M6/18		74
H01M6/188	10	{Processes of manufacture}	H01M6/18	H01M6/18		337
H01M6/20	10	working at high temperature (deferred-action thermal cells H01M6/36)	H01M6/20	H01M6/20		83
H01M6/22	8	Immobilising of electrolyte	H01M6/22	H01M6/22		471
H01M6/24	8	Cells comprising two different electrolytes	H01M6/24	H01M6/24		228
H01M6/26	8	Cells without oxidising active material, e.g. Volta cells	H01M6/26	H01M6/26		148
H01M6/28	8	Standard cells, e.g. Weston cells	H01M6/28	H01M6/28		51
H01M6/30	8	Deferred-action cells	H01M6/30	H01M6/30		245
H01M6/32	9	activated through external addition of electrolyte or of electrolyte components	H01M6/32	H01M6/32		565
H01M6/34	10	Immersion cells, e.g. sea-water cells	H01M6/34	H01M6/34		631
H01M6/36	9	containing electrolyte and made operational by physical means, e.g. thermal cells	H01M6/36	H01M6/36		1189
H01M6/38	10	by mechanical means	H01M6/38	H01M6/38		654
H01M6/385	11	{by insertion of electrodes}	H01M6/38	H01M6/38		22
H01M6/40	8	Printed batteries {, e.g. thin film batteries}	H01M6/40	H01M6/40		1048
H01M6/42	8	Grouping of primary cells into batteries (H01M6/40 takes precedence)	H01M6/42	H01M6/42		970
H01M6/425	9	{Multimode batteries, batteries with "reserve cells"}	H01M6/42	H01M6/42		47
H01M6/44	9	of tubular or cup-shaped cells	H01M6/44	H01M6/44		443
H01M6/46	9	of flat cells	H01M6/46	H01M6/46		508
H01M6/48	10	with bipolar electrodes	H01M6/48	H01M6/48		540
H01M6/485	11	{Side-by-side bipolar batteries}	H01M6/48	H01M6/48		13
