H05B6/6494	11	{for cooking}	H05B6/64	H05B6/64		431
H05B6/6497	12	{the susceptors being liquids}	H05B6/64	H05B6/64		13
H05B6/66	9	Circuits	H05B6/66	H05B6/66		574
H05B6/662	10	{Aspects related to the boost transformer of the microwave heating apparatus}	H05B6/66	H05B6/66		163
H05B6/664	10	{Aspects related to the power supply of the microwave heating apparatus}	H05B6/66	H05B6/66		319
H05B6/666	10	{Safety circuits (emergency protective circuits in general H02H)}	H05B6/66	H05B6/66		943
H05B6/668	10	{Microwave heating devices connected to a telecommunication network}	H05B6/66	H05B6/66		112
H05B6/68	10	for monitoring or control	H05B6/68	H05B6/68		1726
H05B6/681	11	{Circuits comprising an inverter, a boost transformer and a magnetron}	H05B6/68	H05B6/68		270
H05B6/682	12	{wherein the switching control is based on measurements of electrical values of the circuit}	H05B6/68	H05B6/68		69
H05B6/683	13	{the measurements being made at the high voltage side of the circuit}	H05B6/68	H05B6/68		60
H05B6/685	13	{the measurements being made at the low voltage side of the circuit}	H05B6/68	H05B6/68		88
H05B6/686	11	{Circuits comprising a signal generator and power amplifier, e.g. using solid state oscillators}	H05B6/68	H05B6/68		438
H05B6/687	11	{for cooking}	H05B6/68	H05B6/68		1077
H05B6/688	11	{for thawing}	H05B6/68	H05B6/68		345
H05B6/70	9	Feed lines	H05B6/70	H05B6/70		405
H05B6/701	10	{using microwave applicators}	H05B6/70	H05B6/70		243
H05B6/702	10	{using coaxial cables}	H05B6/70	H05B6/70		58
H05B6/704	10	{using microwave polarisers}	H05B6/70	H05B6/70		96
H05B6/705	10	{using microwave tuning}	H05B6/70	H05B6/70		686
H05B6/707	10	{using waveguides}	H05B6/70	H05B6/70		696
H05B6/708	11	{in particular slotted waveguides}	H05B6/70	H05B6/70		180
H05B6/72	9	Radiators or antennas	H05B6/72	H05B6/72		886
H05B6/725	10	{Rotatable antennas}	H05B6/72	H05B6/72		360
H05B6/74	9	Mode transformers or mode stirrers	H05B6/74	H05B6/74		378
H05B6/745	10	{Rotatable stirrers}	H05B6/74	H05B6/74		365
H05B6/76	9	Prevention of microwave leakage, e.g. door sealings	H05B6/76	H05B6/76		815
H05B6/763	10	{Microwave radiation seals for doors}	H05B6/76	H05B6/76		646
H05B6/766	10	{Microwave radiation screens for windows}	H05B6/76	H05B6/76		292
H05B6/78	9	Arrangements for continuous movement of material	H05B6/78	H05B6/78		837
H05B6/782	10	{wherein the material moved is food}	H05B6/78	H05B6/78		421
H05B6/784	10	{wherein the material is moved using a tubular transport line, e.g. screw transport systems}	H05B6/78	H05B6/78		94
H05B6/786	10	{wherein the material is moved using mechanical vibrations of plates}	H05B6/78	H05B6/78		18
H05B6/788	10	{wherein an elongated material is moved by applying a mechanical tension to it}	H05B6/78	H05B6/78		184
H05B6/80	9	Apparatus for specific applications (stoves or ranges F24C7/02)	H05B6/80	H05B6/80		1995
H05B6/802	10	{for heating fluids (methods of heating fluids in conventional microwave ovens H05B6/687)}	H05B6/80	H05B6/80		388
H05B6/804	11	{Water heaters, water boilers}	H05B6/80	H05B6/80		194
H05B6/806	10	{for laboratory use}	H05B6/80	H05B6/80		509
H05B6/808	10	{Microwave heating adapted for vending machines}	H05B6/80	H05B6/80		224
H05B7/00	7	Heating by electric discharge (plasma torches H05H1/26)	H05B7/00	H05B7/00		215
H05B7/005	8	{Electrical diagrams}	H05B7/00	H05B7/00		369
H05B7/02	8	Details	H05B7/02	H05B7/02		397
H05B7/06	9	Electrodes	H05B7/06	H05B7/06		301
H05B7/07	10	designed to melt in use	H05B7/07	H05B7/07		93
H05B7/08	10	non-consumable	H05B7/08	H05B7/08		157
H05B7/085	11	mainly consisting of carbon	H05B7/085	H05B7/085		450
H05B7/09	12	Self-baking electrodes, e.g. S&#246;derberg type electrodes	H05B7/09	H05B7/09		214
H05B7/10	9	Mountings, supports, terminals or arrangements for feeding or guiding electrodes	H05B7/10	H05B7/10		381
H05B7/101	10	Mountings, supports or terminals at head of electrode, i.e. at the end remote from the arc	H05B7/101	H05B7/101		197
H05B7/102	11	specially adapted for consumable electrodes	H05B7/102	H05B7/102		105
H05B7/103	10	Mountings, supports or terminals with jaws (H05B7/101 takes precedence)	H05B7/103	H05B7/103		184
H05B7/105	11	comprising more than two jaws equally spaced along circumference, e.g. ring holders	H05B7/105	H05B7/105		150
H05B7/107	10	specially adapted for self-baking electrodes	H05B7/107	H05B7/107		125
H05B7/109	10	Feeding arrangements (H05B7/107 takes precedence; where the electrode movement is part of a closed loop for automatic control of power H05B7/148)	H05B7/109	H05B7/109		245
H05B7/11	9	Arrangements for conducting current to the electrode terminals	H05B7/11	H05B7/11		194
H05B7/12	9	Arrangements for cooling, sealing or protecting electrodes	H05B7/12	H05B7/12		475
H05B7/14	9	Arrangements or methods for connecting successive electrode sections	H05B7/14	H05B7/14		387
H05B7/144	9	Power supplies specially adapted for heating by electric discharge; Automatic control of power, e.g. by positioning of electrodes	H05B7/144	H05B7/144		218
H05B7/148	10	Automatic control of power (electrode feeding arrangements H05B7/109; automatic feeding of electrodes for spot or seam welding or cutting B23K9/12; disposition of electrodes in or on furnaces F27D11/10; control of position in general G05D3/00; regulating electric characteristics of arcs in general G05F1/02; regulating electric power in general G05F1/66)	H05B7/148	H05B7/148		215
H05B7/152	11	by electromechanical means for positioning of electrodes	H05B7/152	H05B7/152		362
H05B7/156	11	by hydraulic or pneumatic means for positioning of electrodes	H05B7/156	H05B7/156		111
H05B7/16	8	Heating by glow discharge	H05B7/16	H05B7/16		61
H05B7/18	8	Heating by arc discharge	H05B7/18	H05B7/18		239
H05B7/185	9	{Heating gases for arc discharge (gas-filled discharge tubes H01J37/32)}	H05B7/18	H05B7/18		179
H05B7/20	9	Direct heating by arc discharge, i.e. where at least one end of the arc directly acts on the material to be heated, including additional resistance heating by arc current flowing through the material to be heated	H05B7/20	H05B7/20		201
H05B7/22	9	Indirect heating by arc discharge	H05B7/22	H05B7/22		204
H05B7/225	10	{by arc image}	H05B7/22	H05B7/22		25
H05B11/00	7	Heating by combined application of processes covered by two or more of groups H05B3/00&#160;-&#160;H05B7/00(H05B7/20 takes precedence)	H05B11/00	H05B11/00		234
H05B31/00	7	Electric arc lamps (regulating electric characteristics of arcs G05F1/02)	H05B31/00	H05B31/00		35
H05B31/0003	8	{the arc being outside, in the open}	H05B31/00	H05B31/00		2
H05B31/0006	9	{with superimposed electrodes}	H05B31/00	H05B31/00		173
H05B31/0009	9	{with parallel or oblique disposition of the electrodes; Special form of the electrodes}	H05B31/00	H05B31/00		243
H05B31/0012	9	{with a plurality of electrode pairs}	H05B31/00	H05B31/00		157
H05B31/0015	9	{with spare electrodes}	H05B31/00	H05B31/00		28
H05B31/0018	8	{in a closed vessel}	H05B31/00	H05B31/00		4
H05B31/0021	9	{Construction, in particular closure, of the vessel}	H05B31/00	H05B31/00		83
H05B31/0024	9	{Outlet valves}	H05B31/00	H05B31/00		7
H05B31/0027	9	{with special gasfilling}	H05B31/00	H05B31/00		30
H05B31/003	8	{of a special type}	H05B31/00	H05B31/00		2
H05B31/0033	9	{with glowrod and candle}	H05B31/00	H05B31/00		18
H05B31/0036	9	{for projection, copying or stage lighting}	H05B31/00	H05B31/00		681
H05B31/0039	9	{Projectors, the construction of which depends upon the presence of the arc}	H05B31/00	H05B31/00		334
H05B31/0042	8	{Mounting; Connecting}	H05B31/00	H05B31/00		2
H05B31/0045	9	{of individual lamps; Associated impedances}	H05B31/00	H05B31/00		99
H05B31/0048	9	{of plural lamps}	H05B31/00	H05B31/00		66
H05B31/0051	9	{Bypassing circuit devices for arc lamps}	H05B31/00	H05B31/00		27
H05B31/0054	9	{Short circuit devices for arc lamps}	H05B31/00	H05B31/00		1
H05B31/0057	8	{Accessories for arc lamps}	H05B31/00	H05B31/00		4
H05B31/006	9	{Electromagnets or armatures; Arc blowing electromagnets}	H05B31/00	H05B31/00		90
H05B31/0063	9	{Damping devices}	H05B31/00	H05B31/00		6
H05B31/0066	9	{Saving arrangements; Ventilation devices}	H05B31/00	H05B31/00		108
H05B31/0069	9	{Vessels; Closing of vessels}	H05B31/00	H05B31/00		23
H05B31/0072	9	{Reflectors for arc lamps}	H05B31/00	H05B31/00		30
H05B31/0075	9	{Incandescent mantles}	H05B31/00	H05B31/00		6
H05B31/0078	9	{Devices for starting or extinguishing}	H05B31/00	H05B31/00		6
H05B31/0081	8	{Controlling of arc lamps}	H05B31/00	H05B31/00		399
H05B31/0084	9	{with stirrups or levers}	H05B31/00	H05B31/00		179
H05B31/0087	9	{with a thread or chain}	H05B31/00	H05B31/00		80
H05B31/009	9	{with tightening devices}	H05B31/00	H05B31/00		118
