G06K7/1452	12	{detecting bar code edges}	G06K7/14	G06K7/14		395
G06K7/1456	12	{determining the orientation of the optical code with respect to the reader and correcting therefore}	G06K7/14	G06K7/14		407
G06K7/146	11	{the method including quality enhancement steps}	G06K7/14	G06K7/14		822
G06K7/1465	12	{using several successive scans of the optical code}	G06K7/14	G06K7/14		220
G06K7/1469	12	{using sub-pixel interpolation}	G06K7/14	G06K7/14		33
G06K7/1473	12	{error correction}	G06K7/14	G06K7/14		327
G06K7/1478	12	{adapting the threshold for pixels in a CMOS or CCD pixel sensor for black and white recognition}	G06K7/14	G06K7/14		124
G06K7/1482	12	{using fuzzy logic or natural solvers, such as neural networks, genetic algorithms and simulated annealing}	G06K7/14	G06K7/14		127
G06K7/1486	12	{Setting the threshold-width for bar codes to be decoded}	G06K7/14	G06K7/14		161
G06K7/1491	12	{the method including a reconstruction step, e.g. stitching two pieces of bar code together to derive the full bar code}	G06K7/14	G06K7/14		269
G06K7/1495	11	{the method including an image compression step}	G06K7/14	G06K7/14		36
G06K11/00	7	Methods or arrangements for graph-reading or for converting the pattern of mechanical parameters, e.g. force or presence, into electrical signal (feelers for copying devices on machine tools B23Q35/00; arrangements for measuring areas G01B; measuring force G01L; adapted as input devices to computers G06F3/00; combined with pattern recognition G06F18/00; arrangements for image or video recognition or understanding G06V10/00; character recognition, recognising digital ink or document-oriented image-based pattern recognition G06V30/00; systems for transmitting the position of an object with respect to a predetermined reference system, e.g. tele-autographic system, G08C21/00)<br><br><u>WARNING</u><br> This group and its subgroups are no longer used for the classification of new documents as from 1 January 2006. Documents relating to methods and arrangements for input to a computer are classified under G06F3/033 and G06F3/041	G06K11/00	G06K11/00		260
G06K11/02	8	Automatic curve followers {, i.e. arrangements in which an exploring member or beam is forced to follow the curve}	G06K11/02	G06K11/02		223
G06K11/04	9	using an auxiliary scanning pattern	G06K11/04	G06K11/04		94
G06K11/06	8	Devices for converting the position of a manually-operated writing or tracing member into an electrical signal {(arrangements for converting the position or the displacement of a member into a coded form G06F3/03)}	G06K11/06	G06K11/06		69
G06K13/00	7	Conveying record carriers from one station to another, e.g. from stack to punching mechanism (conveying record carriers combined with another operation, e.g. with reading G06K17/00)	G06K13/00	G06K13/00		66
G06K13/02	8	the record carrier having longitudinal dimension comparable with transverse dimension, e.g. punched card	G06K13/02	G06K13/02		135
G06K13/04	9	Details, e.g. flaps in card-sorting apparatus	G06K13/04	G06K13/04		203
G06K13/05	10	Capstans; Pinch rollers	G06K13/05	G06K13/05		68
G06K13/06	9	Guiding cards; Checking correct operation of card-conveying mechanisms	G06K13/06	G06K13/06		385
G06K13/063	10	Aligning cards	G06K13/063	G06K13/063		227
G06K13/067	10	Checking presence, absence, correct position, or moving status of cards	G06K13/067	G06K13/067		439
G06K13/07	9	Transporting of cards between stations	G06K13/07	G06K13/07		391
G06K13/073	10	with continuous movement	G06K13/073	G06K13/073		165
G06K13/077	10	with intermittent movement; Braking or stopping movement	G06K13/077	G06K13/077		272
G06K13/08	9	Feeding or discharging cards	G06K13/08	G06K13/08		1958
G06K13/0806	10	{using an arrangement for ejection of an inserted card}	G06K13/08	G06K13/08		538
G06K13/0812	11	{the ejection arrangement utilizing a push bar for manipulation by hand in order to eject the inserted card}	G06K13/08	G06K13/08		50
G06K13/0818	12	{the push bar comprising a pivotable push button}	G06K13/08	G06K13/08		30
G06K13/0825	11	{the ejection arrangement being of the push-push kind}	G06K13/08	G06K13/08		310
G06K13/0831	11	{the ejection arrangement comprising a slide, carriage or drawer}	G06K13/08	G06K13/08		311
G06K13/0837	11	{the ejection arrangement using a heart-shaped cam}	G06K13/08	G06K13/08		28
G06K13/0843	10	{from or back into the same magazine (automatic card files G06K17/0003)}	G06K13/08	G06K13/08		133
G06K13/085	10	{using an arrangement for locking the inserted card}	G06K13/08	G06K13/08		375
G06K13/0856	11	{the locking arrangement comprising a notch in the card and a complementary locking means in the card reading station}	G06K13/08	G06K13/08		90
G06K13/0862	11	{the locking arrangement being of the rotate-slide and lock type, such as, e.g. common in mobile phones}	G06K13/08	G06K13/08		108
G06K13/0868	10	{using an arrangement for keeping the feeding or insertion slot of the card station clean of dirt, or to avoid feeding of foreign or unwanted objects into the slot}	G06K13/08	G06K13/08		49
