F16B7/1418	10	{with a clamping collar or two split clamping rings tightened by a screw or a cammed latch member}	F16B7/14	F16B7/14		223
F16B7/1427	10	{with cammed or eccentrical surfaces co-operating by relative rotation of the telescoping members or by rotation of an external collar}	F16B7/14	F16B7/14		307
F16B7/1436	11	{with rollers or balls}	F16B7/14	F16B7/14		27
F16B7/1445	10	{with a rubber bushing gripping inside the outer telescoping member by a radial expansion due to its axial compression (F16B7/1463 takes precedence)}	F16B7/14	F16B7/14		57
F16B7/1454	10	{with a clamp locking the telescoping members by swinging a handle provided with a locking cam (F16B7/1418 takes precedence)}	F16B7/14	F16B7/14		234
F16B7/1463	10	{with the expansion of an element inside the outer telescoping member due to the axial movement towards a wedge or a conical member}	F16B7/14	F16B7/14		218
F16B7/1472	10	{with a clamping screw perpendicular to the axis of the telescoping members}	F16B7/14	F16B7/14		256
F16B7/1481	10	{with a gripping helical spring}	F16B7/14	F16B7/14		69
F16B7/149	10	{with a sleeve or ring having a tapered or conical surface (F16B7/1463 takes precedence)}	F16B7/14	F16B7/14		206
F16B7/16	10	locking only against movement in one direction	F16B7/16	F16B7/16		22
F16B7/18	8	using screw-thread elements {(F16B7/025 takes precedence; for turnbuckles F16B7/06)}	F16B7/18	F16B7/18		1996
F16B7/182	9	{for coaxial connections of two rods or tubes}	F16B7/18	F16B7/18		1720
F16B7/185	9	{with a node element}	F16B7/18	F16B7/18		607
F16B7/187	9	{with sliding nuts or other additional connecting members for joining profiles provided with grooves or channels (channel nuts per seF16B37/045)}	F16B7/18	F16B7/18		1035
F16B7/20	8	using bayonet connections	F16B7/20	F16B7/20		627
F16B7/22	8	using hooks or like elements	F16B7/22	F16B7/22		833
F16B9/00	7	Connections of rods or tubular parts to flat surfaces at an angle ({with a part of or on one member entering a hole in the other and involving plastic deformation F16B17/006;} friction-grip releasable fastenings in general F16B2/00; making press-fit connections B23P11/00, B23P19/00; fluid-tight connecting of pipes to reservoirs, sheets, or the like F16L, e.g. joining pipes {or rods conveying fluids} to walls F16L41/00)	F16B9/00	F16B9/00		72
F16B9/01	8	{Welded or bonded connections}	F16B9/00	F16B9/01		100
F16B9/02	8	Detachable connections {(F16B9/05 &#8211; F16B9/09 take precedence)}	F16B9/02	F16B9/02		374
F16B9/05	8	{by way of an intermediate member}	F16B9/00	F16B9/05		356
F16B9/052	9	{the intermediate member having a radial flange secured to the flat surface}	F16B9/00	F16B9/052		580
F16B9/054	9	{the intermediate member being threaded}	F16B9/00	F16B9/054		659
F16B9/056	9	{the intermediate member extending through the flat surface; the rod or tubular part extending through the flat surface}	F16B9/00	F16B9/056		783
F16B9/058	9	{the intermediate member being secured to the rod by transverse fasteners}	F16B9/00	F16B9/058		356
F16B9/07	8	{involving plastic or elastic deformation when assembling (involving plastic deformation with a part of or on one member entering a hole in the other F16B17/006)}	F16B9/00	F16B9/07		185
F16B9/09	8	{rods and flat surfaces interengaging by projections and mating sockets}	F16B9/00	F16B9/09		178
F16B11/00	7	Connecting constructional elements or machine parts by sticking or pressing them together, e.g. cold pressure welding (non-electric welding in general B23K; methods of using adhesives independently of the form of the surfaces joined C09J5/00)	F16B11/00	F16B11/00		547
F16B11/002	8	{by pressing the elements together so as to obtain plastic deformation (shrinkage connections, force fits F16B4/00; pin-and-hole connections involving plastic deformation F16B17/00)}	F16B11/00	F16B11/00		107
F16B11/004	8	{by cold pressure welding}	F16B11/00	F16B11/00		72
F16B11/006	8	{by gluing (gluing of plastics material B29C65/48)}	F16B11/00	F16B11/00		6686
F16B11/008	9	{of tubular elements or rods in coaxial engagement}	F16B11/00	F16B11/00		377
F16B12/00	7	Jointing of furniture or the like, e.g. hidden from exterior (F16B2/00&#160;-&#160;F16B11/00 take precedence; fastening means per seF16B13/00&#160;-&#160;F16B47/00; wood-working B27)	F16B12/00	F16B12/00		418
F16B12/02	8	Joints between panels and corner posts	F16B12/02	F16B12/02		1003
F16B12/04	8	Non-loosenable joints for non-metal furniture parts, e.g. glued	F16B12/04	F16B12/04		483
F16B2012/043	9	{using carpentry joints other than mortise and tenon joints, e.g. using multiple tenons}	F16B12/04	F16B12/04		70
F16B2012/046	9	{using mortise and tenon joints}	F16B12/04	F16B12/04		41
F16B12/06	8	Non-loosenable joints for metal furniture parts	F16B12/06	F16B12/06		87
F16B12/08	9	without use of separate connecting elements	F16B12/08	F16B12/08		83
F16B12/10	8	using pegs, bolts, tenons, clamps, clips, or the like (glued F16B12/04; fastening means per seF16B15/00&#160;-&#160;F16B47/00)	F16B12/10	F16B12/10		2818
F16B2012/103	9	{Sleeves or dowels for connection fittings}	F16B12/10	F16B12/10		208
F16B2012/106	9	{Connection bolts for connection fittings}	F16B12/10	F16B12/10		385
F16B12/12	9	for non-metal furniture parts, e.g. made of wood, of plastics	F16B12/12	F16B12/12		418
F16B12/125	10	{using mortise and tenon joints}	F16B12/12	F16B12/12		660
F16B12/14	10	using threaded bolts or screws	F16B12/14	F16B12/14		990
F16B2012/145	11	{Corner connections}	F16B12/14	F16B12/14		166
F16B12/16	11	using self-tapping screws	F16B12/16	F16B12/16		64
F16B12/18	11	using drawing bars	F16B12/18	F16B12/18		182
F16B12/20	10	using clamps, clips, wedges, sliding bolts, or the like	F16B12/20	F16B12/20		863
F16B12/2009	11	{actuated by rotary motion}	F16B12/20	F16B12/20		734
F16B2012/2018	12	{pin and drum securing device;  drum has cam surface to engage the head of the pin}	F16B12/20	F16B12/20		209
