B62D21/07	8	wide-hipped frame type, i.e. a wide box-shaped mid portion with narrower sections extending from said mid portion in both fore and aft directions	B62D21/07	B62D21/07		153
B62D21/08	8	built up with interlaced cross members	B62D21/08	B62D21/08		420
B62D21/09	8	Means for mounting load bearing surfaces	B62D21/09	B62D21/09		1527
B62D21/10	8	in which the main member is plate-like	B62D21/10	B62D21/10		444
B62D21/11	8	with resilient means for suspension {, e.g. of wheels or engine; sub-frames for mounting engine or suspensions}<br><br><u>NOTE</u><br><br> This group does not cover subject matter primarily relating to the suspension, with only a nominal recitation of frame structure, which are covered by subclass  B60G	B62D21/11	B62D21/11		3443
B62D21/12	8	assembled from readily detachable parts	B62D21/12	B62D21/12		682
B62D21/14	8	of adjustable length or width	B62D21/14	B62D21/14		1045
B62D21/15	8	having impact absorbing means, e.g. a frame designed to permanently or temporarily change shape or dimension upon impact with another body (bumpers B60R19/02; shock absorbers in general F16F)	B62D21/15	B62D21/15		2416
B62D21/152	9	{Front or rear frames}	B62D21/15	B62D21/15		3720
B62D21/155	10	{Sub-frames or underguards}	B62D21/15	B62D21/15		1371
B62D21/157	9	{for side impacts}	B62D21/15	B62D21/15		1831
B62D21/16	8	having fluid storage compartment	B62D21/16	B62D21/16		386
B62D21/17	8	forming fluid or electrical conduit means or having other means to accommodate the transmission of a force or signal	B62D21/17	B62D21/17		405
B62D21/18	8	characterised by the vehicle type and not provided for in groups B62D21/02&#160;-&#160;B62D21/17	B62D21/18	B62D21/18		877
B62D21/183	9	{specially adapted for sports vehicles, e.g. race, dune buggies, go-karts (tubular skeleton B62D23/005)}	B62D21/18	B62D21/18		541
B62D21/186	9	{for building site vehicles or multi-purpose tractors (tracked vehicles B62D55/10; tractors in general B62D49/00; building site vehicles in general E02F; lift-trucks B66F)}	B62D21/18	B62D21/18		659
B62D21/20	9	trailer type, i.e. a frame specifically constructed for use in a non-powered vehicle	B62D21/20	B62D21/20		1069
B62D23/00	7	Combined superstructure and frame, i.e. monocoque constructions ({having impact absorbing means B62D21/15; } superstructure {or monocoque structure} sub-units {or parts or details thereof}B62D25/00{; characterised by the material thereof B62D29/00})	B62D23/00	B62D23/00		776
B62D23/005	8	{with integrated chassis in the whole shell, e.g. meshwork, tubes, or the like (B62D33/044 takes precedence)}	B62D23/00	B62D23/00		1014
B62D24/00	7	Connections between vehicle body and vehicle frame (B62D23/00, B62D33/077 take precedence)	B62D24/00	B62D24/00		485
B62D24/02	8	Vehicle body, not intended to move relatively to the vehicle frame, and mounted on vibration absorbing mountings, e.g. rubber pads	B62D24/02	B62D24/02		390
B62D24/04	8	Vehicle body mounted on resilient suspension for movement relative to the vehicle frame	B62D24/04	B62D24/04		227
B62D25/00	7	Superstructure {or monocoque structure} sub-units; Parts or details thereof not otherwise provided for {(having impact absorbing means B62D21/15; running-boards, steps, or the like as superstructure sub-unit B60R3/00)}	B62D25/00	B62D25/00		2343
B62D25/02	8	Side panels {(B62D33/046 takes precedence; sideboards for open load compartments B62D33/023)}	B62D25/02	B62D25/02		2592
B62D25/025	9	{Side sills thereof}	B62D25/02	B62D25/02		3247
B62D25/04	8	Door pillars {; windshield pillars}	B62D25/04	B62D25/04		5750
B62D25/06	8	Fixed roofs (non-fixed roofs or like shelters B60J7/00; roof liners B60R13/02; insulating elements B60R13/08)	B62D25/06	B62D25/06		4626
B62D25/07	9	having water drainage or guide means integral with roof structure	B62D25/07	B62D25/07		383
B62D25/08	8	Front or rear portions {(sub-frames for mounting engine or suspensions B62D21/11)}	B62D25/08	B62D25/08		4227
B62D25/081	9	{Cowls (ventilating openings situated directly in front of the vehicle front window B60H1/28)}	B62D25/08	B62D25/08		2014
B62D25/082	9	{Engine compartments}	B62D25/08	B62D25/08		2346
B62D25/084	10	{Radiator supports}	B62D25/08	B62D25/08		1548
B62D25/085	10	{Front-end modules}	B62D25/08	B62D25/08		1078
B62D25/087	9	{Luggage compartments}	B62D25/08	B62D25/08		1795
B62D25/088	9	{Details of structures as upper supports for springs or dampers}	B62D25/08	B62D25/08		1260
B62D25/10	9	Bonnets or lids {, e.g. for trucks, tractors, busses, work vehicles (for truck beds B60J7/1607; for boats B63B19/12; doors arranged at the vehicle rear B60J5/10; inlet covers for vehicle fuel tanks B60K15/05; for protecting non-occupants of a vehicle B60R21/38)}	B62D25/10	B62D25/10		1748
B62D25/105	10	{for motor cars}	B62D25/10	B62D25/10		1887
