F03G6/02	8	using a single state working fluid	F03G6/02	F03G6/02		83
F03G6/04	9	gaseous {(F03G6/064, F03G6/068 take precedence)}	F03G6/04	F03G6/04		220
F03G6/045	10	{by producing an updraft of heated gas or a downdraft of cooled gas, e.g. air driving an engine}	F03G6/04	F03G6/04		382
F03G6/06	8	with solar energy concentrating means<br><br><u>WARNING</u><br>Group F03G6/06 is impacted by reclassification into groups F03G6/061, F03G6/062, F03G6/063 and F03G6/068.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G6/06	F03G6/06		979
F03G6/061	9	{Parabolic linear or trough concentrators}<br><br><u>WARNING</u><br>Group F03G6/061 is incomplete pending reclassification of documents from group F03G6/06.<br>Groups F03G6/06 and F03G6/061 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		155
F03G6/062	9	{Parabolic point or dish concentrators}<br><br><u>WARNING</u><br>Group F03G6/062 is incomplete pending reclassification of documents from group F03G6/06.<br>Groups F03G6/06 and F03G6/062 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		146
F03G6/063	9	{Tower concentrators}<br><br><u>WARNING</u><br>Group F03G6/063 is incomplete pending reclassification of documents from group F03G6/06.<br>Groups F03G6/06 and F03G6/063 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		159
F03G6/064	9	{having a gas turbine cycle, i.e. compressor and gas turbine combination}	F03G6/06	F03G6/06		288
F03G6/065	9	{having a Rankine cycle}<br><br><u>WARNING</u><br>Group F03G6/065 is impacted by reclassification into group F03G6/066.<br>Groups F03G6/065 and F03G6/066 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		714
F03G6/066	10	{of the Organic Rankine Cycle [ORC] type or the Kalina Cycle type}<br><br><u>WARNING</u><br>Group F03G6/066 is incomplete pending reclassification of documents from group F03G6/065.<br>Groups F03G6/065 and F03G6/066 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		122
F03G6/067	10	{Binary cycle plants where the fluid from the solar collector heats the working fluid via a heat exchanger}	F03G6/06	F03G6/06		654
F03G6/068	9	{having other power cycles, e.g. Stirling or transcritical, supercritical cycles; combined with other power sources, e.g. wind, gas or nuclear}<br><br><u>WARNING</u><br>Group F03G6/068 is incomplete pending reclassification of documents from group F03G6/06.<br>Groups F03G6/06 and F03G6/068 should be considered in order to perform a complete search.	F03G6/06	F03G6/06		476
F03G6/071	8	{with energy storage devices}<br><br><u>WARNING</u><br>Groups F03G6/071 and F03G6/074 are incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00, F03G6/071 and F03G6/074 should be considered in order to perform a complete search.	F03G6/00	F03G6/071		751
