H05K3/025	10	{by transfer of thin metal foil formed on a temporary carrier, e.g. peel-apart copper}	H05K3/02	H05K3/02		637
H05K3/027	9	{the conductive material being removed by irradiation, e.g. by photons, alpha or beta particles}	H05K3/02	H05K3/02		840
H05K3/04	9	the conductive material being removed mechanically, e.g. by punching	H05K3/04	H05K3/04		392
H05K3/041	10	{by using a die for cutting the conductive material}	H05K3/04	H05K3/04		273
H05K3/043	10	{by using a moving tool for milling or cutting the conductive material}	H05K3/04	H05K3/04		186
H05K3/045	10	{by making a conductive layer having a relief pattern, followed by abrading of the raised portions}	H05K3/04	H05K3/04		265
H05K3/046	10	{by selective transfer or selective detachment of a conductive layer}	H05K3/04	H05K3/04		330
H05K3/048	11	{using a lift-off resist pattern or a release layer pattern}	H05K3/04	H05K3/04		363
H05K3/06	9	the conductive material being removed chemically or electrolytically, e.g. by photo-etch process {(semi-additive methods H05K3/108)}	H05K3/06	H05K3/06		3845
H05K3/061	10	{Etching masks}	H05K3/06	H05K3/06		1062
H05K3/062	11	{consisting of metals or alloys or metallic inorganic compounds (H05K3/065 takes precedence)}	H05K3/06	H05K3/06		626
H05K3/064	11	{Photoresists}	H05K3/06	H05K3/06		1524
H05K3/065	11	{applied by electrographic, electrophotographic or magnetographic methods}	H05K3/06	H05K3/06		119
H05K3/067	10	{Etchants}	H05K3/06	H05K3/06		788
H05K3/068	10	{Apparatus for etching printed circuits}	H05K3/06	H05K3/06		760
H05K3/07	10	being removed electrolytically	H05K3/07	H05K3/07		185
H05K3/08	9	the conductive material being removed by electric discharge, e.g. by spark erosion	H05K3/08	H05K3/08		84
H05K3/10	8	in which conductive material is applied to the insulating support in such a manner as to form the desired conductive pattern	H05K3/10	H05K3/10		1355
H05K3/101	9	{by casting or moulding of conductive material}	H05K3/10	H05K3/10		324
H05K3/102	9	{by bonding of conductive powder, i.e. metallic powder (H05K3/12 takes precedence)}	H05K3/10	H05K3/10		525
H05K3/103	9	{by bonding or embedding conductive wires or strips}	H05K3/10	H05K3/10		564
H05K3/105	9	{by conversion of non-conductive material on or in the support into conductive material, e.g. by using an energy beam}	H05K3/10	H05K3/10		868
H05K3/106	10	{by photographic methods}	H05K3/10	H05K3/10		155
H05K3/107	9	{by filling grooves in the support with conductive material (H05K3/045, H05K3/101, H05K3/1258 and H05K3/465 take precedence)}	H05K3/10	H05K3/10		1545
H05K3/108	9	{by semi-additive methods; masks therefor (characterised by metallic etch mask H05K3/062; electroplating methods or apparatus H05K3/241)}	H05K3/10	H05K3/10		1813
H05K3/12	9	using {thick film techniques, e.g.} printing techniques to apply the conductive material {or similar techniques for applying conductive paste or ink patterns}	H05K3/12	H05K3/12		1670
H05K3/1208	10	{Pretreatment of the circuit board, e.g. modifying wetting properties; Patterning by using affinity patterns (providing shape patterns H05K3/1258; adhesion treatments H05K3/38)}	H05K3/12	H05K3/12		297
