B60S3/002	8	{Vehicle drying apparatus}	B60S3/00	B60S3/00		1059
B60S3/004	8	{Conveyors for vehicle cleaning apparatus}	B60S3/00	B60S3/00		639
B60S3/006	8	{specially adapted for railway vehicles (B60S3/008 takes precedence)}	B60S3/00	B60S3/00		470
B60S3/008	8	{for interiors of land vehicles}	B60S3/00	B60S3/00		712
B60S3/04	8	for exteriors of land vehicles {(B60S3/002, B60S3/004 take precedence; specially adapted for railway vehicles B60S3/006)}	B60S3/04	B60S3/04		4757
B60S3/041	9	{specially adapted for two-wheeled vehicles}	B60S3/04	B60S3/04		181
B60S3/042	9	{Wheel cleaning devices (integral with vehicle B60S1/00)}	B60S3/04	B60S3/04		1442
B60S3/044	9	{Hand-held cleaning arrangements with liquid or gas distributing means (B60S3/045 takes precedence)}	B60S3/04	B60S3/04		1075
B60S3/045	9	{Other hand-held cleaning arrangements, e.g. with sponges, brushes, scrapers or the like (brushes per seA46B)}	B60S3/04	B60S3/04		925
B60S3/047	10	{using liquid or gas distributing means (B60S3/048 takes precedence)}	B60S3/04	B60S3/04		696
B60S3/048	10	{with rotary or vibratory bodies contacting the vehicle}	B60S3/04	B60S3/04		517
B60S3/06	9	with rotary bodies contacting the vehicle {(hand-held B60S3/048)}	B60S3/06	B60S3/06		1301
B60S3/063	10	{the axis of rotation being approximately vertical}	B60S3/06	B60S3/06		934
B60S3/066	10	{the axis of rotation being approximately horizontal}	B60S3/06	B60S3/06		565
B60S5/00	7	Servicing, maintaining, repairing, or refitting of vehicles (vehicles adapted to carry a workshop for servicing or maintenance B60P3/14; servicing rail locomotives B61K)	B60S5/00	B60S5/00		2357
B60S5/02	8	Supplying fuel to vehicles; General disposition of plant in filling stations (apparatus for transferring measured quantities of petrol, oil, or the like from storage space to vehicles B67D)	B60S5/02	B60S5/02		786
B60S5/04	8	Supplying air for tyre inflation (arrangement of tyre inflating devices on vehicles B60C23/00; tyre pressure gauges G01L17/00{; pumps actuated by muscle power F04B33/00})	B60S5/04	B60S5/04		854
B60S5/043	9	{characterised by the inflation control means or the drive of the air pressure system}	B60S5/04	B60S5/04		709
B60S5/046	10	{using electrical or electronical means}	B60S5/04	B60S5/04		359
