E04C3/06	10	with substantially solid, i.e. unapertured, web (E04C3/10, E04C3/11 take precedence {honeycomb girders E04C3/083})	E04C3/06	E04C3/06		1275
E04C3/065	11	{with special adaptations for the passage of cables or conduits through the web}	E04C3/06	E04C3/06		99
E04C3/07	11	at least partly of bent or otherwise deformed strip- or sheet-like material	E04C3/07	E04C3/07		1923
E04C3/08	10	with apertured web, e.g. with a web consisting of bar-like components; Honeycomb girders (E04C3/10, E04C3/11 take precedence)	E04C3/08	E04C3/08		1319
E04C3/083	11	{Honeycomb girders; Girders with apertured solid web}	E04C3/08	E04C3/08		240
E04C3/086	12	{of the castellated type}	E04C3/08	E04C3/08		144
E04C3/09	11	at least partly of bent or otherwise deformed strip- or sheet-like material	E04C3/09	E04C3/09		763
E04C3/10	10	prestressed	E04C3/10	E04C3/10		520
E04C3/11	10	with non-parallel upper and lower edges, e.g. roof trusses (arched girders, portal frames E04C3/38)	E04C3/11	E04C3/11		699
E04C3/12	9	of wood, e.g. with reinforcements, with tensioning members (E04C3/292 takes precedence)	E04C3/12	E04C3/12		384
E04C3/122	10	{Laminated}	E04C3/12	E04C3/12		281
E04C3/125	10	{End caps therefor}	E04C3/12	E04C3/12		58
E04C3/127	10	{with hollow cross section}	E04C3/12	E04C3/12		158
E04C3/14	10	with substantially solid, i.e. unapertured, web ({E04C3/127,}E04C3/17, E04C3/18 take precedence)	E04C3/14	E04C3/14		681
E04C3/145	11	{with special adaptations for the passage of cables or conduits through the web, e.g. reinforcements}	E04C3/14	E04C3/14		23
E04C3/16	10	with apertured web, e.g. trusses (E04C3/17, E04C3/18 take precedence)	E04C3/16	E04C3/16		412
E04C3/17	10	with non-parallel upper and lower edges, e.g. roof trusses	E04C3/17	E04C3/17		457
E04C3/18	10	with metal {or other} reinforcements or tensioning members	E04C3/18	E04C3/18		498
E04C3/185	11	{Synthetic reinforcements}	E04C3/18	E04C3/18		140
E04C3/20	9	of concrete or other stone-like material, e.g. with reinforcements or tensioning members (reinforcing elements E04C5/00)	E04C3/20	E04C3/20		1675
E04C3/205	10	{with apertured web, e.g. frameworks, trusses (E04C3/26 takes precedence)}	E04C3/20	E04C3/20		160
E04C3/22	10	built-up by elements jointed in line	E04C3/22	E04C3/22		755
E04C3/26	10	prestressed (E04C3/22, E04C3/29 take precedence; prestressing members E04C5/08)	E04C3/26	E04C3/26		811
E04C3/28	9	of materials not covered by groups E04C3/04 - E04C3/20	E04C3/28	E04C3/28		721
E04C3/285	10	{of glass}	E04C3/28	E04C3/28		67
E04C3/29	9	built-up from parts of different material, {i.e. composite structures}	E04C3/29	E04C3/29		1541
E04C3/291	10	{with apertured web}	E04C3/29	E04C3/29		225
E04C3/292	10	the materials being wood and metal	E04C3/292	E04C3/292		838
E04C3/293	10	the materials being steel and concrete (concrete with internal reinforcements or tensioning members E04C3/20)	E04C3/293	E04C3/293		1683
E04C3/294	11	of concrete combined with a girder-like structure extending laterally outside the element (light weight girders used as reinforcement E04C5/065; as part of a floor structure E04B5/23)	E04C3/294	E04C3/294		418
E04C3/30	8	Columns; Pillars; Struts (not designed for end loading E04C3/02; posts, masts, as independent structures E04H12/00)	E04C3/30	E04C3/30		970
E04C3/32	9	of metal (E04C3/36 takes precedence)	E04C3/32	E04C3/32		2650
E04C3/34	9	of concrete other stone-like material, with or without permanent form elements, with or without internal or external reinforcement, e.g. metal coverings (E04C3/36 takes precedence)	E04C3/34	E04C3/34		3804
E04C3/36	9	of materials not covered by groups E04C3/32 or E04C3/34; of a combination of two or more materials	E04C3/36	E04C3/36		1653
E04C3/38	8	Arched girders or portal frames (straight girders able to be bent E04C3/02; inflatable E04H15/20)	E04C3/38	E04C3/38		216
E04C3/40	9	of metal (E04C3/46 takes precedence)	E04C3/40	E04C3/40		812
E04C3/42	9	of wood, e.g. units for rafter roofs (E04C3/46 takes precedence)	E04C3/42	E04C3/42		466
E04C3/44	9	of concrete or other stone-like material, e.g. with reinforcements or tensioning members (E04C3/46 takes precedence)	E04C3/44	E04C3/44		251
E04C3/46	9	of materials not covered by groups E04C3/40 - E04C3/44; of a combination of two or more materials	E04C3/46	E04C3/46		152
E04C5/00	7	Reinforcing elements, e.g. for concrete; Auxiliary elements therefor ({methods or devices for making reinforcing materials B21D;} material composition {C04B,}C21, C22)<br><br><u>NOTE</u><br><br>In this group, the following terms or expressions are used with the meanings indicated: <br>"reinforcing" means increasing any physical strength characteristic of the end product, e.g. compressive or flexural strength; <br>"elements" includes relatively large bodies, e.g. steel bars, as well as relatively small discrete bodies of any form, e.g. glass fibres.<br>Discrete reinforcing elements, which are small compared with the reinforced building element, only characterised by their composition are classified in C04B, e.g. steel fibres C04B14/48, plastic elements with a shape other than granular or fibrous C04B16/12	E04C5/00	E04C5/00		344
E04C5/01	8	Reinforcing elements of metal, e.g. with non-structural coatings {(E04C5/08 takes precedence)}	E04C5/01	E04C5/01		1116
E04C5/012	9	{Discrete reinforcing elements, e.g. fibres}	E04C5/01	E04C5/01		528
E04C5/015	9	{Anti-corrosion coatings or treating compositions, e.g. containing waterglass or based on another metal (coating of discrete reinforcing elements C04B20/10)}	E04C5/01	E04C5/01		266
E04C5/017	10	{Anti-corrosion coatings or treating compositions containing cement}	E04C5/01	E04C5/01		54
E04C5/02	9	of low bending resistance	E04C5/02	E04C5/02		569
E04C5/03	10	with indentations, projections, ribs, or the like, for augmenting the adherence to the concrete	E04C5/03	E04C5/03		1612
