F28D9/0043	9	{the plates having openings therein for circulation of at least one heat-exchange medium from one conduit to another}	F28D9/00	F28D9/00		1013
F28D9/005	10	{the plates having openings therein for both heat-exchange media}	F28D9/00	F28D9/00		2067
F28D9/0056	10	{with U-flow or serpentine-flow inside conduits; with centrally arranged openings on the plates}	F28D9/00	F28D9/00		410
F28D9/0062	8	{the conduits for one heat-exchange medium being formed by spaced plates with inserted elements (F28D9/0012, F28D9/0025, F28D9/0081, F28D9/04 take precedence)}	F28D9/00	F28D9/00		1305
F28D9/0068	9	{with means for changing flow direction of one heat exchange medium, e.g. using deflecting zones}	F28D9/00	F28D9/00		590
F28D9/0075	9	{the plates having openings therein for circulation of the heat-exchange medium from one conduit to another}	F28D9/00	F28D9/00		377
F28D9/0081	8	{the conduits for one heat-exchange medium being formed by a single plate-like element (F28D9/0012 takes precedence); the conduits for one heat-exchange medium being integrated in one single plate-like element (F28D9/0012 takes precedence)}	F28D9/00	F28D9/00		454
F28D9/0087	8	{with flexible plates}	F28D9/00	F28D9/00		74
F28D9/0093	8	{Multi-circuit heat-exchangers, e.g. integrating different heat exchange sections in the same unit or heat-exchangers for more than two fluids}	F28D9/00	F28D9/00		998
F28D9/02	8	the heat-exchange media travelling at an angle to one another (F28D9/04 takes precedence)	F28D9/02	F28D9/02		263
F28D9/04	8	the conduits being formed by spirally-wound plates or laminae	F28D9/04	F28D9/04		1039
F28D11/00	7	Heat-exchange apparatus employing moving conduits {(F28D15/0208 takes precedence)}	F28D11/00	F28D11/00		105
F28D11/02	8	the movement being rotary, e.g. performed by a drum or roller (F28D11/08 takes precedence)	F28D11/02	F28D11/02		747
F28D11/025	9	{Motor car radiators}	F28D11/02	F28D11/02		46
F28D11/04	9	performed by a tube or a bundle of tubes	F28D11/04	F28D11/04		450
F28D11/06	8	the movement being reciprocating or oscillating (F28D11/08 takes precedence)	F28D11/06	F28D11/06		64
F28D11/08	8	more than one conduit assembly performing independent movements, e.g. rotary bundle of tubes in a rotary drum	F28D11/08	F28D11/08		34
F28D13/00	7	Heat-exchange apparatus using a fluidised bed	F28D13/00	F28D13/00		642
F28D15/00	7	Heat-exchange apparatus with the intermediate heat-transfer medium in closed tubes passing into or through the conduit walls {; Heat-exchange apparatus employing intermediate heat-transfer medium or bodies (F28D17/00, F28D19/00, F28D20/00 take precedence)}	F28D15/00	F28D15/00		1590
F28D15/02	8	in which the medium condenses and evaporates, e.g. heat pipes {(heat pipes used in solar heat collectors F24S10/95; in radiators F28D1/0226; in nuclear reactors G21C15/257)}	F28D15/02	F28D15/02		3964
F28D15/0208	9	{using moving tubes}	F28D15/02	F28D15/02		171
F28D2015/0216	9	{having particular orientation, e.g. slanted, or being orientation-independent}	F28D15/02	F28D15/02		189
F28D2015/0225	9	{Microheat pipes}	F28D15/02	F28D15/02		200
F28D15/0233	9	{the conduits having a particular shape, e.g. non-circular cross-section, annular (F28D15/0241, F28D15/0266 take precedence)}	F28D15/02	F28D15/02		3688
F28D15/0241	9	{the tubes being flexible}	F28D15/02	F28D15/02		290
F28D15/025	9	{having non-capillary condensate return means}	F28D15/02	F28D15/02		455
F28D15/0258	9	{with means to remove contaminants, e.g. getters}	F28D15/02	F28D15/02		107
