B29D1/00	ねじ山を有する物品の製造
B29D2030/0077	｛加硫前または加硫後におけるタイヤへの監視装置の直接的な取り付け，例．マイクロチップ｝
B29D2030/0083	｛監視装置の，加硫前または加硫後におけるタイヤの空洞内への挿入による取り付け｝
B29D2030/0088	｛適応可能なタイヤ，すなわち，タイヤの特性，例．剛性，が使用中に変更可能なもの｝
B29D2030/0094	｛エネルギーを発生，例．回収，することが可能なタイヤ｝
B29D30/02	中実タイヤ；｛その成形｝
B29D30/04	ゴムタイヤ用弾性充填物；それによるタイヤの充填
B29D30/06	空気タイヤまたはその部品，｛（例．鋳造，成形，圧縮成形，射出成形，遠心鋳造，により製造されるもの）｝
B29D30/0601	｛加硫タイヤ；タイヤ用の加硫プレス機｝
B29D30/0602	｛加硫媒体がタイヤと直接接触するもの｝
B29D30/0603	｛プレス機の加圧または除圧｝
B29D30/0605	｛放射状に移動可能な扇形部材を持つプレス機に一体化された型に特徴のある加硫プレス機｝
B29D30/0606	｛加硫プレス機と一体化していない加硫型（中実タイヤ用Ｂ２９Ｄ３０／０２）｝
B29D2030/0607	｛金型の構造上の特徴（型またはコア一般Ｂ２９Ｃ３３／００）｝
B29D2030/0609	｛金型が複数の層から作られたもの，例．成型空間を形成するように互いに隣接した薄板から作られたもの｝
B29D2030/061	｛トレッド面の下に通路を形成する手段，例．アンダーカット，孔，チャネル，溝｝
B29D2030/0612	｛タイヤに凹部または凸部を形成する手段，例．トレッドまたはサイドウォールのパターンを形成する，溝またはリブ｝
B29D2030/0613	｛タイヤに，狭い凹部，例．冬用タイヤのための切れ目または切れ込み，を形成するための手段，例．サイプまたはブレード状要素｝
B29D2030/0614	｛多孔質金型，例．焼結材（多孔質金型一般Ｂ２９Ｃ３３／３８１４）｝
B29D2030/0616	｛金型の表面構造，例．表面粗さ，スリット，溝またはチャネルの配置｝
B29D2030/0617	｛通気装置，例．通気するプラグまたは挿入物｝
B29D2030/0618	｛タイヤの肩部領域を成型するための環状要素，例．リング｝
B29D2030/062	｛ビード部で金型に対してタイヤをシールするための手段｝
B29D2030/0621	｛モールドに対してビードの部分をシールするためのもの，すなわち，押圧具を用いるもの｝
B29D2030/0622	｛押圧具が折り畳み可能であるもの，例．環状要素が複数の扇形で構成されるもの｝
B29D2030/0623	｛押圧具が可撓性であるもの，例．環状要素が比較的に弾性的で変形可能であるもの｝
B29D2030/0625	｛押圧具が実質的に剛体であるもの｝
B29D2030/0626	｛押圧具が一体型であるもの｝
B29D2030/0627	｛押圧具がリング状であるもの｝
B29D30/0629	｛半径方向に移動可能な扇形部材をもつもの｝
B29D2030/063	｛金型が上半分と下半分に分割するもの｝
B29D2030/0631	｛隣接する金型の扇形部材をお互いに離れさせる手段，例．反発力を発生させるためのバネまたは類似のものを用いるもの｝
B29D30/0633	｛加硫タイヤのために特に適合した後処理｝
B29D2030/0634	｛タイヤの均一性の測定，計算，矯正，例．ＲＦＶ矯正｝
B29D2030/0635	｛タイヤの均一性の測定および計算，例．数学的な方法を用いるもの｝
B29D2030/0637	｛材料の付加による矯正｝
B29D2030/0638	｛材料の除去，例．研削，による矯正｝
B29D2030/0639	｛熱処理による矯正｝
B29D2030/0641	｛タイや変形の抑制による矯正｝
B29D2030/0642	｛延伸による矯正｝
B29D30/0643	｛後硬化膨張中に冷却するもの；そのために用いる後硬化インフレータ｝
B29D30/0645	｛タイヤの中に加硫コア，すなわちブラダ，を挿入するための装置；これと結合したプレス機を閉じるもの｝
B29D2030/0646	｛装置から加硫コアまたはブラダを取り付け，または取外しを行うもの｝
B29D2030/0647	｛ブラダとサイドリングのアセンブリを用いてタイヤを支持または移設するもの｝
B29D30/0649	｛タイヤから加硫コア，すなわちブラダ，を取り除くための装置；これと結合したプレス機を開くもの｝
B29D30/065	｛お互いに積み重ねられた二個以上の型，例．互いに積み重ねられたもの，をもつ加硫プレス機｝
B29D2030/0651	｛型が幅方向または周方向に配置されたもの｝
B29D2030/0653	｛プレス機における型の交換｝
B29D30/0654	｛そのための柔軟性のコア，例，ブラダ，袋体，膜体，ダイヤフラム（プラスチックの成形用の弾性コアまたはマンドレルＢ２９Ｃ３３／５０５；プレス機において均等圧を維持する袋体Ｂ２９Ｃ４３／１２，Ｂ２９Ｃ４３／３６４２｝
B29D2030/0655	｛柔軟性のコアの構造的または化学的な特徴｝
B29D2030/0657	｛柔軟性のコアからの加硫媒体の除去，例，ドレインまたは排出｝
B29D2030/0658	｛柔軟性のコア用の通気装置｝
B29D2030/0659	｛他に分類されない柔軟性のコアの細部または付属品｝
B29D30/0661	｛そのための剛性のコア，例．環状または本質的にトロイダル状のコア（タイヤの組立てのためのコアＢ２９Ｄ３０／１２；タイヤの組立てのためのドラムＢ２９Ｄ３０／２４）｝
B29D30/0662	｛付属品，細部または補助機構｝
B29D2030/0663	｛型の保守，例．清掃，洗浄，修繕｝
B29D2030/0665	｛加硫前のタイヤの均一性の測定，計算，矯正｝
B29D2030/0666	｛流体を用いる加熱（液体，気体または蒸気を用いる加熱，冷却または硬化Ｂ２９Ｃ３５／０４）｝
B29D2030/0667	｛流体を循環させるもの，例．それらを型に導入しおよびその中から排出するもの；そのための装置｝
B29D2030/0669	｛流体が型に備えられた，例．型に配設された，タービン型ポンプにより循環されるもの｝
B29D2030/067	｛加硫用の流体が気体または蒸気であるもの｝
B29D2030/0671	｛加硫用の流体が液体であるもの｝
B29D2030/0673	｛加硫用の流体が異なる種類の流体，例．蒸気と窒素，の組み合わせであるもの｝
B29D2030/0674	｛非流体手段を用いることによる加熱，例．電気的な加熱｝
B29D2030/0675	｛加硫工程の制御｝
B29D2030/0677	｛温度差の制御｝
B29D30/0678	｛タイヤまたはその部品に特に適合した射出成形（射出成形一般Ｂ２９Ｃ４５／００）｝
B29D30/0679	｛タイヤまたはその部品に特に適合した遠心鋳造（遠心鋳造一般Ｂ２９Ｃ３９／０８）｝
B29D30/0681	｛空気入りタイヤの部品；付属品，補助機構｝
B29D2030/0682	｛インナライナ（タイヤの内壁に不透過性ライナーまたはコーティングを有するチューブレスタイヤＢ６０Ｃ５／１４）｝
B29D2030/0683	｛ランフラットタイヤのための緊急用支持体として，タイヤの内部に配置される付加的な支持体｝
B29D30/0685	｛自動補修または自己密封装置もしくは剤のタイヤ上またはタイヤ内への組み込み（自動補修または自己密封装置もしくは剤Ｂ２９Ｃ７３／１６；パンク防止装置Ｂ６０Ｃ１９／１２）｝
B29D2030/0686	｛他に分類されないタイヤ上またはタイヤ内へのシーラントの添加；そのための補助機構，例．タイヤの準備［preparation］｝
B29D2030/0687	｛単一の空間，例．袋体，隔壁体，チューブまたは内腔，内へのシーラントの添加によるもの｝
B29D2030/0689	｛複数の空間，例．袋体，隔壁体，チューブまたは内腔，内へのシーラントの添加によるもの｝
B29D2030/069	｛円筒支持体，例．ドラム，を介して行うもの｝
B29D2030/0691	｛トロイダル状支持体，例．コア，タイヤの一部またはインナーチューブ，を介して行うもの｝
B29D2030/0693	｛シーラントが分散粒子，例．シーラントで満たされた球またはボール，の形態であるもの｝
B29D2030/0694	｛シーラントが単一または複数の狭幅のストリップの形態であるもの，例．タイヤ内に巻き付け取り付けられたもの｝
B29D2030/0695	｛シーラントが単一の広幅のストリップの形態であるもの，例．パッチ｝
B29D2030/0697	｛シーラントが液体の形態であるもの，例．噴霧により適用されるもの｝
B29D2030/0698	｛シーラントが注入により適用されるもの，例．孔を通じたシーラントの導入｝
B29D30/08	タイヤの組立て
B29D2030/082	｛タイヤ組立て支持体上の積層の最適化，例．数学的方法によるもの｝
B29D2030/084	｛型内にタイヤの両側面を配置し，トロイダル状のタイヤを形成するためにトレッド材を注入，例．押出成型または射出成型により，するもの｝
B29D2030/086	｛２つ以上のサプアセンブリ，例．２つの分割したカーカス，の連結によるカーカスの成形｝
B29D2030/088	｛コアまたは組立てドラム上の製造中における，継ぎ目のないチューブの構成要素，例．インナライナ，カーカス構造またはベルト／ブレーカ，の使用によるもの｝
B29D30/10	円形コア，すなわちコアの形状が完成タイヤとほぼ同じもの，上での組立て
B29D2030/105	｛コアが移動可能なもの｝
B29D30/12	コア
B29D30/14	組立て工程中の層のロールダウンまたはプレスダウン
B29D30/16	層の装着；装着時の層の案内または引張り｛（トレッドバンドのカーカスへの装着Ｂ２９Ｄ３０／５８；トレッドの再生Ｂ２９Ｄ３０／５４）｝
B29D30/1607	｛環状要素を形成するために，コア軸線に垂直にシートを供給しその端部を結合することによるもの（シートを折曲げてその端部を結合するものＢ２９Ｃ５３／４２）｝
B29D30/1614	｛管状の予備成形層のコア上の滑動によるもの｝
B29D30/1621	｛環状要素を形成するために，連続バンドを供給しそれを渦巻き状に巻取る，すなわち，そのバンドがコア軸線に沿って相対移動することなく供給される，ことによるもの（渦巻き状の巻付けおよび接合一般Ｂ２９Ｃ５３／５６２）｝
B29D30/1628	｛環状要素を形成するために，連続バンドを供給しそれを螺旋状に巻取る，すなわち，そのバンドがコア軸線に沿って前進しながら供給される，ことによるもの（螺旋状の巻付けおよび接合一般Ｂ２９Ｃ５３／５８）｝
B29D30/1635	｛環状要素を形成するために，連続する帯状体を供給しそれを前後動（ジグザグ移動）させることによるもの｝
B29D30/1642	｛環状要素を形成するために，長さ方向に切断された要素をコア軸線に垂直な方向かつコア軸線に平行な平面上に供給し，その要素を並べて設置するもの｝
B29D30/165	｛環状要素を形成するために，長さ方向に切断された要素をコア軸線に平行な方向に供給し，その要素を並べて設置するもの｝
B29D30/1657	｛環状要素を形成するために，長さ方向に切断された要素をコア軸線に対して傾斜した方向に供給し，その要素を並べて設置するもの｝
B29D2030/1664	｛Ｂ２９Ｄ３０／００の他のサブグループに分類されない細部，付属品または補助操作｝
