D06N2203/045	ビニル［共］重合体
D06N2203/047	芳香族ビニル［共］重合体，例．スチレン
D06N2203/048	ポリ塩化ビニル［共］重合体
D06N2203/06	炭素―炭素間不飽和結合のみが関与する反応による以外の反応によって得られる高分子化合物によるもの
D06N2203/061	ポリエステル
D06N2203/063	ポリカーボネート
D06N2203/065	ポリアミド
D06N2203/066	シリコン重合体
D06N2203/068	ポリウレタン
D06N2203/08	瀝青質材料，例．アスファルト，タール，ビチューメン
D06N2205/00	材料の状況，形態または状態
D06N2205/02	分散
D06N2205/023	エマルジョン，水分散液，ラテックス
D06N2205/026	プラスチゾル
D06N2205/04	発泡体
D06N2205/045	泡
D06N2205/06	溶解
D06N2205/08	マイクロバルーン，マイクロカプセル
D06N2205/10	粒子形態，例．粉末，顆粒
D06N2205/103	ナノ粒子
D06N2205/106	スクラップまたはリサイクルされた粒子
D06N2205/12	血小板，薄片
D06N2205/14	繊維状の添加剤または充填剤
D06N2205/16	溶液
D06N2205/18	スクラップまたはリサイクルされた材料（Ｄ０６Ｎ２２０５／１０６が優先）
D06N2205/20	硬化材料，例．加硫，架橋
D06N2205/22	部分的な硬化
D06N2205/24	凝固材料
D06N2205/243	加熱，蒸気によるもの
D06N2205/246	溶媒の抽出によるもの
D06N2207/00	エネルギーまたは化学的作用による処理
D06N2207/02	振動を用いるもの
D06N2207/04	蒸気を用いるもの（Ｄ０６Ｎ２２０５／２４３が優先）
D06N2207/06	液体，例．水，を用いるもの
D06N2207/08	気体を用いるもの
D06N2207/10	火炎を用いるもの
D06N2207/12	波動エネルギーまたは粒子放射によるもの
D06N2207/123	電磁放射，例．ＩＲ，ＵＶ，化学作用光，レーザ，Ｘ線，ガンマ線，マイクロ波，無線周波，を用いるもの
D06N2207/126	粒子放射，例．イオン，エレクトロン，ニュトロン，を用いるもの
D06N2207/14	コロナ，イオン化，放電
D06N2209/00	材料の特性
D06N2209/02	音響特性をもつもの
D06N2209/025	遮音，吸音
D06N2209/04	電気的または磁気的な特性をもつもの
D06N2209/041	導電性
D06N2209/043	遮蔽性
D06N2209/045	磁気，常磁性
D06N2209/046	帯電防止
D06N2209/048	電磁干渉遮蔽
D06N2209/06	熱的な特性をもつもの
D06N2209/062	伝熱性
D06N2209/065	断熱
D06N2209/067	難燃性，耐火性
D06N2209/08	光学的な特性をもつもの
D06N2209/0807	色
D06N2209/0815	層の表面上，例．インク
D06N2209/0823	着色剤，例．顔料，染料，の添加された層内でのもの
D06N2209/083	多色
D06N2209/0838	明るい，光沢，輝く表面
D06N2209/0846	艶消し，どんよりとした表面
D06N2209/0853	不透明
D06N2209/0861	透明
D06N2209/0869	半透明
D06N2209/0876	反射的
D06N2209/0884	屈折的
D06N2209/0892	発光，蛍光，燐光
D06N2209/10	機械的な特性をもつもの
D06N2209/101	振動減衰，エネルギー吸収
D06N2209/103	機械的な力，例．ショック，衝撃，穿刺，屈曲，せん断，圧迫，引掻き，への抵抗性
D06N2209/105	摩耗，傷付きへの抵抗性
D06N2209/106	粗さ，滑り止め，研磨性
D06N2209/108	滑り，ブロッキング防止，低摩擦
D06N2209/12	透過または不透過特性
D06N2209/121	気体の透過性，吸収性
D06N2209/123	通気性
D06N2209/125	非透過性
D06N2209/126	液体の透過性，吸収性
D06N2209/128	非透過性
D06N2209/14	化学的な特性をもつもの
D06N2209/141	親水性
D06N2209/142	疎水性
D06N2209/143	不活性，すなわち，化学的劣化に対して不活性，耐腐食性
D06N2209/145	疎油性
D06N2209/146	汚れの防止，忌避
D06N2209/147	染みの防止，忌避
D06N2209/148	超吸収
D06N2209/16	その他の特性をもつもの
D06N2209/1607	分解性
D06N2209/1614	生分解性
D06N2209/1621	水溶性，水分散性
D06N2209/1628	寸法安定性
D06N2209/1635	弾性
D06N2209/1642	硬さ
D06N2209/165	臭気吸収，脱臭能力
D06N2209/1657	印刷適性
D06N2209/1664	離型性
D06N2209/1671	バクテリア，白カビ，カビ，菌類に対する抵抗
D06N2209/1678	光またはＵＶに対する抵抗性
D06N2209/1685	耐摩耗性
D06N2209/1692	耐候性
D06N2211/00	特に適用される用途
D06N2211/02	農業
D06N2211/04	ベルト
D06N2211/06	建築材料
D06N2211/063	壁の被覆
D06N2211/066	床の被覆
D06N2211/08	物品の清掃
D06N2211/10	衣服
D06N2211/103	手袋
D06N2211/106	履物
D06N2211/12	装飾または日光防止物品
D06N2211/122	カーテン
D06N2211/125	天幕，日除け
D06N2211/127	テーブルクロス
D06N2211/14	家具，家屋内装材
D06N2211/16	地質織布
D06N2211/18	医療用，例．包帯，補綴またはカテーテル
D06N2211/20	包装
D06N2211/22	パッチ，例．医療用パッチ，補修用パッチ
D06N2211/24	個人のケア
D06N2211/26	車両，輸送
D06N2211/261	車体仕上げ，例．ヘッドライナー
D06N2211/262	構造パネル
D06N2211/263	ﾔ
D06N2211/265	列車
D06N2211/266	船
D06N2211/267	航空機
D06N2211/268	エアバッグ
D06N2211/28	人工皮革
D06N2211/30	フィルタ
D06N2213/00	その他の特徴
D06N2213/02	全ての層が同一の種類の材料からなるもの，例．全ての層がポリオレフィンからなるもの，全ての層がポリエステルからなるもの
D06N2213/03	一つの面が同一の重合体の型からなる少なくとも二つの層，例．ポリオレフィンの２被覆，で被覆された繊維ウェブ
D06N2213/04	有孔層
D06N2213/045	被覆層が繊維間の開口を完全には閉鎖しないもの
D06N2213/06	カーペット，敷物，合成芝生の裏打ちの特性
D06N2213/061	非連続の裏打ち被覆または事前被覆
D06N2213/063	多孔質の裏打ち被覆または事前被覆
D06N2213/065	２つの裏打ち被覆が互いに隣接するもの
D06N2213/066	カーペット，敷物，合成芝生の全体を床から引き剥がすことを可能にする裏面の接着剤，例．感圧接着剤，をもつもの
D06N2213/068	少なくとも２つの層の間の剥離性
