A23C19/0921	有機塩それ自体，微量元素，アミノ酸，ペプチド，蛋白質加水分解物，核酸，酵母抽出物または自己消化物，ビタミンまたはそれらの化合物の誘導体，を含むミネラルの，チーズまたはカードへの，添加
A23C19/0925	チーズまたはカードへの色，合成フレーバまたは糖アルコールを含む人工甘味料の添加
A23C19/093	非乳脂肪または非乳蛋白質の添加　｛ポリオール脂肪酸ポリエステルまたは鉱油｝
A23C19/14	所定の形状を形成させた後のチーズの処理，例．熟成，燻煙（保存Ａ２３Ｃ１９／０９７）
A23C19/16	チーズ表面の被覆，例．パラフィンワックスによるもの
A23C19/163	非食用液体被覆または半被覆をもつもの，　例．ワックス，　ポリマー分散体　（食用被覆と組み合わせたものＡ２３Ｃ１９／１６）
A23C19/166	非食用に予備形成された箔，　フィルムまたは包帯をもつもの
A23C20/00	チーズ代用品（Ａ２３Ｃ１９／０５５，Ａ２３Ｃ１９／０９３が優先）
A23C20/005	｛主に豆類または脂肪種子からの蛋白質を含むもの，　例．大豆カード，豆腐｝
A23C20/02	脂肪，蛋白質または炭水化物源としての乳成分，カゼイン化合物あるいはラクトースのいずれも含有しないもの
A23C20/025	｛主に豆類または脂肪種子からの蛋白質を含むもの，　例．大豆カード，豆腐｝
A23C21/00	ホエー；ホエー調製品（Ａ２３Ｃ１／００，Ａ２３Ｃ３／００，Ａ２３Ｃ９／１４が優先）
A23C21/02	微生物または酵素を含有するもの，あるいはこれらで処理されたもの
A23C21/023	ラクトース加水分解酵素，　例．ラクターゼ，β-ガラクトシダーゼ
A23C21/026	細菌，　ビフィズス菌またはプロピオン酸菌を製造する乳酸を含有するもの，あるいはこれらで処理のみされたもの
A23C21/04	脂肪または蛋白質源としての非乳成分を含有するもの
A23C21/06	ホエーと乳製品または乳成分の混合物
A23C21/08	他の有機質の添加物，例．植物または動物製品を含有するもの
A23C21/10	無機質の添加物を含有するもの
A23C23/00	他の乳製品
A23C2200/00	
A23C2210/00	
A23C2210/05	
A23C2210/10	
A23C2210/15	
A23C2210/20	
A23C2210/202	
A23C2210/204	
A23C2210/206	
A23C2210/208	
A23C2210/25	
A23C2210/252	
A23C2210/254	
A23C2210/256	
A23C2210/258	
A23C2210/30	
A23C2210/40	
A23C2220/00	
A23C2220/10	
A23C2220/102	
A23C2220/104	
A23C2220/106	
A23C2220/20	
A23C2220/202	
A23C2220/204	
A23C2220/206	
A23C2220/208	
A23C2230/00	
A23C2230/05	
A23C2230/10	
A23C2230/15	
A23C2240/00	
A23C2240/05	
A23C2240/10	
A23C2240/15	
A23C2240/20	
A23C2250/00	
A23C2250/05	
A23C2250/052	
A23C2250/054	
A23C2250/10	
A23C2250/15	
A23C2250/20	
A23C2250/25	
A23C2250/30	
A23C2250/35	
A23C2250/40	
A23C2250/45	
A23C2260/00	
A23C2260/05	
A23C2260/10	
A23C2260/102	
A23C2260/104	
A23C2260/15	
A23C2260/152	
A23C2260/154	
A23C2260/20	
A23C2260/25	
A23C2270/00	
A23C2270/05	
A23C2270/10	
A23C2270/15	
