C07H15/26	複素環で置換された非環式または炭素環式基　｛例．ブレオマイシン，フレオマイシン，ビクトマイシン，ザルバマイシン　（Ｃ０７Ｈ１５／００Ｆ(ＥＣＬＡ)　と　Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)が優先；　ナフタセン環がさらに複素環と縮合したときは，Ｃ０７Ｈ１５／２５２　が優先）｝　
C07H17/00	糖類基の異種原子に直接結合する複素環式基を含有する化合物　｛（Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)，　Ｃ０７Ｈ１５／２２，　Ｃ０７Ｈ１５／２３８　が優先；　ナフタセン環がさらに複素環と縮合しているときはＣ０７Ｈ１５／２５２が優先）｝　
C07H17/02	異項原子として窒素のみを含有する複素環式基
C07H17/04	異項原子として酸素のみを含有する複素環式化合物
C07H17/06	｛縮合していないもの｝　ベンゾピラン基
C07H17/065	ベンゾ（ｂ）ピラン　｛例．アントシアニン｝
C07H17/07	ベンゾ（ｂ）ピラン−４−オン　｛例．クエネセチン，ヘスペリジン，ルチン，およびそれらから誘導されたカルコンおよび水素添加カルコン｝
C07H17/075	ベンゾ（ｂ）ピラン−２−オン　｛例．クメルマイシン，ノボビオシン，ノベナミン｝
C07H17/08	８個以上の環原子を含有する複素環，例．エリスロマイシン
C07H19/00	共有する複素環を含有する化合物　｛のみ｝　糖類基を有する１個の複素環　｛糖類基の異項原子は考慮されない｝；　ヌクレオシド；　モノヌクレオチド　[Ｎ:　またはモノヌクレオシド]；　その無水誘導体　[Ｎ:　（Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先；　アセタール　Ｃ０７Ｈ９／０４Ｄ(ＥＣＬＡ)；　化学的方法の中間体　Ｃ０７Ｈ２１／００Ｃ４(ＥＣＬＡ)；　高分子化合物と結合または　接合した　ヌクレオシド，ヌクレオチドＣ０７Ｈ２１／００Ｆ(ＥＣＬＡ)；　定性的または定量的な検出に適するようにした有機残基と結合または　接合したヌクレオシド，ヌクレオチドＣ０７Ｈ２１／００Ｇ(ＥＣＬＡ)）]
C07H19/01	酸素を共有するもの　｛糖類基と窒素原子を共有しないもの，例．　グルクロン酸ラクトン，ルブロロン，レボグルコサン　イメージ　｝
C07H19/02	窒素を共有するもの
C07H19/04	異項原子として窒素のみを含有する複素環式基　｛（Ｃ０７Ｈ１９／０２Ｂ(ＥＣＬＡ)，　Ｃ０７Ｈ１９／０２Ｄ(ＥＣＬＡ)が優先）｝
C07H19/044	ピロール基　｛ピロロ−ピリミジン　Ｃ０７Ｈ１９／１４｝
C07H19/048	ピリジン基　｛ピリジノ−ピリミジン　Ｃ０７Ｈ１９／０６Ｆ(ＥＣＬＡ)，　Ｃ０７Ｈ１９／１０Ｆ(ＥＣＬＡ)｝
C07H19/052	イミダゾール基　｛プリン　Ｃ０７Ｈ１９／１６｝
C07H19/056	トリアゾールまたはテトラゾール基；　（トリアゾロ−ピリミジン　Ｃ０７Ｈ１９／０６Ｆ(ＥＣＬＡ)，　Ｃ０７Ｈ１９／１０Ｆ(ＥＣＬＡ)）
C07H19/06	ピリミジン基　｛プリン　Ｃ０７Ｈ１９／１６；　ピリミジノトリアジン　Ｃ０７Ｈ１９／１２；　プテリジン　Ｃ０７Ｈ１９／２２；　ピロロピリミジン　Ｃ０７Ｈ１９／２４｝
C07H19/067	糖類基としてリボシルを有するもの　｛使用されない｝
C07H19/073	糖類基として２−デオキシリボシルを有するもの　｛使用されない｝
C07H19/09	糖類基としてアラビノシルを有するもの　｛使用されない｝
C07H19/10	リン酸またはポリリン酸でエステル化された糖類基を有するもの　｛または他のリン含有酸｝
C07H19/11	環状リン酸エステルを含有するもの　｛使用されない｝
C07H19/12	トリアジン基
C07H19/14	ピロール―ピリミジン基
C07H19/16	プリン基
C07H19/167	糖類基としてリボシルを有するもの　｛使用されない｝
C07H19/173	糖類基として２−デオキシリボシルを有するもの　｛使用されない｝
C07H19/19	糖類基としてアラビノシルを有するもの　｛使用されない｝
C07H19/20	リン酸またはポリリン酸でエステル化された糖類基を有するもの　｛または他のリン含有酸｝
C07H19/207	リン酸またはポリリン酸が更に１個のヒドロキシル化合物によってエステル化されたもの，例．フラビン−アデニンジヌクレオチド，ニコチンアミド−アデニンジヌクレオチド（ニコチンアミド−アデニンジヌクレオチドホスフェートＣ０７Ｈ２１／０２）
C07H19/213	環状リン酸エステルを含有するもの　｛使用されない｝
C07H19/22	プテリジン基
C07H19/23	相互に縮合した，または炭素環系を共有して縮合した２個以上の複素環を含有し，グループＣ０７Ｈ１９／１４からＣ０７Ｈ１９／２２に含まれない複素環式基　｛使用されない｝
C07H19/24	異項原子として酸素または硫黄を含有する複素環式基　｛（Ｃ０７Ｈ１９／０２Ｂ(ＥＣＬＡ)，　Ｃ０７Ｈ１９／０２Ｄ(ＥＣＬＡ)　が優先）｝
C07H21/00	２個以上のヌクレオチド単位を含有する化合物，　｛ヌクレオシド基の糖類基により結合された別々のリン酸エステル基またはポリリン酸エステル基を持つもの　（Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)が優先）｝　例．　核酸
C07H21/02	糖類基としてリボシールを有するもの　｛（（Ｃ０７Ｈ２１／００Ｃ４(ＥＣＬＡ)　が優先）｝
C07H21/04	糖類基としてデオキシリボシルをもつもの　｛（Ｃ０７Ｈ２１／００Ｃ(ＥＣＬＡ)　が優先）｝
C07H23/00	ホウ素，ケイ素，または金属を含む化合物，例．キレート，ビタミンＢ１２（無機酸とのエステルＣ０７Ｈ１１／００；金属塩は母体化合物を参照）　｛（Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先）｝
C07H99/00	このサブクラスの他のグループに分類されない主題事項
