D07B2207/208	上流のもろより工程から少なくとも部分的に巻き戻すことに特徴のあるもの
D07B2207/209	管状ストランド
D07B2207/40	機械の構成部品
D07B2207/4004	巻戻し装置
D07B2207/4009	ヘッド上
D07B2207/4013	フライヤからなるもの
D07B2207/4018	ロープをよる装置
D07B2207/4022	よりダイの特定のものに特徴のあるもの
D07B2207/4027	被覆ダイを含むもの
D07B2207/4031	巻取り装置
D07B2207/4036	斜行手段からなるもの
D07B2207/404	熱処理装置；対応する方法
D07B2207/4045	耐荷重材料の結晶構造への変化
D07B2207/405	耐荷重材料のガラス転移温度への加熱
D07B2207/4054	耐荷重材料の軟化
D07B2207/4059	充填材料の軟化
D07B2207/4063	応力の除去のためのもの
D07B2207/4068	硬化のためのもの
D07B2207/4072	ロープの蛇行または機械的破損を機械的に提言するための手段
D07B2207/4077	安全装置
D07B2207/4081	機械を停止またはシャットダウンするための手段からなるもの
D07B2207/4086	警告の発出
D07B2207/409	駆動
D07B2207/4095	そのための制御手段
D07B2301/00	制御
D07B2301/10	開ループ
D07B2301/15	閉ループ
D07B2301/155	拡張された閉ループ制御系型であるもの，例．フィードバックループにおいてモデルまたは１以上の信号を用いるもの
D07B2301/20	制御器の形式
D07B2301/201	比例
D07B2301/202	組込み
D07B2301/204	差分
D07B2301/205	プログラム可能制御装置；計算または制御の方法
D07B2301/207	ファジー理論
D07B2301/208	タイミング関数を用いるもの
D07B2301/25	系への入力信号，例．セット点
D07B2301/251	より
D07B2301/252	温度
D07B2301/253	温度の分布または順序
D07B2301/254	材料の量
D07B2301/255	駆動による動力消費
D07B2301/256	圧力
D07B2301/257	力
D07B2301/258	引張応力
D07B2301/259	ひずみまたは伸び
D07B2301/30	機能不全または超過の状態，例．加熱の，を表示する信号
D07B2301/302	温度
D07B2301/305	摩耗または摩擦
D07B2301/307	ワイヤまたはストランドまたはロープの破損
D07B2301/35	系の出力信号
D07B2301/3508	より
D07B2301/3516	温度
D07B2301/3525	温度の分布または順序
D07B2301/3533	材料の量
D07B2301/3541	駆動による動力消費
D07B2301/355	圧力
D07B2301/3558	力
D07B2301/3566	引張応力
D07B2301/3575	ひずみまたは伸び
D07B2301/3583	回転速度
D07B2301/3591	線速度
D07B2301/40	閉ループ制御におけるフィードバック信号
D07B2301/4008	より
D07B2301/4016	温度
D07B2301/4025	温度の分布または順序
D07B2301/4033	材料の量
D07B2301/4041	駆動による動力消費
D07B2301/405	圧力
D07B2301/4058	力
D07B2301/4066	引張応力
D07B2301/4075	ひずみまたは伸び
D07B2301/4083	回転速度
D07B2301/4091	線速度
D07B2301/45	診断のためのもの
D07B2301/50	使用者とのインターフェイスまたは量の設定
D07B2301/55	検出器
D07B2301/5504	そのための配置に特徴のあるもの
D07B2301/5509	可動であるもの
D07B2301/5513	反射型であるもの
D07B2301/5518	そのための変換器
D07B2301/5522	障壁型であるもの
D07B2301/5527	配列または多数の検出器からなるもの
D07B2301/5531	電気的な手段または要素を用いるもの
D07B2301/5536	電流を測定するためのもの
D07B2301/554	可変抵抗を測定するためのもの
D07B2301/5545	および圧電現象を用いるもの
D07B2301/555	磁気特性を測定するためのもの
D07B2301/5554	静電容量を測定するためのもの
D07B2301/5559	インダクタンスを測定するためのもの
D07B2301/5563	温度を測定するためのもの，すなわち，熱電対
D07B2301/5568	音響または超音波
D07B2301/5572	光学的
D07B2301/5577	光ガイドを用いるもの
D07B2301/5581	カメラを用いるもの
