G01R13/345	｛アナログ−デジタル変換器およびデジタル−アナログ変換器を介するデジタルプロセッサを用いて標本化された信号を表示するためのもの　（ＣＲＴ表示器用の制御回路）｝　
G01R13/347	｛電気−光学要素を用いるもの｝
G01R13/36	グロー放電の長さを用いるもの，例．グロー・オシロスロープ（放電管Ｈ０１Ｊ）
G01R13/38	電気機械測定系による光ビームの一定変位または振動変位を使用するもの（そのような測定機構それ自体　Ｇ０１Ｒ５／００，　Ｇ０１Ｒ７／００，　Ｇ０１Ｒ９／００）
G01R13/40	機械的変位による以外に光ビームの変調を利用するもの，例．カー効果によるもの｛（正しい同調状態の可視表示　Ｈ０３Ｊ３／１４）｝
G01R13/401	｛連続的なアナログ表示または擬似的なアナログ表示のためのもの｝　
G01R13/402	｛能動的すなわち発光表示デバイスを用いるもの，例．エレクトロルミネッセントディスプレイ　（Ｇ０１Ｒ１３／３６　および　Ｇ０１Ｒ１３／４２　が優先）｝
G01R13/403	｛受動的ディスプレイデバイスを用いるもの，例．液晶表示器またはカー効果ディスプレイデバイス｝
G01R13/404	｛不連続表示すなわち不連続値を表示するためのもの（アナログ／デジタル変換　Ｈ０３Ｍ１／００）｝
G01R13/405	｛複数の能動的すなわち発光素子，例．エレクトロルミネッセント素子すなわちバーグラフを用いるもの｝
G01R13/406	｛ドットまたは単一のラインで測定値を表すもの　（Ｇ０１Ｒ１３／４０８　が優先｝
G01R13/407	｛複数の受動表示素子，例．液晶またはカー効果表示素子を用いるもの　（Ｇ０１Ｒ１３／４０８　が優先）｝
G01R13/408	｛測定値の２次元または３次元表示｝
G01R13/42	スパークの長さを利用する計器，例．スパークを起こす最大の電極間距離を測定するもの
G01R15/00	グループ　Ｇ０１Ｒ１７／００　から　Ｇ０１Ｒ２９／００　および　Ｇ０１Ｒ３３／００　から　Ｇ０１Ｒ３５／００　に定めた形式の測定装置の細部（計器の細部　Ｇ０１Ｒ１／００；　過負荷保護装置Ｇ０１Ｒ１／３６）
