B02C18/143	｛切断ナイフで縁取られた概して放射状に伸長する溝または開口部をもつ円盤状回転子を有するもの｝
B02C18/144	｛軸方向に長いナイフを有するもの｝
B02C18/145	｛円筒状回転子ユニットの周囲上に軸方向および周辺に間隔をおいてナイフを有するもの｝
B02C18/146	｛各々が少なくとも１個の放射状に伸長する切断素子をもつ複数の軸方向に近接する円盤状セグセントからなる回転子を有するもの｝
B02C2018/147	｛複数段型のもの｝
B02C18/148	｛プラスチック，例．映画フィルム，の粉砕に特に適したもの（プラスチック瓶のためのものＢ０２Ｃ１９／００９３，プラスチックの粉砕Ｂ２９Ｂ１７／００）｝
B02C18/16	細部
B02C2018/162	｛シュレッダー−ハウジングの形状または内部表面｝
B02C2018/164	｛詰まりおよび／または過負荷の防止｝
B02C2018/166	｛切断機構のナイフの潤滑｝
B02C2018/168	｛シュレッダーにおける使用者の安全装置または方法｝
B02C18/18	ナイフ；その取付け
B02C18/182	｛円板形状のナイフ｝
B02C18/184	｛周囲に配置された取りはずし可能な切断する刃先または要素を有するもの｝
B02C18/186	｛軸方向に長いナイフ｝
B02C2018/188	｛固定カウンターナイフ；その取付け｝
B02C18/20	三日月形ナイフ
B02C18/22	供給または排出装置
B02C2018/2208	｛ウェブ状の材料のためのもの｝
B02C18/2216	｛排出手段｝
B02C18/2225	｛供給手段｝
B02C18/2233	｛ラム式またはプッシャー式のもの｝
B02C18/2241	｛搬送ベルト式のもの（Ｂ０２Ｃ１８／２２５が優先）｝
B02C18/225	｛搬送ベルト式および協動するローラ式のもの）｝
B02C18/2258	｛スクリュー式のもの｝
B02C18/2266	｛回転ドラム式のもの｝
B02C18/2275	｛回転アームを用いるもの｝
B02C18/2283	｛ローラを用いるもの（Ｂ０２Ｃ１８／２２５が優先）｝
B02C18/2291	｛供給シュート装置｝
B02C18/24	駆動装置
B02C18/26	往復運動および回転運動のナイフを有するもの
B02C18/28	植針シリンダを有するもの
B02C18/30	有孔円盤と供給ウォームを有する刻み機械
B02C18/301	｛横軸線を有するもの｝
B02C18/302	｛ナイフで穿孔された円盤ユニットを有するもの｝
B02C18/304	｛軸方向に揃えたナイフで穿孔された円盤ユニットを数個有するもの｝
B02C18/305	｛細部｝
B02C2018/307	｛刻み機械における冷却装置｝
B02C2018/308	｛硬材，例．骨，のための分離装置を有するもの｝
B02C18/32	研鋭装置を有するもの
B02C18/34	有孔円盤の洗浄手段を有するもの
B02C18/36	ナイフまたは有孔円盤
B02C18/362	｛ナイフ｝
B02C18/365	｛有孔円盤｝
B02C2018/367	｛弾力的に取付けられたナイフまたは円盤｝
B02C18/38	駆動装置
B02C19/00	他の粉砕装置または方法（穀粒用Ｂ０２Ｃ９／００）
B02C19/0006	｛無端可撓部材による破砕（切断または裂断する部材を有するものＢ０２Ｃ１８／００７６）｝
B02C19/0012	｛材料を破壊表面または破壊体に衝突させおよび／または材料粒子（穀粒も用いられる）間の摩擦力により材料を粉砕するための装置｝
B02C19/0018	｛周辺破壊表面に対し材料を遠心的に加速する回転子を用いるもの（打撃子を有する回転子Ｂ０２Ｃ１３／０９，Ｂ０２Ｃ１３／１８０７）｝
B02C19/0025	｛放射状に延びる溝を有する回転子によるもの｝
B02C19/0031	｛頂部が開口した回転子によるもの｝
B02C19/0037	｛同心的に配置された頂部が開口した回転子を有するもの｝
B02C19/0043	｛粉砕される材料が加圧された流体により破壊表面または破壊体に対して投射されるもの（ジェットミルＢ０２Ｃ１９／０６）｝
B02C19/005	｛粉砕される材料が材料粒子の衝突，または粒子間の摩擦力で粉砕されるもの（ジェットミルＢ０２Ｃ１９／０６）｝
B02C19/0056	｛他に分類されない特殊な材料に特に適したもの｝
B02C19/0062	｛スクラップ金属，例，自動車の車体，の細砕に特に適したもの｝
B02C19/0068	｛蛍光管の粉砕に特に適したもの｝
B02C19/0075	｛医療廃棄物の粉砕に特に適したもの（医療廃棄物の処理Ｂ０９Ｂ３／００７５，廃物の殺菌Ａ６１Ｌ１１／００）｝
B02C19/0081	｛瓶の粉砕に特に適したもの｝
B02C19/0087	｛ガラス瓶のためのもの｝
B02C19/0093	｛プラスチック瓶のためのもの｝
B02C19/06	ジェットミル
B02C19/061	｛筒状型のもの（Ｂ０２Ｃ１９／０６８が優先）｝
B02C19/063	｛トロイダル型のもの（Ｂ０２Ｃ１９／０６８が優先）｝
B02C19/065	｛対向ジェット型のもの（Ｂ０２Ｃ１９／０６８が優先）｝
B02C19/066	｛ジェットアンビル型のもの（Ｂ０２Ｃ１９／０６８が優先）｝
B02C19/068	｛流動床型のもの｝
B02C19/08	乳棒と乳鉢
B02C19/10	円筒状または環状部材の表面を摺動する摩擦片をもつ粉砕機
B02C19/11	高速ドラムミル（分離のためのものＢ０４Ｂ）
B02C19/16	振動機を備えた粉砕機（｛ローラミルＢ０２Ｃ４／４２３｝；タンブリングミルＢ０２Ｃ１７／１４）
B02C19/18	粉砕のため補助的な物理的効果，例．超音波，照射，の利用
B02C2019/183	｛高電気エネルギーの放出による破砕｝
B02C19/186	｛粉砕のための冷却または加熱の使用（Ｂ０２Ｃ４／４４，Ｂ０２Ｃ７／１７，Ｂ０２Ｃ１１／０８が優先）｝
B02C19/20	摺擦による粉砕｛（家庭用の食品摺擦装置Ａ４７Ｊ４３／２５）｝
B02C19/22	スクリュー形破砕部を有する粉砕機
B02C21/00	原料の乾燥装置を有する粉砕プラントまたはこれを有しない粉砕プラント（穀粒のためのものＢ０２Ｃ９／０４）
B02C21/002	｛ローラミルおよびドラムミルの組み合わせを用いるもの｝
B02C21/005	｛ローラミルが協働するローラをもつもの｝
B02C21/007	｛２以上のドラムまたはチューブミルを組み合わせて用いるもの｝
B02C21/02	可搬型粉砕プラント
B02C2021/023	｛地表上で材料を粉砕するためのもの｝
B02C21/026	｛自走式のもの｝
B02C23/00	破砕または粉砕に特に適した補助的方法または装置であって，先行グループに分類されないか，または単一の先行グループに包含される装置に特有でないもの（｛穀粒に特に適したものＢ０２Ｃ１１／００｝；分離，仕分け一般Ｂ０３，Ｂ０４，Ｂ０７）
B02C23/02	供給装置（｛穀粒のためのものＢ０２Ｃ１１／０４；ローラミルのためのものＢ０２Ｃ４／２８６｝；運搬装置一般Ｂ６５Ｇ）
B02C23/04	安全装置（一般Ｆ１６Ｐ；｛回転式ミルのためのものＢ０２Ｃ１３／３１｝）
B02C23/06	粉砕の助長のための添加剤の選択または利用
B02C23/08	破砕または粉砕に関連した原料の分離または選別（Ｂ０２Ｃ２３／１８が優先；｛ふるいわけ装置に結合した打撃子粉砕機Ｂ０２Ｃ１３／１３，Ｂ０２Ｃ１３／１４；円筒型粉砕機のためのものＢ０２Ｃ１７／１８３５｝）
B02C23/10	破砕または粉砕区域の出口通路に配置した分離機を有するもの
B02C23/12	超過寸法の原料を破砕または粉砕区域に戻すもの
B02C23/14	２台以上の分離機を有するもの
B02C23/16	破砕または粉砕区域の境界を限定する分離機を有するもの，例．超過寸法の原料を通さないスクリーン
B02C2023/165	｛超過寸法の原料を通さないスクリーン｝
B02C23/18	流体を加えるものであって，流体エネルギーによる破砕または粉砕のため以外のもの（｛円筒型粉砕機のためのものＢ０２Ｃ１７／１８６｝；供給装置Ｂ０２Ｃ２３／０２）
B02C23/20	破砕または粉砕後のもの
B02C23/22	破砕または粉砕区域へ原料を再循環させるもの
B02C23/24	破砕または粉砕区域のガスの通過（｛Ｂ０２Ｃ１５／００１｝，Ｂ０２Ｃ２３／３８，Ｂ０２Ｃ２３／４０が優先）
B02C23/26	ガスの入口，出口またはガスの流路に特徴のあるもの
B02C23/28	破砕または粉砕要素に組込まれ，もしくは取り付けられているガスの移送手段
B02C23/30	ガスが原料の分離に作用するもの（Ｂ０２Ｃ２３／３４が優先）
B02C23/32	超過寸法の原料を破砕または粉砕区域に戻すもの（Ｂ０２Ｃ２３／３４が優先）
B02C23/34	ガスが破砕または粉砕区域に再循環するもの
B02C23/36	破砕または粉砕区域が液中にあるもの
B02C23/38	複数の破砕または粉砕区域を有する装置におけるもの
B02C23/40	破砕または粉砕する原料に流体を供給する装置を２台以上有するもの
B02C25/00	破砕または粉砕に特に適した制御装置
B02C2201/00	特別な材料に適合された粉砕装置に関するコード
B02C2201/02	強化コンクリート用
B02C2201/04	使用済タイヤ用
B02C2201/06	ゴミ，廃棄物または下水用
B02C2201/063	廃水または下水用
B02C2201/066	庭園の廃棄物用
B02C2210/00	異なる種類の粉砕装置に関するコード
B02C2210/01	打撃子，ナイフ，ローラ，アンビル，内張りまたは類似のものの磨滅の表示
B02C2210/02	打撃子，ナイフ，ローラ，アンビル，内張りまたは類似のものにおける摩耗部品に一般的に用いられる機能
