H02M7/53835	｛並列型のもの｝
H02M7/53838	単一の転流路を用いるもの
H02M7/53846	制御回路<br><br><u>警告</u><br><br>グループＨ０２Ｍ７／５３８４６およびサブグループは完成していない，暫定的にＨ０２Ｍ７／５３８３およびサブグループも見よ
H02M7/538463	｛サイリスタ変換器のためのもの｝
H02M7/538466	｛トランジスタ変換器のためのもの｝
H02M7/53854	サイリスタ変換器用
H02M7/53862	トランジスタ変換器用
H02M7/5387	ブリッジ構成におけるもの
H02M7/53871	｛出力電圧または電流の自動制御を有するもの｝
H02M7/53873	｛デジタル制御を有するもの｝
H02M7/53875	｛三相出力のアナログ制御を有するもの｝
H02M7/53876	｛適切な基本電圧ベクトルの選択による望ましい電圧ベクトルと対応する休止時間との組み合わせに基づくもの｝
H02M7/53878	｛ブリッジ回路の他方の対角スイッチペアに対する一方の対角スイッチペアのスイッチ信号の時間シフトによるもの｝
H02M7/5388	非対称のスイッチング素子の配列を持つもの<br><br><u>警告</u><br><br>グループＨ０２Ｍ７／５３８８は完成していない，暫定的にＨ０２Ｍ７／５３８７およびサブグループも見よ
H02M7/539	出力波形または周波数の自動制御を有するもの（Ｈ０２Ｍ７／５３７５〜Ｈ０２Ｍ７／５３８７が優先）
H02M7/5395	パルス幅変調によるもの
H02M7/54	非静止型変換器によるもの
H02M7/56	入力電圧を累進的に選択しまたは連続的に変化させるために機械的部品を用いるもの
H02M7/58	単一電源を断続するために機械的開閉接点部品を用いるもの
H02M7/60	接点部品は回転し，集電子はブラシまたはローラと共動するもの
H02M7/62	電磁的に操作される振動接点，例．チョッパ，をもつもの
H02M7/64	静止型変換器と非静止型変換器との組合わせによるもの；回転電機と他の非静止または静止型変換器との組合わせによるもの
H02M7/66	可逆的なもの
H02M7/68	静止型変換器によるもの
H02M7/70	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M7/72	制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M7/75	消弧手段が必要なサイラトロンまたはサイリスタ型式の装置を用いるもの
