B60G2200/31	車軸に堅固に接続された２つのトレーリングアームを有するもの
B60G2200/312	２つのトレーリングアームの内１つが車軸に堅固に接続されているもの
B60G2200/314	車軸に連結された縦に設置されアームを有するもの
B60G2200/315	少なくともアームの１つがＡ字形状またはＶ字形状であるもの
B60G2200/318	２つないし３つの車軸を長手方向の揺動または移動ビームに取り付けたもの
B60G2200/32	軸支されたもの
B60G2200/322	単一の軸支点と垂直車軸を有するもの
B60G2200/324	単一の軸支点と三つの部分からなるＴ字形状またはＵ字形状の車軸，例．ド・ディオン式装置，を有するもの
B60G2200/326	２つの横方向に離れた軸支，例．トレーリングフレーム，を有するもの
B60G2200/34	安定化機構，例．横方向安定性のためのもの
B60G2200/341	パナール・ロッド
B60G2200/3415	スコットーラッセル連鎖
B60G2200/342	ワットリンク
B60G2200/343	Ｖ字状に設置された２つの軸支ロッドにより懸架される車軸を有するもの，軸支ロッドが先端で連結されたもの
B60G2200/344	逆Ｖ字状に設置された２つの軸支ロッドにより懸架される車軸を有するもの，軸支ロッドが先端で連結されたもの
B60G2200/345	Ｘ字状に配置された２つの軸支ロッドにより懸架される車軸を有するもの
B60G2200/346	車輪中心軸上部に想定交点を有する横方向に置換られた２つのロッドにより懸架される車軸を有するもの
B60G2200/347	車輪中心軸下部に想定交点を有する横方向に置換られた２つのロッドにより懸架される車軸を有するもの
B60G2200/40	懸架装置における車輪に関するインデキシングコード
B60G2200/42	被駆動車輪または死軸
B60G2200/422	駆動車輪または生軸
B60G2200/44	操向可能なもの
B60G2200/445	自動操舵車輪
B60G2200/446	非操向車輪
B60G2200/46	キャンバー角
B60G2200/462	トーイン，トーアウト
B60G2200/4622	位置合わせ調整
B60G2200/464	キャスター角
B60G2200/466	車軸にかかる加速または減速トルクを減衰させるもの
B60G2202/00	ばね，緩衝器，またはアクチュエータの種類に関するインデキシングコード
B60G2202/10	ばねの種類
B60G2202/11	板ばね
B60G2202/112	縦方向に設置されたもの
B60G2202/114	横方向に配置されたもの
B60G2202/116	中心軸に交差する端部のみに負荷されたＣ字形状を有するもの
B60G2202/117	中心軸に平行な方向に負荷されたＣ字形状を有するもの
B60G2202/12	つる巻きばね
B60G2202/122	張力を受けるもの
B60G2202/13	トーションばね
B60G2202/132	縦トーションバーおよび／またはチューブを備えるもの
B60G2202/134	横トーションバーおよび／またはチューブを備えるもの
B60G2202/135	スタビライザーバーおよび／またはチューブ
B60G2202/1351	少なくとも２つの相互に平行なスタビライザーバーを備えるもの
B60G2202/136	ツイストビーム式の装置
B60G2202/1362	第２のねじれ要素，例．第２ビーム，スタビライザーバーまたはチューブ，を含むもの
B60G2202/14	塑性ばね，例．ゴム製のもの
B60G2202/141	伸長力を受けるもの
B60G2202/142	せん断力を受けるもの，例．ナイトハルト
B60G2202/1422	軸方向にあるもの
B60G2202/1424	ねじれによるもの
B60G2202/143	圧縮力を受けるもの
B60G2202/144	回転式のもの
B60G2202/15	流体ばね
B60G2202/152	空気圧ばね
B60G2202/1522	回転式のもの
B60G2202/1524	車軸の前後に配置された各車輪に２つの空気ばねを有するもの
B60G2202/154	アキュームレータを有するもの
B60G2202/16	磁気スプリング
B60G2202/20	緩衝器の種類
B60G2202/21	車軸の前後に配置された各車輪に２つの緩衝器有するもの
B60G2202/22	回転式緩衝器
B60G2202/23	摩擦緩衝器，
B60G2202/24	流体緩衝器
B60G2202/242	空気圧式緩衝器
B60G2202/25	ダイナミックダンパー
