A61G13/009	｛物理療法用の診療台，ベッドまたは台；カイロプラクティックまたは整骨療法用の診療台（マッサージ手段を一体的有するものＡ６１Ｈ１／００Ｂ(ＥＣＬＡ)）｝
A61G13/02	調節可能な手術台；そのための制御
A61G13/04	横または縦軸の回りに傾斜できるもの
A61G13/06	台表面全体の上昇または下降（Ａ６１Ｇ１３／０４が優先）
A61G13/08	異なる調節可能な部分に分割される台
A61G13/10	部品，細部または付属品（手術用掛け布Ａ６１Ｂ１９／０８）
A61G13/101	｛手術台にアクセサリを接続するためのクランプ手段（手術器具の一部として支持具　Ａ６１Ｂ９０／５０）｝
A61G13/102	｛手術台から体液を採取するための流体排水手段，例．血液、尿用（患者についての排水　Ａ６１Ｍ１／００）｝
A61G13/104	｛手術台移動のための適応，例．車輪の配置｝
A61G13/105	｛可搬式、折り畳み式または折り重ね式手術台，例．手術や治療のためのもの（手術や歯科治療のための可搬式、折り畳み式または折り重ね式椅子　Ａ６１Ｇ１５／００２）｝
A61G13/107	｛供給機器（歯科用機器の供給　Ａ６１Ｃ１／０００７）｝
A61G13/108	｛外科手術の手術台またはその領域で滅菌空気を提供する手段（治療室　Ａ６１Ｇ１０／００；滅菌手術のための器具または道具　Ａ６１Ｂ９０／００；空気の殺菌　Ａ６１Ｌ９／００；空調システムにおける空気の浄化　Ｆ２４Ｆ３／１６）｝
A61G13/12	そのため特に適合させたささえ；病人支持面の配置　｛（外科医用支えＡ６１Ｂ１９／００；拘束用具Ａ６１Ｆ５／３７）｝
A61G13/1205	｛体の特定の部分のためのもの｝
A61G13/121	｛頭または首｝
A61G13/1215	｛患者気道測位装置付（気管チューブの誘導手段　Ａ６１Ｍ１６／０４８８）｝
A61G13/122	｛上半身，例．胸｝
A61G13/1225	｛背中｝
A61G13/123	｛下半身，例．骨盤、腰、臀部｝
A61G13/1235	｛腕｝
A61G13/124	｛手または手首｝
A61G13/1245	｛膝、上または下脚｝
A61G13/125	｛足首または足｝
A61G13/1255	｛肩｝
A61G13/126	｛特定の支持面によるもの｝
A61G13/1265	｛膨張する室をもつもの｝
A61G13/127	｛液体またはゲルで満たされた室をもつもの｝
A61G13/1275	｛患者の形態に適応するための空気避難室をもつもの｝
A61G13/128	｛機械表面の適応によるもの｝
A61G13/1285	｛モジュラー表面部品をもつもの｝
A61G13/129	｛サイズの適応のための表面部品をもつもの，例．拡張または縮小のためのもの（調整可能な区分が異なる手術台　Ａ６１Ｇ１３／０８）｝
A61G13/1295	｛患者の体の位置決め装置をもつもの｝
A61G15/00	治療用いす；歯科用いす（理髪用いすＡ４７Ｃ１／０４）；そのために特に適合させた付属品，例．仕事台
A61G15/002	｛折り重ね，簡易式または折り畳みの治療または歯科用いす（簡易式，折り重ねまたは折り畳み式の手術または治療用の台Ａ６１Ｇ１３／００Ｐ(ＥＣＬＡ)）｝
A61G15/005	｛婦人科用に特に適合したいす，例．産科用いす｝
A61G15/007	｛物理療法用のいす（マッサージ手段を一体的に有するものＡ６１Ｈ１／００Ｂ(ＥＣＬＡ)）｝
A61G15/02	病人の位置調節手段を有するいす；そのための制御装置
A61G15/08	医師または歯科医師用腰掛けに組合わせたもの
A61G15/10	部品，細部または付属品（Ａ６１Ｇ１５／１４が優先；歯科用器具Ａ６１Ｃ）
A61G15/105	｛子供用の補助支持具｝
A61G15/12	そのために特に適合させたささえ，例．頭部または足のためのもの　｛（Ａ６１Ｇ１５／１０５が優先）｝
A61G15/125	｛頭部のささえ｝
A61G15/14	歯科用仕事台；そのための付属品
A61G15/16	歯科用ハンドピースまたは類似物のための保管，保持または運搬手段
A61G15/18	柔軟なホースをしまい込むための引込装置を含むもの
A61G17/00	棺，死体を包むもの；骨壺
A61G17/001	
A61G17/002	｛死体冷却用装置を有する棺｝
A61G17/004	｛特に火葬に適応するもの｝
A61G17/007	使用される構造材料により特徴づけられるもの，例．生物分解性のある材料；数種の材料の使用
A61G17/0073	｛段ボール｝
A61G17/0076	｛金属｝
A61G17/0106	｛木｝
A61G17/0136	｛プラスティック｝
A61G17/0166	｛ガラス｝
A61G17/02	棺閉鎖；そのための包装
A61G17/024	｛スライド式閉鎖｝
A61G17/028	｛スイング式閉鎖｝
A61G17/032	｛閉鎖のサポート｝
A61G17/034	
A61G17/036	
A61G17/04	棺の付属品
A61G17/0405	
A61G17/0407	
A61G17/041	｛ハンドル｝
A61G17/042	｛ライニングおよびベニヤ｝
A61G17/044	｛死体の支持具｝
A61G17/045	｛花のためのラック｝
A61G17/047	｛分解液を吸収する装置｝
A61G17/048	｛特に分解ガスへの適応または適応したアクセサリ｝
A61G17/06	死体を包む袋
A61G17/08	つぼ（納骨室Ｅ０４Ｈ１３／００）
A61G19/00	棺の昇降装置
