C07K14/4706	｛グアノシン，トリホスファーゼ活性化蛋白質，　ＧＡＰ｝
C07K14/4707	｛筋ジストロフィ｝
C07K14/4708	｛デュシェンヌジストロフィ｝
C07K14/471	｛筋強直性ジストロフィ｝
C07K14/4711	｛アルツハイマー病；　アミロイドプラクコア蛋白質｝
C07K14/4712	｛嚢胞性繊維症｝
C07K14/4713	｛自己免疫疾患，例．　インスリン依存性糖尿病，多発性硬化症，リューマチ関節炎，全身性エリテマトーデス；　自己抗原｝
C07K14/4715	｛妊娠蛋白質，例．　胎座蛋白質，アルファフェト蛋白質，妊娠特定ベータ糖蛋白｝
C07K14/4716	｛筋肉蛋白質，例．ミオシン，アクチン，蛋白質｝
C07K14/4717	｛血漿グロブリン，ラクトグロブリン｝
C07K14/4718	｛サイトカイン誘導蛋白質｝
C07K14/472	｛補体蛋白質，例．　アナフィラトキシン，　Ｃ３ａ，　Ｃ５ａ｝
C07K14/4721	｛リポコルチン｝
C07K14/4722	｛Ｇ−蛋白質｝
C07K14/4723	｛カチオン性抗微生物性ペプチド，例．　デフェンシン｝
C07K14/4725	｛プロテオグリカン，例．アグレカン｝
C07K14/4726	｛レクチン｝
C07K14/4727	｛ムシン，例．ヒト腸ムシン｝
C07K14/4728	｛カルシウム結合蛋白質，例．カルモジュリン｝
C07K14/473	｛α−糖蛋白｝
C07K14/4731	｛レコグニン，例．　マリグニン｝
C07K14/4732	｛カゼイン　（食品　Ａ２３Ｊ）｝
C07K14/4733	｛急性膵炎−付随たんぱく質｝
C07K14/4735	｛ビリン｝
C07K14/4736	｛網膜芽種蛋白質｝
C07K14/4737	｛Ｃ−反応性蛋白質｝
C07K14/4738	｛細胞サイクル調節蛋白質，例．　サイクリン，　ＣＤＣ，　ＩＮＫ−ＣＣＲ　（細胞周期依存キナーゼ　Ｃ１２Ｎ９／１２Ｂ１(ＥＣＬＡ)）｝　
C07K14/474	｛膵臓繊維蛋白質；　レグ蛋白質｝
C07K14/4741	｛ケラチン；　シトケラチン｝
C07K14/4742	｛殺微生物性／透過性増強蛋白質　（ＢＰＩ）｝
C07K14/4743	｛インシュリン様成長因子結合蛋白質｝
C07K14/4745	｛癌−関連　ＳＣＭ−認識要因，　ＣＲＩＳＰＰ｝
C07K14/4746	｛ｐ５３｝　
C07K14/4747	｛アポプトーシス関連蛋白質｝　
C07K14/4748	｛腫瘍特異抗原；　腫瘍拒絶抗原前駆体　（ＴＲＡＰ），　例．　ＭＡＧＥ｝　　
C07K14/475	成長因子；成長調節因子
C07K14/4753	｛肝細胞成長因子；　スキャター因子；　腫瘍細胞毒性因子　ＩＩ｝　
C07K14/4756	｛ニューレグリン，すなわち，　ｐ１８５ｅｒｂＢ２　配位子，　グリア成長因子，ヘレグリン，　ＡＲＩＡ，神経分化因子｝　
C07K14/48	神経成長因子（ＮＧＦ）
C07K14/485	上皮細胞成長因子（ＥＧＦ）（ウロガストロン）
C07K14/49	血小板由来成長因子（ＰＤＧＦ）
C07K14/495	トランスフォーミング成長因子（ＴＧＦ）
C07K14/50	繊維芽細胞成長因子（ＦＧＦ）
C07K14/501	｛酸性　ＦＧＦ　（ａＦＧＦ）｝
C07K14/503	｛塩基性　ＦＧＦ　（ｂＦＧＦ）｝
C07K14/505	エリトロポエチン（ＥＰＯ）
C07K14/51	骨形成因子；オステオゲニン；オステオゲニックファクター；骨誘導因子
C07K14/515	血管形成誘導因子；アンギオゲニン
C07K14/52	サイトカイン；リンホカイン；インターフェロン
C07K14/521	｛ケモカイン｝　
C07K14/522	｛α−ケモカイン，例．　ＮＡＰ−２，　ＥＮＡ−７８，　ＧＲＯ−α／ＭＧＳＡ／ＮＡＰ−３，　ＧＲＯ−β／ＭＩＰ−２α，　ＧＲＯ−γ／ＭＩＰ−２β，　ＩＰ−１０，　ＧＣＰ−２，　ＭＩＧ，　ＰＢＳＦ，　ＰＦ−４，　ＫＣ｝　
C07K14/523	｛β−ケモカイン，例．　ＲＡＮＴＥＳ，　Ｉ−３０９／ＴＣＡ−３，　ＭＩＰ−１α，　ＭＩＰ−１β／ＡＣＴ−２／ＬＤ７８／ＳＣＩＦ，　ＭＣＰ−１／ＭＣＡＦ，　ＭＣＰ−２，　ＭＣＰ−３，　ＬＤＣＦ−１，　ＬＤＣＦ−２｝　
C07K14/524	｛トロンボポエチン，すなわち　Ｃ−ＭＰＬ　配位子｝　
