B65C9/22	給湿によるもの，例．液状接着剤を塗ることまたは乾いた接着剤の被覆部に液体を付けることによるもの
B65C9/2204	｛吹付け手段を用いるもの｝
B65C9/2208	｛物品に液体を塗布するもの｝
B65C9/2213	｛ラベルに液体を塗布するもの｝
B65C9/2217	｛断続的に，すなわち，いくつかの個所または帯状または非連続なフイルム状に｝
B65C9/2221	｛連続的に，すなわち，途切れのないフィルム状に｝
B65C9/2226	｛マニピュレーターアームを用いるもの｝
B65C9/223	｛物品に液体を塗布するもの｝
B65C9/2234	｛ラベルに液体を塗布するもの｝
B65C9/2239	｛断続的に，すなわち，いくつかの個所または帯状または非連続なフイルム状に｝
B65C9/2243	｛連続的に，すなわち，途切れのないフィルム状に｝
B65C9/2247	｛液体ローラまたは液体バンドを用いるもの｝
B65C9/2252	｛物品に液体を塗布するもの｝
B65C9/2256	｛ラベルに液体を塗布するもの｝
B65C9/226	｛断続的に，すなわち，いくつかの個所または帯状または非連続なフイルム状に｝
B65C9/2265	｛連続的に，すなわち，途切れのないフィルム状に｝
B65C9/2269	｛ローラー上の液体フィルムを制御する手段｝
B65C9/2273	｛ワイパー，パレットまたは弓形部材を用いるもの（Ｂ６５Ｃ９／２２２６が優先）｝
B65C9/2278	｛物品に液体を塗布するもの｝
B65C9/2282	｛ラベルに液体を塗布するもの｝
B65C9/2286	｛断続的に，すなわち，いくつかの個所または帯状または非連続なフイルム状に｝
B65C9/2291	｛連続的に，すなわち，途切れのないフィルム状に｝
B65C2009/2295	｛接着剤または液体のいくつかのトラックの適用｝
B65C9/24	熱によるもの
B65C9/25	接着剤を熱活性化することによるもの
B65C9/26	ラベルを貼り付けるための装置
B65C9/262	｛手動で操作可能なもの｝
B65C9/265	｛コンパクトディスクに特に適合されたもの｝
B65C2009/267	｛非円形のコンパクトディスク用｝
B65C9/28	空気吹付け装置
B65C9/30	ローラ
B65C9/32	物品とラベルがその間に供給される，協働するローラ
B65C9/34	柔軟なバンド
B65C9/36	ワイパ；加圧具
B65C9/38	ラベルの冷却または乾燥
B65C9/40	制御；安全装置
B65C2009/401	｛ラベルが貼付される物品の高さを検知するためのもの｝
B65C2009/402	｛ラベルの性質または欠陥を検知するためのもの｝
B65C2009/404	｛ラベル貼付の前に行うもの｝
B65C2009/405	｛ラベル印刷および貼付の前に情報を読み込むもの｝
B65C2009/407	｛ラベル貼付の後に行うもの｝
B65C2009/408	｛ラベル印刷および貼付の前に情報を読み込むもの｝
B65C9/42	ラベル供給の制御
B65C9/44	ラベルまたは物品上のマークに反応する特殊手段によるもの（包装における供給の制御Ｂ６５Ｂ）
B65C9/46	ラベル取付け中におけるラベルへの日付，コードまたは類似するものの取付け（印刷装置を有する手動式装置Ｂ６５Ｃ１１／０２；切符の印刷および発行Ｇ０７Ｂ１／００；｛切符を確認または取消するための装置Ｇ０７Ｂ１１／００｝）
B65C11/00	手動制御用または手動操作可能なラベルディスペンサ，例．物品へのラベル取付け用に改良されたもの（商店，倉庫，酒場，または類似の場所に用いる特殊な家具，備品，または付属品Ａ４７Ｆ；紙ナプキン用のもの，トイレットペーパー用のものＡ４７Ｋ；遊戯カード用のものＡ６３Ｆ；移動する帯状体の書き込みまたは読み取り装置Ｂ４２Ｄ１９／００；粘着テープ繰出し装置Ｂ６５Ｈ３５／００２；切符配布機Ｇ０７Ｂ；硬貨により作動する切手類配布機Ｇ０７Ｆ；｛乗物からパンフレットを配布する装置Ｇ０９Ｆ２１／２２｝）
B65C11/002	｛物品へのラベル取付け用に改良されたもの｝
B65C11/004	｛ストリップからのラベルの供給｝
B65C11/006	｛電気的または電気機械的な手段を用いるもの（Ｂ６５Ｃ１１／０２８９およびＢ６５Ｃ１１／０６６が優先）｝
B65C11/008	｛空気式手段を用いるもの（Ｂ６５Ｃ１１／０２９４およびＢ６５Ｃ１１／０６８が優先）｝
B65C11/02	印字機構を有するもの
B65C11/0205	｛物品へのラベル取付けのために改良されたもの｝
B65C11/021	｛ストリップからのラベル供給｝
