C07D211/78	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子　｛例．エステルまたはニトリル基｝
C07D211/80	環原子相互間または環原子と非環原子間に２個の二重結合を有しているもの
C07D211/82	環の炭素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D211/84	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子が環の炭素原子に直接結合したもの｛例．エステルまたはニトリル基｝
C07D211/86	酸素原子
C07D211/88	２位および６位に結合しているもの，例．グルタルイミド
C07D211/90	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子　｛例．エステルまたはニトリル基｝
C07D211/92	環の窒素原子に直接結合する異種原子を有するもの
C07D211/94	酸素原子，例．ピペリジンＮ―オキシド　｛すなわち，Ｃ−置換ピペリジンＮ−オキシド｝
C07D211/96	硫黄原子
C07D211/98	窒素原子
