G09F1/00	折畳み可能または可撓性の材料からなる板紙またはその類似物からなる展示カード
G09F13/0409	｛表示面の均質な照明のための装置，例．不均一な透明性をもつ層を用いるもの（反射材の配列Ｇ０９Ｆ１３／１４）｝
G09F13/0413	｛そのためのフレームまたはケースの構造｝
G09F13/0418	｛構造上の細部｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４１８はグループＧ０９Ｆ１３／０４５６およびＧ０９Ｆ１３／０４５８への再分類の影響を受ける。<br>グループＧ０９Ｆ１３／０４１８，Ｇ０９Ｆ１３／０４５６およびＧ０９Ｆ１３／０４５８はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0422	｛反射材｝
G09F13/0427	｛ボタンの形態のもの｝
G09F13/0431	｛ポールに接続されたサイン，ボードまたはパネル｝
G09F13/0436	｛天井に取り付けられたサイン，ボードまたはパネル｝
G09F13/044	｛車両上に取り付けられたサイン，ボードまたはパネル｝
G09F13/0445	｛フレーム｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４４５はグループＧ０９Ｆ１３／０４４６，Ｇ０９Ｆ１３／０４４７およびＧ０９Ｆ１３／０４４８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0446	｛折り畳み式のもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４４６はグループＧ０９Ｆ１３／０４４５からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１３／０４４５およびＧ０９Ｆ１３／０４４６はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0447	｛区画されたもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４４７はグループＧ０９Ｆ１３／０４４５からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１３／０４４５およびＧ０９Ｆ１３／０４４７はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0448	｛両面｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４４８はグループＧ０９Ｆ１３／０４４５からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１３／０４４５およびＧ０９Ｆ１３／０４４８はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/045	｛ドアに特に適合するサイン，ボードまたはパネル｝
G09F13/0454	｛摺動可能なパネルまたは部分｝
G09F13/0456	｛取りはずし可能なケース｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４５６はグループＧ０９Ｆ１３／０４１８からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１３／０４１８およびＧ０９Ｆ１３／０４５６はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0458	｛交換可能なパネル｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１３／０４５８はグループＧ０９Ｆ１３／０４１８からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１３／０４１８およびＧ０９Ｆ１３／０４５８はコンプリートサーチの完遂のために考慮されるべきである。
G09F13/0463	｛携帯式のサイン，ボードまたはパネル｝
G09F13/0468	｛張力をかけたまたは可撓性の表示面をもつサイン，ボードまたはパネル｝
G09F13/0472	｛道路標識｝
G09F13/0477	｛容器上のサイン，ボードまたはパネル｝
G09F13/0481	｛曲面形状のサイン，ボードまたはパネル｝
G09F13/0486	｛ネオン管｝
G09F13/049	｛エッジ照明されたサイン，ボードまたはパネル｝
G09F13/0495	｛地面に取り付けられたサイン，ボードまたはパネル｝
G09F2013/05	｛出口への道または方向を指示するもの｝
G09F13/06	独特に切り抜かれた記号やシルエットを用いたもの，例．穿孔サイン
G09F13/08	透明，不透明の両層を用いたもの
G09F13/10	すかし模様を用いたもの
G09F13/12	サイン，記号，絵またはその他の表示が照明されたときだけ見える半透過鏡，あるいは送られた光だけを通す反射性表面を用いたもの
G09F13/14	装置中の反射構造
G09F2013/142	｛複数の反射材｝
G09F2013/145	｛曲面の反射材｝
G09F2013/147	｛平面の反射材｝
G09F13/16	反射物や反射面で形成され，またはこれらを組み合わせたサイン，例．三角形または他の幾何学形状を有する警告サイン
G09F13/165	｛回転可能または揺動可能に取り付けられた反射物または反射面｝
G09F13/18	エッジ照明サイン
G09F2013/1804	｛均質な照明を達成するもの｝
G09F2013/1809	｛非均質前窓を用いるもの｝
G09F2013/1813	｛可変密度のドットのパターンを示すコーティングを備えるもの｝
G09F2013/1818	｛可変厚みのコーティングを備えるもの｝
G09F2013/1822	｛階段状輪郭の窓｝
G09F2013/1827	｛角柱状窓｝
G09F2013/1831	｛２以上の光源を用いるもの｝
G09F2013/1836	｛フレーム状光源を用いるもの｝
G09F2013/184	｛表示するための情報｝
G09F2013/1845	｛交換可能ポスター｝
G09F2013/185	｛エンボスマーク｝
G09F2013/1854	｛光拡散層｝
G09F2013/1859	｛つや消しの面｝
G09F2013/1863	｛異なる屈折率をもつ層｝
G09F2013/1868	｛蛍光鉛筆｝
G09F2013/1872	｛ケース｝
G09F2013/1877	｛スタンド状のもの｝
G09F2013/1881	｛フレーム状のもの｝
G09F2013/1886	｛特殊効果｝
G09F2013/189	｛三次元効果｝
