E21D15/00	支柱（建築用Ｅ０４Ｇ２５／００）；木積み，　｛例．埋め戻し材を充填したフレキシブルコンテナーより成るもの｝
E21D15/002	｛支柱のタイプを特に問題としない補助装置（支柱またはチョックの設置または撤去Ｅ２１Ｄ１５／５８，Ｅ２１Ｄ１５／６０）｝
E21D15/005	｛材料に特徴のあるもの｝
E21D15/007	｛スパークの発生を少なくするもの｝
E21D15/02	入れ子支柱でないもの
E21D15/04	二つの円錐状連結具によって連結された木製支柱部分
E21D15/06	軸方向に微小調節できまたはできない鎖錠装置によって連結された部分をもつもの
E21D15/08	トグル装置による連結部分をもつもの
E21D15/10	かみあいクラッチまたはピン孔連結部分をもつもの
E21D15/12	頭部または脚部近くに鎖錠装置をもつもの　｛（Ｅ２１Ｄ１５／０８とＥ２１Ｄ１５／１０が優先）｝
E21D15/14	入れ子支柱（入れ子部分を固定する一般的手段｛Ｆ１６Ｂ７／１０｝）
E21D15/15	ちりの侵入を防ぐ手段；造りつけの清掃装置
E21D15/155	｛造りつけの清掃装置｝
E21D15/16	支柱が過大圧力をうけた時滑動し，またはしないで固定装置によって保持される部分をもつもの
E21D15/18	一部分が支持媒体，例．屑，砂，アスファルト，鉛，上にのるものが対面する部分に臨み，過負荷時に媒体がその部分から排除または転置されまたはされないもの　｛（粒状材料による入れ子式支柱要素間の締め付け圧力Ｅ２１Ｄ１５／３０３）｝
E21D15/20	間隔をおいて設けたラチェットの歯，ノッチ，孔または類似のものに係止する爪，ピン，横材または類似のものをもつもの
E21D15/22	過大圧により折れたり，永久変形したりするピン，横材または類似のものの部分をもつもの
E21D15/24	ねじとナット，ラックとウォームまたはその類似機構をもつもの
E21D15/26	ねじ，ウォームまたは類似のもののように自身では鎖錠せず，過大圧を受けたときずれる摩擦部材により回転を防ぐ機能をもつもの
E21D15/28	摩擦またはつかみにより，互いに保持し合う部分をもつもの
E21D15/285	｛楔またはその組み合わせによるもの（楔の細部Ｅ２１Ｄ１５／４３）｝
E21D15/30	流体または疑似流体，例．ゴム，を媒体として加えられる圧力により膨らんだり縮んだりする装置をもつもの　｛（支柱の設置Ｅ２１Ｄ１５／５８８，Ｅ２１Ｄ１５／５８９）｝
E21D15/303	｛粒状材によるもの（粒状材による支持Ｅ２１Ｄ１５／１８）｝
E21D15/306	｛液体手段によるもの｝
E21D15/32	変形できるカラーによるもの　｛またはロックリング内部に対称的に設けられる締め付け手段によるもの｝
E21D15/325	｛締め付けリングによるもの｝
E21D15/34	軸方向に動く球，ローラまたは類似のもの
E21D15/36	一方または両方の部分を囲む傾き可能なカラーによるもの
E21D15/38	上または下の部分が長手方向に分割された支柱部分をもつもの，例．内接薄板
E21D15/40	トグル作用，カムまたはその他枢着もしくは類似の手段により設けられた部材によって，一方または両方の部分がつかまれるカラーまたは他の支持具
E21D15/42	摩擦作用に影響をおよぼす特殊な部分をもつもの
E21D15/43	くさびの細部（摩さつライニングまたはつめ物Ｅ２１Ｄ１５／４２）
E21D15/435	｛水圧式のもの｝
E21D15/44	水圧，空気圧または水圧―空気圧支柱　｛Ｅ２１Ｄ１５／５１も参照｝
E21D15/445	｛流体緩衝材を備えるもの｝
E21D15/45	流体の閉回路をもつもの，例．ポンプまたはアキュムレータを内蔵したもの
E21D15/46	荷重測定装置をもつもの；警報装置をもつもの
E21D15/465	｛不可欠な水圧式または空気圧式細部構成を有するもの｝
E21D15/48	木積みまたは類似物
E21D15/483	｛フレキシブルコンテナーにより構成されるもの，例．膨張可能で補強部分を有するまたは有しない，例．水，埋め戻し材，その他類似物を充填したもの（流体緩衝材を使用する被覆材Ｅ２１Ｄ１１／１５７）｝
E21D15/486	｛不可欠な水圧式または空気圧式細部構成を有するもの｝
E21D15/50	支柱の構成部分または細部（Ｅ２１Ｄ１５／４３，Ｅ２１Ｄ１５／５８，Ｅ２１Ｄ１５／６０が優先）
E21D15/502	形状に特徴のある支柱本体，例．特有の断面形状をもつもの
E21D15/51	水圧，空気圧または水圧−空気圧支柱に特有のもの，例．安全弁の配置　｛現在この分類は使用していない，サブグループとＥ２１Ｄ１５／４４参照｝
E21D15/512	｛バルブの配置（屋根支持設備の外部制御Ｅ２１Ｄ２３／１２，Ｅ２１Ｄ２３／２６）｝
E21D15/515	｛いかなる化学物質下位区分にも分類されない特殊な流体｝
E21D15/517	｛拡張要素｝
E21D15/52	標準支柱の上方または下方に置く伸縮ユニット（キャップを段階的に移動させるためのものＥ２１２３／０６；支柱またはチョックの設置のためのものＥ２１Ｄ１５／５８）
E21D15/523	｛水圧式または空気圧式制御部を有するもの｝
E21D15/526	｛支柱の段階的伸張のためのもの｝
