G03F7/70091	照明の配置，すなわち，瞳平面内での強度配分，像面での角度配分；軸内または軸外配置，例．輪帯，二重極，四重極；部分的なコヒーレンスの制御，すなわちσ値または開口数（ＮＡ）
G03F7/701	アパーチャを使用した軸外配置
G03F7/70108	光誘導要素を使用した軸外配置
G03F7/70116	プログラム可能な手段，例．ＬＣＤまたはＤＭＤ，を使用した軸外配置
G03F7/70125	特定のマスクパターン用にあつらえた照明の配置の使用（配置手段の詳細はＧ０３Ｆ７／７００９１）
G03F7/70133	瞳平面内または像平面内での，照明配向の測定
G03F7/70141	照明システムの調整，照明システムの組立て中のアライメント（マスクと被加工物とのアライメントはＧ０３Ｆ９／７０）
G03F7/7015	光学要素の詳細
G03F7/70158	回折光学要素
G03F7/70166	細管またはチャネル要素，例．入れ子式のＥＵＶミラー
G03F7/70175	反射器が配置されたランプハウス，すなわち光源の上流側立体角に放射された光を集めるもの
G03F7/70183	ズーム系
G03F7/70191	光学的補正要素，フィルタ，または光強度，波長，偏光，位相等調整用の位相板<br>注<br>波長または偏光の制御はさらにＧ０３Ｆ７／７０５６６, Ｇ０３Ｆ７／７０５７５に分類される。
G03F7/702	反射照明系，すなわち折り畳みミラー以外の反射光学要素
G03F7/70208	照明経路の多重化，例．単一または多重投影システムのための放射分配装置，マルチプレクサ[多重チャンネル分配器]，脱マルチプレクサ[多重チャンネル合波器]
G03F7/70216	被加工物上にマスク像を形成するためのシステム
G03F7/70225	反射屈折系，すなわち光学設計的事項が詳細に記載されている文献<br>注<br>反射屈折系は，さらにＧ０２Ｂ１７／０８９２に分類される
G03F7/70233	反射光学系の光学的事項<br>注<br>反射光学系の追加的事項は グループＧ０２Ｂ１７／０６　に分類される。
G03F7/70241	屈折光学系の光学的事項<br>注<br>屈折光学系の追加的事項は，グループＧ０２Ｂ１３／１４３ に分類される
G03F7/7025	投影系アパーチャのサイズまたは形状
G03F7/70258	投影系の調整，投影系組立時の配置（マスクと被加工物とのアライメントＧ０３Ｆ９／７０）
G03F7/70266	補償光学系，例．波面制御のため変形可能光学要素
G03F7/70275	多重化された投影光路，投影システムのアレイ，マイクロレンズ投影系，直列に接続された投影システム
G03F7/70283	マスク，またはイメージングプロセスにおけるマスクの影響，例．フーリエマスク，グレイスケールマスク，ホログラフィーマスク，位相シフトマスク，位相マスク，レンズ状マスク，複数のマスク，傾斜マスク，タンデムマスク（マスク自体Ｇ０３Ｆ１／１４）
G03F7/70291	アドレス可能なマスク
G03F7/703	非平面パターン領域または非平面マスク
