F42B10/665	｛ノズル内に取り付けられた少なくとも１つの偏向板を備えたノズルを用いることを特徴とするもの｝
F42B10/666	｛発射体軸に直角な軸を中心に回転可能なノズルを用いることを特徴とするもの｝
F42B10/668	[Ｎノズル内の，または飛しょう体の外側表面の境界層内の気体剪断機内への流体，例．推進剤，の注入，例．超音波に衝撃波を引き起こすためのもの｝
F42B12/00	弾頭，所期効果，または材料に特徴のある発射体，飛しょう体または地雷，機雷（Ｆ４２Ｂ６／００，Ｆ４２Ｂ１０／００，Ｆ４２Ｂ１４／００が優先；演習または訓練用Ｆ４２Ｂ８／１２，Ｆ４２Ｂ８／２８；噴進または誘導事項Ｆ４２Ｂ１５／００）
F42B12/02	弾頭または所期効果に特徴のあるもの
F42B12/04	徹甲弾
F42B12/06	固いまたは重い弾心のあるもの；運動エネルギぺネトレータ（Ｆ４２Ｂ１２／１６，Ｆ４２Ｂ１２／７４が優先）
F42B12/08	徹甲被帽付き；装甲被付き
F42B12/10	成形または中空装薬（成形または中空装薬それ自体Ｆ４２Ｂ１／０２；　｛中空装薬を有する地雷，機雷Ｆ４２Ｂ２３／０４｝）
F42B12/105	｛そのための突出した標的距離またはスタンドオフ部材，例．滑動可能に取り付けられたもの（信管事項Ｆ４２Ｃ１／１４）｝
F42B12/12	飛しょう体外筒に回転自在に装着されるもの
F42B12/14	発射体の縦方向軸と角度を有する中空装薬
F42B12/16	標的に連続して作用する特別な発射体または装薬との結合　｛（Ｆ４２Ｂ１２／６２５）も参照｝
F42B12/18	縦方向に配列した中空装薬
F42B12/20	榴弾形（Ｆ４２Ｂ１２／４４が優先）
F42B12/201	
F42B12/202	
F42B12/204	
F42B12/205	
F42B12/207	
F42B12/208	
F42B12/22	弾殻が破砕する構造のもの
F42B12/24	溝，空隙またはその他，弾殻を弱くしたもの　｛Ｆ４２Ｂ１２／２６，Ｆ４２Ｂ１２／２８が優先｝
F42B12/26	うず巻状のきずを有する部材により形成されたも弾殻
F42B12/28	環状部材から組み立てられた弾殻
F42B12/30	連続ロッド弾頭
F42B12/32	不連続体，例．弾子を内蔵した弾体　｛または装薬のまわりに配置されたもの｝
F42B12/34	弾着前または弾着時に膨脹するもの，すなわちダムダムまたはマッシュルーム形
F42B12/36	散布用；化学的または物理的反応物生成用；信号用　｛情報を送信するためのもの｝
F42B12/362	｛矢またはダーツ（Ｆ４２Ｂ１２／３８が優先，注入のための手段を有するもの，例．皮下注射発射体Ｆ４２Ｂ１２／５４；矢またはダーツ一般Ｆ４２Ｂ６／００）｝
F42B12/365	｛光学または電子手段を用いて遠隔場所に情報を送信する発射体（Ｆ４２Ｂ１２／３６Ｂ２(ＥＣＬＡ)が優先）｝
F42B12/367	｛発射体が爆発物を使用することなしに弾着時に粉砕するもの，その粉砕物が創傷または致死効果を生むもの（演習または訓練用発射体が弾着時に崩壊するものＦ４２Ｂ８／１４；破砕性弾体構造をもつ榴弾形発射体Ｆ４２Ｂ１２／２２）｝
F42B12/38	曳光用
