C03B11/07	サクションモールド
C03B11/08	中実品製造用，例．レンズ
C03B11/082	｛輪郭取りされた，模様付けされたまたは微細構造化された表面をもつもの｝
C03B11/084	｛そのためのプレス型の材料組成または材料特性｝
C03B11/086	｛塗布された型のもの（離型剤または潤滑剤としての材料の使用Ｃ０３Ｂ４０／０２）｝
C03B11/088	｛平たい円板｝
C03B11/10	中空｛または半中空｝品製造用
C03B11/12	プランジャー，型またはプレスマシンの冷却，加熱または保温手段；｛型の中のガラスの冷却または加熱｝（Ｃ０３Ｂ９／３８が優先）
C03B11/122	｛加熱｝
C03B11/125	｛冷却｝
C03B11/127	｛中空または半中空の物品またはその型のもの｝
C03B11/14	｛金属挿入物｛または封入物，例．ワイヤ，泡，着色部材｝を有する｛積層ガラス物品またはガラスのプレス成形｝｝
C03B11/16	ガラスプレス用に特に適する伝動または調節機構
C03B13/00	｛溶融｝ガラスのロール圧延，｛すなわち，溶融ガラスがロール圧延により成形されるもの（ロール圧延による成形ガラスの再成形Ｃ０３Ｂ２３／００４，Ｃ０３Ｂ２３／０３３，Ｃ０３Ｂ２３／０５５）｝
C03B13/01	輪郭づけられたガラス物品のロール圧延，｛例．Ｉ，Ｌ，Ｔの横断面輪郭をもつもの｝
C03B13/02	型なし板ガラスの不連続ロール圧延
C03B13/04	型なし板ガラスの連続ロール圧延
C03B13/06	波形板ガラスのロール圧延，｛例．波立ち型によるもの｝
C03B13/08	型板ガラスのロール圧延，｛例．表面模様をもつ板ガラス｝
C03B13/10	多層板ガラスのロール圧延，｛例．色ガラス層をもつ板ガラス｝
C03B13/12	封入物，例．ワイヤ，｛泡，繊維，粒子｝またはアスベスト，を有するガラスのロール圧延
C03B13/14	他の製品のロール圧延，｛すなわち，Ｃ０３Ｂ１３／０１〜Ｃ０３Ｂ１３／１２に分類されないもの，例．溝をもつ製品，練炭形状の製品｝
C03B13/16	ガラス・ローラーの構造
C03B13/18	ガラスロール圧延の補助手段，例．ガラス板支持装置，保持装置，手動レードル，るつぼ移動手段
C03B13/183	｛ロール圧延平ガラスの受けテーブルまたはローラ床｝
C03B13/186	｛るつぼ保持装置｝
C03B15/00	ガラス浴からのガラスの引き上げ
C03B15/02	板ガラスの引き上げ
C03B15/04	ガラス浴の自由表面からの引き上げ
C03B15/06	デビトーズからの引き上げ
C03B15/08	ガラス浴表面下のバーによるもの
C03B15/10	多層板ガラスまたは着色層を被覆した板ガラス
C03B15/12	徐冷塔の構造
C03B15/14	ガラス浴からの管，円筒または棒の引き上げ
C03B15/16	着色層で被覆した管，円筒または棒の引き上げ
C03B15/18	板ガラス，管または棒の引き上げ装置と組み合わされた寝かしおよび運び手段
C03B17/00	流出，押し出しまたは成形スリットからの下方あるいは側方への引き出しまたはリップからのオーバーフローによる｛溶融｝ガラスの成形
C03B17/02	着色層を被覆した｛溶融｝ガラスの成形；｛異なった組成または層の溶融ガラスの成形；強化材またはインサートを含む溶融ガラスの成形｝
C03B17/025	｛管または棒｝
C03B17/04	静置または回転装置からのまたは成形ノズルからの引き出しによる管または棒の成形
C03B17/06	板ガラスの成形
C03B17/061	｛横への引き抜きまたは押し出しによるもの｝
C03B17/062	｛そこから板ガラスが引き抜かれる固体またはガス状の支持体上へ流すことと組み合わせたもの｝
C03B17/064	｛オーバフローダウンドロー溶融工程によるもの；そのためのアイソパイプ｝
C03B17/065	｛輪郭取りされた，模様をつけられたまたは波形の板ガラスの成形｝
C03B17/067	｛板ガラスの熱的調整と組み合わされたもの｝
C03B17/068	｛引き抜き力を与える手段，例．牽引ローラまたは引き上げローラ｝
C03B18/00	液体の表面に接するガラスの成形
C03B18/02	板ガラスの成形
C03B18/04	溶融ガラスリボンの寸法変更または調整
C03B18/06	機械的手段を用いるもの，例．規制バー，エッジローラー
C03B18/08	ガスを用いるもの
C03B18/10	電気的手段を用いるもの
C03B18/12	多層，着色またはアーマードガラスの製造（化学的なものはＣ０３Ｃ）
C03B18/14	ガラスリボンの表面変更，例．ラフニング（化学的方法によるものはＣ０３Ｃ）
C03B18/16	フロート槽の構造；フロート槽用材料；槽壁の被覆または保護
C03B18/18	フロートバスの温度制御または調整；フロートバスの組成または精製
C03B18/20	フロートバス上方の雰囲気の組成，フロートバス上方雰囲気の処理または精製
C03B18/22	フロート槽上方雰囲気の温度制御または調整
C03B19/00	その他のガラス成形法（軟化されたガラス，鉱物またはスラグからのフレーク，繊維またはフィラメントの製造または処理Ｃ０３Ｂ３７／００）
C03B19/01	成形基体上で粉末ガラスを順次溶融｛または焼結｝させることによるもの，すなわち，堆積，｛例．プラズマ酸化沈積（繊維プリフォームの製造Ｃ０３Ｂ３７／０１２９１）｝
C03B19/02	｛溶融ガラスの｝キャストによるもの｛例．射出成形｝
C03B19/025	｛射出成形，例．押し出し，によるもの｝
C03B19/04	遠心力によるもの｛（Ｃ０３Ｂ１９／０９５が優先）｝
C03B19/06	焼結によるもの，｛例．粉末の冷間等圧プレスおよびその後の焼結によるもの，粉末の熱間プレスによるもの，液相反応をしていないスラリーまたは分散体の焼結によるもの｝
C03B19/063	｛粉末の熱間プレスによるもの｝
C03B19/066	｛石英または溶融シリカ物品のためのもの（石英または溶融シリカ物品の製造に特に適合した他のプロセスＣ０３Ｂ２０／００｝
C03B19/08	発泡によるもの
C03B19/09	型内での粉末ガラスの溶融によるもの
C03B19/095	｛遠心力によるもの，例．回転型中でのアーク放電（結晶を引出すためのるつぼ一般Ｃ３０Ｂ１５／１０，Ｃ３０Ｂ３５／００２｝
C03B19/10	ガラスビーズの成形
C03B19/1005	｛固体ビーズの成形（化学的観点Ｃ０３Ｃ１２／００）｝
C03B19/101	｛型の中またはワイヤ上への溶融ガラスの鋳込みによるもの｝
C03B19/1015	｛遠心力を用いるものまたは溶融ガラスを回転切断体上に注ぐことによるもの，例．寸断｝
C03B19/102	｛溶融ガラス流の上または粒状物上にガスを吹き付けることによるもの，例．粉末化｝
C03B19/1025	｛ビーズ炉またはバーナ｝
C03B19/103	｛流動床炉｝
C03B19/1035	｛プレス成形によるもの｝
C03B19/104	｛ロール圧延によるもの，例．円転円筒，回転円板，ロールを用いるもの｝
C03B19/1045	｛加熱ガラスを液体と接触させることによるもの，例．粉砕｝
C03B19/105	｛液体が溶融した金属または塩であるもの｝
C03B19/1055	｛押し出しによるもの，例．溶融ガラスをガス雰囲気中に滴下するもの｝
C03B19/106	｛化学蒸着によるもの；液相反応によるもの｝
C03B19/1065	｛液相反応によるもの，例．ゲル相の手段によるもの｝
C03B19/107	｛中空ビーズの成形（化学的観点Ｃ０３Ｃ１１／００２）｝
C03B19/1075	｛ブロー，プレス成形，遠心分離，ロール圧延または滴下によるもの｝
