A41D31/00	外着用に特に適した材料
A41D31/0005	｛複数の相互接続された要素からなるもの（Ａ４１Ｄ３１／０４が優先）｝
A41D31/02	層状の材料（特別な機能または用途に特徴のあるものＡ４１Ｄ３１／０４）
A41D31/04	特殊機能または使用により特徴付けられるもの（熱または有害な化学剤からの防護のためのまたは高所での使用のための防護服Ａ６２Ｂ１７／００；有害な化学剤に対して保護被覆または保護おおいを与える物質の組成Ａ６２Ｄ５／００）
A41D31/06	熱防護性，例．断熱性
A41D31/065	｛層状の材料を用いるもの｝
A41D31/08	耐熱性；難燃性
A41D31/085	｛層状の材料を用いるもの｝
A41D31/10	液不透過性，例．防水性；撥液性
A41D31/102	防水通気性
A41D31/12	吸湿性；保水性
A41D31/125	｛層状の材料を通じた湿度の取扱いまたは芯の機能｝
A41D31/14	空気透過性，すなわち気体の浸透が可能なもの（防水通気性Ａ４１Ｄ３１／１０２）
A41D31/145	｛層状の材料を用いるもの｝
A41D31/18	弾性
A41D31/185	｛層状の材料を用いるもの｝
A41D31/24	機械的ストレスへの耐性，例．穿孔への耐性｛（機械的攻撃に耐えるエプロンＡ４１Ｄ１３／０４３）｝
A41D31/245	｛層状の材料を用いるもの｝
A41D31/26	電気的防護性，例．静電気または電気ショック防止
A41D31/265	｛層状の材料を用いるもの｝
A41D31/28	衝撃吸収性
A41D31/285	｛層状の材料を用いるもの｝
A41D31/30	抗微生物性，例．抗細菌性
A41D31/305	｛層状の材料を用いるもの｝
A41D31/32	再帰反射性
A41D31/325	｛層状の材料を用いるもの｝
A41D2200/00	衣服の構成部分
A41D2200/10	ベルト
A41D2200/20	フード
A41D2300/00	衣服の細部
A41D2300/20	そう入物
A41D2300/22	弾性そう入物
A41D2300/24	折り重ねたそう入物
A41D2300/30	止め具
A41D2300/32	面ファスナーを用いるもの
A41D2300/322	スライドファスナーを用いるもの
A41D2300/324	スナップファスナーを用いるもの
A41D2300/326	フックと鳩目を用いるもの
A41D2300/328	接着剤を用いるもの
A41D2300/33	吊紐または結びひもを用いるもの
A41D2300/332	弾性帯を用いるもの
A41D2300/50	縫目
A41D2300/52	溶着または接着により作られるもの
A41D2400/00	衣服の機能または特別な特徴
A41D2400/10	保温または加温
A41D2400/12	温度制御手段を用いるもの
A41D2400/14	膨らむもの
A41D2400/24	空気中または水中の抵抗または乱流の削減
A41D2400/26	紫外線防護
A41D2400/28	紫外線透過
A41D2400/32	治療用
A41D2400/322	マッサージ
A41D2400/324	針療法
A41D2400/36	消臭性または芳香性
A41D2400/38	身体の輪郭を形成するものまたは体型を整えるもの
A41D2400/42	折り畳み可能なもの
A41D2400/422	ポケットに入るもの
A41D2400/424	ベルトを形成するもの
A41D2400/44	着用機能
A41D2400/46	飲用目的の水の保管あるいは供給
A41D2400/48	持ち運び機能
A41D2400/482	乳児用のもの
A41D2400/52	使い捨て
A41D2400/70	除去可能
A41D2400/72	除去可能な層からなる積層からの表層のもの
A41D2400/80	摩擦または把持の補強
A41D2400/82	使用者の身体とのもの
A41D2500/00	衣服の材料
A41D2500/10	編んだもの
A41D2500/20	織られたもの
A41D2500/30	不織のもの
A41D2500/40	紙類
A41D2500/50	合成樹脂またはゴム
A41D2500/52	シート状のもの
A41D2500/54	塗布状のもの
A41D2600/00	特定の目的に特に適合された衣服の使用
A41D2600/10	スポーツ活動のためのもの
A41D2600/102	オートバイ
A41D2600/104	サイクリング
A41D2600/106	釣り
A41D2600/108	狩猟
A41D2600/20	業務活動のためのもの
A41D2600/202	溶着
